x,y,z,z2
0.0,3.46,0.012476,-0.013812
0.0,7.0,0.012562,-0.008599
0.0,11.42,0.012476,-0.007093
0.0,15.05,0.011669,-0.008978
0.0,18.59,0.010967,-0.009323
0.0,22.09,0.010033,-0.010327
0.0,25.94,0.008767,-0.01343
0.0,29.49,0.007852,-0.013146
0.0,33.07,0.006931,-0.013793
0.0,36.57,0.005791,-0.014896
0.0,40.77,0.00414,-0.017305
0.0,44.32,0.001952,-0.017989
0.0,47.86,-0.001242,-0.02151
0.0,51.41,-0.00525,-0.025752
0.0,54.99,-0.00973,-0.030222
0.0,58.49,-0.014674,-0.035256
0.0,62.08,-0.020266,-0.040256
0.0,65.62,-0.026014,-0.045725
0.0,69.21,-0.032462,-0.052197
0.0,72.71,-0.03911,-0.057912
0.0,76.34,-0.046245,-0.065025
0.0,79.89,-0.053611,-0.072397
0.0,83.34,-0.060983,-0.079212
0.0,86.98,-0.068177,-0.085882
0.0,90.52,-0.074083,-0.092225
0.0,94.15,-0.078682,-0.096436
0.0,97.65,-0.0811,-0.09927
0.0,101.19,-0.081535,-0.100324
0.0,104.83,-0.079009,-0.098602
0.0,108.46,-0.07355,-0.092964
0.0,111.96,-0.065281,-0.08493
0.0,115.63,-0.053848,-0.073972
0.0,119.22,-0.03952,-0.05944
0.0,122.76,-0.023325,-0.043873
0.0,126.26,-0.00562,-0.026427
0.0,130.16,0.015357,-0.004073
0.0,133.74,0.033111,0.012042
0.0,137.33,0.04963,0.028296
0.0,140.83,0.064337,0.042196
0.0,144.81,0.078727,0.053986
0.0,148.36,0.088446,0.065785
0.0,151.86,0.095467,0.072827
0.0,155.36,0.099919,0.077186
0.0,159.56,0.101675,0.077812
0.0,163.1,0.100538,0.079318
0.0,166.6,0.097522,0.075526
0.0,170.14,0.093391,0.07068
0.0,173.73,0.087356,0.064679
0.0,177.23,0.081358,0.059204
0.0,180.78,0.074519,0.052143
0.0,184.32,0.068135,0.046182
0.0,187.86,0.061552,0.039651
0.0,191.41,0.055754,0.03434
0.0,194.99,0.049685,0.02852
0.0,198.54,0.044303,0.023514
0.0,202.08,0.039765,0.019171
0.0,205.63,0.035495,0.015572
0.0,209.17,0.032008,0.011447
0.0,212.67,0.029254,0.00893
0.0,216.17,0.026395,0.006225
0.0,219.32,0.023564,0.003909
0.0,223.39,0.021592,0.001265
0.0,226.93,0.019688,-0.000364
0.0,230.52,0.018607,-0.001948
0.0,234.11,0.017313,-0.003396
0.0,237.61,0.016253,-0.004591
0.0,241.15,0.015233,-0.005934
0.0,244.74,0.014041,-0.007019
0.0,248.28,0.013148,-0.007912
0.0,251.87,0.012729,-0.008248
