x,y,z
1.0,0.0,0.026053
2.05,0.0,0.025427
3.1,0.0,0.024506
4.15,0.0,0.024143
5.15,0.0,0.023761
6.15,0.0,0.02337
7.2,0.0,0.023222
8.2,0.0,0.022664
9.25,0.0,0.021823
10.3,0.0,0.020994
11.3,0.0,0.020378
12.35,0.0,0.020458
13.35,0.0,0.020369
14.4,0.0,0.020427
15.4,0.0,0.020437
16.45,0.0,0.020403
17.5,0.0,0.02036
18.45,0.0,0.020116
19.5,0.0,0.020588
20.55,0.0,0.021145
21.55,0.0,0.021515
22.55,0.0,0.022368
23.55,0.0,0.022914
24.55,0.0,0.023798
25.55,0.0,0.024389
26.55,0.0,0.024898
27.6,0.0,0.025058
28.65,0.0,0.024978
29.7,0.0,0.024472
30.75,0.0,0.024198
31.75,0.0,0.023835
32.8,0.0,0.023117
33.85,0.0,0.022593
34.85,0.0,0.021971
35.85,0.0,0.02125
36.9,0.0,0.02044
37.9,0.0,0.019491
38.9,0.0,0.018739
39.9,0.0,0.018175
40.95,0.0,0.016965
42.0,0.0,0.015834
43.05,0.0,0.014839
44.1,0.0,0.013776
45.1,0.0,0.012673
46.1,0.0,0.011986
47.1,0.0,0.011293
48.15,0.0,0.011078
49.15,0.0,0.010714
50.2,0.0,0.010717
51.2,0.0,0.011198
52.25,0.0,0.011213
53.25,0.0,0.011364
54.25,0.0,0.012131
55.3,0.0,0.012867
56.3,0.0,0.013484
57.3,0.0,0.014118
58.3,0.0,0.015015
59.3,0.0,0.015452
60.35,0.0,0.01536
61.35,0.0,0.015255
62.4,0.0,0.015101
63.4,0.0,0.014707
64.4,0.0,0.014201
65.45,0.0,0.013299
66.45,0.0,0.012279
67.25,0.0,0.011419
68.5,0.0,0.010717
69.55,0.0,0.010785
70.55,0.0,0.010776
71.55,0.0,0.010769
72.6,0.0,0.011062
73.6,0.0,0.011512
74.6,0.0,0.012251
75.6,0.0,0.013283
76.65,0.0,0.014386
77.7,0.0,0.015773
78.7,0.0,0.016885
79.7,0.0,0.018049
80.75,0.0,0.018745
81.75,0.0,0.019164
82.8,0.0,0.019263
83.8,0.0,0.018545
84.8,0.0,0.018049
85.8,0.0,0.017716
86.8,0.0,0.017519
87.8,0.0,0.017997
88.85,0.0,0.018487
89.9,0.0,0.019556
90.9,0.0,0.020893
91.95,0.0,0.022322
92.95,0.0,0.0234
94.0,0.0,0.024171
95.05,0.0,0.025153
96.05,0.0,0.025483
97.1,0.0,0.025782
98.1,0.0,0.025686
99.15,0.0,0.02535
100.2,0.0,0.024978
101.2,0.0,0.024559
102.25,0.0,0.024072
103.25,0.0,0.023736
104.25,0.0,0.023588
105.3,0.0,0.022997
106.3,0.0,0.022572
107.35,0.0,0.022716
108.35,0.0,0.021805
109.35,0.0,0.021133
110.35,0.0,0.020785
111.4,0.0,0.020021
112.4,0.0,0.019688
113.45,0.0,0.01893
114.45,0.0,0.018314
115.5,0.0,0.017889
116.5,0.0,0.017325
117.55,0.0,0.016789
118.55,0.0,0.016262
119.65,0.0,0.015865
120.7,0.0,0.015686
121.7,0.0,0.015945
122.7,0.0,0.015809
123.75,0.0,0.015354
124.75,0.0,0.015042
125.8,0.0,0.014648
126.75,0.0,0.014075
127.8,0.0,0.013739
128.8,0.0,0.01348
129.85,0.0,0.013089
130.85,0.0,0.013043
131.9,0.0,0.013453
132.95,0.0,0.013998
134.0,0.0,0.014793
135.0,0.0,0.015461
135.95,0.0,0.015699
137.05,0.0,0.016201
138.1,0.0,0.01661
139.1,0.0,0.016062
140.1,0.0,0.01617
141.1,0.0,0.015563
