x,y,z,z2
7.0,0.0,0.019975,-0.000309
10.81,0.0,0.020129,-0.001535
14.31,0.0,0.020055,-0.000337
17.63,0.0,0.020772,-0.000836
21.53,0.0,0.020514,-0.000663
25.07,0.0,0.020215,-0.00115
28.61,0.0,0.0204,-0.001193
32.55,0.0,0.019996,0.001789
36.22,0.0,0.01958,-3.2e-05
39.77,0.0,0.019938,-0.000432
43.31,0.0,0.019935,-0.000497
46.9,0.0,0.019787,-0.00102
50.53,0.0,0.019525,-0.002194
54.07,0.0,0.019553,-0.001603
57.57,0.0,0.018955,-0.00213
61.12,0.0,0.019029,-0.002037
64.66,0.0,0.018955,-0.001988
68.21,0.0,0.018949,-0.002086
71.71,0.0,0.018829,-0.002077
75.29,0.0,0.019124,-0.002071
78.84,0.0,0.019029,-0.001877
82.38,0.0,0.019482,-0.001492
86.06,0.0,0.019411,-0.000139
89.64,0.0,0.019318,-0.000324
93.14,0.0,0.019781,9.2e-05
96.73,0.0,0.019959,-0.000435
100.23,0.0,0.020209,1.8e-05
103.78,0.0,0.020199,0.000218
107.36,0.0,0.020766,0.000455
110.91,0.0,0.021034,0.000511
114.45,0.0,0.021318,0.000649
117.99,0.0,0.021573,0.000948
121.58,0.0,0.022103,0.000766
125.17,0.0,0.022313,0.001512
128.63,0.0,0.022535,0.001447
132.17,0.0,0.022713,0.001663
135.8,0.0,0.022867,0.001441
139.26,0.0,0.022951,0.001524
142.89,0.0,0.022476,0.001798
146.48,0.0,0.022507,0.00149
149.98,0.0,0.022242,0.001429
153.48,0.0,0.022014,0.001641
157.02,0.0,0.022174,0.001432
160.56,0.0,0.022134,0.001586
164.11,0.0,0.021663,0.001786
167.61,0.0,0.021124,0.001413
171.19,0.0,0.021278,0.001185
174.78,0.0,0.020973,0.001158
178.37,0.0,0.021074,0.000474
181.91,0.0,0.021401,-9e-05
185.59,0.0,0.021549,0.000163
189.18,0.0,0.021992,0.000859
192.68,0.0,0.022011,0.000942
195.65,0.0,0.022418,0.001333
199.54,0.0,0.022359,0.001044
203.18,0.0,0.022418,0.001099
206.89,0.0,0.022599,0.001269
210.44,0.0,0.022378,0.003835
214.38,0.0,0.022316,0.002254
217.96,0.0,0.022877,0.002747
221.51,0.0,0.022969,0.002544
225.05,0.0,0.023443,0.00275
228.55,0.0,0.024204,0.003693
232.14,0.0,0.02467,0.004149
235.64,0.0,0.024956,0.004374
239.23,0.0,0.025196,0.004164
242.73,0.0,0.025557,0.003946
246.4,0.0,0.025874,0.004593
249.9,0.0,0.026225,0.005218
253.53,0.0,0.026235,0.005045
257.16,0.0,0.026275,0.006469
260.75,0.0,0.025779,0.00597
