x,y,z,z2
0.0,3.67,0.03462,0.009325
0.0,7.26,0.034543,0.014204
0.0,10.81,0.034611,0.014007
0.0,14.53,0.034793,0.013148
0.0,18.07,0.034568,0.013068
0.0,21.48,0.035221,0.013807
0.0,25.16,0.035095,0.013357
0.0,28.66,0.035233,0.014001
0.0,32.55,0.03605,0.015776
0.0,36.18,0.036241,0.015862
0.0,39.68,0.036469,0.016077
0.0,43.22,0.037011,0.016607
0.0,46.9,0.037097,0.016389
0.0,50.44,0.037393,0.01694
0.0,53.99,0.037442,0.016228
0.0,57.57,0.037146,0.016034
0.0,61.29,0.037322,0.014608
0.0,64.88,0.037698,0.016265
0.0,68.47,0.037969,0.017177
0.0,72.01,0.038567,0.017689
0.0,75.82,0.039124,0.019965
0.0,79.41,0.03971,0.018912
0.0,82.95,0.039765,0.019399
0.0,86.45,0.03909,0.018798
0.0,90.52,0.03881,0.016182
0.0,94.11,0.038585,0.017026
0.0,97.65,0.038366,0.017914
0.0,101.19,0.038373,0.017387
0.0,104.69,0.038058,0.017994
0.0,108.28,0.037997,0.017535
0.0,111.87,0.038465,0.017744
0.0,115.37,0.038342,0.01779
0.0,118.91,0.038773,0.018422
0.0,122.37,0.038795,0.018293
0.0,125.96,0.038856,0.018163
0.0,129.5,0.039392,0.0182
0.0,133.09,0.039097,0.018055
0.0,136.59,0.039725,0.018102
0.0,140.13,0.039784,0.018376
0.0,143.72,0.040119,0.018216
0.0,147.22,0.0404,0.019004
0.0,151.03,0.04048,0.018983
0.0,154.57,0.040526,0.019355
0.0,158.16,0.039971,0.019118
0.0,161.61,0.040489,0.019762
0.0,164.98,0.040538,0.019586
0.0,168.74,0.040606,0.020372
0.0,172.38,0.040699,0.020631
0.0,175.83,0.04044,0.02011
0.0,179.33,0.040421,0.01995
0.0,182.88,0.040255,0.019571
0.0,186.55,0.040569,0.019586
0.0,190.05,0.041472,0.019928
0.0,193.64,0.041866,0.020674
0.0,197.14,0.042445,0.02031
0.0,200.77,0.042997,0.021114
0.0,204.31,0.043542,0.022331
0.0,207.81,0.044201,0.022664
0.0,211.36,0.045033,0.023317
0.0,214.94,0.045409,0.02402
0.0,218.49,0.045877,0.024435
0.0,222.03,0.0456,0.024549
0.0,225.01,0.044984,0.024756
0.0,229.12,0.044543,0.023671
0.0,232.66,0.044152,0.02381
0.0,236.21,0.04471,0.024331
0.0,239.79,0.045532,0.024713
0.0,243.25,0.047849,0.026832
0.0,246.84,0.050581,0.02946
0.0,250.43,0.055557,0.033108
