x,y,z,z2
7.0,0.0,2.780571,2.699314
10.59,0.0,2.791471,2.710781
14.22,0.0,2.785251,2.706585
17.72,0.0,2.774776,2.696412
21.09,0.0,2.767235,2.688945
24.81,0.0,2.765319,2.687346
28.35,0.0,2.765812,2.687753
31.72,0.0,2.76896,2.690879
35.39,0.0,2.776804,2.698785
38.98,0.0,2.791557,2.712851
42.52,0.0,2.81083,2.730993
46.07,0.0,2.823889,2.742478
49.61,0.0,2.822013,2.744419
53.2,0.0,2.808402,2.722987
57.01,0.0,2.777041,2.699539
60.55,0.0,2.725097,2.64851
64.01,0.0,2.671591,2.596453
67.55,0.0,2.629425,2.554154
71.22,0.0,2.605079,2.530775
74.72,0.0,2.586111,2.51234
78.22,0.0,2.561681,2.488163
81.81,0.0,2.540051,2.46742
85.4,0.0,2.520458,2.448123
88.9,0.0,2.506043,2.433763
92.4,0.0,2.500587,2.428668
95.99,0.0,2.499173,2.427242
99.49,0.0,2.491554,2.420267
103.08,0.0,2.4636,2.393308
106.66,0.0,2.412242,2.343643
110.16,0.0,2.352796,2.285714
113.71,0.0,2.292605,2.22657
117.25,0.0,2.242953,2.177692
120.79,0.0,2.206459,2.141894
124.25,0.0,2.18857,2.123813
127.93,0.0,2.195698,2.125951
131.56,0.0,2.220144,2.152559
135.06,0.0,2.236253,2.168197
138.64,0.0,2.232784,2.164975
142.23,0.0,2.219981,2.15251
145.78,0.0,2.211894,2.144947
149.41,0.0,2.213015,2.146386
152.95,0.0,2.22226,2.155467
156.45,0.0,2.226789,2.160178
160.04,0.0,2.233092,2.166524
163.54,0.0,2.256213,2.188551
167.13,0.0,2.289697,2.221278
170.63,0.0,2.321826,2.252627
174.21,0.0,2.349161,2.279694
177.71,0.0,2.375979,2.305825
181.34,0.0,2.401145,2.329968
184.89,0.0,2.413554,2.342494
188.43,0.0,2.420097,2.348908
191.98,0.0,2.428982,2.358138
195.43,0.0,2.437497,2.366539
199.02,0.0,2.441413,2.369561
202.83,0.0,2.433551,2.358831
206.37,0.0,2.411462,2.340581
209.87,0.0,2.382109,2.312374
213.46,0.0,2.348184,2.27938
217.04,0.0,2.316761,2.248776
220.5,0.0,2.298693,2.231145
224.04,0.0,2.29995,2.231857
227.59,0.0,2.313194,2.244469
231.44,0.0,2.33491,2.263468
234.98,0.0,2.350898,2.281539
238.57,0.0,2.350726,2.281918
242.11,0.0,2.327094,2.259398
246.14,0.0,2.2832,2.209201
249.77,0.0,2.239482,2.174251
253.23,0.0,2.188351,2.124063
256.77,0.0,2.137704,2.074882
260.79,0.0,2.090668,2.023893
264.34,0.0,2.069118,2.005828
267.88,0.0,2.062458,1.999007
271.47,0.0,2.065344,2.002002
275.32,0.0,2.083382,2.015486
278.82,0.0,2.116413,2.051259
282.36,0.0,2.168487,2.101583
285.82,0.0,2.24482,2.175843
289.36,0.0,2.335923,2.264632
293.17,0.0,2.421225,2.347845
296.67,0.0,2.470107,2.397781
300.26,0.0,2.481801,2.410615
303.89,0.0,2.467984,2.395538
307.39,0.0,2.447041,2.376869
310.97,0.0,2.42994,2.358203
314.47,0.0,2.419093,2.349817
317.97,0.0,2.408067,2.337263
321.61,0.0,2.382907,2.313419
325.06,0.0,2.351056,2.282809
328.69,0.0,2.325751,2.255892
332.19,0.0,2.305424,2.237821
335.74,0.0,2.279281,2.211734
339.28,0.0,2.250745,2.184503
342.82,0.0,2.218527,2.152649
346.37,0.0,2.17905,2.114346
349.91,0.0,2.140015,2.07588
353.41,0.0,2.109583,2.046219
357.0,0.0,2.088973,2.0258
360.5,0.0,2.075132,2.012211
364.26,0.0,2.060144,1.997344
367.72,0.0,2.044352,1.98316
371.31,0.0,2.029833,1.968216
374.89,0.0,2.018712,1.957603
378.48,0.0,2.012988,1.950154
382.02,0.0,2.005991,1.944171
385.57,0.0,1.997236,1.936275
389.07,0.0,1.99008,1.928598
392.92,0.0,1.980748,1.915126
396.51,0.0,1.971318,1.9102
400.05,0.0,1.962199,1.900785
403.59,0.0,1.953878,1.892892
407.49,0.0,1.947224,1.886306
411.03,0.0,1.935354,1.876223
414.62,0.0,1.920878,1.861398
418.07,0.0,1.906743,1.847976
421.97,0.0,1.892492,1.827754
425.56,0.0,1.883604,1.823838
429.01,0.0,1.875554,1.815795
432.69,0.0,1.868872,1.808693
436.41,0.0,1.868009,1.808616
439.99,0.0,1.872717,1.814152
443.49,0.0,1.880101,1.821324
447.08,0.0,1.888299,1.82934
451.19,0.0,1.899085,1.830856
454.78,0.0,1.91004,1.849205
458.41,0.0,1.920794,1.860021
461.91,0.0,1.931447,1.8704
465.76,0.0,1.942849,1.881423
469.31,0.0,1.955804,1.895271
472.85,0.0,1.975363,1.914171
476.39,0.0,1.994063,1.932273
480.33,0.0,2.02007,1.951161
483.83,0.0,2.050486,1.98642
487.46,0.0,2.075551,2.010027
491.01,0.0,2.083431,2.019251
494.46,0.0,2.082907,2.018687
498.01,0.0,2.081894,2.017797
501.68,0.0,2.082809,2.018767
505.22,0.0,2.075834,2.013311
508.68,0.0,2.051891,1.989648
512.22,0.0,2.014399,1.95369
515.86,0.0,1.974966,1.91572
519.36,0.0,1.938927,1.87996
522.9,0.0,1.908786,1.850268
526.4,0.0,1.885351,1.827341
529.99,0.0,1.858823,1.802055
533.49,0.0,1.831962,1.775003
536.99,0.0,1.810443,1.75427
540.57,0.0,1.797489,1.740317
544.12,0.0,1.79495,1.737178
547.62,0.0,1.794824,1.738068
551.21,0.0,1.788851,1.730795
554.79,0.0,1.776466,1.719205
558.34,0.0,1.762877,1.705887
561.88,0.0,1.75041,1.693703
565.38,0.0,1.742994,1.687018
569.01,0.0,1.741084,1.681978
572.56,0.0,1.744756,1.688235
576.1,0.0,1.753,1.695964
579.64,0.0,1.762652,1.704907
