x,y,z,z2
0.0,3.54,2.532013,2.381638
0.0,7.13,2.555159,2.478323
0.0,10.76,2.555689,2.481444
0.0,14.26,2.536163,2.462559
0.0,17.94,2.508153,2.436283
0.0,21.52,2.48067,2.408646
0.0,25.11,2.462864,2.391342
0.0,28.66,2.455643,2.383834
0.0,32.11,2.447975,2.375979
0.0,35.79,2.438431,2.366776
0.0,39.33,2.426564,2.354404
0.0,42.83,2.416672,2.345911
0.0,46.37,2.409155,2.337768
0.0,49.83,2.400584,2.329463
0.0,53.46,2.393181,2.32222
0.0,57.01,2.387568,2.316579
0.0,60.37,2.387775,2.315994
0.0,64.14,2.390168,2.319549
0.0,67.72,2.38405,2.31271
0.0,71.22,2.365707,2.296407
0.0,75.16,2.327941,2.256844
0.0,78.79,2.294521,2.227608
0.0,82.42,2.273887,2.205332
0.0,85.97,2.262242,2.19389
0.0,90.39,2.249377,2.175187
0.0,93.98,2.238188,2.171521
0.0,97.43,2.231992,2.166093
0.0,100.93,2.231225,2.16471
0.0,104.48,2.227442,2.16056
0.0,108.06,2.211173,2.145181
0.0,111.65,2.183292,2.117488
0.0,115.15,2.149771,2.085831
0.0,118.69,2.115375,2.051225
0.0,122.28,2.08706,2.023025
0.0,125.78,2.070637,2.007424
0.0,129.28,2.06475,2.001423
0.0,132.83,2.057618,1.993536
0.0,136.5,2.043613,1.979448
0.0,139.96,2.032088,1.969698
0.0,143.59,2.022603,1.95963
0.0,147.18,2.01401,1.951491
0.0,150.72,2.004023,1.94194
0.0,154.22,1.990711,1.929405
0.0,157.72,1.973391,1.912575
0.0,161.44,1.946947,1.886534
0.0,164.94,1.90414,1.846232
0.0,168.57,1.843755,1.787948
0.0,172.16,1.771281,1.715477
0.0,175.7,1.708191,1.654399
0.0,179.51,1.64845,1.590872
0.0,183.05,1.592175,1.540305
0.0,186.59,1.536963,1.485736
0.0,190.18,1.48578,1.435278
0.0,193.81,1.436291,1.386873
0.0,197.36,1.392012,1.343885
0.0,201.03,1.354775,1.30773
0.0,204.53,1.323814,1.277132
0.0,208.12,1.293805,1.24773
0.0,211.62,1.257188,1.212684
0.0,215.16,1.204985,1.161982
0.0,218.79,1.128026,1.086593
0.0,222.38,1.031218,0.992472
0.0,225.62,0.918664,0.882737
0.0,229.47,0.783744,0.751055
0.0,232.97,0.62051,0.592574
0.0,236.43,0.420867,0.398101
0.0,240.06,0.159534,0.142236
0.0,243.82,-0.137274,-0.145703
0.0,247.36,-0.483866,-0.483697
0.0,250.91,-0.84837,-0.83999
0.0,254.49,-1.239555,-1.220704
0.0,258.04,-1.592706,-1.56815
0.0,261.67,-1.901988,-1.871375
0.0,265.17,-2.154514,-2.120534
0.0,268.89,-2.374852,-2.33399
0.0,272.48,-2.545459,-2.505302
0.0,276.02,-2.69605,-2.652634
0.0,279.65,-2.842239,-2.795188
0.0,283.24,-2.989636,-2.939972
0.0,286.78,-3.149731,-3.096737
0.0,290.33,-3.336472,-3.277984
0.0,293.83,-3.568714,-3.504093
0.0,297.37,-3.920057,-3.843741
0.0,300.91,-4.485077,-4.389412
0.0,304.41,-5.372873,-5.246034
0.0,308.04,-6.741553,-6.566501
0.0,311.59,-8.649387,-8.410796
0.0,314.74,9.497804,8.78291
0.0,318.67,8.299685,8.097739
0.0,322.35,7.602517,7.416951
0.0,325.85,7.196286,7.017592
0.0,329.48,6.978868,6.801551
0.0,333.02,6.917796,6.74059
0.0,336.61,6.967263,6.786031
0.0,340.16,7.068846,6.884527
0.0,343.66,7.182672,6.994863
0.0,347.2,7.285586,7.096064
0.0,350.83,7.371951,7.176668
0.0,354.33,7.434517,7.239801
0.0,357.96,7.475321,7.278843
0.0,361.46,7.49476,7.299631
0.0,365.09,7.494927,7.298442
0.0,368.68,7.47574,7.278873
0.0,372.27,7.436563,7.244496
0.0,375.9,7.373953,7.1814
0.0,379.44,7.287188,7.099952
0.0,383.07,7.17188,6.988193
0.0,386.66,7.024912,6.847605
0.0,390.25,6.832546,6.658532
0.0,393.88,6.602956,6.441752
0.0,397.47,6.312609,6.158062
0.0,401.06,5.966158,5.822776
0.0,404.51,5.582668,5.45167
0.0,408.1,5.16733,5.046474
0.0,411.64,4.738366,4.625439
0.0,415.27,4.334669,4.230301
0.0,418.77,3.982082,3.886824
0.0,422.32,3.685564,3.595111
0.0,425.95,3.456276,3.368134
0.0,429.49,3.299129,3.213571
0.0,432.99,3.191464,3.106443
0.0,436.62,3.128282,3.04339
0.0,440.17,3.092462,3.008122
0.0,443.76,3.061982,2.978602
0.0,447.26,3.028575,2.946264
0.0,450.58,2.98997,2.90786
0.0,454.34,2.960183,2.879422
0.0,457.89,2.932761,2.852413
0.0,461.56,2.898076,2.818023
0.0,464.89,2.870848,2.79173
0.0,468.61,2.869918,2.790747
0.0,472.15,2.890673,2.808328
