x,y,z,z2
7.04,0.0,0.027042,0.005702
10.98,0.0,0.027122,0.005923
14.53,0.0,0.027146,0.006728
18.11,0.0,0.027347,0.007541
21.7,0.0,0.02751,0.007076
25.2,0.0,0.027273,0.007467
28.79,0.0,0.027636,0.007538
32.29,0.0,0.027676,0.007581
35.79,0.0,0.027719,0.007837
39.46,0.0,0.02771,0.006469
43.09,0.0,0.027744,0.006164
46.59,0.0,0.027553,0.006438
50.14,0.0,0.027254,0.005668
54.07,0.0,0.026694,0.004993
57.53,0.0,0.02613,0.00535
61.12,0.0,0.026028,0.00568
64.66,0.0,0.025578,0.004848
68.25,0.0,0.025363,0.006423
72.01,0.0,0.025532,0.005406
75.47,0.0,0.025911,0.005776
79.1,0.0,0.026198,0.005871
82.64,0.0,0.026182,0.005591
86.14,0.0,0.026731,0.006235
89.73,0.0,0.026943,0.006318
93.28,0.0,0.027538,0.006718
96.82,0.0,0.028166,0.007301
100.36,0.0,0.028493,0.007418
103.91,0.0,0.029063,0.007553
107.45,0.0,0.029318,0.0084
110.99,0.0,0.030076,0.008671
114.54,0.0,0.030794,0.009041
118.17,0.0,0.031536,0.010529
121.67,0.0,0.032473,0.01089
125.17,0.0,0.033256,0.011805
128.84,0.0,0.033872,0.013856
132.39,0.0,0.03418,0.013656
135.84,0.0,0.034586,0.013715
139.48,0.0,0.03499,0.014737
143.02,0.0,0.03531,0.015686
146.61,0.0,0.035791,0.015387
150.11,0.0,0.035914,0.015899
153.74,0.0,0.036232,0.015868
157.19,0.0,0.035997,0.015702
160.83,0.0,0.036019,0.015252
164.37,0.0,0.036398,0.015273
167.87,0.0,0.036318,0.015203
171.5,0.0,0.036182,0.014907
175.04,0.0,0.03645,0.01446
178.5,0.0,0.036213,0.015073
182.13,0.0,0.036148,0.014848
185.68,0.0,0.03637,0.014469
189.26,0.0,0.036031,0.014663
192.72,0.0,0.036447,0.015104
196.31,0.0,0.036638,0.015357
199.85,0.0,0.03641,0.015178
203.44,0.0,0.03665,0.015736
206.98,0.0,0.036179,0.0154
210.53,0.0,0.036081,0.015061
214.03,0.0,0.035655,0.014571
217.57,0.0,0.035588,0.015144
220.5,0.0,0.035831,0.015141
224.79,0.0,0.03596,0.015788
228.29,0.0,0.036219,0.015902
231.79,0.0,0.036965,0.016481
235.38,0.0,0.037584,0.016755
238.88,0.0,0.037673,0.01719
242.51,0.0,0.03796,0.017464
246.27,0.0,0.038256,0.015363
249.77,0.0,0.038487,0.017267
253.36,0.0,0.038662,0.016666
256.81,0.0,0.038493,0.017073
260.49,0.0,0.038659,0.016909
263.99,0.0,0.03812,0.0171
267.58,0.0,0.037646,0.017008
270.81,0.0,0.036872,0.016158
274.75,0.0,0.035769,0.015126
278.25,0.0,0.034402,0.014177
282.1,0.0,0.033745,0.013388
285.64,0.0,0.032698,0.011176
289.19,0.0,0.031071,0.010628
292.69,0.0,0.030957,0.009811
296.89,0.0,0.030406,0.009269
300.56,0.0,0.030178,0.010181
304.06,0.0,0.030212,0.00958
307.56,0.0,0.029864,0.010406
311.63,0.0,0.030042,0.005806
315.22,0.0,0.029589,0.008527
318.81,0.0,0.030067,0.008792
322.35,0.0,0.029497,0.008296
326.38,0.0,0.028665,0.009503
330.05,0.0,0.02784,0.006891
333.59,0.0,0.027205,0.006198
337.05,0.0,0.026992,0.006376
341.56,0.0,0.027723,0.007079
345.01,0.0,0.028012,0.007713
348.56,0.0,0.028462,0.008055
352.1,0.0,0.029195,0.009217
356.39,0.0,0.030372,0.009442
359.93,0.0,0.031459,0.011216
363.56,0.0,0.032187,0.011928
367.11,0.0,0.032498,0.011928
371.35,0.0,0.032809,0.010856
374.98,0.0,0.033111,0.011863
378.52,0.0,0.033736,0.013699
382.07,0.0,0.034146,0.013795
385.61,0.0,0.034223,0.014041
389.2,0.0,0.034272,0.013856
392.74,0.0,0.034251,0.014032
396.24,0.0,0.034374,0.013702
399.92,0.0,0.034506,0.014309
403.42,0.0,0.035236,0.014562
406.92,0.0,0.035372,0.01471
410.51,0.0,0.035862,0.015036
414.05,0.0,0.036459,0.015431
417.59,0.0,0.03711,0.016139
421.18,0.0,0.037827,0.015933
424.68,0.0,0.03828,0.016746
428.22,0.0,0.038912,0.01715
431.86,0.0,0.039026,0.017624
435.44,0.0,0.039882,0.018419
438.94,0.0,0.04027,0.018681
442.53,0.0,0.041158,0.020409
446.25,0.0,0.041549,0.021962
449.79,0.0,0.041749,0.02145
453.42,0.0,0.042245,0.02178
456.92,0.0,0.042328,0.021657
460.47,0.0,0.042565,0.021894
464.01,0.0,0.042987,0.022254
467.6,0.0,0.043345,0.022658
471.14,0.0,0.043326,0.022723
474.69,0.0,0.043979,0.022285
478.23,0.0,0.043936,0.022196
481.82,0.0,0.043798,0.022267
485.27,0.0,0.043798,0.022063
488.82,0.0,0.043943,0.021789
492.41,0.0,0.043939,0.022485
495.95,0.0,0.044485,0.022698
499.49,0.0,0.044996,0.023012
502.99,0.0,0.045489,0.023551
506.67,0.0,0.045628,0.025212
510.3,0.0,0.046047,0.025012
513.89,0.0,0.04592,0.025554
517.39,0.0,0.045754,0.024867
521.06,0.0,0.045538,0.025344
524.61,0.0,0.045045,0.02405
528.24,0.0,0.044839,0.023792
531.78,0.0,0.0443,0.02284
535.32,0.0,0.043557,0.022642
538.82,0.0,0.043936,0.022507
542.41,0.0,0.043622,0.021912
545.96,0.0,0.043576,0.021672
549.5,0.0,0.043634,0.021475
553.17,0.0,0.043138,0.021598
556.76,0.0,0.0432,0.021845
560.35,0.0,0.043795,0.022424
563.89,0.0,0.044269,0.022636
567.44,0.0,0.044395,0.023302
570.85,0.0,0.044512,0.02353
574.48,0.0,0.04462,0.024599
577.98,0.0,0.044864,0.024053
581.87,0.0,0.045732,0.024013
585.51,0.0,0.046272,0.024602
589.09,0.0,0.046811,0.025301
592.77,0.0,0.047609,0.025535
596.36,0.0,0.047753,0.026715
599.9,0.0,0.048499,0.02657
603.49,0.0,0.048443,0.027519
607.07,0.0,0.048862,0.028308
610.97,0.0,0.049429,0.028838
614.56,0.0,0.049657,0.029405
618.1,0.0,0.050233,0.028641
621.64,0.0,0.050649,0.029183
625.32,0.0,0.050649,0.027858
628.95,0.0,0.051475,0.02966
631.92,0.0,0.051472,0.02999
635.95,0.0,0.051755,0.030175
640.11,0.0,0.052211,0.032738
643.69,0.0,0.052877,0.031386
647.24,0.0,0.053166,0.031721
650.74,0.0,0.053406,0.032248
654.72,0.0,0.054127,0.03133
658.31,0.0,0.054223,0.032285
661.81,0.0,0.054694,0.032867
665.44,0.0,0.055335,0.033983
668.98,0.0,0.055578,0.034984
672.52,0.0,0.055779,0.034747
676.11,0.0,0.05568,0.034981
679.61,0.0,0.055548,0.034981
683.24,0.0,0.055381,0.034503
686.7,0.0,0.055215,0.034848
690.07,0.0,0.055597,0.034583
693.79,0.0,0.055609,0.03507
697.37,0.0,0.056105,0.034682
701.05,0.0,0.056401,0.032562
704.72,0.0,0.056,0.034072
708.31,0.0,0.056238,0.033986
11.2,35.13,0.027396,0.001324
14.92,35.13,0.026965,0.007599
18.11,35.13,0.026774,0.006814
20.82,35.13,0.026798,0.006426
25.51,35.13,0.026352,0.005859
28.74,35.13,0.026028,0.005095
32.64,35.13,0.025803,0.004787
36.27,35.13,0.026056,0.004688
39.77,35.13,0.025945,0.004248
43.31,35.13,0.026626,0.00556
46.9,35.13,0.026808,0.005052
50.4,35.13,0.0269,0.005948
54.03,35.13,0.027381,0.006321
57.57,35.13,0.02714,0.006426
61.16,35.13,0.027997,0.006731
64.75,35.13,0.02787,0.007525
69.17,35.13,0.027575,0.005055
72.76,35.13,0.027914,0.006617
76.3,35.13,0.027741,0.00694
79.84,35.13,0.027803,0.007113
84.26,35.13,0.027639,0.007066
88.29,35.13,0.027864,0.007609
91.87,35.13,0.027978,0.007445
95.37,35.13,0.028206,0.007941
98.96,35.13,0.028918,0.005252
102.55,35.13,0.029266,0.010699
106.14,35.13,0.030101,0.009744
109.68,35.13,0.03064,0.009907
114.19,35.13,0.03166,0.009617
117.86,35.13,0.031909,0.011801
121.49,35.13,0.032408,0.01007
124.99,35.13,0.032584,0.011801
128.8,35.13,0.032907,0.012301
132.47,35.13,0.033163,0.012686
135.97,35.13,0.0334,0.012581
139.56,35.13,0.033373,0.013246
143.11,35.13,0.034063,0.013813
146.65,35.13,0.034362,0.01406
150.24,35.13,0.034355,0.013869
153.78,35.13,0.034583,0.014362
157.32,35.13,0.034509,0.014235
160.82,35.13,0.034802,0.013767
164.46,35.13,0.034854,0.013052
168.0,35.13,0.034996,0.013582
171.76,35.13,0.035135,0.013037
175.83,35.13,0.034978,0.016155
179.42,35.13,0.034965,0.014534
182.96,35.13,0.035332,0.014642
186.46,35.13,0.035156,0.014617
190.36,35.13,0.034888,0.011805
193.86,35.13,0.0345,0.013145
197.4,35.13,0.035045,0.013619
200.94,35.13,0.035156,0.013678
204.53,35.13,0.035538,0.013684
208.07,35.13,0.035711,0.014078
211.57,35.13,0.035323,0.014494
215.12,35.13,0.03483,0.013915
218.66,35.13,0.034882,0.014269
222.07,35.13,0.035283,0.014793
225.84,35.13,0.034845,0.014873
229.38,35.13,0.035492,0.015298
232.88,35.13,0.036025,0.015273
236.07,35.13,0.035788,0.015381
239.92,35.13,0.036302,0.015766
243.42,35.13,0.036392,0.016198
246.97,35.13,0.037257,0.016543
250.6,35.13,0.037273,0.017245
254.06,35.13,0.037399,0.017307
257.6,35.13,0.038179,0.01759
261.1,35.13,0.038619,0.017569
264.69,35.13,0.039069,0.018105
268.23,35.13,0.039035,0.018317
271.82,35.13,0.038406,0.016845
275.41,35.13,0.037639,0.015751
278.95,35.13,0.036386,0.014756
282.49,35.13,0.034589,0.013074
285.99,35.13,0.033188,0.011875
289.58,35.13,0.031204,0.009953
293.08,35.13,0.029808,0.008283
296.54,35.13,0.028628,0.007196
300.17,35.13,0.027846,0.006882
303.71,35.13,0.027578,0.006392
307.17,35.13,0.027011,0.005923
310.76,35.13,0.026592,0.005905
314.3,35.13,0.026379,0.005412
317.84,35.13,0.026312,0.005409
321.39,35.13,0.02645,0.005887
324.93,35.13,0.026148,0.006084
328.47,35.13,0.026305,0.006188
331.97,35.13,0.026309,0.006426
335.52,35.13,0.026546,0.006416
339.11,35.13,0.027143,0.007057
342.69,35.13,0.027544,0.006983
346.24,35.13,0.028499,0.008025
349.82,35.13,0.029171,0.008779
353.5,35.13,0.029999,0.007433
357.09,35.13,0.030569,0.009241
360.63,35.13,0.031053,0.009731
364.13,35.13,0.032162,0.010655
367.72,35.13,0.032747,0.011269
371.22,35.13,0.033366,0.012411
374.94,35.13,0.034201,0.013872
378.39,35.13,0.034525,0.013496
382.02,35.13,0.034596,0.014377
386.09,35.13,0.035209,0.012947
389.64,35.13,0.035705,0.015236
393.14,35.13,0.036373,0.015008
396.64,35.13,0.036857,0.015674
400.66,35.13,0.037778,0.017689
404.21,35.13,0.038391,0.017418
407.75,35.13,0.038761,0.018299
411.25,35.13,0.039851,0.018613
415.1,35.13,0.039913,0.018391
418.69,35.13,0.039867,0.01926
422.19,35.13,0.040304,0.019235
425.77,35.13,0.040273,0.018693
429.36,35.13,0.040618,0.018397
432.91,35.13,0.040329,0.018973
436.36,35.13,0.039833,0.018604
439.95,35.13,0.039916,0.018256
443.45,35.13,0.040138,0.018252
447.04,35.13,0.040292,0.018779
450.62,35.13,0.040554,0.019445
454.12,35.13,0.041081,0.019941
457.58,35.13,0.04165,0.020184
461.21,35.13,0.042199,0.020994
464.71,35.13,0.042507,0.021382
468.3,35.13,0.043114,0.022294
471.84,35.13,0.043126,0.02259
475.17,35.13,0.043524,0.022769
478.89,35.13,0.043299,0.023083
482.47,35.13,0.043853,0.02348
486.06,35.13,0.044004,0.02332
489.56,35.13,0.043952,0.022963
493.15,35.13,0.043952,0.023493
496.69,35.13,0.044109,0.023083
500.28,35.13,0.04438,0.023237
503.87,35.13,0.04438,0.022997
507.28,35.13,0.044657,0.022297
510.91,35.13,0.04458,0.022646
514.5,35.13,0.04474,0.023172
518.04,35.13,0.045126,0.023071
521.5,35.13,0.044848,0.022938
525.09,35.13,0.044821,0.023129
528.59,35.13,0.044337,0.022858
532.04,35.13,0.044472,0.022923
535.59,35.13,0.044183,0.022803
539.13,35.13,0.04393,0.022365
542.67,35.13,0.043912,0.022384
546.26,35.13,0.043662,0.022384
549.72,35.13,0.044386,0.022476
553.31,35.13,0.04418,0.023351
556.94,35.13,0.044482,0.023656
560.39,35.13,0.044827,0.024075
563.89,35.13,0.044639,0.023859
567.7,35.13,0.045002,0.025726
571.29,35.13,0.045572,0.02523
574.74,35.13,0.045973,0.025498
578.29,35.13,0.046811,0.025957
581.79,35.13,0.047507,0.026164
585.33,35.13,0.047535,0.026792
588.83,35.13,0.047923,0.026931
592.37,35.13,0.048502,0.027627
595.92,35.13,0.049192,0.027599
599.24,35.13,0.049408,0.028123
602.96,35.13,0.049876,0.028641
606.51,35.13,0.049586,0.02844
610.01,35.13,0.049854,0.028388
613.51,35.13,0.050073,0.028256
617.09,35.13,0.050378,0.028767
620.68,35.13,0.050874,0.028884
624.14,35.13,0.050816,0.029309
627.68,35.13,0.051253,0.02974
631.18,35.13,0.051703,0.030024
634.68,35.13,0.052242,0.030129
638.22,35.13,0.052036,0.030119
641.77,35.13,0.051774,0.030147
645.27,35.13,0.0519,0.031614
649.07,35.13,0.052322,0.031235
652.53,35.13,0.052602,0.031352
656.12,35.13,0.052824,0.03141
659.62,35.13,0.052907,0.032658
663.16,35.13,0.053369,0.032877
666.75,35.13,0.053413,0.033095
670.34,35.13,0.053921,0.033391
673.97,35.13,0.054143,0.033388
677.42,35.13,0.055027,0.034269
680.97,35.13,0.055169,0.034272
684.47,35.13,0.055609,0.034442
688.01,35.13,0.056007,0.034996
691.56,35.13,0.055945,0.034734
695.14,35.13,0.055911,0.034383
698.73,35.13,0.05564,0.033533
702.23,35.13,0.055427,0.033548
705.6,35.13,0.055184,0.033413
709.36,35.13,0.055002,0.032784
11.9,70.48,0.024497,-0.002755
15.49,70.48,0.024586,0.004029
18.99,70.48,0.023998,0.005012
22.66,70.48,0.024097,0.00414
26.21,70.48,0.024448,0.004448
29.79,70.48,0.024617,0.004571
33.34,70.48,0.024291,0.004312
36.88,70.48,0.024445,0.003946
40.42,70.48,0.024811,0.004383
43.92,70.48,0.024685,0.004402
47.51,70.48,0.025061,0.004325
51.06,70.48,0.025415,0.004435
54.69,70.48,0.02592,0.004611
58.19,70.48,0.026207,0.005092
61.73,70.48,0.026561,0.005692
65.32,70.48,0.027066,0.006247
68.86,70.48,0.027602,0.005806
72.41,70.48,0.028015,0.006771
75.99,70.48,0.028425,0.007673
79.58,70.48,0.028715,0.008354
83.17,70.48,0.02881,0.008268
86.62,70.48,0.029423,0.009013
90.17,70.48,0.029811,0.009574
93.8,70.48,0.030049,0.009959
97.3,70.48,0.030434,0.010813
100.84,70.48,0.030883,0.010529
104.34,70.48,0.031022,0.011207
108.06,70.48,0.031093,0.010726
111.69,70.48,0.031564,0.010323
115.28,70.48,0.031647,0.009993
118.82,70.48,0.03218,0.010468
122.41,70.48,0.032282,0.011081
125.96,70.48,0.03287,0.011629
129.46,70.48,0.033074,0.011888
133.04,70.48,0.033542,0.012045
136.54,70.48,0.033862,0.012658
140.09,70.48,0.034522,0.012975
143.54,70.48,0.034469,0.013197
147.13,70.48,0.034559,0.012864
150.67,70.48,0.034771,0.013893
154.26,70.48,0.03475,0.014174
157.89,70.48,0.034879,0.015129
161.48,70.48,0.03475,0.014636
165.07,70.48,0.034879,0.014602
168.57,70.48,0.034568,0.014103
172.11,70.48,0.034257,0.013835
175.61,70.48,0.03422,0.014257
179.24,70.48,0.034654,0.013819
182.79,70.48,0.034645,0.013345
186.33,70.48,0.034152,0.013899
190.14,70.48,0.034278,0.01093
193.72,70.48,0.034534,0.012883
197.27,70.48,0.034251,0.013021
200.72,70.48,0.033779,0.01276
204.92,70.48,0.033496,0.014688
208.47,70.48,0.033748,0.012907
211.97,70.48,0.03308,0.012297
215.6,70.48,0.033413,0.012276
219.27,70.48,0.033524,0.011586
222.82,70.48,0.033554,0.012051
226.32,70.48,0.033724,0.01218
229.86,70.48,0.034152,0.012482
233.49,70.48,0.034278,0.013428
236.91,70.48,0.034269,0.013188
240.45,70.48,0.034833,0.013508
243.99,70.48,0.035079,0.014469
247.58,70.48,0.035483,0.014556
251.12,70.48,0.036404,0.015431
254.67,70.48,0.036792,0.01617
258.26,70.48,0.037827,0.016977
261.76,70.48,0.038037,0.017821
265.96,70.48,0.038631,0.01459
269.46,70.48,0.038348,0.016882
273.09,70.48,0.037599,0.016275
276.98,70.48,0.036065,0.01714
280.44,70.48,0.034777,0.014355
283.98,70.48,0.033604,0.013631
287.66,70.48,0.032239,0.011604
291.24,70.48,0.030988,0.010563
294.87,70.48,0.03028,0.007704
298.51,70.48,0.029543,0.008739
