x,y,z,z2
0.0,4.16,0.031635,0.003474
0.0,7.92,0.031777,0.011022
0.0,11.59,0.031503,0.010665
0.0,15.18,0.031672,0.011201
0.0,18.68,0.032066,0.0117
0.0,22.22,0.03231,0.011959
0.0,25.77,0.032448,0.012125
0.0,29.31,0.03279,0.012723
0.0,33.03,0.033043,0.012291
0.0,36.57,0.032686,0.012513
0.0,40.07,0.032676,0.01214
0.0,43.57,0.03247,0.012183
0.0,47.16,0.032464,0.011346
0.0,50.66,0.032464,0.011971
0.0,54.16,0.032288,0.01206
0.0,57.71,0.032522,0.011567
0.0,61.25,0.032852,0.011952
0.0,64.75,0.033212,0.012008
0.0,68.38,0.033536,0.011925
0.0,71.92,0.034118,0.012304
0.0,75.47,0.03462,0.012707
0.0,78.97,0.034374,0.013012
0.0,82.56,0.034586,0.013397
0.0,86.06,0.034682,0.013256
0.0,89.6,0.034713,0.013499
0.0,93.36,0.034673,0.015366
0.0,96.99,0.035107,0.01487
0.0,100.49,0.035295,0.014479
0.0,103.99,0.035548,0.014941
0.0,107.58,0.035766,0.015699
0.0,111.17,0.035917,0.015384
0.0,114.76,0.036315,0.015449
0.0,118.3,0.036056,0.015714
0.0,121.8,0.036213,0.015585
0.0,125.34,0.036441,0.014599
0.0,128.93,0.036167,0.015073
0.0,132.43,0.036161,0.01499
0.0,135.98,0.036318,0.014494
0.0,139.69,0.036327,0.01406
0.0,143.24,0.036047,0.014858
0.0,146.78,0.036287,0.014716
0.0,150.33,0.036216,0.015027
0.0,153.83,0.036247,0.01467
0.0,157.41,0.03584,0.015166
0.0,160.96,0.035991,0.014626
0.0,164.5,0.036056,0.015369
0.0,168.26,0.035526,0.01588
0.0,171.81,0.035822,0.015458
0.0,175.39,0.035766,0.015609
0.0,178.94,0.036241,0.015766
0.0,182.48,0.036771,0.016188
0.0,185.94,0.037569,0.017276
0.0,189.44,0.038607,0.018339
0.0,193.03,0.039971,0.018511
0.0,196.53,0.040862,0.019186
0.0,200.11,0.041829,0.020859
0.0,203.61,0.043619,0.021435
0.0,207.16,0.045104,0.023034
0.0,210.74,0.046968,0.02515
0.0,214.07,0.048847,0.026832
0.0,217.92,0.050095,0.028564
0.0,221.51,0.051866,0.029894
0.0,225.05,0.052689,0.031225
0.0,228.51,0.053434,0.032562
0.0,232.09,0.053878,0.032538
0.0,235.68,0.054703,0.033477
0.0,239.27,0.055267,0.034463
0.0,242.86,0.056244,0.035344
0.0,246.36,0.05788,0.036595
0.0,249.64,0.059867,0.038644
0.0,253.53,0.062658,0.041191
0.0,257.08,0.06625,0.04515
0.0,260.66,0.071989,0.050187
0.0,264.25,0.079522,0.057334
0.0,267.75,0.08763,0.064796
0.0,271.34,0.096188,0.073964
0.0,274.93,0.105843,0.082014
0.0,278.51,0.113517,0.089531
0.0,282.06,0.118129,0.094361
0.0,285.56,0.118696,0.095437
0.0,289.06,0.113443,0.090369
0.0,292.69,0.100994,0.078622
0.0,296.23,0.079278,0.057036
0.0,299.86,0.044423,0.024368
0.0,303.54,0.001386,-0.016689
0.0,306.99,-0.037068,-0.05501
0.0,310.58,-0.070392,-0.087203
0.0,314.12,-0.095959,-0.112761
0.0,317.67,-0.114696,-0.131452
0.0,321.17,-0.12757,-0.14411
0.0,324.76,-0.136821,-0.153183
0.0,328.26,-0.145447,-0.162172
0.0,331.76,-0.158171,-0.174002
0.0,335.34,-0.177212,-0.193488
0.0,338.84,-0.199135,-0.214578
0.0,342.52,-0.218685,-0.234412
0.0,346.02,-0.230352,-0.245527
0.0,348.95,-0.233343,-0.249529
0.0,353.28,-0.227354,-0.243423
0.0,356.82,-0.213805,-0.23008
0.0,360.32,-0.194896,-0.212308
0.0,363.82,-0.172203,-0.189963
0.0,367.5,-0.149461,-0.167647
0.0,370.96,-0.127206,-0.145842
0.0,374.5,-0.107062,-0.12623
0.0,378.04,-0.087903,-0.106787
0.0,381.54,-0.070537,-0.089323
0.0,385.0,-0.054994,-0.07383
0.0,388.76,-0.041874,-0.060598
0.0,392.31,-0.030414,-0.05005
0.0,395.81,-0.021218,-0.04058
0.0,399.39,-0.012653,-0.032324
0.0,402.94,-0.00533,-0.025746
0.0,406.44,0.001096,-0.019092
0.0,410.02,0.006253,-0.014532
0.0,413.57,0.010856,-0.009588
0.0,417.07,0.014534,-0.006233
0.0,420.66,0.017547,-0.003812
0.0,423.63,0.019454,-0.001828
0.0,427.79,0.021111,-0.000272
0.0,431.29,0.022033,0.000625
0.0,434.83,0.022282,0.000883
0.0,438.37,0.022045,0.000517
0.0,442.01,0.021697,0.000434
0.0,445.51,0.021309,0.000471
0.0,449.05,0.021558,0.000193
0.0,452.59,0.020834,0.000449
0.0,456.18,0.020606,0.000298
0.0,459.72,0.02076,0.000326
0.0,463.31,0.019968,0.000511
0.0,466.94,0.019808,6.7e-05
0.0,470.18,0.019269,-0.000839
0.0,474.12,0.019057,-0.00127
0.0,477.62,0.018665,-0.001288
0.0,481.12,0.018536,-0.002148
0.0,484.75,0.018625,-0.002542
0.0,488.38,0.017809,-0.002703
0.0,491.92,0.017624,-0.003356
0.0,495.47,0.017153,-0.004338
0.0,499.62,0.016817,-0.002056
0.0,503.21,0.016638,-0.003004
0.0,506.8,0.016552,-0.003574
0.0,510.34,0.016352,-0.003996
0.0,513.8,0.015896,-0.005583
0.0,517.39,0.015129,-0.003584
0.0,520.93,0.015159,-0.004686
0.0,524.39,0.015301,-0.005247
0.0,527.97,0.015267,-0.006215
0.0,531.52,0.01564,-0.004529
0.0,535.06,0.015557,-0.005306
0.0,538.61,0.015699,-0.0053
0.0,542.11,0.015486,-0.005232
0.0,545.65,0.015295,-0.005839
0.0,549.24,0.015169,-0.005789
0.0,552.78,0.014583,-0.007022
0.0,556.32,0.013471,-0.007077
0.0,559.82,0.012984,-0.007983
0.0,563.32,0.012421,-0.008162
0.0,566.91,0.011684,-0.009052
0.0,570.41,0.011232,-0.009711
0.0,573.91,0.010865,-0.009637
0.0,577.54,0.010495,-0.01025
0.0,581.04,0.010295,-0.010158
0.0,584.54,0.010277,-0.010164
0.0,588.39,0.009759,-0.00928
0.0,591.98,0.009586,-0.010219
0.0,595.48,0.008949,-0.010826
0.0,599.02,0.008819,-0.011319
0.0,602.52,0.008323,-0.011929
0.0,606.07,0.007966,-0.01216
0.0,609.57,0.007147,-0.012672
0.0,613.16,0.006718,-0.013722
0.0,616.7,0.005902,-0.014431
0.0,620.2,0.005172,-0.014711
0.0,623.66,0.005018,-0.0155
0.0,627.2,0.004522,-0.016014
0.0,630.79,0.004734,-0.016153
0.0,634.33,0.004577,-0.016704
0.0,637.83,0.004309,-0.015894
0.0,641.37,0.004106,-0.016325
0.0,644.87,0.004214,-0.016797
0.0,648.29,0.003693,-0.017253
0.0,651.96,0.003635,-0.016991
0.0,655.59,0.003915,-0.017093
0.0,659.09,0.004026,-0.017225
0.0,662.68,0.003943,-0.016566
0.0,666.27,0.003702,-0.016563
0.0,669.77,0.003514,-0.016258
0.0,673.36,0.003545,-0.01647
0.0,676.9,0.003453,-0.016572
0.0,680.44,0.003031,-0.016461
0.0,683.94,0.002994,-0.016834
0.0,687.44,0.002211,-0.017598
36.09,12.25,0.034771,0.008413
36.09,15.79,0.03487,0.014004
36.09,19.77,0.034528,0.013403
36.09,23.27,0.03523,0.01357
36.09,26.82,0.035711,0.014112
36.09,30.41,0.036121,0.014081
36.09,33.95,0.035896,0.01458
36.09,37.54,0.03572,0.014414
36.09,41.39,0.035849,0.015964
36.09,44.89,0.035677,0.014901
36.09,48.43,0.035575,0.014978
36.09,52.32,0.035467,0.014472
36.09,55.91,0.035631,0.01438
36.09,59.46,0.035634,0.014167
36.09,62.96,0.035578,0.0143
36.09,66.5,0.035421,0.014081
36.09,70.61,0.035341,0.015449
36.09,74.11,0.035477,0.014562
36.09,77.66,0.035541,0.015042
36.09,81.2,0.034922,0.014931
36.09,85.05,0.034636,0.012812
36.09,88.64,0.034506,0.013474
36.09,92.14,0.034389,0.01316
36.09,95.72,0.034411,0.012923
36.09,99.27,0.033955,0.011832
36.09,102.86,0.033634,0.01235
36.09,106.4,0.033764,0.012242
36.09,109.9,0.033976,0.012587
36.09,113.49,0.034127,0.012488
36.09,116.99,0.034451,0.012701
36.09,120.44,0.034417,0.013293
36.09,124.07,0.034392,0.013049
36.09,127.57,0.034405,0.013138
36.09,131.21,0.034284,0.013804
36.09,134.71,0.034084,0.01348
36.09,138.29,0.034984,0.014827
36.09,141.79,0.035677,0.015178
36.09,145.29,0.036573,0.015489
36.09,148.84,0.036521,0.015865
36.09,152.38,0.036053,0.016041
36.09,155.88,0.036059,0.015015
36.09,159.51,0.035615,0.015172
36.09,163.06,0.03535,0.015215
36.09,166.56,0.036114,0.015597
36.09,170.19,0.036872,0.015776
36.09,174.34,0.037735,0.015295
36.09,177.84,0.038829,0.01787
36.09,181.39,0.039722,0.018856
36.09,184.89,0.040785,0.019503
36.09,188.43,0.041829,0.021151
