x,y,z,z2
7.13,0.0,0.021586,0.000341
10.81,0.0,0.021105,-0.000712
14.35,0.0,0.02064,-0.000318
17.89,0.0,0.020295,-0.001036
21.35,0.0,0.020354,-0.000836
24.94,0.0,0.020772,-0.000614
28.48,0.0,0.020967,-0.000244
31.98,0.0,0.021016,0.0002
35.61,0.0,0.021127,0.000101
39.11,0.0,0.021019,0.00031
42.61,0.0,0.021031,0.000212
46.2,0.0,0.021111,0.000464
49.7,0.0,0.020501,0.000221
53.29,0.0,0.020218,0.00015
56.83,0.0,0.020135,0.000116
60.42,0.0,0.019876,0.000264
63.92,0.0,0.019821,-0.000139
67.51,0.0,0.019469,-0.000774
71.01,0.0,0.019537,-0.000534
74.55,0.0,0.019617,-0.000155
78.09,0.0,0.019984,-0.000364
81.73,0.0,0.020092,-1.9e-05
85.18,0.0,0.019993,-0.000343
88.81,0.0,0.020341,-1.3e-05
92.31,0.0,0.020625,0.000594
95.86,0.0,0.02113,0.000612
99.31,0.0,0.021367,0.001333
102.9,0.0,0.022014,0.001592
106.49,0.0,0.022639,0.001687
109.99,0.0,0.02304,0.002424
113.58,0.0,0.023283,0.002251
117.12,0.0,0.023742,0.002307
120.66,0.0,0.023665,0.002664
124.16,0.0,0.023699,0.00251
127.71,0.0,0.023755,0.00272
131.29,0.0,0.023336,0.00198
134.79,0.0,0.023351,0.001934
138.38,0.0,0.023277,0.002143
141.93,0.0,0.023407,0.002251
145.51,0.0,0.022938,0.002251
149.06,0.0,0.02312,0.002106
152.43,0.0,0.022969,0.002485
156.19,0.0,0.022981,0.002356
159.69,0.0,0.022984,0.002393
163.28,0.0,0.022886,0.002753
166.78,0.0,0.023021,0.002744
170.32,0.0,0.022904,0.002824
173.86,0.0,0.023342,0.002895
177.41,0.0,0.023431,0.00296
180.91,0.0,0.023443,0.003108
184.45,0.0,0.023425,0.003188
188.04,0.0,0.023625,0.003625
191.54,0.0,0.023659,0.003705
195.13,0.0,0.024038,0.003878
198.63,0.0,0.024146,0.003782
202.21,0.0,0.024485,0.004232
205.8,0.0,0.02495,0.004029
209.34,0.0,0.024953,0.004309
212.93,0.0,0.024796,0.003903
216.48,0.0,0.024999,0.003798
219.98,0.0,0.024928,0.003924
223.61,0.0,0.024768,0.003394
227.11,0.0,0.025203,0.003499
230.69,0.0,0.025113,0.003785
234.24,0.0,0.025113,0.00409
237.83,0.0,0.025267,0.003961
241.33,0.0,0.025243,0.004103
244.91,0.0,0.024848,0.003619
248.41,0.0,0.024922,0.003598
251.96,0.0,0.025307,0.004094
255.5,0.0,0.02527,0.003983
259.04,0.0,0.025529,0.004941
262.5,0.0,0.02556,0.004768
266.0,0.0,0.025612,0.004463
269.59,0.0,0.025166,0.004325
273.13,0.0,0.025008,0.004053
276.63,0.0,0.024414,0.003708
280.13,0.0,0.024146,0.003293
283.68,0.0,0.023761,0.003252
287.18,0.0,0.023003,0.002602
290.81,0.0,0.022073,0.002023
294.35,0.0,0.021903,0.001777
297.81,0.0,0.021453,0.000896
301.35,0.0,0.021041,0.000964
304.94,0.0,0.021111,0.000668
308.44,0.0,0.021025,0.000964
311.94,0.0,0.021312,0.001426
315.52,0.0,0.021339,0.001635
319.07,0.0,0.021518,0.001453
322.57,0.0,0.021401,0.001395
326.11,0.0,0.021453,0.001145
329.74,0.0,0.021352,0.000939
333.29,0.0,0.021028,0.00085
336.79,0.0,0.021062,0.000908
340.33,0.0,0.021081,0.000375
343.87,0.0,0.021022,0.000551
347.37,0.0,0.020902,0.000468
350.92,0.0,0.020982,0.000628
354.46,0.0,0.021564,0.000813
357.96,0.0,0.021931,0.000917
361.42,0.0,0.022325,0.000923
365.05,0.0,0.022541,0.001801
368.55,0.0,0.022642,0.001623
372.09,0.0,0.022516,0.001521
375.64,0.0,0.022753,0.001792
379.22,0.0,0.02337,0.001823
382.81,0.0,0.024032,0.002593
386.31,0.0,0.024439,0.003256
389.81,0.0,0.02507,0.003785
393.36,0.0,0.025535,0.004291
396.9,0.0,0.026022,0.004728
400.44,0.0,0.02589,0.004904
404.03,0.0,0.026031,0.005039
407.57,0.0,0.025634,0.005021
411.07,0.0,0.025625,0.004651
414.62,0.0,0.025637,0.004836
418.21,0.0,0.025471,0.005384
421.66,0.0,0.025665,0.004781
425.21,0.0,0.025486,0.004953
428.75,0.0,0.025551,0.005277
432.25,0.0,0.025178,0.004916
435.75,0.0,0.024691,0.004543
439.29,0.0,0.024402,0.004325
442.92,0.0,0.023659,0.003613
446.47,0.0,0.023305,0.003216
449.97,0.0,0.023333,0.003074
453.51,0.0,0.023268,0.003431
457.06,0.0,0.02316,0.00332
460.6,0.0,0.023397,0.003139
464.14,0.0,0.023302,0.003055
467.73,0.0,0.023727,0.003311
471.23,0.0,0.023681,0.003752
474.69,0.0,0.024035,0.003869
478.23,0.0,0.024423,0.004146
481.82,0.0,0.024688,0.003748
485.32,0.0,0.025227,0.0052
488.86,0.0,0.025948,0.004654
492.49,0.0,0.026352,0.005323
496.04,0.0,0.026607,0.004611
499.62,0.0,0.026826,0.0056
503.08,0.0,0.026755,0.00548
506.62,0.0,0.026703,0.005545
510.17,0.0,0.026352,0.005283
513.76,0.0,0.026284,0.005104
517.26,0.0,0.025985,0.00458
520.8,0.0,0.025905,0.004796
524.3,0.0,0.025434,0.004565
527.89,0.0,0.025224,0.003961
531.43,0.0,0.024793,0.003776
535.02,0.0,0.024534,0.003622
538.52,0.0,0.024512,0.003561
541.71,0.0,0.024201,0.004824
545.78,0.0,0.023678,0.003105
549.28,0.0,0.023705,0.003216
552.87,0.0,0.023878,0.003924
556.32,0.0,0.024081,0.004004
560.04,0.0,0.024617,0.004248
563.59,0.0,0.024808,0.004513
567.13,0.0,0.025147,0.004839
570.76,0.0,0.025187,0.004134
574.35,0.0,0.025612,0.004454
577.89,0.0,0.025893,0.004263
581.57,0.0,0.025951,0.004439
585.11,0.0,0.026361,0.005064
588.66,0.0,0.02674,0.005563
592.16,0.0,0.027288,0.006204
595.74,0.0,0.027473,0.006111
599.33,0.0,0.027393,0.006355
602.87,0.0,0.02731,0.006614
606.46,0.0,0.027297,0.006614
609.96,0.0,0.026755,0.005803
613.51,0.0,0.026666,0.006016
616.7,0.0,0.026595,0.007353
620.68,0.0,0.026358,0.006124
624.18,0.0,0.026355,0.005945
627.72,0.0,0.026309,0.005957
631.05,0.0,0.026352,0.006007
634.72,0.0,0.026404,0.006262
638.27,0.0,0.026185,0.006198
641.81,0.0,0.026432,0.006367
645.36,0.0,0.026743,0.006133
648.94,0.0,0.027051,0.006783
652.49,0.0,0.027088,0.006703
656.07,0.0,0.027516,0.007113
659.57,0.0,0.027528,0.006752
663.16,0.0,0.027362,0.006453
666.75,0.0,0.027359,0.006213
670.21,0.0,0.027735,0.006989
673.79,0.0,0.027877,0.006435
676.94,0.0,0.02792,0.006882
680.88,0.0,0.027547,0.006786
684.34,0.0,0.027069,0.00592
687.92,0.0,0.026601,0.005618
691.99,0.0,0.026416,0.007165
695.49,0.0,0.025973,0.005825
698.99,0.0,0.025957,0.005773
702.62,0.0,0.025871,0.00609
706.56,0.0,0.025899,0.002775
710.15,0.0,0.025643,0.004913
12.82,35.17,0.020227,-0.004338
16.32,35.17,0.019956,-0.00025
19.91,35.17,0.019879,-9.6e-05
23.36,35.17,0.019965,-0.000155
27.08,35.17,0.019888,-0.001076
30.62,35.17,0.019559,-0.001704
34.26,35.17,0.019642,-0.001615
37.8,35.17,0.01975,-0.002065
41.43,35.17,0.019503,-0.001683
44.84,35.17,0.020045,-0.000974
48.52,35.17,0.019901,-0.000888
52.19,35.17,0.020039,-0.000287
55.78,35.17,0.019928,-0.000549
59.15,35.17,0.019978,-0.000278
62.82,35.17,0.019882,-0.000531
66.46,35.17,0.019968,0.000415
70.0,35.17,0.020082,0.000415
73.54,35.17,0.020421,0.000252
77.22,35.17,0.020794,0.00064
80.72,35.17,0.021096,0.000763
84.22,35.17,0.021373,0.001546
87.98,35.17,0.022119,-0.00095
91.61,35.17,0.022615,0.001352
95.16,35.17,0.022649,0.001537
98.74,35.17,0.022627,0.001355
102.24,35.17,0.022744,0.001358
105.92,35.17,0.022642,0.001678
109.37,35.17,0.022723,0.001647
112.96,35.17,0.022957,0.002307
116.51,35.17,0.023416,0.002347
120.01,35.17,0.02337,0.002384
123.46,35.17,0.023363,0.002698
127.05,35.17,0.023363,0.003021
130.59,35.17,0.023453,0.002643
133.87,35.17,0.023394,0.003758
137.86,35.17,0.023314,0.003496
141.4,35.17,0.022975,0.002981
144.94,35.17,0.023397,0.003376
148.4,35.17,0.023259,0.003274
152.07,35.17,0.023271,0.003391
155.57,35.17,0.023761,0.003708
159.12,35.17,0.023789,0.003548
162.57,35.17,0.023711,0.00328
