x,y,z,z2
0.0,3.5,0.024134,-0.002339
0.0,7.04,0.023764,0.00348
0.0,10.81,0.023086,0.000101
0.0,14.31,0.022636,0.00125
0.0,17.85,0.021854,0.000538
0.0,21.35,0.021185,8.6e-05
0.0,25.02,0.020868,-0.000207
0.0,28.57,0.020797,0.001527
0.0,32.33,0.020788,0.000468
0.0,35.83,0.021158,0.001013
0.0,39.42,0.021164,0.00121
0.0,42.96,0.021607,0.001192
0.0,46.59,0.021515,0.001281
0.0,50.09,0.021493,0.001379
0.0,53.59,0.021268,0.001136
0.0,57.09,0.021093,0.000902
0.0,60.72,0.021056,0.000665
0.0,64.31,0.021114,-0.000189
0.0,67.86,0.02072,-2.8e-05
0.0,71.44,0.020689,2.1e-05
0.0,74.9,0.020745,-0.000256
0.0,78.53,0.020695,-0.000605
0.0,81.99,0.021081,0.000193
0.0,85.53,0.0217,0.000443
0.0,88.99,0.021878,0.000369
0.0,92.84,0.02226,0.001179
0.0,96.34,0.022689,0.001691
0.0,99.93,0.022618,0.001798
0.0,103.51,0.022578,0.001922
0.0,107.01,0.02226,0.00194
0.0,110.56,0.02226,0.001466
0.0,114.14,0.021869,0.001419
0.0,117.69,0.022239,0.002187
0.0,121.23,0.022316,0.002227
0.0,124.86,0.022217,0.002165
0.0,128.36,0.022288,0.002297
0.0,131.91,0.022294,0.002264
0.0,135.01,0.021922,0.001956
0.0,138.99,0.022008,0.001758
0.0,142.49,0.021771,0.001669
0.0,146.08,0.021891,0.001737
0.0,149.67,0.02141,-0.000102
0.0,153.26,0.021463,0.000994
0.0,156.8,0.02113,0.000545
0.0,160.3,0.020671,-7e-06
0.0,163.8,0.020286,-0.000472
0.0,167.3,0.019981,-0.000657
0.0,170.84,0.02007,-0.000857
0.0,174.43,0.019731,-0.001479
0.0,177.89,0.019707,-0.001372
0.0,181.52,0.019722,-0.001735
0.0,184.98,0.019306,-0.001889
0.0,188.56,0.019244,-0.002231
0.0,192.11,0.019272,-0.001831
0.0,195.65,0.018739,-0.002385
0.0,199.15,0.01857,-0.002607
0.0,202.69,0.018662,-0.002635
0.0,206.24,0.018151,-0.003023
0.0,209.83,0.017165,-0.001393
0.0,213.76,0.016238,-0.003596
0.0,217.31,0.015104,-0.005035
0.0,220.85,0.013422,-0.006399
0.0,224.13,0.011441,-0.008513
0.0,227.98,0.009035,-0.011181
0.0,231.48,0.006493,-0.013312
0.0,234.98,0.003733,-0.016344
0.0,238.53,0.000104,-0.020016
0.0,242.11,-0.004388,-0.023953
0.0,245.61,-0.009194,-0.029314
0.0,249.2,-0.015678,-0.035959
0.0,252.74,-0.023081,-0.043303
0.0,255.54,-0.032518,-0.052505
0.0,259.79,-0.043245,-0.062709
0.0,263.29,-0.056057,-0.074844
0.0,266.79,-0.07094,-0.089791
0.0,270.11,-0.089843,-0.107049
0.0,274.31,-0.10923,-0.126313
0.0,277.86,-0.128722,-0.14566
0.0,281.36,-0.147296,-0.16367
0.0,285.03,-0.165272,-0.180324
0.0,288.53,-0.178263,-0.193725
0.0,292.12,-0.18626,-0.201649
0.0,295.62,-0.185792,-0.201658
0.0,299.56,-0.171877,-0.191239
0.0,303.14,-0.146448,-0.164976
0.0,306.69,-0.108325,-0.128232
0.0,310.28,-0.060571,-0.081544
0.0,313.82,-0.00566,-0.027736
0.0,317.36,0.050181,0.026589
0.0,320.95,0.107726,0.083428
0.0,324.49,0.159411,0.134158
0.0,328.08,0.204389,0.178628
0.0,331.63,0.24003,0.214143
0.0,335.21,0.26499,0.238936
0.0,338.71,0.28006,0.253859
0.0,342.26,0.284099,0.258468
0.0,345.84,0.27791,0.252682
0.0,349.34,0.264706,0.239577
0.0,352.89,0.24677,0.222377
0.0,356.43,0.225156,0.201222
0.0,359.97,0.20198,0.17869
0.0,363.47,0.178918,0.155963
0.0,367.11,0.157082,0.134509
0.0,370.61,0.137633,0.115711
0.0,374.19,0.120175,0.098342
0.0,377.65,0.104278,0.082892
0.0,381.15,0.090406,0.068927
0.0,384.69,0.078413,0.057414
0.0,388.28,0.068219,0.045353
0.0,391.82,0.060206,0.039266
0.0,395.54,0.053471,0.030427
0.0,399.09,0.047886,0.026339
0.0,403.07,0.043739,0.024642
0.0,406.66,0.040394,0.020073
0.0,410.2,0.037895,0.017116
0.0,413.7,0.035384,0.01511
0.0,417.72,0.033065,0.009041
0.0,421.27,0.03133,0.010076
0.0,424.81,0.029993,0.008739
0.0,428.4,0.028527,0.007233
0.0,432.34,0.027023,0.008557
0.0,435.92,0.025985,0.005994
0.0,439.47,0.025135,0.004953
0.0,443.1,0.02409,0.003881
0.0,446.91,0.023277,-0.000549
0.0,450.41,0.022451,0.00157
0.0,453.99,0.02157,0.000273
0.0,457.54,0.020594,-0.000756
0.0,461.12,0.019734,-0.001634
0.0,464.67,0.018819,-0.002311
0.0,468.21,0.018345,-0.002656
0.0,471.8,0.017849,-0.003125
0.0,475.3,0.017427,-0.003525
0.0,478.84,0.017402,-0.00338
0.0,482.39,0.017378,-0.003131
0.0,485.93,0.01747,-0.003417
0.0,489.52,0.017313,-0.003257
0.0,493.06,0.017023,-0.003189
0.0,496.52,0.016906,-0.003525
0.0,500.11,0.016996,-0.002838
0.0,503.69,0.017116,-0.002817
0.0,507.24,0.017193,-0.002971
0.0,510.78,0.016641,-0.003494
0.0,514.37,0.01621,-0.003855
0.0,517.91,0.016275,-0.003926
0.0,521.94,0.015917,-0.007576
0.0,525.48,0.015865,-0.005275
0.0,528.98,0.016031,-0.005195
0.0,532.57,0.015911,-0.005109
0.0,536.59,0.015868,-0.003103
0.0,540.18,0.015862,-0.004113
0.0,543.68,0.015535,-0.00456
0.0,547.18,0.014981,-0.004955
0.0,551.25,0.014697,-0.00867
0.0,554.75,0.014805,-0.006344
0.0,558.34,0.014777,-0.005965
0.0,561.88,0.014639,-0.005435
0.0,565.64,0.014623,-0.004209
0.0,569.19,0.014734,-0.005333
0.0,572.73,0.014654,-0.005204
0.0,576.32,0.014873,-0.005269
0.0,580.3,0.015166,-0.008679
0.0,583.8,0.015076,-0.005913
0.0,587.39,0.014962,-0.005983
0.0,590.89,0.01503,-0.006248
0.0,594.69,0.015129,-0.004366
0.0,598.19,0.014707,-0.006298
0.0,601.78,0.014371,-0.006005
0.0,605.32,0.014365,-0.00574
0.0,609.09,0.013884,-0.00574
0.0,612.63,0.013785,-0.005697
0.0,616.17,0.013936,-0.005857
0.0,619.67,0.013598,-0.006507
0.0,623.17,0.013256,-0.006714
0.0,626.67,0.012846,-0.007133
0.0,630.22,0.012701,-0.007277
0.0,633.72,0.012356,-0.007419
0.0,637.26,0.012085,-0.007872
0.0,640.81,0.012008,-0.00826
0.0,644.39,0.011675,-0.009012
0.0,647.94,0.011318,-0.008901
0.0,651.48,0.010994,-0.009508
0.0,655.02,0.010409,-0.010885
0.0,658.57,0.010132,-0.010851
0.0,662.2,0.009645,-0.011483
0.0,665.79,0.009596,-0.011347
0.0,669.33,0.01024,-0.011011
0.0,672.83,0.010572,-0.010389
0.0,676.42,0.010988,-0.010087
0.0,679.96,0.011287,-0.009517
0.0,683.51,0.011247,-0.009591
0.0,687.05,0.011232,-0.009363
36.18,12.42,0.021216,-0.006581
36.18,16.01,0.021124,-0.00038
36.18,19.47,0.021496,0.000588
36.18,23.23,0.021515,0.000637
36.18,26.77,0.021444,0.000819
36.18,30.1,0.02153,0.001561
36.18,33.95,0.021601,0.001287
36.18,37.45,0.02113,0.000973
36.18,40.69,0.021207,0.001404
36.18,44.58,0.021287,0.001188
36.18,48.17,0.021506,0.001512
36.18,51.71,0.021515,0.001441
36.18,55.17,0.021573,0.001244
36.18,58.76,0.021235,0.00089
36.18,62.3,0.021031,0.001201
36.18,65.8,0.021222,0.000739
36.18,69.43,0.020834,0.000172
36.18,72.97,0.020286,0.000206
36.18,76.52,0.020323,1.2e-05
36.18,79.97,0.02039,-0.00026
36.18,83.56,0.020726,0.000203
36.18,87.06,0.021161,0.000883
36.18,90.56,0.021493,0.000887
36.18,94.15,0.021527,0.000711
36.18,97.74,0.021919,-0.000142
36.18,101.28,0.021854,0.00109
36.18,104.87,0.021934,0.000557
36.18,108.37,0.021654,0.000258
36.18,111.65,0.021533,0.00019
36.18,115.5,0.021185,0.00011
36.18,119.09,0.020779,-0.000454
36.18,122.63,0.020403,-0.000586
36.18,126.17,0.019987,-0.000152
36.18,129.76,0.020015,-0.000799
36.18,133.35,0.019602,-0.001042
36.18,136.89,0.019639,-0.000654
36.18,140.39,0.019928,-0.000466
36.18,143.94,0.019919,-0.000115
36.18,147.48,0.020332,0.000283
36.18,151.02,0.020464,0.000156
36.18,154.52,0.020406,0.000387
36.18,158.11,0.020261,0.000338
36.18,161.7,0.020354,0.000384
36.18,165.11,0.020387,0.000344
36.18,168.74,0.020008,-9.3e-05
36.18,172.02,0.01967,-0.000346
36.18,175.79,0.018838,-0.001134
36.18,179.33,0.01852,-0.001593
36.18,182.87,0.018536,-0.001532
36.18,186.33,0.018542,-0.001788
36.18,189.92,0.018447,-0.001695
36.18,193.46,0.018416,-0.001942
36.18,197.09,0.018071,-0.002724
36.18,200.59,0.017855,-0.002835
36.18,204.18,0.017732,-0.003417
36.18,207.77,0.017384,-0.003688
36.18,211.27,0.016724,-0.003784
36.18,214.77,0.016352,-0.004871
36.18,217.96,0.015474,-0.005503
36.18,221.86,0.014288,-0.006763
36.18,225.4,0.013071,-0.007764
36.18,228.99,0.011703,-0.009462
36.18,232.66,0.009719,-0.010974
36.18,236.12,0.007347,-0.013146
36.18,239.75,0.004254,-0.016064
36.18,243.29,-1.9e-05,-0.019964
36.18,246.84,-0.005605,-0.02509
36.18,250.42,-0.01196,-0.031532
36.18,253.92,-0.020315,-0.039314
36.18,257.47,-0.029705,-0.048417
36.18,261.01,-0.040531,-0.059107
36.18,264.51,-0.053436,-0.071427
36.18,268.19,-0.068152,-0.085808
36.18,271.69,-0.084717,-0.102139
36.18,275.32,-0.103288,-0.120296
36.18,278.82,-0.123423,-0.141301
36.18,282.54,-0.140931,-0.157681
36.18,286.04,-0.156673,-0.173488
36.18,289.58,-0.168728,-0.185268
36.18,293.17,-0.174221,-0.191242
36.18,296.62,-0.172095,-0.189175
36.18,300.21,-0.160124,-0.178072
36.18,303.84,-0.137992,-0.156587
36.18,307.39,-0.105909,-0.125438
36.18,310.97,-0.065648,-0.085943
36.18,314.52,-0.021624,-0.04322
36.18,318.02,0.026312,0.003748
36.18,321.56,0.072538,0.04922
36.18,325.15,0.117063,0.093031
36.18,328.65,0.153788,0.128745
36.18,332.15,0.184103,0.159183
36.18,335.69,0.206105,0.180976
36.18,339.15,0.219509,0.194287
36.18,342.78,0.224377,0.199497
36.18,346.28,0.222966,0.198178
36.18,349.82,0.214934,0.19096
36.18,353.37,0.202926,0.179266
36.18,356.96,0.187778,0.164888
36.18,360.59,0.171034,0.148157
36.18,364.09,0.154297,0.131767
36.18,367.63,0.138194,0.116139
36.18,371.22,0.12247,0.100708
36.18,374.89,0.107818,0.085461
36.18,378.39,0.09462,0.072427
36.18,382.02,0.08288,0.060434
36.18,385.66,0.072852,0.050674
36.18,389.16,0.064768,0.04284
36.18,392.79,0.057464,0.035517
36.18,396.33,0.051321,0.030061
36.18,399.44,0.046,0.02524
36.18,403.55,0.042066,0.021413
36.18,407.09,0.038376,0.01731
36.18,410.64,0.035578,0.014821
36.18,414.01,0.033071,0.013256
36.18,417.99,0.031327,0.010545
36.18,421.53,0.030464,0.009944
36.18,425.16,0.029392,0.008798
36.18,428.66,0.028675,0.007606
36.18,432.34,0.02783,0.006349
36.18,435.84,0.027011,0.006481
36.18,439.34,0.025945,0.005064
36.18,442.79,0.025024,0.004688
36.18,445.94,0.024121,0.002911
36.18,449.88,0.023123,0.002747
36.18,453.38,0.022316,0.001238
36.18,456.92,0.021426,0.000514
36.18,460.64,0.020732,-0.000648
36.18,464.1,0.020357,-0.000857
36.18,467.73,0.019814,-0.001248
36.18,471.23,0.019223,-0.001603
36.18,474.73,0.01881,-0.002089
36.18,478.23,0.018456,-0.002456
36.18,481.82,0.018459,-0.002487
36.18,485.32,0.018598,-0.002321
36.18,488.86,0.0184,-0.002308
36.18,492.41,0.018083,-0.002416
36.18,495.99,0.017803,-0.002724
36.18,499.49,0.017408,-0.002863
36.18,503.04,0.016968,-0.00359
36.18,506.58,0.016111,-0.003679
36.18,510.17,0.015822,-0.004215
36.18,513.76,0.015412,-0.004206
36.18,517.3,0.014962,-0.004714
36.18,520.58,0.015033,-0.004742
