x,y,z,z2
7.09,0.0,0.01784,-0.001744
10.81,0.0,0.017455,-0.003125
14.35,0.0,0.017048,-0.003571
17.98,0.0,0.016795,-0.004335
21.53,0.0,0.016281,-0.004378
25.07,0.0,0.016358,-0.004406
28.57,0.0,0.0165,-0.004286
32.59,0.0,0.017202,-0.001036
36.14,0.0,0.017532,-0.002345
39.68,0.0,0.017843,-0.001788
43.18,0.0,0.018259,-0.001609
46.68,0.0,0.018286,-0.001393
50.36,0.0,0.018265,-0.001726
53.86,0.0,0.018326,-0.001609
57.4,0.0,0.018249,-0.00212
60.99,0.0,0.018018,-0.002428
64.53,0.0,0.017926,-0.0022
68.03,0.0,0.017877,-0.002126
71.58,0.0,0.018018,-0.002558
75.12,0.0,0.018098,-0.003041
78.71,0.0,0.017846,-0.002974
82.21,0.0,0.017932,-0.002752
85.79,0.0,0.017812,-0.002927
89.29,0.0,0.018354,-0.002444
92.66,0.0,0.018773,-0.00204
96.43,0.0,0.018992,-0.001406
99.97,0.0,0.01967,-0.000484
103.47,0.0,0.020129,-5.9e-05
107.01,0.0,0.020301,-0.000238
110.51,0.0,0.020338,-0.000139
114.06,0.0,0.020283,0.000677
117.64,0.0,0.020147,0.000314
121.14,0.0,0.020283,0.000335
124.73,0.0,0.019858,0.000323
128.28,0.0,0.019888,-2.2e-05
131.82,0.0,0.019463,-0.0003
135.28,0.0,0.019087,-0.000783
139.08,0.0,0.018733,-0.002943
142.67,0.0,0.018853,-0.001923
146.17,0.0,0.018708,-0.001865
149.67,0.0,0.018259,-0.002179
153.21,0.0,0.017883,-0.002508
156.84,0.0,0.018061,-0.003137
160.39,0.0,0.018071,-0.003205
164.02,0.0,0.017883,-0.002524
168.0,0.0,0.018293,-0.000105
171.59,0.0,0.0184,-0.001513
175.09,0.0,0.018299,-0.001384
178.63,0.0,0.018206,-0.001341
182.18,0.0,0.0182,-0.001707
185.72,0.0,0.01828,-0.001975
189.26,0.0,0.018366,-0.001597
192.81,0.0,0.018049,-0.002065
196.31,0.0,0.018286,-0.002191
199.85,0.0,0.018237,-0.001868
203.44,0.0,0.01837,-0.002884
206.98,0.0,0.018326,-0.00282
210.53,0.0,0.018317,-0.002296
214.07,0.0,0.018339,-0.002438
217.61,0.0,0.017584,-0.00289
221.2,0.0,0.017196,-0.003531
224.7,0.0,0.016601,-0.003993
228.29,0.0,0.016084,-0.004073
231.88,0.0,0.015708,-0.004372
235.46,0.0,0.01507,-0.004154
239.01,0.0,0.014981,-0.004366
242.73,0.0,0.01438,-0.005321
246.44,0.0,0.014158,-0.00607
249.9,0.0,0.013419,-0.006344
253.49,0.0,0.012991,-0.007302
256.99,0.0,0.012981,-0.00724
260.58,0.0,0.013604,-0.007327
264.08,0.0,0.015107,-0.00546
267.66,0.0,0.017978,-0.002983
271.25,0.0,0.021983,0.0006
275.06,0.0,0.028333,0.008715
278.51,0.0,0.035905,0.014688
282.1,0.0,0.046413,0.025486
285.69,0.0,0.059226,0.038502
289.32,0.0,0.07609,0.054919
292.82,0.0,0.095246,0.073286
296.45,0.0,0.118647,0.095948
300.08,0.0,0.144531,0.120686
303.67,0.0,0.171025,0.146884
307.21,0.0,0.197279,0.172491
310.76,0.0,0.2212,0.195751
314.26,0.0,0.239407,0.214349
317.71,0.0,0.249186,0.223955
321.43,0.0,0.247599,0.221804
324.84,0.0,0.232778,0.208659
328.43,0.0,0.202112,0.178871
332.02,0.0,0.158329,0.136786
335.69,0.0,0.097821,0.079346
339.41,0.0,0.03353,0.015726
342.96,0.0,0.043508,0.022609
346.5,0.0,0.112873,0.089251
350.09,0.0,0.179546,0.15434
353.63,0.0,0.23739,0.211404
357.17,0.0,0.282941,0.255837
360.81,0.0,0.3162,0.288939
364.48,0.0,0.336302,0.307879
368.16,0.0,0.341696,0.314836
371.7,0.0,0.335985,0.309999
375.24,0.0,0.322118,0.296545
378.7,0.0,0.30128,0.276391
382.37,0.0,0.276838,0.25271
385.83,0.0,0.25076,0.227507
389.42,0.0,0.224161,0.201382
393.05,0.0,0.197217,0.175353
396.59,0.0,0.173129,0.15153
400.09,0.0,0.152343,0.130591
403.68,0.0,0.13271,0.111373
407.31,0.0,0.115563,0.09422
410.81,0.0,0.10088,0.079475
414.36,0.0,0.088539,0.067076
417.94,0.0,0.078434,0.05694
421.57,0.0,0.06987,0.048
425.21,0.0,0.063296,0.041552
428.79,0.0,0.058055,0.037032
432.42,0.0,0.054189,0.033499
435.97,0.0,0.051284,0.030397
439.6,0.0,0.049186,0.029325
443.1,0.0,0.047784,0.027211
446.64,0.0,0.046373,0.026259
450.19,0.0,0.045246,0.025329
453.86,0.0,0.044491,0.023234
457.54,0.0,0.043835,0.023114
461.17,0.0,0.04336,0.021496
464.76,0.0,0.043043,0.021638
468.3,0.0,0.042972,0.02149
471.93,0.0,0.043061,0.021734
475.43,0.0,0.043101,0.021937
478.89,0.0,0.043166,0.021897
482.43,0.0,0.04275,0.02182
486.06,0.0,0.042812,0.021878
489.61,0.0,0.042273,0.021681
493.46,0.0,0.04226,0.023419
496.96,0.0,0.042245,0.022254
500.54,0.0,0.042017,0.021601
504.04,0.0,0.041971,0.021518
507.54,0.0,0.04198,0.021681
511.13,0.0,0.042042,0.021037
514.67,0.0,0.042297,0.021558
518.26,0.0,0.042655,0.021108
521.85,0.0,0.043058,0.021909
525.35,0.0,0.043225,0.021857
528.94,0.0,0.043034,0.021376
532.52,0.0,0.043179,0.021838
536.07,0.0,0.04316,0.021823
539.66,0.0,0.042719,0.021546
543.2,0.0,0.042119,0.021386
546.66,0.0,0.041875,0.020662
550.24,0.0,0.041386,0.020486
553.74,0.0,0.041238,0.020495
557.29,0.0,0.040939,0.02039
561.05,0.0,0.041167,0.021934
564.59,0.0,0.041422,0.02149
568.09,0.0,0.041962,0.021724
571.68,0.0,0.042676,0.021949
575.4,0.0,0.043089,0.021561
578.99,0.0,0.043517,0.021848
582.62,0.0,0.043474,0.021783
586.21,0.0,0.043126,0.021555
589.88,0.0,0.043142,0.021872
593.38,0.0,0.043111,0.022424
596.97,0.0,0.043388,0.022692
600.51,0.0,0.043838,0.023185
604.1,0.0,0.044192,0.023949
607.6,0.0,0.045045,0.02475
611.14,0.0,0.04532,0.025104
614.69,0.0,0.046275,0.02601
618.19,0.0,0.047248,0.026706
621.73,0.0,0.048108,0.027578
625.27,0.0,0.048628,0.028111
628.82,0.0,0.049402,0.028946
632.36,0.0,0.049916,0.029392
635.86,0.0,0.049882,0.029358
639.45,0.0,0.050141,0.029146
642.95,0.0,0.050119,0.02938
646.45,0.0,0.050233,0.029454
650.04,0.0,0.050378,0.028484
653.54,0.0,0.050474,0.030467
657.08,0.0,0.050415,0.029423
660.67,0.0,0.050979,0.028933
664.69,0.0,0.051262,0.031906
668.32,0.0,0.051734,0.031324
671.87,0.0,0.052267,0.031589
675.41,0.0,0.05275,0.032282
678.96,0.0,0.053101,0.031198
682.5,0.0,0.053644,0.03462
686.0,0.0,0.053964,0.033422
689.59,0.0,0.054306,0.033576
693.04,0.0,0.054297,0.033736
696.63,0.0,0.054217,0.033564
700.22,0.0,0.054254,0.032864
703.81,0.0,0.0547,0.033212
707.26,0.0,0.054586,0.033456
710.85,0.0,0.05471,0.033021
12.47,35.09,0.01865,-0.006529
16.01,35.09,0.018363,-0.001831
19.69,35.09,0.018049,-0.003938
23.27,35.09,0.017834,-0.002989
26.82,35.09,0.017649,-0.003322
30.36,35.09,0.017954,-0.002425
33.91,35.09,0.018009,-0.003008
37.41,35.09,0.018431,-0.00224
40.99,35.09,0.018407,-0.001846
44.54,35.09,0.018681,-0.001381
48.12,35.09,0.018767,-0.001301
51.67,35.09,0.018758,-0.001439
55.21,35.09,0.018804,-0.001113
58.71,35.09,0.018755,-0.000836
62.21,35.09,0.018736,-0.000823
65.8,35.09,0.019121,-0.000605
69.34,35.09,0.019106,-0.000518
73.06,35.09,0.019041,-0.001781
76.69,35.09,0.019167,-0.00151
80.32,35.09,0.019494,-0.001643
83.78,35.09,0.019716,-0.000863
87.5,35.09,0.020329,0.001912
91.48,35.09,0.020347,0.000637
95.02,35.09,0.020166,0.00044
98.61,35.09,0.020018,0.000434
102.29,35.09,0.020551,-0.000414
105.87,35.09,0.020532,-0.000568
109.46,35.09,0.020951,-0.000392
113.09,35.09,0.021364,0.000545
116.59,35.09,0.02125,0.00056
120.22,35.09,0.021885,0.001037
123.64,35.09,0.021789,0.001232
127.27,35.09,0.022045,0.00178
130.77,35.09,0.021894,0.001447
134.31,35.09,0.021845,0.001712
137.9,35.09,0.021333,0.00121
141.49,35.09,0.021074,0.001376
145.03,35.09,0.020538,0.001413
148.57,35.09,0.020548,0.001047
152.12,35.09,0.020575,0.000853
155.71,35.09,0.020498,0.000856
159.34,35.09,0.020893,0.000427
162.57,35.09,0.021336,0.000825
166.42,35.09,0.021684,0.001173
170.01,35.09,0.021703,0.000538
173.69,35.09,0.021373,-0.000173
177.32,35.09,0.021379,0.000834
180.95,35.09,0.020708,0.000517
184.41,35.09,0.020221,-1e-05
187.91,35.09,0.019947,-0.000377
191.54,35.09,0.019885,0.000354
195.17,35.09,0.020258,0.000819
198.67,35.09,0.020532,0.000773
202.3,35.09,0.020874,0.00113
205.8,35.09,0.021142,0.001623
209.34,35.09,0.021278,0.001552
212.84,35.09,0.021315,0.00153
216.43,35.09,0.021444,0.000988
219.93,35.09,0.021284,0.001669
223.17,35.09,0.020927,0.000736
226.97,35.09,0.020594,0.000461
230.47,35.09,0.020104,-0.000333
234.06,35.09,0.019432,-0.001369
237.34,35.09,0.018693,-0.002807
241.37,35.09,0.018745,-0.002009
245.0,35.09,0.018231,-0.001972
248.54,35.09,0.018425,-0.001985
252.04,35.09,0.018644,-0.001544
255.54,35.09,0.018733,-0.001443
259.09,35.09,0.01926,-0.001097
262.63,35.09,0.020227,0.000628
266.22,35.09,0.021543,0.002325
269.76,35.09,0.024315,0.00463
273.35,35.09,0.028493,0.008822
276.54,35.09,0.034633,0.014528
280.39,35.09,0.043514,0.022898
284.07,35.09,0.056561,0.032183
287.96,35.09,0.071404,0.049146
291.46,35.09,0.089223,0.066986
295.01,35.09,0.111065,0.088166
298.81,35.09,0.137057,0.115483
302.36,35.09,0.162066,0.13905
305.99,35.09,0.187424,0.163721
309.57,35.09,0.209404,0.18568
312.99,35.09,0.226693,0.202476
316.66,35.09,0.235858,0.211262
320.25,35.09,0.23462,0.209521
323.84,35.09,0.220994,0.197045
327.29,35.09,0.193603,0.17092
330.84,35.09,0.154531,0.132803
334.42,35.09,0.103295,0.082994
337.88,35.09,0.04519,0.025668
341.51,35.09,0.033437,0.012562
345.06,35.09,0.096515,0.072436
348.64,35.09,0.159734,0.134851
352.19,35.09,0.21438,0.188662
355.77,35.09,0.259478,0.233132
359.06,35.09,0.292679,0.266906
362.86,35.09,0.313298,0.287451
366.45,35.09,0.322423,0.296853
370.08,35.09,0.319734,0.294561
373.62,35.09,0.307932,0.282353
377.3,35.09,0.289836,0.265439
380.89,35.09,0.267645,0.242956
384.43,35.09,0.244484,0.220461
387.93,35.09,0.219583,0.195791
391.52,35.09,0.194749,0.1712
395.11,35.09,0.171832,0.149035
398.65,35.09,0.151502,0.128995
402.37,35.09,0.132528,0.111108
405.82,35.09,0.116219,0.094759
409.46,35.09,0.102396,0.081071
412.82,35.09,0.090843,0.069734
416.19,35.09,0.080837,0.060671
419.56,35.09,0.073049,0.05296
423.81,35.09,0.066854,0.046272
427.44,35.09,0.06218,0.041007
430.98,35.09,0.058508,0.037282
434.39,35.09,0.055825,0.033662
438.24,35.09,0.053964,0.032532
441.87,35.09,0.052587,0.031432
445.42,35.09,0.051361,0.03089
449.01,35.09,0.050357,0.030061
452.64,35.09,0.049802,0.029651
456.22,35.09,0.048721,0.029149
459.46,35.09,0.048237,0.027898
463.53,35.09,0.047556,0.026419
467.16,35.09,0.046755,0.025138
470.79,35.09,0.04645,0.02471
474.34,35.09,0.046102,0.024753
477.79,35.09,0.046081,0.024947
481.38,35.09,0.045923,0.024935
485.06,35.09,0.046429,0.025446
488.69,35.09,0.046669,0.026423
492.27,35.09,0.046786,0.026983
495.56,35.09,0.047187,0.02719
499.32,35.09,0.047248,0.02723
502.95,35.09,0.047088,0.026882
506.36,35.09,0.046996,0.026549
509.95,35.09,0.046795,0.026392
513.49,35.09,0.047162,0.026915
517.04,35.09,0.047106,0.027029
520.58,35.09,0.047587,0.026952
524.04,35.09,0.047578,0.025982
527.8,35.09,0.047183,0.025751
531.34,35.09,0.047159,0.026392
534.93,35.09,0.046703,0.02479
538.43,35.09,0.046419,0.024925
541.97,35.09,0.046296,0.025113
545.47,35.09,0.046583,0.02532
549.02,35.09,0.04605,0.024796
552.56,35.09,0.045813,0.02495
556.02,35.09,0.045646,0.025008
559.74,35.09,0.045742,0.025304
563.28,35.09,0.045366,0.024707
566.82,35.09,0.045317,0.024922
570.46,35.09,0.045276,0.02585
574.04,35.09,0.045726,0.025578
577.59,35.09,0.045729,0.02536
581.09,35.09,0.046025,0.025948
584.85,35.09,0.046641,0.023598
588.48,35.09,0.047039,0.025772
592.02,35.09,0.04791,0.026518
595.57,35.09,0.048591,0.027297
599.11,35.09,0.049266,0.027723
602.57,35.09,0.050045,0.028807
606.16,35.09,0.050886,0.029583
609.66,35.09,0.0515,0.030538
613.24,35.09,0.05227,0.031111
616.83,35.09,0.052769,0.032187
620.33,35.09,0.053191,0.032378
623.96,35.09,0.053447,0.033373
627.59,35.09,0.053872,0.033856
631.09,35.09,0.053893,0.033336
634.77,35.09,0.054214,0.03369
638.27,35.09,0.054494,0.033964
641.81,35.09,0.054571,0.03397
645.44,35.09,0.055064,0.032045
649.12,35.09,0.055831,0.034833
652.66,35.09,0.056185,0.034935
656.12,35.09,0.056869,0.035372
659.66,35.09,0.057109,0.035797
662.72,35.09,0.057334,0.035714
666.75,35.09,0.057153,0.035683
670.29,35.09,0.057254,0.035819
673.92,35.09,0.057686,0.036386
677.42,35.09,0.057917,0.036934
680.97,35.09,0.058302,0.037291
684.6,35.09,0.058693,0.038601
688.19,35.09,0.058711,0.038317
691.16,35.09,0.058641,0.038215
695.23,35.09,0.058798,0.038363
698.69,35.09,0.058755,0.038296
702.27,35.09,0.058656,0.038373
705.6,35.09,0.058588,0.037886
709.49,35.09,0.058751,0.037966
11.9,70.17,0.018613,-0.008263
15.49,70.17,0.018662,-0.002093
18.99,70.17,0.01865,-0.002074
22.57,70.17,0.018659,-0.001975
26.07,70.17,0.018699,-0.002043
29.75,70.17,0.018718,-0.001162
33.34,70.17,0.018591,-0.001806
36.88,70.17,0.018696,-0.001378
40.91,70.17,0.018748,-0.001134
44.45,70.17,0.018733,-0.001806
47.99,70.17,0.018681,-0.001365
51.67,70.17,0.01857,-0.003078
55.21,70.17,0.018733,-0.001994
58.71,70.17,0.018699,-0.002006
62.21,70.17,0.019029,-0.001797
65.97,70.17,0.01897,-0.001224
69.61,70.17,0.019737,0.0002
73.11,70.17,0.02036,0.000437
76.65,70.17,0.020637,0.000662
80.32,70.17,0.02093,0.001558
83.82,70.17,0.021228,0.001654
87.41,70.17,0.02129,0.001413
91.0,70.17,0.021324,0.000988
94.59,70.17,0.021423,0.000541
98.26,70.17,0.021324,0.000347
101.81,70.17,0.021302,0.000258
105.35,70.17,0.021885,0.000751
108.85,70.17,0.021691,0.001087
112.44,70.17,0.021761,0.000757
116.55,70.17,0.021783,0.003502
120.05,70.17,0.021715,0.002128
123.68,70.17,0.021792,0.001284
