x,y,z,z2
0.0,3.63,0.029411,0.001496
0.0,7.13,0.029439,0.008179
0.0,9.8,0.029371,0.009787
0.0,14.35,0.02983,0.009306
0.0,17.85,0.030412,0.010104
0.0,21.35,0.031007,0.010862
0.0,25.11,0.03141,0.011346
0.0,28.74,0.032159,0.011724
0.0,32.24,0.032131,0.011909
0.0,35.79,0.032014,0.01182
0.0,39.42,0.032131,0.010603
0.0,43.01,0.03218,0.01096
0.0,46.55,0.031638,0.010739
0.0,50.14,0.030994,0.009617
0.0,53.59,0.030711,0.009602
0.0,57.31,0.029962,0.008628
0.0,60.9,0.02978,0.009377
0.0,64.49,0.029374,0.008881
0.0,68.07,0.02909,0.008477
0.0,71.49,0.028638,0.009377
0.0,75.21,0.02845,0.008607
0.0,78.75,0.028718,0.00906
0.0,82.29,0.028354,0.0082
0.0,85.79,0.028252,0.008225
0.0,89.25,0.027904,0.007559
0.0,92.93,0.027837,0.007991
0.0,96.43,0.027547,0.007384
0.0,100.01,0.027445,0.007378
0.0,103.64,0.027288,0.006567
0.0,107.19,0.026755,0.006096
0.0,110.6,0.026783,0.006496
0.0,114.19,0.02658,0.006601
0.0,117.73,0.026647,0.006395
0.0,121.36,0.026278,0.004996
0.0,124.82,0.025948,0.005326
0.0,128.41,0.025618,0.0045
0.0,131.95,0.024959,0.003434
0.0,135.49,0.024392,0.003382
0.0,139.08,0.023838,0.002673
0.0,142.63,0.023265,0.002205
0.0,146.17,0.02336,0.002562
0.0,149.76,0.023009,0.002482
0.0,153.3,0.022646,0.001709
0.0,156.89,0.022559,0.002073
0.0,160.43,0.022529,0.00207
0.0,163.93,0.02215,0.002002
0.0,167.48,0.022079,0.002344
0.0,171.06,0.022214,0.002079
0.0,174.52,0.021888,0.001312
0.0,178.24,0.02174,0.00267
0.0,181.78,0.021496,0.001598
0.0,185.33,0.021299,0.001435
0.0,188.83,0.021512,0.001496
0.0,192.37,0.0215,0.001305
0.0,195.91,0.021684,0.001669
0.0,199.41,0.022069,0.002439
0.0,202.91,0.022501,0.002575
0.0,206.19,0.022624,0.002236
0.0,210.09,0.023268,0.002679
0.0,213.59,0.023675,0.003311
0.0,217.13,0.023924,0.00308
0.0,220.68,0.024368,0.003887
0.0,224.26,0.024765,0.003862
0.0,227.81,0.025446,0.004115
0.0,231.39,0.026641,0.004959
0.0,234.98,0.028132,0.006761
0.0,238.61,0.030501,0.010153
0.0,242.2,0.034087,0.013089
0.0,245.74,0.03873,0.017926
0.0,249.33,0.044978,0.024272
0.0,253.05,0.053,0.033003
0.0,256.51,0.062208,0.041398
