x,y,z,z2
7.0,0.0,3.380983,3.290968
10.98,0.0,3.369292,3.271766
14.53,0.0,3.367314,3.277893
18.03,0.0,3.363676,3.273722
21.57,0.0,3.356689,3.267151
25.11,0.0,3.345087,3.256649
28.61,0.0,3.328485,3.240296
32.16,0.0,3.318796,3.23074
35.74,0.0,3.319012,3.230641
39.29,0.0,3.333069,3.243815
42.79,0.0,3.367884,3.2779
46.33,0.0,3.413164,3.321883
50.01,0.0,3.456186,3.364116
53.51,0.0,3.496331,3.404052
57.05,0.0,3.536131,3.442841
60.59,0.0,3.584717,3.4859
64.53,0.0,3.637868,3.539159
68.07,0.0,3.682529,3.585857
71.62,0.0,3.707381,3.610126
75.86,0.0,3.721377,3.615071
79.41,0.0,3.714399,3.618266
83.08,0.0,3.692033,3.595977
86.76,0.0,3.667631,3.571041
90.56,0.0,3.649322,3.547305
94.15,0.0,3.643568,3.5507
97.69,0.0,3.646239,3.550422
101.19,0.0,3.650019,3.555607
104.96,0.0,3.641146,3.545422
108.41,0.0,3.607178,3.515401
112.09,0.0,3.551273,3.460527
115.59,0.0,3.499289,3.409979
119.13,0.0,3.460684,3.371153
122.68,0.0,3.431559,3.342758
126.26,0.0,3.395768,3.307416
129.76,0.0,3.349212,3.263044
133.35,0.0,3.292511,3.206803
136.81,0.0,3.230601,3.143571
140.57,0.0,3.172813,3.08928
144.07,0.0,3.11249,3.030765
147.61,0.0,3.048039,2.968368
151.16,0.0,2.98952,2.909819
154.7,0.0,2.949015,2.870075
158.2,0.0,2.931381,2.851449
161.7,0.0,2.928384,2.848775
165.24,0.0,2.938082,2.858523
168.57,0.0,2.955451,2.874533
172.42,0.0,2.969986,2.888735
175.92,0.0,2.982863,2.901899
179.46,0.0,2.992613,2.911754
182.79,0.0,2.986923,2.906126
186.64,0.0,2.969077,2.8899
190.23,0.0,2.939126,2.860904
193.77,0.0,2.902684,2.825855
197.27,0.0,2.868923,2.792186
200.86,0.0,2.843877,2.767712
204.4,0.0,2.832512,2.755192
207.86,0.0,2.830984,2.754358
211.36,0.0,2.833239,2.756819
214.99,0.0,2.821434,2.744921
218.53,0.0,2.782229,2.706135
222.08,0.0,2.717404,2.644536
225.62,0.0,2.632808,2.561896
229.16,0.0,2.541065,2.472796
232.66,0.0,2.446533,2.379876
236.25,0.0,2.348579,2.283653
239.75,0.0,2.249232,2.186755
243.29,0.0,2.1391,2.07922
246.88,0.0,2.005381,1.948296
250.38,0.0,1.853056,1.800231
253.84,0.0,1.690314,1.640933
257.43,0.0,1.502274,1.457338
260.97,0.0,1.278365,1.239843
264.51,0.0,0.974258,0.944218
268.01,0.0,0.551721,0.533825
271.56,0.0,-0.012752,-0.014705
275.1,0.0,-0.678521,-0.664294
278.69,0.0,-1.357291,-1.328736
282.19,0.0,-1.949403,-1.911366
285.78,0.0,-2.410472,-2.365712
289.41,0.0,-2.743339,-2.694134
292.95,0.0,-2.965335,-2.915403
296.54,0.0,-3.103545,-3.053286
300.04,0.0,-3.177402,-3.128237
303.58,0.0,-3.216678,-3.167285
307.21,0.0,-3.23588,-3.187171
310.71,0.0,-3.244651,-3.196302
314.3,0.0,-3.246536,-3.198172
317.8,0.0,-3.239081,-3.191743
321.39,0.0,-3.218299,-3.171761
324.84,0.0,-3.178206,-3.133348
328.39,0.0,-3.109922,-3.067458
331.89,0.0,-2.989602,-2.951836
335.96,0.0,-2.675764,-2.642095
339.59,0.0,-1.716856,-1.735799
343.04,0.0,3.174767,2.936597
