x,y,z,z2
0.0,3.72,3.121936,2.944018
0.0,7.26,3.108131,3.021988
0.0,10.94,3.099,3.013159
0.0,14.44,3.100845,3.016865
0.0,17.94,3.121877,3.036652
0.0,21.52,3.158886,3.072672
0.0,24.98,3.198183,3.111101
0.0,28.57,3.225638,3.137912
0.0,32.16,3.248051,3.160118
0.0,35.7,3.281473,3.193085
0.0,38.94,3.327856,3.237927
0.0,42.79,3.378124,3.287145
0.0,46.29,3.427357,3.335398
0.0,49.92,3.473842,3.38
0.0,53.37,3.520034,3.425638
0.0,56.87,3.569868,3.474883
0.0,60.42,3.618429,3.522579
0.0,63.96,3.650635,3.553802
0.0,67.46,3.670391,3.574184
0.0,71.05,3.687964,3.589741
0.0,74.64,3.711645,3.61248
0.0,78.18,3.73219,3.633703
0.0,81.68,3.739248,3.641414
0.0,85.4,3.726657,3.625225
0.0,88.86,3.701848,3.605391
0.0,92.49,3.668515,3.571501
0.0,96.08,3.629593,3.534058
0.0,99.62,3.59317,3.499175
0.0,103.16,3.541729,3.449883
0.0,106.75,3.467058,3.37777
0.0,110.34,3.374424,3.287548
0.0,113.88,3.27822,3.19334
0.0,117.47,3.192826,3.109748
0.0,120.97,3.114998,3.033559
0.0,124.47,3.044397,2.964517
0.0,128.01,2.981452,2.903057
0.0,131.64,2.921896,2.842306
0.0,135.1,2.876834,2.800562
0.0,138.73,2.841468,2.764234
0.0,142.23,2.815584,2.739231
0.0,145.78,2.802632,2.726114
0.0,149.32,2.794881,2.717796
0.0,152.82,2.788513,2.711748
0.0,156.32,2.771397,2.694428
0.0,159.99,2.742635,2.666477
0.0,163.49,2.702904,2.626788
0.0,167.04,2.652358,2.579398
0.0,170.58,2.591422,2.519694
0.0,174.08,2.532654,2.460994
0.0,177.71,2.47823,2.408157
0.0,181.34,2.426712,2.357158
0.0,184.89,2.369337,2.302106
0.0,188.52,2.291851,2.22576
0.0,192.11,2.21479,2.153909
0.0,195.65,2.128542,2.068274
0.0,199.15,2.035659,1.97767
0.0,202.69,1.932443,1.876562
0.0,206.28,1.821173,1.767911
0.0,209.74,1.699806,1.649381
0.0,213.33,1.573355,1.525271
0.0,216.87,1.443537,1.398559
0.0,220.46,1.308325,1.265919
0.0,224.0,1.163525,1.124234
0.0,227.54,1.001837,0.966976
0.0,231.09,0.806511,0.776249
0.0,234.72,0.552454,0.526933
0.0,238.31,0.258237,0.24186
0.0,241.85,-0.083503,-0.091455
0.0,245.48,-0.449818,-0.450019
0.0,248.94,-0.836158,-0.826888
0.0,252.7,-1.190461,-1.174762
0.0,256.33,-1.521905,-1.498954
0.0,259.83,-1.814665,-1.787607
0.0,263.29,-2.074006,-2.041578
0.0,267.01,-2.2937,-2.257496
0.0,270.55,-2.485718,-2.445795
0.0,274.14,-2.65549,-2.613096
0.0,277.81,-2.809134,-2.763564
0.0,281.4,-2.948684,-2.901457
0.0,284.9,-3.097042,-3.046278
0.0,288.4,-3.260664,-3.205923
0.0,291.99,-3.455982,-3.396074
0.0,295.53,-3.724231,-3.656018
0.0,299.12,-4.159653,-4.076058
0.0,302.71,-4.84731,-4.740807
0.0,306.25,-5.899823,-5.757571
0.0,309.84,-7.492343,-7.295572
0.0,313.42,-9.489349,-9.228145
0.0,316.88,8.923754,8.219796
0.0,320.47,7.967421,7.77586
0.0,323.97,7.415247,7.237441
0.0,327.64,7.093402,6.919894
0.0,331.14,6.945082,6.770864
0.0,334.77,6.935149,6.759047
0.0,338.19,7.006163,6.82868
0.0,341.77,7.109145,6.928045
0.0,345.41,7.217382,7.031058
0.0,348.99,7.313735,7.124151
0.0,352.49,7.389357,7.20168
0.0,356.04,7.447188,7.25501
0.0,359.67,7.483882,7.291763
0.0,363.21,7.500407,7.309742
0.0,366.71,7.49671,7.306008
0.0,370.21,7.471033,7.2829
0.0,373.8,7.41993,7.234105
0.0,377.3,7.339714,7.15558
0.0,380.8,7.228587,7.049243
0.0,384.34,7.083535,6.904687
0.0,387.97,6.918227,6.748843
0.0,391.52,6.734574,6.569463
0.0,394.97,6.53653,6.376238
0.0,398.96,6.308357,6.145859
0.0,402.5,6.107572,5.961466
0.0,406.09,5.903577,5.76069
0.0,409.67,5.705687,5.567305
0.0,413.7,5.492936,5.346436
0.0,417.16,5.313137,5.184955
0.0,420.74,5.13424,5.008723
0.0,424.33,4.971104,4.850279
0.0,428.18,4.811853,4.688135
0.0,431.68,4.695017,4.582482
0.0,435.27,4.587873,4.47417
0.0,438.81,4.491447,4.379885
0.0,442.36,4.394777,4.286173
0.0,445.94,4.294885,4.187701
0.0,449.53,4.202134,4.096161
0.0,453.07,4.124189,4.019605
0.0,456.57,4.060585,3.958536
0.0,460.21,4.00381,3.900175
0.0,463.66,3.951953,3.851845
0.0,467.25,3.905363,3.803949
0.0,470.88,3.866029,3.764883
0.0,474.38,3.836352,3.737052
0.0,477.92,3.82171,3.722545
0.0,481.47,3.818718,3.718429
0.0,485.01,3.812101,3.712292
0.0,488.69,3.792705,3.692723
0.0,492.19,3.764073,3.667132
0.0,495.77,3.735699,3.638672
0.0,499.36,3.72216,3.624932
0.0,503.04,3.732311,3.633019
0.0,506.58,3.762924,3.664255
0.0,510.21,3.806882,3.707548
0.0,513.76,3.873219,3.770958
0.0,517.65,3.9687,3.852554
0.0,521.19,4.049759,3.943675
0.0,524.78,4.103194,3.994648
0.0,528.24,4.12528,4.017988
0.0,532.04,4.14129,4.029581
0.0,535.67,4.159935,4.053444
0.0,539.13,4.188847,4.081142
0.0,542.72,4.228453,4.119121
0.0,546.17,4.281586,4.170603
0.0,549.72,4.345628,4.233613
0.0,553.31,4.420757,4.305708
0.0,556.85,4.494974,4.378607
0.0,560.35,4.551305,4.434389
0.0,563.94,4.577349,4.460452
0.0,567.52,4.596022,4.478437
0.0,571.02,4.624219,4.505523
0.0,574.57,4.663612,4.544333
0.0,578.33,4.710387,4.583733
0.0,581.83,4.758751,4.635359
0.0,585.37,4.79347,4.671311
0.0,589.05,4.811588,4.683902
0.0,592.55,4.814176,4.689727
0.0,596.36,4.798936,4.677026
0.0,599.68,4.767891,4.648816
0.0,603.53,4.73026,4.610587
0.0,606.99,4.692589,4.575125
0.0,610.66,4.658988,4.542337
0.0,614.12,4.61848,4.502602
0.0,617.71,4.570026,4.455865
0.0,621.25,4.518203,4.404645
0.0,624.88,4.467473,4.353773
0.0,628.42,4.423585,4.311422
0.0,631.97,4.394845,4.283354
0.0,635.47,4.38442,4.272393
0.0,639.01,4.386207,4.270963
0.0,642.69,4.379666,4.26393
0.0,646.41,4.374549,4.261293
0.0,649.86,4.367356,4.256755
0.0,653.67,4.352957,4.239753
0.0,657.21,4.322008,4.211262
0.0,660.84,4.303967,4.192516
0.0,664.47,4.321712,4.209796
