x,y,z,z2
7.09,0.0,0.008588,-0.012194
10.72,0.0,0.008216,-0.013319
14.26,0.0,0.008216,-0.012622
17.85,0.0,0.007741,-0.012983
21.44,0.0,0.007593,-0.013041
25.02,0.0,0.007609,-0.013537
28.61,0.0,0.007187,-0.01371
32.2,0.0,0.006829,-0.013596
35.66,0.0,0.006327,-0.014132
39.24,0.0,0.006524,-0.014117
42.7,0.0,0.006201,-0.0144
46.29,0.0,0.006041,-0.013919
49.92,0.0,0.005887,-0.013574
53.46,0.0,0.005997,-0.013799
57.05,0.0,0.005923,-0.014012
60.59,0.0,0.006339,-0.013621
64.14,0.0,0.006687,-0.012869
67.64,0.0,0.007245,-0.013014
70.87,0.0,0.007738,-0.012468
74.77,0.0,0.008135,-0.012136
78.31,0.0,0.008471,-0.011205
81.9,0.0,0.009094,-0.011449
85.36,0.0,0.009765,-0.011609
88.99,0.0,0.00979,-0.010574
92.53,0.0,0.009972,-0.010352
96.08,0.0,0.010597,-0.010309
99.58,0.0,0.010606,-0.009859
103.12,0.0,0.010511,-0.00993
106.84,0.0,0.01129,-0.009804
110.38,0.0,0.011432,-0.009619
114.1,0.0,0.01182,-0.007767
117.6,0.0,0.012042,-0.008633
121.14,0.0,0.012134,-0.007293
124.69,0.0,0.012399,-0.007853
128.32,0.0,0.012338,-0.007795
131.95,0.0,0.011761,-0.008827
135.58,0.0,0.011281,-0.00839
139.21,0.0,0.011398,-0.010833
142.8,0.0,0.011102,-0.009665
146.3,0.0,0.010899,-0.009643
149.89,0.0,0.011798,-0.008565
153.48,0.0,0.012119,-0.008842
157.06,0.0,0.012498,-0.008436
161.0,0.0,0.012914,-0.005028
164.59,0.0,0.013234,-0.007222
168.13,0.0,0.012969,-0.007009
171.68,0.0,0.012988,-0.007117
175.22,0.0,0.012649,-0.007336
178.76,0.0,0.012686,-0.007946
182.31,0.0,0.012202,-0.007595
185.85,0.0,0.01223,-0.008528
189.35,0.0,0.012368,-0.008491
192.89,0.0,0.011654,-0.008741
196.48,0.0,0.01218,-0.009218
200.07,0.0,0.01194,-0.008704
203.61,0.0,0.012485,-0.007964
207.11,0.0,0.012378,-0.008507
210.7,0.0,0.012664,-0.008528
214.24,0.0,0.012895,-0.008007
217.79,0.0,0.013511,-0.00741
221.38,0.0,0.013939,-0.006085
224.88,0.0,0.01503,-0.006082
228.46,0.0,0.015813,-0.005035
232.05,0.0,0.01633,-0.004089
235.68,0.0,0.017103,-0.0029
239.31,0.0,0.017704,-0.001751
242.77,0.0,0.01881,-0.001587
246.36,0.0,0.01909,-0.000182
249.9,0.0,0.020729,3.3e-05
253.44,0.0,0.021524,0.001857
256.99,0.0,0.022978,0.00348
260.49,0.0,0.024398,0.004448
264.03,0.0,0.025625,0.005455
267.75,0.0,0.027593,0.004053
271.34,0.0,0.028795,0.008086
274.88,0.0,0.030967,0.009583
278.47,0.0,0.033234,0.011404
282.01,0.0,0.036333,0.015452
285.56,0.0,0.041114,0.019931
289.1,0.0,0.047917,0.026429
292.64,0.0,0.055994,0.033625
296.14,0.0,0.06539,0.042639
299.69,0.0,0.076154,0.053936
303.19,0.0,0.087886,0.065015
306.73,0.0,0.099361,0.076133
310.06,0.0,0.110156,0.08763
313.73,0.0,0.11921,0.096478
317.19,0.0,0.12588,0.102482
320.73,0.0,0.12738,0.10417
324.32,0.0,0.12421,0.101216
327.95,0.0,0.114047,0.092304
331.41,0.0,0.097504,0.075994
335.04,0.0,0.075221,0.055187
338.62,0.0,0.048345,0.028169
342.12,0.0,0.017156,-0.001994
345.67,0.0,-0.014693,-0.033531
349.21,0.0,-0.04476,-0.06294
352.67,0.0,-0.073229,-0.090222
355.95,0.0,-0.096171,-0.113087
359.8,0.0,-0.113599,-0.131088
363.43,0.0,-0.124751,-0.142089
366.97,0.0,-0.130339,-0.147856
370.56,0.0,-0.129834,-0.14826
374.15,0.0,-0.12484,-0.14244
377.78,0.0,-0.11647,-0.135626
381.24,0.0,-0.105888,-0.124116
384.87,0.0,-0.093168,-0.112496
388.37,0.0,-0.0792,-0.099049
392.0,0.0,-0.066717,-0.086717
395.54,0.0,-0.054754,-0.074699
399.09,0.0,-0.044021,-0.063306
402.67,0.0,-0.034871,-0.054418
406.22,0.0,-0.026791,-0.046871
409.76,0.0,-0.020068,-0.039819
