x,y,z,z2
0.0,3.24,0.013995,-0.010266
0.0,7.39,0.013961,-0.006717
0.0,11.03,0.014226,-0.006929
0.0,14.53,0.014642,-0.005903
0.0,18.11,0.01466,-0.006504
0.0,21.74,0.014817,-0.00692
0.0,25.33,0.015233,-0.006168
0.0,28.92,0.015363,-0.005438
0.0,32.51,0.014731,-0.006101
0.0,36.01,0.014925,-0.005712
0.0,39.59,0.015092,-0.005352
0.0,43.09,0.015116,-0.005672
0.0,46.68,0.014962,-0.005333
0.0,50.31,0.015529,-0.004499
0.0,53.9,0.015431,-0.004884
0.0,57.57,0.015412,-0.00501
0.0,61.07,0.015677,-0.004431
0.0,64.71,0.015655,-0.005238
0.0,68.21,0.015976,-0.004625
0.0,71.66,0.016262,-0.00505
0.0,75.25,0.015683,-0.004495
0.0,78.84,0.015677,-0.005552
0.0,82.38,0.015504,-0.005229
0.0,85.92,0.015246,-0.006227
0.0,89.51,0.015166,-0.005484
0.0,93.06,0.015002,-0.006597
0.0,96.69,0.014685,-0.006174
0.0,100.23,0.01503,-0.006267
0.0,103.77,0.014602,-0.005635
0.0,107.32,0.014728,-0.005882
0.0,110.86,0.014968,-0.005056
0.0,114.45,0.015086,-0.004366
0.0,118.08,0.015317,-0.004582
0.0,121.67,0.01576,-0.003898
0.0,125.12,0.016025,-0.003695
0.0,128.71,0.016355,-0.003812
0.0,132.26,0.016256,-0.003836
0.0,135.84,0.016583,-0.003473
0.0,139.48,0.016533,-0.003642
0.0,143.02,0.017008,-0.003966
0.0,146.52,0.017427,-0.00314
0.0,150.11,0.018126,-0.0035
0.0,153.69,0.018456,-0.003017
0.0,157.54,0.01804,-0.002693
0.0,161.04,0.01861,-0.0016
0.0,164.59,0.018995,-0.002293
0.0,168.13,0.018644,-0.001701
0.0,171.68,0.019032,-0.000891
0.0,175.22,0.019528,-0.000817
0.0,178.76,0.020052,-0.00033
0.0,182.44,0.020517,0.000887
0.0,186.03,0.021647,0.001105
0.0,189.57,0.022091,0.00182
0.0,193.11,0.02296,0.002137
0.0,196.74,0.023493,0.003348
0.0,200.33,0.024174,0.002282
0.0,203.66,0.024571,0.003748
0.0,207.42,0.025782,0.004651
0.0,210.92,0.026228,0.005015
0.0,214.42,0.027328,0.006108
0.0,217.7,0.02776,0.006589
