x,y,z,z2
7.04,0.0,-0.11106,-0.117256
10.94,0.0,-0.13005,-0.167222
14.44,0.0,-0.115315,-0.13679
17.98,0.0,-0.072539,-0.102647
21.61,0.0,-0.054012,-0.071954
25.24,0.0,-0.129563,-0.148673
28.79,0.0,-0.133522,-0.150475
32.29,0.0,-0.054083,-0.087071
35.87,0.0,-0.072767,-0.090028
39.37,0.0,-0.060041,-0.081636
42.96,0.0,-0.062456,-0.083063
46.51,0.0,-0.11805,-0.121553
50.09,0.0,-0.098691,-0.111193
53.64,0.0,-0.119104,-0.133651
57.18,0.0,-0.121596,-0.144671
60.72,0.0,-0.141935,-0.179957
64.31,0.0,-0.148251,-0.153821
67.9,0.0,-0.12318,-0.145321
71.36,0.0,-0.108275,-0.125577
74.9,0.0,-0.091636,-0.117518
78.49,0.0,-0.10428,-0.129733
81.99,0.0,-0.073808,-0.087129
86.32,0.0,-0.034662,-0.051027
89.91,0.0,-0.043916,-0.059659
93.49,0.0,-0.054409,-0.078014
97.34,0.0,-0.074757,-0.091664
101.02,0.0,-0.04725,-0.071797
104.61,0.0,-0.020038,-0.033285
108.19,0.0,-0.039474,-0.051513
111.69,0.0,-0.031975,-0.049107
115.24,0.0,-0.066606,-0.090028
118.78,0.0,-0.040515,-0.071489
122.33,0.0,-0.048035,-0.06663
125.96,0.0,-0.064462,-0.083922
129.5,0.0,-0.068334,-0.086088
133.0,0.0,-0.055574,-0.071883
136.54,0.0,-0.092591,-0.107216
140.04,0.0,-0.038491,-0.060176
143.59,0.0,-0.03602,-0.053818
147.13,0.0,-0.059551,-0.085047
150.72,0.0,-0.084948,-0.099729
154.18,0.0,-0.163211,-0.184825
157.76,0.0,-0.116951,-0.147527
161.22,0.0,-0.072468,-0.089455
164.85,0.0,-0.057856,-0.071932
168.39,0.0,-0.11237,-0.124631
171.98,0.0,-0.097422,-0.111449
175.53,0.0,-0.053383,-0.066843
179.11,0.0,-0.052166,-0.074982
182.35,0.0,-0.067471,-0.098833
186.29,0.0,-0.108004,-0.129218
189.83,0.0,-0.12208,-0.144569
193.42,0.0,-0.109138,-0.126911
196.96,0.0,-0.079865,-0.097111
200.51,0.0,-0.10305,-0.126433
204.09,0.0,-0.122841,-0.147841
207.68,0.0,-0.062465,-0.093639
211.4,0.0,-0.030682,-0.050478
214.94,0.0,-0.007598,-0.033075
218.58,0.0,0.005649,-0.017736
221.64,0.0,-0.114095,-0.140001
225.97,0.0,-0.091196,-0.110041
229.6,0.0,-0.055568,-0.072533
233.19,0.0,-0.016661,-0.031861
236.69,0.0,-0.038171,-0.062182
240.19,0.0,-0.013075,-0.038291
243.78,0.0,-0.095512,-0.111587
247.32,0.0,-0.050832,-0.071975
250.86,0.0,-0.064505,-0.075352
254.41,0.0,-0.032558,-0.063439
257.91,0.0,-0.007616,-0.027974
261.45,0.0,-0.022961,-0.054061
264.95,0.0,-0.01599,-0.040697
268.45,0.0,-0.025552,-0.044988
272.08,0.0,-0.022302,-0.046002
275.67,0.0,-0.066036,-0.08257
279.21,0.0,-0.112853,-0.12964
282.76,0.0,-0.1009,-0.114224
286.39,0.0,-0.129471,-0.151023
289.97,0.0,-0.124659,-0.139853
293.47,0.0,-0.130614,-0.144655
297.37,0.0,-0.229073,-0.241488
300.82,0.0,-0.242714,-0.242511
304.37,0.0,-0.159893,-0.179726
307.87,0.0,-0.215025,-0.223876
311.32,0.0,-0.247302,-0.257243
314.96,0.0,-0.294769,-0.316953
318.46,0.0,-0.25492,-0.264594
322.04,0.0,-0.270416,-0.283361
325.63,0.0,-0.23131,-0.233438
329.22,0.0,-0.188251,-0.207286
332.81,0.0,-0.183737,-0.210342
336.35,0.0,-0.151972,-0.166701
339.98,0.0,-0.089545,-0.121526
343.52,0.0,-0.048192,-0.066057
347.11,0.0,0.023329,-0.009881
350.57,0.0,0.048382,0.016857
354.16,0.0,0.141028,0.106543
357.31,0.0,0.210667,0.189454
361.33,0.0,0.253141,0.215362
364.92,0.0,0.264383,0.245704
368.42,0.0,0.248828,0.216592
372.09,0.0,0.253526,0.228027
375.51,0.0,0.266379,0.247636
379.22,0.0,0.212411,0.188751
382.86,0.0,0.219404,0.204897
386.44,0.0,0.145344,0.131459
389.9,0.0,0.133557,0.102686
393.49,0.0,0.109133,0.076712
397.07,0.0,0.090332,0.069531
400.62,0.0,0.079731,0.052337
404.16,0.0,0.017809,-0.012826
407.75,0.0,0.033675,0.002566
411.34,0.0,0.011469,-0.00875
414.84,0.0,-0.012684,-0.045916
418.56,0.0,0.032297,0.007874
422.1,0.0,0.001712,-0.017265
425.6,0.0,-0.020839,-0.040762
429.1,0.0,0.034688,0.02105
432.64,0.0,0.034688,0.009321
436.23,0.0,-0.000373,-0.019985
439.73,0.0,-0.044699,-0.057493
443.36,0.0,-0.025697,-0.055715
446.86,0.0,-0.033189,-0.050909
450.45,0.0,-0.020466,-0.041128
453.95,0.0,-0.002401,-0.035426
457.54,0.0,-0.05034,-0.069819
461.04,0.0,-0.089588,-0.104739
464.62,0.0,-0.025641,-0.047878
468.17,0.0,-0.016085,-0.037533
471.71,0.0,0.014744,-0.016683
475.26,0.0,-0.054911,-0.061458
478.89,0.0,-0.05147,-0.078377
482.52,0.0,0.007519,-0.01591
486.02,0.0,0.020113,-0.006652
489.61,0.0,-0.011193,-0.0307
493.32,0.0,-0.021741,-0.032524
496.87,0.0,-0.068784,-0.083574
500.46,0.0,-0.011868,-0.033023
504.0,0.0,-0.028768,-0.056954
507.54,0.0,-0.021258,-0.042974
511.17,0.0,-0.006131,-0.026319
514.72,0.0,-0.060882,-0.083771
518.22,0.0,-0.036174,-0.054643
521.85,0.0,-0.01107,-0.02692
525.39,0.0,0.011364,-0.016738
528.94,0.0,-0.002712,-0.034646
532.48,0.0,-0.064212,-0.082065
536.02,0.0,-0.026144,-0.043128
539.57,0.0,-0.011144,-0.030549
543.16,0.0,-0.008121,-0.016566
546.66,0.0,-0.030487,-0.06111
550.24,0.0,-0.051467,-0.076464
553.66,0.0,-0.029659,-0.044415
557.33,0.0,0.001632,-0.020796
560.92,0.0,-0.027361,-0.050931
564.46,0.0,-0.025762,-0.045038
568.44,0.0,-0.060571,-0.079012
571.99,0.0,-0.016159,-0.040611
575.57,0.0,-0.002582,-0.022773
579.21,0.0,0.002855,-0.02517
582.79,0.0,-0.049415,-0.057595
586.42,0.0,-0.073165,-0.095771
590.01,0.0,-0.022573,-0.04078
593.6,0.0,-0.073876,-0.090518
597.06,0.0,-0.023084,-0.038272
600.6,0.0,-0.027724,-0.044976
604.19,0.0,-0.077333,-0.09224
607.77,0.0,-0.031615,-0.051969
611.41,0.0,-0.010703,-0.035598
614.95,0.0,-0.002105,-0.018451
618.58,0.0,-0.016251,-0.037031
622.12,0.0,-0.10663,-0.126221
625.67,0.0,-0.08005,-0.092604
629.26,0.0,-0.078352,-0.088802
632.89,0.0,-0.08928,-0.111852
636.34,0.0,-0.091945,-0.113577
639.97,0.0,-0.087551,-0.099807
644.13,0.0,-0.050836,-0.064856
647.59,0.0,-0.047419,-0.0779
651.13,0.0,-0.049914,-0.073091
654.67,0.0,-0.090346,-0.116824
658.96,0.0,-0.124156,-0.150647
662.64,0.0,-0.045235,-0.067231
666.27,0.0,-0.066467,-0.081538
669.77,0.0,-0.060367,-0.079782
673.14,0.0,-0.102265,-0.111042
676.94,0.0,-0.134514,-0.153223
680.44,0.0,-0.086868,-0.093938
683.99,0.0,-0.023328,-0.045152
687.62,0.0,-0.062123,-0.079742
691.12,0.0,-0.052853,-0.074754
694.66,0.0,-0.087952,-0.111371
698.21,0.0,-0.02562,-0.04525
701.79,0.0,-0.058356,-0.0679
705.12,0.0,-0.044579,-0.060192
708.97,0.0,-0.064631,-0.084234
12.86,35.17,-0.08936,-0.105324
16.41,35.17,-0.048325,-0.072687
19.91,35.17,-0.0622,-0.083183
23.49,35.17,-0.042114,-0.073818
27.04,35.17,-0.022897,-0.046242
30.8,35.17,0.013514,-0.003621
34.39,35.17,-0.07566,-0.102394
37.89,35.17,-0.033485,-0.049388
41.56,35.17,-0.002755,-0.027887
45.11,35.17,-0.010669,-0.028907
48.65,35.17,-0.089517,-0.099218
52.19,35.17,-0.114579,-0.132105
55.78,35.17,-0.074317,-0.092678
59.37,35.17,-0.13578,-0.149702
62.87,35.17,-0.112166,-0.122102
66.41,35.17,-0.1381,-0.15582
69.91,35.17,-0.102918,-0.128017
73.63,35.17,-0.146704,-0.166488
77.35,35.17,-0.091119,-0.113525
80.94,35.17,-0.136861,-0.150724
84.52,35.17,-0.093436,-0.107786
87.81,35.17,-0.181328,-0.185549
91.57,35.17,-0.085743,-0.110118
95.11,35.17,-0.092841,-0.095977
98.7,35.17,-0.159514,-0.185878
102.24,35.17,-0.181886,-0.200102
105.83,35.17,-0.119887,-0.150691
109.33,35.17,-0.0594,-0.073051
112.87,35.17,-0.070718,-0.095284
116.46,35.17,-0.10355,-0.113118
120.01,35.17,-0.11241,-0.135968
123.51,35.17,-0.160897,-0.176331
127.05,35.17,-0.100447,-0.133509
130.68,35.17,-0.082404,-0.09513
133.92,35.17,-0.079628,-0.100155
137.86,35.17,-0.142163,-0.153201
141.4,35.17,-0.15558,-0.165216
144.99,35.17,-0.088944,-0.112363
148.49,35.17,-0.114702,-0.114304
152.16,35.17,-0.044443,-0.073017
155.62,35.17,-0.087413,-0.102533
159.21,35.17,-0.152052,-0.16363
162.84,35.17,-0.109123,-0.128574
166.34,35.17,-0.165934,-0.180299
169.92,35.17,-0.103805,-0.117767
173.51,35.17,-0.146162,-0.165697
176.97,35.17,-0.138029,-0.151045
180.47,35.17,-0.088827,-0.1079
184.23,35.17,-0.101627,-0.115925
187.77,35.17,-0.042884,-0.062437
191.23,35.17,-0.044483,-0.065346
194.51,35.17,0.023012,-0.003383
198.41,35.17,-0.003892,-0.021988
201.91,35.17,-0.044773,-0.06525
205.49,35.17,-0.038787,-0.057129
209.04,35.17,-0.068235,-0.095148
212.62,35.17,-0.075044,-0.090022
216.17,35.17,-0.087973,-0.111396
219.71,35.17,-0.04851,-0.082776
223.3,35.17,-0.096664,-0.110299
226.8,35.17,-0.062009,-0.07851
230.39,35.17,-0.016794,-0.040367
233.93,35.17,-0.064092,-0.101153
237.47,35.17,-0.02342,-0.040404
240.67,35.17,-0.102635,-0.12037
244.61,35.17,0.001296,-0.0307
248.15,35.17,-0.075019,-0.096938
251.65,35.17,-0.093867,-0.104252
255.06,35.17,-0.136861,-0.141156
259.0,35.17,-0.075158,-0.089634
262.59,35.17,-0.058725,-0.080139
266.13,35.17,-0.126393,-0.143171
269.63,35.17,-0.127191,-0.13501
273.17,35.17,-0.109877,-0.121421
276.72,35.17,-0.138294,-0.153845
280.31,35.17,-0.171741,-0.184702
283.85,35.17,-0.156566,-0.173331
287.44,35.17,-0.199686,-0.209095
290.98,35.17,-0.22448,-0.242619
294.48,35.17,-0.230983,-0.238931
298.02,35.17,-0.257868,-0.279929
301.66,35.17,-0.300835,-0.30452
305.16,35.17,-0.307311,-0.322089
308.74,35.17,-0.353124,-0.354714
312.33,35.17,-0.336531,-0.341057
316.05,35.17,-0.303374,-0.317767
319.55,35.17,-0.271106,-0.289172
323.14,35.17,-0.252151,-0.268774
326.77,35.17,-0.25732,-0.270333
330.31,35.17,-0.263032,-0.278287
333.86,35.17,-0.268642,-0.290333
337.36,35.17,-0.217443,-0.240456
340.94,35.17,-0.191042,-0.210854
344.44,35.17,-0.095795,-0.120632
348.03,35.17,-0.068984,-0.082416
351.57,35.17,-0.018892,-0.03013
355.12,35.17,0.019938,-0.00989
358.66,35.17,0.105218,0.072806
362.21,35.17,0.135671,0.113258
365.75,35.17,0.19983,0.182682
369.29,35.17,0.218452,0.197615
372.79,35.17,0.116811,0.097079
376.34,35.17,0.223677,0.200855
379.92,35.17,0.168773,0.153351
383.56,35.17,0.17926,0.142408
387.1,35.17,0.090871,0.07409
390.69,35.17,0.081265,0.060058
394.27,35.17,0.106653,0.089007
397.77,35.17,0.03328,0.016278
401.36,35.17,0.02593,0.002014
405.12,35.17,0.069719,0.040431
408.62,35.17,0.071124,0.047331
412.17,35.17,0.004377,-0.014409
415.76,35.17,-0.046322,-0.064083
419.3,35.17,0.007639,-0.024893
422.8,35.17,-0.027277,-0.046341
426.34,35.17,-0.036375,-0.054301
429.89,35.17,-0.045142,-0.069853
433.39,35.17,0.015874,-0.010253
437.02,35.17,-0.08477,-0.09464
440.65,35.17,-0.091911,-0.102351
444.15,35.17,0.006293,-0.009215
447.69,35.17,0.003009,-0.022478
451.37,35.17,-0.102012,-0.122505
454.91,35.17,-0.146553,-0.173137
458.63,35.17,-0.113747,-0.142025
462.22,35.17,-0.128642,-0.143405
465.67,35.17,-0.114643,-0.127296
469.22,35.17,-0.124726,-0.149184
472.76,35.17,-0.16139,-0.177
476.31,35.17,-0.065087,-0.087718
479.89,35.17,-0.063352,-0.08919
483.39,35.17,-0.135336,-0.160752
486.85,35.17,-0.071476,-0.092927
490.44,35.17,-0.105195,-0.134193
494.02,35.17,-0.04655,-0.07631
497.57,35.17,-0.085802,-0.099884
501.11,35.17,-0.118802,-0.124714
504.7,35.17,-0.077992,-0.090934
508.16,35.17,-0.092998,-0.111559
511.74,35.17,-0.084702,-0.094141
515.29,35.17,-0.154464,-0.177465
518.79,35.17,-0.168759,-0.184612
522.33,35.17,-0.16533,-0.185592
526.01,35.17,-0.178858,-0.191886
529.64,35.17,-0.048636,-0.080722
533.14,35.17,-0.133777,-0.16151
536.68,35.17,-0.099991,-0.113654
540.18,35.17,-0.142259,-0.162259
543.72,35.17,-0.13379,-0.151504
547.18,35.17,-0.123248,-0.163457
550.77,35.17,-0.156387,-0.180056
554.22,35.17,-0.046113,-0.06159
557.81,35.17,-0.126735,-0.140136
561.36,35.17,-0.137545,-0.149914
564.9,35.17,-0.127776,-0.153395
568.44,35.17,-0.075463,-0.09936
572.03,35.17,0.00275,-0.016627
575.66,35.17,-0.05928,-0.07655
579.21,35.17,0.066475,0.051515
582.75,35.17,-0.131883,-0.158793
586.38,35.17,-0.049292,-0.065167
589.88,35.17,-0.106405,-0.118882
593.42,35.17,-0.075919,-0.0874
597.06,35.17,-0.02464,-0.042918
600.64,35.17,-0.001597,-0.011994
604.19,35.17,-0.134603,-0.146411
607.73,35.17,-0.105956,-0.144526
611.27,35.17,0.003727,-0.029536
614.91,35.17,-0.021279,-0.042234
618.54,35.17,0.018893,-0.00082
622.08,35.17,-0.004036,-0.03343
625.62,35.17,-0.122986,-0.126951
629.17,35.17,0.001552,-0.022921
632.67,35.17,0.005979,-0.015226
636.26,35.17,-0.089803,-0.104548
639.84,35.17,-0.128583,-0.130558
643.34,35.17,-0.130324,-0.154846
646.93,35.17,-0.1387,-0.146171
650.39,35.17,-0.173232,-0.180801
653.93,35.17,-0.086282,-0.111103
657.47,35.17,-0.142135,-0.148876
660.97,35.17,-0.012518,-0.047918
664.61,35.17,-0.12867,-0.14354
668.11,35.17,-0.058565,-0.098319
671.65,35.17,-0.177742,-0.186146
675.24,35.17,-0.081584,-0.098158
678.78,35.17,-0.183149,-0.198734
682.37,35.17,-0.145188,-0.16619
685.91,35.17,-0.145158,-0.159135
689.5,35.17,-0.082132,-0.100111
692.96,35.17,-0.08241,-0.08927
696.59,35.17,-0.043611,-0.074483
700.17,35.17,-0.102339,-0.114283
703.63,35.17,-0.062696,-0.08916
707.22,35.17,-0.154002,-0.164572
710.81,35.17,-0.056637,-0.08351
11.64,70.31,-0.049933,-0.080185
15.14,70.31,-0.073596,-0.092835
18.81,70.31,-0.100041,-0.117188
22.4,70.31,-0.060749,-0.075318
25.9,70.31,-0.112465,-0.131412
29.71,70.31,-0.073673,-0.092542
33.21,70.31,-0.027727,-0.039425
36.79,70.31,-0.091831,-0.111535
40.34,70.31,-0.125817,-0.14196
43.92,70.31,-0.092739,-0.10367
47.47,70.31,-0.018658,-0.037302
51.06,70.31,-0.014548,-0.032382
54.56,70.31,-0.113839,-0.131316
58.1,70.31,-0.04895,-0.076834
61.6,70.31,-0.023929,-0.04102
65.1,70.31,-0.057496,-0.088815
68.86,70.31,-0.0681,-0.082998
72.36,70.31,-0.078768,-0.100124
75.91,70.31,-0.15996,-0.183383
79.45,70.31,-0.031572,-0.05607
82.99,70.31,0.026712,0.003909
86.58,70.31,-0.004184,-0.025962
90.17,70.31,-0.03493,-0.050081
93.71,70.31,-0.123867,-0.152551
97.3,70.31,-0.102083,-0.114597
100.8,70.31,-0.128645,-0.1531
104.3,70.31,-0.130358,-0.159541
107.8,70.31,-0.013473,-0.046578
111.34,70.31,-0.043072,-0.060487
115.63,70.31,-0.168904,-0.18822
119.17,70.31,-0.110657,-0.1292
122.63,70.31,-0.062582,-0.079619
126.13,70.31,-0.064844,-0.073414
130.02,70.31,-0.058525,-0.082869
133.57,70.31,-0.147379,-0.169957
137.2,70.31,-0.045509,-0.062422
140.7,70.31,-0.086476,-0.100352
144.2,70.31,-0.050096,-0.055919
147.74,70.31,-0.042185,-0.07403
151.24,70.31,-0.025068,-0.043565
154.74,70.31,-0.028738,-0.058359
158.33,70.31,-0.014468,-0.028956
161.92,70.31,-0.024006,-0.043402
165.46,70.31,-0.02797,-0.045226
169.05,70.31,-0.001655,-0.009754
172.55,70.31,-0.003525,-0.012755
176.22,70.31,-0.193143,-0.215093
179.94,70.31,-0.051563,-0.085866
183.44,70.31,-0.136809,-0.147856
186.9,70.31,-0.085808,-0.111199
190.57,70.31,-0.192468,-0.217819
194.12,70.31,-0.112444,-0.116094
197.66,70.31,-0.05615,-0.068115
201.21,70.31,-0.083503,-0.108275
204.75,70.31,-0.136227,-0.154957
208.29,70.31,-0.072718,-0.09403
211.92,70.31,-0.110758,-0.114631
215.38,70.31,-0.056544,-0.078103
218.88,70.31,-0.208771,-0.199492
222.56,70.31,-0.065081,-0.093534
226.19,70.31,-0.092545,-0.105497
229.73,70.31,-0.115752,-0.118811
233.36,70.31,-0.14533,-0.169344
236.86,70.31,-0.131495,-0.145811
240.49,70.31,-0.148328,-0.160909
