x,y,z,z2
0.0,3.63,-0.019751,-0.040469
0.0,7.13,-0.030226,-0.05269
0.0,10.59,-0.094594,-0.123204
0.0,14.18,-0.041908,-0.064354
0.0,17.81,-0.093673,-0.122699
0.0,21.26,-0.077699,-0.101732
0.0,24.98,-0.088879,-0.102816
0.0,28.52,-0.051396,-0.071276
0.0,31.94,-0.020913,-0.035333
0.0,35.52,-0.069766,-0.07842
0.0,39.11,-0.068288,-0.093694
0.0,42.44,-0.066868,-0.08777
0.0,46.11,-0.010669,-0.04358
0.0,49.66,-0.080404,-0.101492
0.0,52.94,0.00649,-0.006892
0.0,56.7,0.028866,0.014975
0.0,60.29,-0.120983,-0.138337
0.0,63.92,-0.054381,-0.07038
0.0,67.37,-0.061177,-0.087841
0.0,71.01,-0.082142,-0.096513
0.0,74.55,-0.092687,-0.095481
0.0,78.01,-0.148568,-0.162702
0.0,81.55,-0.032776,-0.060555
0.0,85.09,-0.080084,-0.089625
0.0,88.64,0.004395,-0.012228
0.0,92.27,-0.093925,-0.110869
0.0,95.81,-0.07029,-0.078907
0.0,99.36,-0.039927,-0.056002
0.0,102.86,0.026225,0.006518
0.0,106.79,-0.083365,-0.096978
0.0,110.29,-0.065731,-0.087188
0.0,113.79,-0.05294,-0.064637
0.0,117.29,-0.054539,-0.074788
0.0,121.14,-0.110805,-0.126981
0.0,124.73,-0.089098,-0.116498
0.0,128.28,-0.080749,-0.107213
0.0,131.73,-0.122681,-0.132206
0.0,135.32,-0.026674,-0.056202
0.0,138.86,0.021429,0.005357
0.0,142.45,-0.006581,-0.023149
0.0,145.99,-0.001834,-0.022592
0.0,149.63,-0.119557,-0.136901
0.0,153.17,-0.085577,-0.104024
0.0,156.8,-0.053217,-0.079212
0.0,160.39,-0.043981,-0.065247
0.0,163.93,-0.101362,-0.120583
0.0,167.48,-0.126646,-0.137317
0.0,171.02,-0.201316,-0.209464
0.0,174.56,-0.061926,-0.095509
0.0,178.11,-0.073189,-0.095925
0.0,181.87,-0.111556,-0.132179
0.0,185.54,-0.117656,-0.127277
0.0,189.04,-0.127893,-0.138793
0.0,192.54,-0.134314,-0.14668
0.0,196.0,-0.118956,-0.144446
0.0,199.76,-0.121036,-0.139813
0.0,203.31,-0.075777,-0.103624
0.0,206.85,-0.163035,-0.179585
0.0,210.35,-0.086504,-0.109631
0.0,213.98,-0.087718,-0.105888
0.0,217.61,-0.115364,-0.127142
0.0,221.07,-0.152924,-0.168395
0.0,224.7,-0.10537,-0.11923
0.0,228.29,-0.079696,-0.099452
0.0,231.79,-0.031239,-0.061279
0.0,235.33,-0.127795,-0.140543
0.0,238.88,-0.099828,-0.124378
0.0,242.55,-0.11557,-0.127801
0.0,246.09,-0.155986,-0.174868
0.0,249.68,-0.125561,-0.138054
0.0,253.31,-0.094505,-0.106036
0.0,256.81,-0.126578,-0.150081
0.0,260.27,-0.176048,-0.196054
0.0,263.86,-0.228408,-0.249495
0.0,267.36,-0.234347,-0.258691
0.0,270.86,-0.234742,-0.245348
0.0,274.49,-0.197745,-0.222123
0.0,277.94,-0.234634,-0.253897
0.0,281.53,-0.346858,-0.353672
0.0,285.12,-0.233571,-0.253959
0.0,289.19,-0.238445,-0.250789
0.0,292.73,-0.291784,-0.306923
0.0,296.36,-0.313488,-0.338398
0.0,299.82,-0.285139,-0.306079
0.0,303.36,-0.213112,-0.24106
0.0,307.04,-0.188414,-0.200312
0.0,310.54,-0.113198,-0.138722
0.0,314.04,-0.116214,-0.134612
0.0,317.54,-0.014138,-0.043288
0.0,321.08,0.070236,0.044568
0.0,324.71,0.097248,0.078336
0.0,328.21,0.177938,0.151231
0.0,331.76,0.175772,0.159802
0.0,335.26,0.194315,0.168018
0.0,338.8,0.221635,0.188881
0.0,342.3,0.277534,0.247346
0.0,345.8,0.23556,0.209143
0.0,349.43,0.178887,0.156114
0.0,352.93,0.211478,0.191857
0.0,356.43,0.19299,0.17121
0.0,360.02,0.167661,0.150304
0.0,363.52,0.104716,0.087806
0.0,367.11,0.094358,0.08194
0.0,370.61,0.039408,0.02511
0.0,374.19,0.032085,0.012519
0.0,377.56,0.0306,0.007655
0.0,381.28,0.044993,0.022291
0.0,384.78,-0.011473,-0.025429
0.0,388.28,-0.037459,-0.067314
0.0,391.82,-0.013294,-0.029791
0.0,395.37,-0.000518,-0.020426
0.0,398.91,-0.005404,-0.029012
