x,y,z,
0,3.67,0.05214,
0,7.17,0.052109,
0,10.85,0.052445,
0,14.35,0.052467,
0,17.85,0.052002,
0,21.35,0.051096,
0,25.03,0.049645,
0,28.53,0.048052,
0,32.03,0.046081,
0,35.53,0.04422,
0,39.02,0.042279,
0,42.7,0.040942,
0,46.2,0.039799,
0,49.7,0.039214,
0,53.37,0.03857,
0,56.87,0.038348,
0,60.37,0.038305,
0,64.22,0.03751,
0,67.72,0.037002,
0,71.22,0.036814,
0,74.72,0.036389,
0,78.4,0.03593,
0,81.9,0.035939,
0,85.4,0.035588,
0,88.9,0.03576,
0,92.57,0.035585,
0,96.25,0.035199,
0,99.75,0.035055,
0,103.25,0.034925,
0,106.92,0.034827,
0,110.42,0.034463,
0,113.92,0.034124,
0,117.42,0.034161,
0,120.92,0.034041,
0,124.42,0.034057,
0,128.1,0.033625,
0,131.6,0.033431,
0,135.1,0.033157,
0,138.77,0.033514,
0,142.27,0.033675,
0,145.95,0.034198,
0,149.45,0.034093,
0,152.95,0.03478,
0,156.63,0.035427,
0,160.13,0.035856,
0,163.63,0.036567,
0,167.3,0.03718,
0,170.8,0.037821,
0,174.48,0.038108,
0,177.98,0.038588,
0,181.48,0.038517,
0,184.98,0.038986,
0,188.65,0.039229,
0,192.15,0.03967,
0,195.65,0.040085,
0,199.33,0.040434,
0,202.83,0.040732,
0,206.33,0.040729,
0,209.83,0.041062,
0,213.5,0.041669,
0,217,0.04198,
0,220.5,0.041666,
0,224,0.04162,
0,227.5,0.041641,
0,231,0.041487,
0,234.68,0.041835,
0,238.18,0.041909,
0,241.68,0.041943,
0,245.35,0.041999,
0,248.85,0.041996,
0,252.35,0.041872,
0,255.85,0.04182,
0,259.35,0.041894,
0,263.03,0.041999,
0,266.53,0.04206,
0,270.03,0.041857,
0,273.7,0.041992,
0,277.2,0.042344,
0,280.88,0.042464,
0,284.2,0.042633,
0,287.88,0.042778,
0,291.55,0.043576,
0,294.88,0.044223,
0,298.55,0.044851,
0,302.05,0.045859,
0,305.73,0.046792,
0,309.23,0.047652,
0,312.73,0.048847,
0,316.4,0.049463,
0,319.73,0.050298,
0,323.4,0.051299,
0,326.9,0.052276,
0,330.4,0.052914,
0,333.9,0.053105,
0,337.58,0.052923,
0,341.08,0.052766,
0,344.75,0.052319,
0,348.25,0.052177,
0,351.75,0.05198,
0,355.25,0.05178,
0,358.93,0.051386,
0,362.43,0.051231,
0,366.1,0.051195,
0,369.6,0.05097,
0,373.1,0.050991,
0,376.6,0.050957,
0,380.1,0.050711,
0,383.95,0.050572,
0,387.45,0.050255,
0,390.95,0.049861,
0,394.63,0.049522,
0,398.13,0.049303,
0,401.8,0.049288,
0,405.3,0.049072,
0,408.8,0.049038,
0,412.3,0.049494,
0,415.98,0.049663,
0,419.48,0.049913,
0,422.98,0.049857,
0,426.65,0.050252,
0,430.15,0.050677,
0,433.65,0.050843,
0,437.15,0.05141,
0,440.65,0.051598,
0,444.33,0.052048,
0,447.83,0.052393,
0,451.33,0.052464,
0,454.83,0.052784,
0,458.5,0.053299,
0,462,0.053752,
0,465.5,0.054026,
0,469.18,0.05434,
0,472.68,0.0547,
0,476.35,0.055061,
0,479.85,0.055443,
0,483.35,0.055837,
0,486.68,0.055812,
0,490.53,0.055671,
0,494.03,0.055886,
0,497.53,0.055803,
0,501.2,0.056272,
0,504.7,0.056546,
0,508.38,0.05694,
0,511.88,0.057501,
0,515.38,0.058453,
0,519.05,0.059275,
0,522.55,0.059882,
0,526.05,0.060621,
0,529.73,0.061256,
0,533.23,0.061663,
0,536.73,0.062399,
0,540.23,0.062735,
0,543.9,0.063197,
0,547.4,0.063992,
0,550.9,0.064497,
0,554.4,0.06471,
0,558.08,0.065008,
0,561.58,0.065357,
0,565.08,0.066111,
0,568.75,0.066392,
0,572.25,0.067273,
0,575.93,0.067843,
0,579.78,0.068788,
0,583.45,0.069442,
0,586.95,0.069925,
0,590.45,0.070609,
0,593.78,0.070606,
0,597.45,0.070945,
0,601.12,0.071034,
0,604.45,0.070973,
0,608.3,0.071047,
0,611.97,0.070665,
0,615.47,0.070948,
0,618.97,0.070976,
0,622.47,0.071281,
0,626.15,0.071731,
0,629.82,0.072424,
0,633.32,0.073151,
0,636.82,0.07405,
0,640.5,0.07482,
0,644,0.075424,
0,647.5,0.076204,
0,651.17,0.076909,
0,654.67,0.077793,
0,658.17,0.079019,
0,661.85,0.079817,
0,665.35,0.081139,
0,669.02,0.082599,
0,672.52,0.083751,
0,676.2,0.084842,
0,679.7,0.085646,
0,683.2,0.086207,
0,686.7,0.086712,
34.12,12.25,0.051361,
34.12,15.75,0.05137,
34.12,19.43,0.051204,
34.12,22.93,0.051278,
34.12,26.6,0.051077,
34.12,30.45,0.05068,
34.12,33.95,0.050523,
34.12,37.45,0.050618,
34.12,40.95,0.050233,
34.12,44.63,0.049716,
34.12,48.3,0.049713,
34.12,51.8,0.049867,
34.12,55.3,0.049981,
34.12,58.8,0.049368,
34.12,62.48,0.049451,
34.12,65.98,0.049556,
34.12,69.48,0.049485,
34.12,72.98,0.049124,
34.12,76.65,0.048582,
34.12,80.15,0.048203,
34.12,83.83,0.04788,
34.12,87.5,0.047636,
34.12,91.18,0.04718,
34.12,94.68,0.04719,
34.12,98.35,0.046768,
34.12,101.85,0.046801,
34.12,105.53,0.046829,
34.12,109.03,0.046866,
34.12,112.53,0.046888,
34.12,116.03,0.04719,
34.12,119.7,0.047199,
34.12,123.2,0.047544,
34.12,126.88,0.047464,
34.12,130.38,0.047686,
34.12,133.88,0.047726,
34.12,137.38,0.047264,
34.12,141.05,0.047137,
34.12,144.55,0.047091,
34.12,147.88,0.046931,
34.12,151.55,0.046706,
34.12,155.23,0.046986,
34.12,158.73,0.047085,
34.12,162.23,0.047128,
34.12,165.9,0.047109,
34.12,169.4,0.047159,
34.12,172.73,0.047464,
34.12,176.75,0.048,
34.12,180.25,0.048428,
34.12,183.75,0.048764,
34.12,187.43,0.049343,
34.12,190.93,0.049565,
34.12,194.43,0.05023,
34.12,198.1,0.050477,
34.12,201.6,0.051062,
34.12,205.28,0.05158,
34.12,208.78,0.051638,
34.12,212.63,0.051777,
34.12,216.3,0.051638,
34.12,219.8,0.051318,
34.12,223.48,0.051349,
34.12,226.98,0.051231,
34.12,230.65,0.05137,
34.12,234.15,0.051687,
34.12,237.65,0.052011,
34.12,241.33,0.052599,
34.12,245,0.053256,
34.12,248.5,0.053896,
34.12,252,0.054593,
34.12,256.03,0.0556,
34.12,259.53,0.056281,
34.12,263.03,0.05645,
34.12,266.7,0.056875,
34.12,270.38,0.056863,
34.12,274.05,0.056888,
34.12,277.55,0.05658,
34.12,281.05,0.056167,
34.12,285.08,0.055381,
34.12,288.75,0.054639,
34.12,292.08,0.053776,
34.12,295.75,0.053092,
34.12,299.6,0.05235,
34.12,303.1,0.052131,
34.12,306.78,0.05186,
34.12,310.28,0.051607,
34.12,313.78,0.051287,
34.12,317.45,0.051025,
34.12,320.95,0.050594,
34.12,324.45,0.050027,
34.12,328.13,0.049466,
34.12,331.63,0.049605,
34.12,335.3,0.049602,
34.12,338.98,0.049398,
34.12,342.3,0.049771,
34.12,345.98,0.050153,
34.12,349.48,0.050714,
34.12,352.98,0.050819,
34.12,356.65,0.051188,
34.12,360.15,0.051746,
34.12,363.65,0.052547,
34.12,367.33,0.052732,
34.12,370.83,0.052673,
34.12,374.15,0.052781,
34.12,378,0.052451,
34.12,381.5,0.052076,
34.12,385.18,0.051792,
34.12,388.68,0.051389,
34.12,392.18,0.050899,
34.12,395.85,0.05097,
34.12,399.35,0.051241,
34.12,402.85,0.051259,
34.12,406,0.051755,
34.12,409.85,0.051681,
34.12,413.35,0.052029,
34.12,417.03,0.052273,
34.12,420.35,0.052695,
34.12,424.2,0.053292,
34.12,427.7,0.053983,
34.12,431.2,0.054907,
34.12,434.7,0.055745,
34.12,438.38,0.056962,
34.12,441.88,0.058105,
34.12,445.38,0.059288,
34.12,448.88,0.060036,
34.12,452.55,0.06084,
34.12,455.88,0.061281,
34.12,459.55,0.061746,
34.12,463.05,0.062199,
34.12,466.55,0.062784,
34.12,470.23,0.063117,
34.12,473.73,0.063952,
34.12,477.23,0.0647,
34.12,480.73,0.065711,
34.12,484.23,0.066829,
34.12,487.73,0.068357,
34.12,491.23,0.069848,
34.12,494.9,0.071315,
34.12,498.58,0.072374,
34.12,502.08,0.073745,
34.12,505.58,0.074247,
34.12,509.25,0.075011,
34.12,512.75,0.075036,
34.12,516.43,0.075347,
34.12,519.93,0.075695,
34.12,523.43,0.075698,
34.12,526.75,0.07568,
34.12,530.6,0.075421,
34.12,534.1,0.074956,
34.12,537.6,0.074143,
34.12,541.28,0.07389,
34.12,544.78,0.073203,
34.12,548.28,0.072763,
