x,y,z,
7,0,0.04726,
10.68,0,0.047341,
14.18,0,0.047297,
17.68,0,0.046891,
21.7,0,0.046536,
25.2,0,0.04621,
28.7,0,0.046228,
32.2,0,0.0458,
35.53,0,0.045819,
39.37,0,0.046077,
43.05,0,0.046561,
46.55,0,0.046931,
50.22,0,0.047347,
53.72,0,0.047501,
57.22,0,0.048077,
60.9,0,0.048557,
64.4,0,0.048696,
67.9,0,0.048687,
71.4,0,0.048545,
74.9,0,0.048406,
78.57,0,0.047947,
81.9,0,0.04791,
85.57,0,0.047923,
89.25,0,0.047941,
92.75,0,0.048061,
95.9,0,0.047602,
99.92,0,0.047131,
103.42,0,0.046823,
106.92,0,0.046804,
110.6,0,0.046915,
114.27,0,0.046814,
117.95,0,0.046835,
121.45,0,0.046848,
124.95,0,0.046472,
128.45,0,0.046503,
132.12,0,0.046527,
135.62,0,0.046561,
139.12,0,0.046481,
142.8,0,0.046561,
146.3,0,0.046595,
149.8,0,0.046161,
153.48,0,0.046142,
156.98,0,0.045769,
160.65,0,0.045754,
164.15,0,0.045535,
167.65,0,0.045446,
171.33,0,0.045477,
174.83,0,0.045461,
178.33,0,0.04535,
182,0,0.045437,
185.68,0,0.045363,
189.35,0,0.045819,
192.85,0,0.045763,
196.35,0,0.04621,
200.03,0,0.046164,
203.53,0,0.046296,
207.03,0,0.045797,
210.7,0,0.045394,
214.2,0,0.044691,
217.7,0,0.043943,
221.2,0,0.043517,
224.88,0,0.043154,
228.38,0,0.042473,
231.7,0,0.042131,
235.38,0,0.04166,
238.88,0,0.041302,
242.38,0,0.04096,
246.23,0,0.04096,
249.73,0,0.040662,
253.23,0,0.040221,
256.73,0,0.039676,
260.58,0,0.039149,
264.25,0,0.038431,
267.75,0,0.03775,
271.25,0,0.036943,
275.1,0,0.035865,
278.78,0,0.034891,
282.28,0,0.03336,
285.78,0,0.031293,
289.63,0,0.029035,
293.13,0,0.025692,
296.63,0,0.02154,
300.13,0,0.016604,
303.63,0,0.010172,
307.3,0,0.002347,
310.8,0,-0.008017,
314.48,0,-0.020056,
317.98,0,-0.034221,
321.48,0,-0.050463,
324.98,0,-0.069788,
328.65,0,-0.090484,
332.15,0,-0.113334,
335.83,0,-0.135681,
339.33,0,-0.155059,
343,0,-0.170842,
346.5,0,-0.178972,
350,0,-0.177792,
353.5,0,-0.164437,
357.18,0,-0.139492,
360.68,0,-0.10078,
364.18,0,-0.053014,
367.68,0,0.00381,
371.35,0,0.064928,
374.68,0,0.129013,
378.53,0,0.189118,
382.03,0,0.24104,
385.53,0,0.283899,
389.2,0,0.314894,
392.7,0,0.333271,
396.38,0,0.339765,
399.88,0,0.336592,
403.38,0,0.325017,
407.05,0,0.307026,
410.2,0,0.284096,
414.23,0,0.259783,
417.73,0,0.235418,
421.23,0,0.211684,
424.9,0,0.188576,
428.4,0,0.167907,
431.9,0,0.149491,
435.58,0,0.133758,
439.08,0,0.120212,
442.58,0,0.108446,
446.08,0,0.09857,
449.58,0,0.09048,
453.25,0,0.083308,
456.75,0,0.078061,
460.25,0,0.073582,
463.93,0,0.070129,
467.43,0,0.067578,
470.93,0,0.064993,
474.43,0,0.062698,
477.93,0,0.06068,
481.43,0,0.058986,
485.1,0,0.057627,
488.78,0,0.056355,
492.45,0,0.055711,
495.95,0,0.055024,
499.45,0,0.054466,
502.95,0,0.054386,
506.45,0,0.053893,
510.13,0,0.053906,
513.63,0,0.053428,
517.13,0,0.052806,
520.8,0,0.052313,
524.3,0,0.051721,
527.8,0,0.05113,
531.3,0,0.050822,
534.8,0,0.050609,
538.3,0,0.0506,
541.8,0,0.050594,
545.48,0,0.050594,
548.98,0,0.050951,
552.65,0,0.051302,
556.15,0,0.051324,
559.83,0,0.051752,
563.33,0,0.051777,
566.83,0,0.051761,
570.5,0,0.052103,
574,0,0.052146,
577.5,0,0.052051,
581.18,0,0.052042,
584.67,0,0.052103,
588.17,0,0.052143,
591.85,0,0.051709,
595.35,0,0.051675,
598.85,0,0.051715,
602.35,0,0.05137,
606.02,0,0.051059,
609.52,0,0.050914,
613.02,0,0.050637,
616.7,0,0.050209,
620.72,0,0.049854,
624.22,0,0.049552,
627.72,0,0.049479,
631.22,0,0.049596,
635.07,0,0.050107,
638.75,0,0.050292,
642.25,0,0.050643,
645.75,0,0.050939,
649.42,0,0.051404,
652.92,0,0.05141,
656.42,0,0.050963,
660.1,0,0.050554,
663.77,0,0.050243,
667.27,0,0.049839,
670.77,0,0.049516,
674.27,0,0.049164,
677.77,0,0.048715,
681.27,0,0.048333,
684.95,0,0.048357,
688.45,0,0.048373,
691.95,0,0.048416,
695.62,0,0.048286,
698.95,0,0.048388,
702.62,0,0.048761,
706.12,0,0.048684,
709.8,0,0.048431,
12.42,33.07,0.047291,
16.1,33.07,0.047254,
19.6,33.07,0.046996,
23.27,33.07,0.046832,
26.77,33.07,0.046903,
30.27,33.07,0.046971,
33.95,33.07,0.046878,
37.45,33.07,0.046882,
40.95,33.07,0.046912,
44.45,33.07,0.046928,
47.95,33.07,0.047257,
51.62,33.07,0.047978,
55.12,33.07,0.04877,
58.62,33.07,0.049522,
62.12,33.07,0.050172,
65.8,33.07,0.050618,
69.3,33.07,0.051114,
72.97,33.07,0.051262,
76.47,33.07,0.051768,
80.15,33.07,0.051657,
83.65,33.07,0.051638,
87.15,33.07,0.051429,
90.65,33.07,0.051361,
94.32,33.07,0.051715,
97.82,33.07,0.05202,
101.32,33.07,0.052208,
105,33.07,0.052356,
108.5,33.07,0.052744,
112.17,33.07,0.052519,
115.67,33.07,0.05231,
119.35,33.07,0.052214,
123.02,33.07,0.051715,
126.52,33.07,0.051296,
130.2,33.07,0.051102,
133.7,33.07,0.05031,
137.37,33.07,0.049922,
140.87,33.07,0.04914,
144.37,33.07,0.048764,
148.4,33.07,0.048077,
151.9,33.07,0.047627,
155.57,33.07,0.047646,
159.07,33.07,0.047646,
162.75,33.07,0.04767,
166.25,33.07,0.048071,
169.92,33.07,0.048012,
173.42,33.07,0.048095,
177.1,33.07,0.048021,
180.6,33.07,0.047994,
184.1,33.07,0.048095,
187.6,33.07,0.048015,
191.1,33.07,0.047938,
194.78,33.07,0.047695,
198.45,33.07,0.047683,
201.95,33.07,0.047569,
205.63,33.07,0.047655,
209.3,33.07,0.047849,
212.98,33.07,0.048068,
216.48,33.07,0.048363,
219.98,33.07,0.048745,
223.48,33.07,0.048832,
227.15,33.07,0.048271,
230.83,33.07,0.048049,
234.33,33.07,0.047328,
238,33.07,0.046928,
241.5,33.07,0.046164,
245,33.07,0.045754,
248.68,33.07,0.045788,
252.18,33.07,0.045449,
255.68,33.07,0.045067,
259.18,33.07,0.044408,
262.85,33.07,0.043668,
266.35,33.07,0.043277,
269.68,33.07,0.042233,
273.35,33.07,0.041025,
277.03,33.07,0.039605,
280.35,33.07,0.037756,
284.03,33.07,0.03564,
287.53,33.07,0.032954,
291.03,33.07,0.029935,
294.7,33.07,0.026324,
298.2,33.07,0.021647,
301.53,33.07,0.016386,
305.38,33.07,0.009688,
308.88,33.07,0.001709,
312.38,33.07,-0.008266,
315.88,33.07,-0.020882,
319.55,33.07,-0.035145,
323.05,33.07,-0.051806,
326.55,33.07,-0.070404,
330.05,33.07,-0.09013,
333.55,33.07,-0.110912,
337.05,33.07,-0.130441,
340.73,33.07,-0.14676,
344.23,33.07,-0.157345,
347.2,33.07,-0.161002,
351.4,33.07,-0.154782,
354.9,33.07,-0.137958,
358.58,33.07,-0.109455,
362.25,33.07,-0.068044,
365.58,33.07,-0.020956,
369.25,33.07,0.034115,
372.75,33.07,0.091228,
376.25,33.07,0.146693,
379.75,33.07,0.19824,
383.25,33.07,0.241508,
386.93,33.07,0.275942,
390.43,33.07,0.299826,
393.75,33.07,0.312556,
397.43,33.07,0.315251,
400.93,33.07,0.309635,
404.6,33.07,0.297205,
408.1,33.07,0.279281,
411.6,33.07,0.258905,
415.1,33.07,0.237476,
418.78,33.07,0.215741,
422.28,33.07,0.194346,
425.78,33.07,0.17368,
429.28,33.07,0.156043,
432.78,33.07,0.140144,
436.28,33.07,0.125655,
439.78,33.07,0.113135,
443.63,33.07,0.103012,
446.95,33.07,0.09471,
450.63,33.07,0.08788,
454.13,33.07,0.082304,
457.8,33.07,0.077917,
461.3,33.07,0.073976,
464.8,33.07,0.070486,
468.3,33.07,0.068068,
471.98,33.07,0.06568,
475.48,33.07,0.06373,
479.15,33.07,0.061989,
482.65,33.07,0.06056,
486.15,33.07,0.059531,
489.65,33.07,0.05861,
493.33,33.07,0.057605,
496.83,33.07,0.057069,
500.33,33.07,0.05694,
503.83,33.07,0.056515,
507.33,33.07,0.056259,
511,33.07,0.055942,
514.5,33.07,0.055446,
518,33.07,0.055042,
521.5,33.07,0.054349,
525,33.07,0.053872,
528.68,33.07,0.053499,
532.18,33.07,0.052957,
535.85,33.07,0.05275,
539.35,33.07,0.052501,
542.85,33.07,0.052522,
546,33.07,0.052036,
550.03,33.07,0.051663,
553.53,33.07,0.051777,
557.03,33.07,0.051771,
560.53,33.07,0.0521,
564.03,33.07,0.052042,
567.53,33.07,0.052455,
571.2,33.07,0.052113,
574.7,33.07,0.052153,
578.2,33.07,0.051749,
581.7,33.07,0.051709,
585.38,33.07,0.05161,
588.88,33.07,0.051715,
592.55,33.07,0.051817,
596.23,33.07,0.051305,
599.73,33.07,0.051256,
603.22,33.07,0.051019,
606.9,33.07,0.050933,
610.4,33.07,0.050893,
613.9,33.07,0.05093,
617.4,33.07,0.051253,
621.07,33.07,0.051404,
624.57,33.07,0.051675,
628.25,33.07,0.052091,
631.75,33.07,0.052442,
635.25,33.07,0.052898,
638.75,33.07,0.052833,
642.42,33.07,0.052889,
645.92,33.07,0.052365,
649.6,33.07,0.05259,
653.1,33.07,0.052467,
656.6,33.07,0.052211,
660.27,33.07,0.052125,
663.77,33.07,0.052051,
667.27,33.07,0.051691,
670.77,33.07,0.051727,
674.27,33.07,0.051758,
677.77,33.07,0.051361,
679.52,33.07,0.051081,
684.95,33.07,0.050954,
688.45,33.07,0.050621,
691.95,33.07,0.050215,
695.45,33.07,0.050224,
699.12,33.07,0.050227,
702.62,33.07,0.049882,
706.3,33.07,0.049155,
709.8,33.07,0.048397,
12.43,66.15,0.048379,
16.1,66.15,0.048434,
19.6,66.15,0.047978,
23.1,66.15,0.047938,
26.78,66.15,0.04791,
30.45,66.15,0.048083,
33.95,66.15,0.047938,
37.45,66.15,0.048031,
41.13,66.15,0.048024,
44.63,66.15,0.048363,
48.13,66.15,0.048376,
51.8,66.15,0.048779,
55.3,66.15,0.049155,
58.45,66.15,0.049882,
62.3,66.15,0.050495,
65.8,66.15,0.051287,
69.47,66.15,0.052143,
72.97,66.15,0.052445,
76.47,66.15,0.052775,
79.97,66.15,0.052858,
83.65,66.15,0.053166,
87.15,66.15,0.053286,
90.65,66.15,0.053206,
94.32,66.15,0.053524,
97.82,66.15,0.053138,
101.32,66.15,0.052877,
105.17,66.15,0.052519,
108.67,66.15,0.051684,
112.17,66.15,0.051382,
115.85,66.15,0.050939,
119.52,66.15,0.050523,
123.02,66.15,0.050649,
126.7,66.15,0.050224,
130.2,66.15,0.050027,
133.87,66.15,0.049968,
137.55,66.15,0.049543,
141.05,66.15,0.049204,
144.55,66.15,0.04909,
148.23,66.15,0.049195,
151.73,66.15,0.049143,
155.23,66.15,0.049174,
158.73,66.15,0.049534,
162.23,66.15,0.050101,
165.9,66.15,0.050702,
169.23,66.15,0.050936,
172.9,66.15,0.051096,
176.4,66.15,0.051367,
179.9,66.15,0.051333,
183.58,66.15,0.050936,
187.08,66.15,0.0506,
190.58,66.15,0.050175,
194.08,66.15,0.04979,
197.58,66.15,0.049485,
201.08,66.15,0.04918,
204.58,66.15,0.048733,
208.25,66.15,0.048419,
211.75,66.15,0.04808,
215.25,66.15,0.047442,
218.75,66.15,0.046943,
222.43,66.15,0.04649,
226.1,66.15,0.045868,
229.43,66.15,0.045477,
233.1,66.15,0.04511,
236.95,66.15,0.044562,
240.63,66.15,0.044349,
244.13,66.15,0.044355,
247.63,66.15,0.04434,
251.13,66.15,0.04434,
254.8,66.15,0.0443,
258.3,66.15,0.044288,
261.98,66.15,0.043918,
265.48,66.15,0.043638,
268.98,66.15,0.04267,
272.48,66.15,0.041509,
275.98,66.15,0.039842,
279.65,66.15,0.038231,
283.15,66.15,0.036077,
286.65,66.15,0.033921,
290.15,66.15,0.031342,
293.65,66.15,0.028517,
297.15,66.15,0.02454,
300.83,66.15,0.019531,
304.33,66.15,0.013742,
307.83,66.15,0.006213,
311.5,66.15,-0.003017,
315,66.15,-0.01408,
318.68,66.15,-0.027,
322.18,66.15,-0.041375,
325.68,66.15,-0.057792,
329.18,66.15,-0.075241,
332.85,66.15,-0.093756,
336.35,66.15,-0.111344,
339.85,66.15,-0.126797,
343.35,66.15,-0.138007,
347.03,66.15,-0.143516,
350.53,66.15,-0.141325,
354.03,66.15,-0.129979,
357.7,66.15,-0.107736,
361.2,66.15,-0.075802,
364.88,66.15,-0.035167,
368.38,66.15,0.012827,
371.88,66.15,0.063021,
375.38,66.15,0.115338,
379.05,66.15,0.163739,
382.55,66.15,0.206887,
386.05,66.15,0.241419,
389.73,66.15,0.266736,
393.23,66.15,0.282984,
396.73,66.15,0.289127,
400.4,66.15,0.287134,
403.9,66.15,0.277867,
407.58,66.15,0.263745,
411.08,66.15,0.246567,
414.58,66.15,0.227722,
418.08,66.15,0.208144,
421.75,66.15,0.188117,
425.08,66.15,0.169358,
428.75,66.15,0.152294,
432.25,66.15,0.137211,
435.75,66.15,0.123807,
439.43,66.15,0.111989,
442.93,66.15,0.101407,
446.43,66.15,0.092568,
449.93,66.15,0.084876,
453.43,66.15,0.078942,
457.1,66.15,0.074063,
460.6,66.15,0.070116,
463.93,66.15,0.067596,
467.78,66.15,0.065239,
471.28,66.15,0.063089,
474.78,66.15,0.061413,
478.45,66.15,0.059956,
481.95,66.15,0.058453,
485.45,66.15,0.057233,
488.95,66.15,0.056111,
492.63,66.15,0.054941,
496.13,66.15,0.053878,
499.63,66.15,0.052772,
503.13,66.15,0.052085,
506.8,66.15,0.051312,
510.3,66.15,0.05141,
513.98,66.15,0.051355,
517.48,66.15,0.051401,
520.98,66.15,0.051706,
524.48,66.15,0.051678,
528.15,66.15,0.051746,
531.83,66.15,0.051697,
535.33,66.15,0.051684,
538.83,66.15,0.051426,
542.33,66.15,0.050899,
546,66.15,0.050172,
549.5,66.15,0.049833,
553,66.15,0.049771,
556.68,66.15,0.049864,
560.18,66.15,0.049867,
563.85,66.15,0.049848,
567.35,66.15,0.049824,
570.85,66.15,0.04995,
574.53,66.15,0.050184,
577.85,66.15,0.050172,
581.53,66.15,0.050508,
585.03,66.15,0.050665,
588.7,66.15,0.050548,
592.2,66.15,0.050538,
595.7,66.15,0.050172,
599.2,66.15,0.04991,
602.87,66.15,0.049679,
606.37,66.15,0.049543,
609.87,66.15,0.049494,
613.55,66.15,0.049574,
617.4,66.15,0.04979,
621.07,66.15,0.049808,
624.57,66.15,0.050273,
628.07,66.15,0.050292,
631.75,66.15,0.050609,
635.25,66.15,0.050609,
638.75,66.15,0.05064,
642.25,66.15,0.050563,
645.92,66.15,0.051025,
649.42,66.15,0.051019,
653.1,66.15,0.050486,
656.6,66.15,0.050575,
660.45,66.15,0.050227,
664.12,66.15,0.050209,
667.8,66.15,0.050246,
671.12,66.15,0.050655,
675.5,66.15,0.050612,
679,66.15,0.051031,
682.5,66.15,0.050936,
686,66.15,0.050735,
689.5,66.15,0.050689,
693.17,66.15,0.050273,
696.67,66.15,0.049879,
700.17,66.15,0.049552,
703.67,66.15,0.049509,
707.35,66.15,0.049211,
710.85,66.15,0.048785,
12.95,99.22,0.050243,
16.45,99.22,0.050264,
20.48,99.22,0.050215,
23.98,99.22,0.050591,
27.48,99.22,0.050563,
30.98,99.22,0.050646,
34.65,99.22,0.050554,
38.15,99.22,0.050218,
41.83,99.22,0.050243,
45.33,99.22,0.050258,
49,99.22,0.049787,
51.98,99.22,0.050276,
56,99.22,0.050246,
59.5,99.22,0.050785,
63,99.22,0.051364,
66.68,99.22,0.052088,
70.35,99.22,0.0528,
73.68,99.22,0.053249,
77.35,99.22,0.0532,
80.85,99.22,0.053246,
84.35,99.22,0.053212,
87.85,99.22,0.053206,
91.53,99.22,0.0532,
95.02,99.22,0.053178,
98.7,99.22,0.053194,
102.2,99.22,0.053135,
105.7,99.22,0.053092,
109.37,99.22,0.05328,
113.05,99.22,0.052861,
116.55,99.22,0.052824,
120.05,99.22,0.052525,
123.72,99.22,0.052393,
128.27,99.22,0.052091,
131.95,99.22,0.052042,
135.45,99.22,0.052073,
138.95,99.22,0.051814,
142.28,99.22,0.051752,
146.13,99.22,0.051829,
149.8,99.22,0.051783,
153.3,99.22,0.051419,
156.8,99.22,0.051065,
160.3,99.22,0.051056,
163.8,99.22,0.05104,
167.48,99.22,0.05137,
170.8,99.22,0.051342,
174.48,99.22,0.051527,
177.98,99.22,0.05174,
181.48,99.22,0.051764,
185.15,99.22,0.051724,
188.3,99.22,0.051829,
192.33,99.22,0.051407,
195.65,99.22,0.050988,
199.33,99.22,0.050464,
202.83,99.22,0.049885,
206.33,99.22,0.049845,
209.83,99.22,0.049589,
213.5,99.22,0.049559,
217,99.22,0.049432,
220.5,99.22,0.049174,
224.18,99.22,0.048795,
227.68,99.22,0.048394,
231.18,99.22,0.048101,
234.33,99.22,0.047368,
238.35,99.22,0.046706,
241.85,99.22,0.045791,
245.53,99.22,0.045135,
249.03,99.22,0.044334,
252.53,99.22,0.043656,
256.03,99.22,0.043684,
259.53,99.22,0.043065,
263.03,99.22,0.042421,
266.7,99.22,0.04149,
270.2,99.22,0.040585,
273.88,99.22,0.03942,
277.38,99.22,0.038286,
281.05,99.22,0.037082,
284.55,99.22,0.035674,
288.23,99.22,0.033616,
291.73,99.22,0.031173,
295.4,99.22,0.028206,
298.9,99.22,0.02397,
302.58,99.22,0.01853,
305.9,99.22,0.01206,
309.4,99.22,0.004414,
313.08,99.22,-0.005543,
316.58,99.22,-0.016452,
320.08,99.22,-0.028926,
323.75,99.22,-0.042952,
327.25,99.22,-0.058195,
330.93,99.22,-0.074126,
334.43,99.22,-0.089514,
337.93,99.22,-0.103821,
341.43,99.22,-0.114976,
345.1,99.22,-0.121636,
348.6,99.22,-0.122114,
352.1,99.22,-0.114834,
355.6,99.22,-0.099246,
359.28,99.22,-0.075216,
362.78,99.22,-0.044012,
366.28,99.22,-0.005084,
369.95,99.22,0.039663,
373.45,99.22,0.085175,
377.13,99.22,0.130926,
380.45,99.22,0.171475,
383.95,99.22,0.207701,
387.63,99.22,0.235788,
391.13,99.22,0.254746,
394.8,99.22,0.265643,
398.3,99.22,0.268588,
401.98,99.22,0.264186,
405.48,99.22,0.25498,
408.98,99.22,0.241826,
412.65,99.22,0.226117,
415.98,99.22,0.208964,
419.65,99.22,0.191256,
423.15,99.22,0.173603,
426.65,99.22,0.157427,
430.15,99.22,0.142522,
433.83,99.22,0.129254,
437.33,99.22,0.117137,
440.83,99.22,0.106721,
444.5,99.22,0.097414,
448,99.22,0.089934,
451.5,99.22,0.083308,
455.18,99.22,0.077929,
458.68,99.22,0.072852,
462.18,99.22,0.06889,
465.85,99.22,0.065446,
469.35,99.22,0.062498,
473.03,99.22,0.060079,
476.53,99.22,0.058397,
480.03,99.22,0.057276,
483.53,99.22,0.056339,
487.03,99.22,0.056176,
490.7,99.22,0.055477,
494.2,99.22,0.055058,
497.7,99.22,0.054442,
501.38,99.22,0.053517,
504.88,99.22,0.053234,
508.55,99.22,0.052738,
512.05,99.22,0.052251,
515.55,99.22,0.051749,
518.88,99.22,0.051386,
522.73,99.22,0.051339,
526.23,99.22,0.051268,
529.73,99.22,0.050997,
533.4,99.22,0.051364,
536.9,99.22,0.051342,
540.4,99.22,0.051721,
544.08,99.22,0.051734,
547.58,99.22,0.051703,
551.08,99.22,0.051786,
554.75,99.22,0.051496,
558.25,99.22,0.051358,
561.75,99.22,0.050973,
565.25,99.22,0.051336,
568.93,99.22,0.051352,
572.43,99.22,0.050973,
575.93,99.22,0.050729,
579.08,99.22,0.050572,
582.93,99.22,0.050224,
586.6,99.22,0.04991,
590.1,99.22,0.049491,
593.6,99.22,0.048909,
597.1,99.22,0.048376,
600.6,99.22,0.047843,
604.27,99.22,0.047347,
607.77,99.22,0.046697,
611.27,99.22,0.04617,
614.77,99.22,0.045902,
618.27,99.22,0.045745,
621.95,99.22,0.04576,
625.27,99.22,0.046173,
628.95,99.22,0.046345,
632.45,99.22,0.046752,
635.95,99.22,0.047334,
639.62,99.22,0.047322,
643.3,99.22,0.047359,
646.8,99.22,0.047565,
650.3,99.22,0.047692,
653.97,99.22,0.048049,
657.47,99.22,0.0484,
660.97,99.22,0.048841,
664.65,99.22,0.049281,
668.15,99.22,0.049565,
671.82,99.22,0.049864,
675.5,99.22,0.050233,
679,99.22,0.049839,
682.5,99.22,0.049528,
686.17,99.22,0.048798,
689.67,99.22,0.048271,
693.17,99.22,0.047593,
696.85,99.22,0.046875,
700.35,99.22,0.046564,
703.85,99.22,0.046182,
707.35,99.22,0.04605,
710.85,99.22,0.045837,
12.6,132.3,0.053591,
16.28,132.3,0.053542,
19.95,132.3,0.053628,
23.63,132.3,0.053884,
27.13,132.3,0.054029,
30.63,132.3,0.054044,
34.3,132.3,0.054001,
37.8,132.3,0.053973,
41.3,132.3,0.05393,
44.8,132.3,0.05438,
48.48,132.3,0.054146,
51.98,132.3,0.05471,
55.65,132.3,0.055119,
59.15,132.3,0.055129,
62.65,132.3,0.055455,
66.33,132.3,0.055486,
69.83,132.3,0.055791,
73.5,132.3,0.056121,
77,132.3,0.056231,
80.5,132.3,0.056472,
84,132.3,0.05694,
87.5,132.3,0.056928,
91.18,132.3,0.056795,
94.68,132.3,0.056536,
98.18,132.3,0.056154,
101.68,132.3,0.056198,
105.18,132.3,0.056195,
108.85,132.3,0.056195,
112.53,132.3,0.056198,
116.03,132.3,0.05617,
119.53,132.3,0.056176,
123.03,132.3,0.056213,
126.88,132.3,0.055886,
130.38,132.3,0.055437,
133.88,132.3,0.055446,
137.38,132.3,0.055052,
141.05,132.3,0.054765,
144.55,132.3,0.054623,
148.05,132.3,0.054352,
151.55,132.3,0.054312,
155.23,132.3,0.054355,
158.73,132.3,0.054244,
162.23,132.3,0.054235,
165.73,132.3,0.054405,
169.4,132.3,0.054408,
172.9,132.3,0.053939,
176.4,132.3,0.053967,
179.9,132.3,0.053939,
183.4,132.3,0.053638,
187.08,132.3,0.053647,
190.58,132.3,0.05365,
193.9,132.3,0.053668,
197.75,132.3,0.05324,
201.25,132.3,0.053256,
204.58,132.3,0.052815,
208.25,132.3,0.052769,
211.93,132.3,0.052525,
215.43,132.3,0.052273,
219.1,132.3,0.0521,
222.6,132.3,0.051657,
226.1,132.3,0.051817,
229.78,132.3,0.051426,
233.28,132.3,0.050911,
236.78,132.3,0.050646,
240.45,132.3,0.050236,
243.95,132.3,0.049676,
247.45,132.3,0.049081,
250.95,132.3,0.048366,
254.45,132.3,0.048086,
257.95,132.3,0.047279,
261.45,132.3,0.046512,
265.13,132.3,0.045825,
268.63,132.3,0.044965,
272.3,132.3,0.043816,
275.8,132.3,0.043077,
279.3,132.3,0.041764,
282.8,132.3,0.040172,
286.3,132.3,0.038188,
289.8,132.3,0.03593,
293.48,132.3,0.033003,
296.98,132.3,0.029817,
300.48,132.3,0.025464,
303.98,132.3,0.019928,
307.65,132.3,0.013573,
311.15,132.3,0.005545,
314.83,132.3,-0.004107,
318.33,132.3,-0.015035,
321.83,132.3,-0.027271,
325.33,132.3,-0.040959,
328.83,132.3,-0.055389,
332.33,132.3,-0.070275,
336,132.3,-0.084643,
339.5,132.3,-0.097271,
343,132.3,-0.106492,
346.68,132.3,-0.110383,
350.18,132.3,-0.107228,
353.85,132.3,-0.096322,
357.35,132.3,-0.077832,
360.85,132.3,-0.052259,
364.53,132.3,-0.020099,
368.03,132.3,0.018862,
371.53,132.3,0.059389,
375.03,132.3,0.10141,
378.7,132.3,0.142467,
382.38,132.3,0.177035,
385.88,132.3,0.206949,
389.38,132.3,0.228813,
392.88,132.3,0.243209,
396.55,132.3,0.250144,
400.05,132.3,0.250513,
403.55,132.3,0.245775,
407.05,132.3,0.236321,
410.55,132.3,0.223613,
414.23,132.3,0.209318,
417.9,132.3,0.193154,
421.23,132.3,0.176632,
424.9,132.3,0.16048,
428.4,132.3,0.14613,
432.08,132.3,0.132661,
435.58,132.3,0.120061,
439.25,132.3,0.108776,
442.75,132.3,0.099334,
446.25,132.3,0.090966,
449.75,132.3,0.083326,
453.43,132.3,0.077273,
456.93,132.3,0.072042,
460.43,132.3,0.068108,
464.1,132.3,0.064759,
467.78,132.3,0.062088,
470.93,132.3,0.060042,
474.78,132.3,0.058388,
478.28,132.3,0.057005,
481.95,132.3,0.056216,
485.45,132.3,0.05511,
489.13,132.3,0.054365,
492.63,132.3,0.053354,
496.13,132.3,0.052464,
499.8,132.3,0.051937,
503.48,132.3,0.051333,
506.98,132.3,0.050655,
510.48,132.3,0.050221,
513.98,132.3,0.049836,
517.48,132.3,0.049475,
521.15,132.3,0.049599,
524.65,132.3,0.049112,
528.15,132.3,0.049121,
531.65,132.3,0.049204,
535.33,132.3,0.049226,
538.83,132.3,0.049161,
542.33,132.3,0.049556,
545.83,132.3,0.049503,
549.5,132.3,0.049885,
553,132.3,0.050283,
556.5,132.3,0.050203,
560,132.3,0.049814,
563.68,132.3,0.049876,
567.18,132.3,0.049469,
570.68,132.3,0.049137,
574.18,132.3,0.048736,
577.68,132.3,0.048308,
581.18,132.3,0.047877,
584.85,132.3,0.047316,
588.35,132.3,0.046875,
591.85,132.3,0.046567,
595.35,132.3,0.046188,
599.03,132.3,0.045831,
602.53,132.3,0.045874,
606.03,132.3,0.045905,
609.53,132.3,0.045434,
613.03,132.3,0.045461,
616.7,132.3,0.045397,
620.38,132.3,0.045489,
623.88,132.3,0.045868,
627.55,132.3,0.045868,
631.05,132.3,0.045461,
634.55,132.3,0.045452,
638.05,132.3,0.045215,
641.55,132.3,0.044703,
645.05,132.3,0.044371,
648.55,132.3,0.044097,
652.4,132.3,0.043638,
655.9,132.3,0.043687,
659.4,132.3,0.043351,
662.9,132.3,0.043283,
666.57,132.3,0.043256,
670.25,132.3,0.043499,
673.75,132.3,0.043631,
677.25,132.3,0.04357,
680.75,132.3,0.043601,
684.42,132.3,0.043256,
687.92,132.3,0.04291,
691.42,132.3,0.042907,
694.92,132.3,0.043286,
698.42,132.3,0.043277,
702.1,132.3,0.043647,
705.6,132.3,0.043428,
709.1,132.3,0.043329,
11.73,165.38,0.050945,
15.23,165.38,0.050594,
18.9,165.38,0.050591,
22.58,165.38,0.050637,
26.08,165.38,0.051016,
29.75,165.38,0.050846,
33.25,165.38,0.051219,
36.93,165.38,0.051349,
40.43,165.38,0.051724,
44.1,165.38,0.052073,
47.6,165.38,0.052775,
51.1,165.38,0.053524,
54.6,165.38,0.054272,
58.28,165.38,0.055125,
61.78,165.38,0.055751,
65.45,165.38,0.056167,
