x,y,z,z2
7.17,0.0,0.018083,-0.002194
10.85,0.0,0.018175,-0.001316
14.35,0.0,0.019029,-0.001495
18.03,0.0,0.02097,-0.000105
21.53,0.0,0.023505,0.002328
25.03,0.0,0.026814,0.006164
28.7,0.0,0.030692,0.010015
32.73,0.0,0.036493,0.015052
36.4,0.0,0.041466,0.019993
39.9,0.0,0.046512,0.025896
43.57,0.0,0.051515,0.03089
47.07,0.0,0.056777,0.035893
50.57,0.0,0.062217,0.041185
54.25,0.0,0.06719,0.045646
57.75,0.0,0.072205,0.049984
61.42,0.0,0.076586,0.054318
65.1,0.0,0.079774,0.057994
68.6,0.0,0.083277,0.061684
72.1,0.0,0.086099,0.064029
75.77,0.0,0.089164,0.066265
79.27,0.0,0.091721,0.069174
82.95,0.0,0.09471,0.071962
86.45,0.0,0.096734,0.074682
89.95,0.0,0.099069,0.077273
93.45,0.0,0.101863,0.079315
97.12,0.0,0.103557,0.082165
100.62,0.0,0.105997,0.083933
104.12,0.0,0.107679,0.08531
107.62,0.0,0.109334,0.087393
111.12,0.0,0.110529,0.089133
114.62,0.0,0.111105,0.089642
118.3,0.0,0.112236,0.091204
121.8,0.0,0.113434,0.091687
125.47,0.0,0.114654,0.09129
128.97,0.0,0.11519,0.092947
132.65,0.0,0.115674,0.093527
136.15,0.0,0.116127,0.093847
139.47,0.0,0.116844,0.094583
143.15,0.0,0.116829,0.094229
146.65,0.0,0.1173,0.094793
150.15,0.0,0.116777,0.094928
153.83,0.0,0.117612,0.094482
157.5,0.0,0.118631,0.095661
161.0,0.0,0.118982,0.095782
164.68,0.0,0.119799,0.09678
168.35,0.0,0.120128,0.097787
171.85,0.0,0.120877,0.098012
175.35,0.0,0.121167,0.098887
179.03,0.0,0.121552,0.09901
182.7,0.0,0.121684,0.0997
186.2,0.0,0.121657,0.098958
189.7,0.0,0.121518,0.099777
193.38,0.0,0.121807,0.09966
196.88,0.0,0.121884,0.099321
200.38,0.0,0.122778,0.100015
203.88,0.0,0.122377,0.100107
207.38,0.0,0.12238,0.100101
210.88,0.0,0.122722,0.099916
214.55,0.0,0.122701,0.100298
218.05,0.0,0.123533,0.100572
221.55,0.0,0.123868,0.101934
225.23,0.0,0.124087,0.10149
228.73,0.0,0.124904,0.102146
232.23,0.0,0.125403,0.103018
235.73,0.0,0.125261,0.103295
239.23,0.0,0.125452,0.102741
243.25,0.0,0.12539,0.104143
246.93,0.0,0.125735,0.103742
250.43,0.0,0.125988,0.103385
254.1,0.0,0.125708,0.103379
257.6,0.0,0.124617,0.103255
261.1,0.0,0.124666,0.102334
264.78,0.0,0.124183,0.10165
268.28,0.0,0.123745,0.101099
271.95,0.0,0.123382,0.101715
275.45,0.0,0.124374,0.101182
278.95,0.0,0.124974,0.101844
282.63,0.0,0.12539,0.102424
286.13,0.0,0.125517,0.102097
289.63,0.0,0.124956,0.102199
293.3,0.0,0.124488,0.102035
296.8,0.0,0.124817,0.101888
300.3,0.0,0.124177,0.101811
303.98,0.0,0.124626,0.10109
307.48,0.0,0.124269,0.102131
310.98,0.0,0.123831,0.101228
314.65,0.0,0.123172,0.101885
318.15,0.0,0.122809,0.100162
321.83,0.0,0.122393,0.100877
325.33,0.0,0.122199,0.099405
328.83,0.0,0.121025,0.099614
332.33,0.0,0.120902,0.097599
336.0,0.0,0.121006,0.09881
339.68,0.0,0.120874,0.098499
343.18,0.0,0.12039,0.097254
346.68,0.0,0.119472,0.097969
350.18,0.0,0.119374,0.096404
353.85,0.0,0.118591,0.095933
357.35,0.0,0.118203,0.09564
360.85,0.0,0.117975,0.094783
364.35,0.0,0.117849,0.095249
368.03,0.0,0.118425,0.095329
371.53,0.0,0.118114,0.095665
375.03,0.0,0.118563,0.095939
378.53,0.0,0.118625,0.095406
382.38,0.0,0.119232,0.096268
385.88,0.0,0.118893,0.096567
389.38,0.0,0.118684,0.09596
393.05,0.0,0.118573,0.096546
396.55,0.0,0.11788,0.096176
400.05,0.0,0.11779,0.095483
403.55,0.0,0.117504,0.095464
407.05,0.0,0.117957,0.095729
410.73,0.0,0.117685,0.095474
414.23,0.0,0.117766,0.095631
417.9,0.0,0.117473,0.094996
421.4,0.0,0.116792,0.094919
425.08,0.0,0.116869,0.093998
428.58,0.0,0.116524,0.093634
432.25,0.0,0.116016,0.093354
435.58,0.0,0.116287,0.094451
439.25,0.0,0.116345,0.094069
442.75,0.0,0.116764,0.094478
446.43,0.0,0.116925,0.094127
449.93,0.0,0.115973,0.093727
453.43,0.0,0.116231,0.093924
456.93,0.0,0.116022,0.093813
460.6,0.0,0.114996,0.092772
464.1,0.0,0.115011,0.092849
467.6,0.0,0.114463,0.091416
471.28,0.0,0.113918,0.091792
474.78,0.0,0.113542,0.091151
478.28,0.0,0.11296,0.091308
481.95,0.0,0.113092,0.091022
485.45,0.0,0.1123,0.091108
488.95,0.0,0.112353,0.090849
492.63,0.0,0.112054,0.0904
496.13,0.0,0.11235,0.089882
499.8,0.0,0.112387,0.089851
503.3,0.0,0.112624,0.090754
506.8,0.0,0.11271,0.090033
510.48,0.0,0.111783,0.08983
513.98,0.0,0.111305,0.089137
517.65,0.0,0.110313,0.089229
521.15,0.0,0.110295,0.088009
524.65,0.0,0.109617,0.08743
528.15,0.0,0.108816,0.086459
531.65,0.0,0.108055,0.085042
535.15,0.0,0.107408,0.084605
538.83,0.0,0.106653,0.084682
