x,y,z,z2
7.0,0.0,0.001543,4.418428
11.02,0.0,0.001321,4.685556
14.53,0.0,0.001389,5.086384
18.2,0.0,0.000942,5.667551
22.05,0.0,0.000628,6.495717
26.08,0.0,-0.000318,7.499104
32.2,0.0,-0.000987,-7.154319
35.53,0.0,-0.000463,-3.092507
39.55,0.0,0.000794,-2.092801
43.57,0.0,0.001647,-1.470113
47.25,0.0,0.002507,-1.08531
50.75,0.0,0.003061,-0.843231
54.42,0.0,0.003554,-0.763616
57.92,0.0,0.00446,-0.817892
61.42,0.0,0.005209,-0.926494
65.1,0.0,0.006047,-0.994281
68.6,0.0,0.0067,-0.996444
72.1,0.0,0.007525,-0.965036
76.82,0.0,0.008718,-0.939969
80.32,0.0,0.009577,-0.90764
83.82,0.0,0.010024,-0.841675
87.5,0.0,0.01019,-0.745015
91.0,0.0,0.010159,-0.628419
94.67,0.0,0.009839,-0.492683
98.17,0.0,0.009328,-0.377046
101.85,0.0,0.009192,-0.298592
105.52,0.0,0.00828,-0.274242
109.2,0.0,0.007701,-0.311442
112.7,0.0,0.006931,-0.428253
116.37,0.0,0.005954,-0.671534
119.87,0.0,0.005153,-1.05881
123.37,0.0,0.004435,-1.570957
126.87,0.0,0.00406,-2.124794
130.55,0.0,0.003785,-2.516895
134.22,0.0,0.004152,-2.715342
137.72,0.0,0.004115,-2.855471
141.22,0.0,0.004232,-3.031395
144.9,0.0,0.004192,-3.214537
148.05,0.0,0.004115,-3.390406
151.9,0.0,0.003998,-3.581921
155.4,0.0,0.004152,-3.789327
158.9,0.0,0.004556,-3.950941
162.58,0.0,0.004663,-4.01152
166.08,0.0,0.005135,-3.970636
169.58,0.0,0.005769,-3.8681
173.25,0.0,0.006,-3.77343
176.93,0.0,0.006213,-3.686616
180.43,0.0,0.006352,-3.593397
183.93,0.0,0.006783,-3.520264
187.43,0.0,0.007673,-3.478197
191.1,0.0,0.008052,-3.443711
194.6,0.0,0.00885,-3.382269
198.1,0.0,0.009691,-3.297522
201.6,0.0,0.010794,-3.192642
204.75,0.0,0.011604,-3.066811
208.43,0.0,0.012556,-2.945677
212.28,0.0,0.013403,-2.874103
215.25,0.0,0.014395,-2.869738
219.28,0.0,0.015474,-2.930625
222.78,0.0,0.016681,-3.029245
226.45,0.0,0.018071,-3.135366
229.95,0.0,0.019676,-3.221404
233.45,0.0,0.021885,-3.288761
237.13,0.0,0.024288,-3.358326
240.45,0.0,0.026906,-3.440563
244.13,0.0,0.029922,-3.534666
247.63,0.0,0.033866,-3.627894
251.13,0.0,0.037914,-3.710174
254.8,0.0,0.043918,-3.77193
258.3,0.0,0.050877,-3.804552
262.33,0.0,0.060782,-3.811138
265.83,0.0,0.071216,-3.797691
269.5,0.0,0.084482,-3.768187
273.0,0.0,0.100461,-3.733369
276.5,0.0,0.121262,-3.701801
280.18,0.0,0.145865,-3.674727
283.68,0.0,0.173976,-3.652426
287.18,0.0,0.208483,-3.632534
290.68,0.0,0.248274,-3.609157
294.35,0.0,0.292417,-3.573209
297.85,0.0,0.340877,-3.526514
301.35,0.0,0.392855,-3.473834
305.03,0.0,0.443714,-3.426712
308.53,0.0,0.490451,-3.388163
312.2,0.0,0.53026,-3.355467
315.7,0.0,0.557186,-3.326508
319.2,0.0,0.569,-3.296749
322.88,0.0,0.561101,-3.265831
326.38,0.0,0.53214,-3.235772
329.88,0.0,0.479114,-3.204648
333.03,0.0,0.404838,-3.167387
337.05,0.0,0.308976,-3.11694
340.55,0.0,0.198237,-3.01833
344.23,0.0,0.0793,-2.631349
347.73,0.0,0.048961,5.672597
351.23,0.0,0.167297,6.430113
354.9,0.0,0.275538,6.542679
358.4,0.0,0.370852,6.58291
361.9,0.0,0.44775,6.597901
365.58,0.0,0.50401,6.602463
369.08,0.0,0.539241,6.602485
372.58,0.0,0.554641,6.600396
376.08,0.0,0.552793,6.59694
379.58,0.0,0.536502,6.592463
383.25,0.0,0.508375,6.587426
386.75,0.0,0.472041,6.582932
390.43,0.0,0.432392,6.579546
393.93,0.0,0.38897,6.577467
396.2,0.0,0.346527,6.576838
400.93,0.0,0.305837,6.577211
404.6,0.0,0.266703,6.577186
408.1,0.0,0.23153,6.577202
411.6,0.0,0.199066,6.577621
415.1,0.0,0.170825,6.579401
418.6,0.0,0.146444,6.582097
422.1,0.0,0.125276,6.585643
425.78,0.0,0.10674,6.590754
429.28,0.0,0.09129,6.599654
432.78,0.0,0.07828,6.613545
436.28,0.0,0.067183,6.633314
440.3,0.0,0.057328,6.661804
443.8,0.0,0.049251,6.685501
447.3,0.0,0.043095,6.703018
450.8,0.0,0.037257,6.717855
454.3,0.0,0.032947,6.735747
457.8,0.0,0.028952,6.765584
461.48,0.0,0.025692,6.816145
464.98,0.0,0.023065,6.887324
468.48,0.0,0.020893,6.966086
472.15,0.0,0.019232,7.043208
475.65,0.0,0.018065,7.104179
479.15,0.0,0.01637,7.153599
482.83,0.0,0.014938,7.183023
486.33,0.0,0.013638,7.183689
489.83,0.0,0.012251,7.169884
493.33,0.0,0.011284,7.154955
496.83,0.0,0.010384,7.160186
500.5,0.0,0.009463,7.203125
504.0,0.0,0.008983,7.277432
507.68,0.0,0.008333,7.354166
511.18,0.0,0.007649,7.405417
514.85,0.0,0.007002,7.406316
518.35,0.0,0.006466,7.332059
521.85,0.0,0.006272,7.169752
525.35,0.0,0.00584,6.960984
528.85,0.0,0.005631,6.756567
532.53,0.0,0.005221,6.542251
536.03,0.0,0.004845,6.354987
539.53,0.0,0.004793,6.208964
543.2,0.0,0.004309,6.098727
546.7,0.0,0.00434,5.950813
550.2,0.0,0.004463,5.716494
553.7,0.0,0.004158,5.46924
557.38,0.0,0.004306,5.319289
560.88,0.0,0.004429,5.29785
564.38,0.0,0.004762,5.377749
567.88,0.0,0.005169,5.455265
571.38,0.0,0.005184,5.472496
574.88,0.0,0.004817,5.399221
578.55,0.0,0.003936,5.242918
582.05,0.0,0.003675,5.016652
585.55,0.0,0.002855,4.76473
589.23,0.0,0.002621,4.560852
592.73,0.0,0.002439,4.450979
596.23,0.0,0.002387,4.480498
599.9,0.0,0.002405,4.650963
603.4,0.0,0.002399,4.972959
606.9,0.0,0.002424,5.42448
610.58,0.0,0.002455,5.927104
614.08,0.0,0.00275,6.29093
617.58,0.0,0.003135,6.507042
621.25,0.0,0.003638,6.697383
624.75,0.0,0.003881,6.898199
628.25,0.0,0.003878,7.091951
631.75,0.0,0.00438,7.284958
635.25,0.0,0.004417,7.521258
638.75,0.0,0.004805,7.783839
642.25,0.0,0.004759,8.026244
645.92,0.0,0.004765,8.224325
648.9,0.0,0.004633,8.391179
652.92,0.0,0.004451,8.569688
656.42,0.0,0.00393,8.754916
659.92,0.0,0.003681,8.917864
663.6,0.0,0.003622,9.02583
667.1,0.0,0.003286,9.157635
670.6,0.0,0.003271,9.352826
674.1,0.0,0.002707,9.61208
677.77,0.0,0.002621,1.186991
681.27,0.0,0.002753,-9.613375
684.77,0.0,0.002334,-9.39032
688.45,0.0,0.002116,-9.426161
691.95,0.0,0.001888,-9.598613
695.45,0.0,0.001999,-9.749611
699.12,0.0,0.001943,-9.782426
702.62,0.0,0.001872,-9.68966
706.12,0.0,0.001974,-9.424593
709.8,0.0,0.001801,-8.901685
12.43,33.07,0.002063,0.072587
16.1,33.07,0.002747,0.451289
19.78,33.07,0.002498,0.726409
23.28,33.07,0.002205,0.906689
26.78,33.07,0.002168,1.101384
30.28,33.07,0.001814,1.344218
