x,y,z,z2
7.0,0.0,0.002935,1.0
10.68,0.0,0.002775,1.0
14.18,0.0,0.002578,1.0
17.68,0.0,0.002538,1.0
21.35,0.0,0.001983,1.0
24.85,0.0,0.001697,1.0
28.35,0.0,0.001709,1.0
32.03,0.0,0.001983,1.0
35.53,0.0,0.002495,1.0
39.9,0.0,0.002917,1.0
43.4,0.0,0.002904,1.0
47.07,0.0,0.002575,1.0
50.57,0.0,0.00231,1.0
54.07,0.0,0.001047,1.0
57.75,0.0,-0.000432,1.0
61.25,0.0,-0.000611,1.0
64.75,0.0,0.001216,1.0
68.77,0.0,0.003243,1.0
72.27,0.0,0.005101,1.0
75.95,0.0,0.006925,1.0
79.45,0.0,0.008302,1.0
83.12,0.0,0.009432,1.0
86.62,0.0,0.01024,1.0
90.12,0.0,0.010628,1.0
93.62,0.0,0.01056,1.0
97.47,0.0,0.010212,1.0
101.15,0.0,0.009439,1.0
104.65,0.0,0.008376,1.0
108.15,0.0,0.007116,1.0
111.82,0.0,0.005668,1.0
115.32,0.0,0.0043,1.0
119.0,0.0,0.003191,1.0
122.5,0.0,0.002569,1.0
126.0,0.0,0.001589,1.0
129.5,0.0,0.000615,1.0
133.17,0.0,-6.9e-05,1.0
136.67,0.0,-0.000155,1.0
140.35,0.0,-0.000352,1.0
143.85,0.0,9.8e-05,1.0
147.35,0.0,0.000159,1.0
151.03,0.0,0.000474,1.0
154.53,0.0,0.000569,1.0
158.2,0.0,0.001053,1.0
161.7,0.0,0.00097,1.0
165.38,0.0,0.001084,1.0
168.7,0.0,0.001121,1.0
172.38,0.0,0.001358,1.0
175.88,0.0,0.001758,1.0
179.38,0.0,0.001934,1.0
182.88,0.0,0.00206,1.0
186.73,0.0,0.001934,1.0
190.4,0.0,0.0017,1.0
193.9,0.0,0.000997,1.0
197.4,0.0,0.000304,1.0
200.9,0.0,-0.000675,1.0
204.58,0.0,-0.000971,1.0
208.08,0.0,-0.000136,1.0
211.58,0.0,0.000209,1.0
214.9,0.0,9.5e-05,1.0
218.93,0.0,0.000181,1.0
222.6,0.0,0.000748,1.0
226.1,0.0,0.001099,1.0
229.6,0.0,0.001444,1.0
233.1,0.0,0.002116,1.0
236.78,0.0,0.002227,1.0
240.28,0.0,0.002522,1.0
243.78,0.0,0.002581,1.0
247.28,0.0,0.002914,1.0
250.95,0.0,0.003755,1.0
254.45,0.0,0.004858,1.0
257.95,0.0,0.006469,1.0
261.63,0.0,0.008333,1.0
265.13,0.0,0.01044,1.0
268.8,0.0,0.012128,1.0
272.48,0.0,0.013354,1.0
276.15,0.0,0.014032,1.0
279.83,0.0,0.014565,1.0
283.33,0.0,0.014771,1.0
287.0,0.0,0.015449,1.0
290.68,0.0,0.01649,1.0
294.18,0.0,0.017026,1.0
297.85,0.0,0.017048,1.0
301.53,0.0,0.01666,1.0
305.03,0.0,0.015745,1.0
308.53,0.0,0.01483,1.0
312.03,0.0,0.014383,1.0
315.53,0.0,0.014549,1.0
319.2,0.0,0.014685,1.0
322.7,0.0,0.015264,1.0
326.2,0.0,0.015258,1.0
329.7,0.0,0.015227,1.0
333.2,0.0,0.014565,1.0
336.88,0.0,0.013656,1.0
340.55,0.0,0.012877,1.0
344.05,0.0,0.012464,1.0
347.73,0.0,0.012165,1.0
351.23,0.0,0.01215,1.0
354.9,0.0,0.012562,1.0
358.23,0.0,0.013348,1.0
361.9,0.0,0.014432,1.0
365.4,0.0,0.015773,1.0
368.9,0.0,0.017396,1.0
372.4,0.0,0.018557,1.0
375.9,0.0,0.019845,1.0
379.58,0.0,0.020785,1.0
383.08,0.0,0.021521,1.0
386.75,0.0,0.022088,1.0
390.25,0.0,0.02218,1.0
393.75,0.0,0.021801,1.0
397.25,0.0,0.021173,1.0
400.93,0.0,0.020585,1.0
404.08,0.0,0.020076,1.0
407.93,0.0,0.019814,1.0
411.6,0.0,0.019811,1.0
415.1,0.0,0.019426,1.0
418.6,0.0,0.019389,1.0
422.28,0.0,0.019103,1.0
425.95,0.0,0.018832,1.0
429.45,0.0,0.018154,1.0
432.95,0.0,0.018249,1.0
436.63,0.0,0.018265,1.0
