x,y,z
1.0,0.0,0.066379
2.05,0.0,0.066897
3.1,0.0,0.067153
4.1,0.0,0.067002
5.15,0.0,0.067042
6.2,0.0,0.066697
7.25,0.0,0.065372
8.3,0.0,0.065132
9.35,0.0,0.064106
10.35,0.0,0.062596
11.35,0.0,0.061447
12.4,0.0,0.05982
13.4,0.0,0.059257
14.45,0.0,0.059158
15.45,0.0,0.058394
16.5,0.0,0.059257
17.5,0.0,0.059636
18.5,0.0,0.060575
19.55,0.0,0.062008
20.55,0.0,0.062282
21.55,0.0,0.063333
22.6,0.0,0.063804
23.55,0.0,0.063554
24.65,0.0,0.063271
25.65,0.0,0.063148
26.7,0.0,0.062673
27.75,0.0,0.061764
28.75,0.0,0.06149
29.75,0.0,0.06015
30.8,0.0,0.059589
31.8,0.0,0.058785
32.85,0.0,0.058151
33.9,0.0,0.057054
34.9,0.0,0.057217
35.95,0.0,0.057528
36.9,0.0,0.058154
38.0,0.0,0.05881
39.05,0.0,0.059328
40.05,0.0,0.059617
41.05,0.0,0.060012
42.1,0.0,0.060526
43.15,0.0,0.061099
44.2,0.0,0.061845
45.15,0.0,0.06251
46.25,0.0,0.063625
47.25,0.0,0.064528
48.3,0.0,0.064916
49.3,0.0,0.065726
50.3,0.0,0.066503
51.3,0.0,0.067217
52.35,0.0,0.067719
53.35,0.0,0.068437
54.4,0.0,0.06967
55.45,0.0,0.070859
56.45,0.0,0.071435
57.45,0.0,0.072818
58.45,0.0,0.073326
59.5,0.0,0.074189
60.5,0.0,0.07499
61.55,0.0,0.076595
62.6,0.0,0.078108
63.6,0.0,0.079811
64.65,0.0,0.082353
65.65,0.0,0.085982
66.7,0.0,0.089629
67.75,0.0,0.093453
68.75,0.0,0.097208
69.75,0.0,0.101056
70.8,0.0,0.105307
71.85,0.0,0.109808
72.9,0.0,0.113548
73.9,0.0,0.117642
74.9,0.0,0.121388
75.9,0.0,0.12397
76.95,0.0,0.125926
77.95,0.0,0.127014
79.0,0.0,0.126324
80.0,0.0,0.125239
81.0,0.0,0.122451
82.0,0.0,0.117273
83.0,0.0,0.11036
84.05,0.0,0.101734
85.05,0.0,0.0919
86.05,0.0,0.081219
87.05,0.0,0.071019
88.05,0.0,0.061299
89.1,0.0,0.05406
90.1,0.0,0.051219
91.15,0.0,0.054405
92.2,0.0,0.061971
93.25,0.0,0.071817
94.25,0.0,0.082889
95.3,0.0,0.094087
96.3,0.0,0.103462
97.35,0.0,0.11145
98.35,0.0,0.117205
99.4,0.0,0.121734
100.45,0.0,0.124405
101.5,0.0,0.125008
102.5,0.0,0.124589
103.5,0.0,0.122248
104.6,0.0,0.118274
105.65,0.0,0.113952
106.65,0.0,0.10958
107.7,0.0,0.103736
108.8,0.0,0.097775
109.8,0.0,0.092581
110.85,0.0,0.0871
111.9,0.0,0.082501
112.9,0.0,0.079186
113.95,0.0,0.075212
114.95,0.0,0.072621
116.0,0.0,0.070323
117.05,0.0,0.068761
118.05,0.0,0.06747
119.1,0.0,0.066943
120.1,0.0,0.066712
121.1,0.0,0.066142
122.15,0.0,0.065772
123.2,0.0,0.065446
124.25,0.0,0.065196
125.25,0.0,0.065045
126.3,0.0,0.064238
127.35,0.0,0.062969
128.35,0.0,0.062547
129.4,0.0,0.061845
130.4,0.0,0.06011
131.45,0.0,0.058628
132.45,0.0,0.058123
133.45,0.0,0.057069
134.45,0.0,0.056228
135.55,0.0,0.056854
136.55,0.0,0.057254
137.55,0.0,0.057223
138.6,0.0,0.058175
139.6,0.0,0.059269
140.65,0.0,0.060015
141.65,0.0,0.059799
142.7,0.0,0.060153
143.7,0.0,0.059405
144.75,0.0,0.059266
145.75,0.0,0.058477
146.8,0.0,0.05767
147.8,0.0,0.056167
148.85,0.0,0.056995
149.85,0.0,0.055963
150.85,0.0,0.05739
151.75,0.0,0.057735
152.9,0.0,0.058671
153.9,0.0,0.059127
154.9,0.0,0.058955
156.05,0.0,0.059743
157.1,0.0,0.060129
158.1,0.0,0.060252
159.1,0.0,0.060862
160.25,0.0,0.061272
161.3,0.0,0.061037
162.3,0.0,0.061053
163.35,0.0,0.060412
164.4,0.0,0.061114
165.4,0.0,0.060776
166.4,0.0,0.060424
167.45,0.0,0.060329
168.45,0.0,0.060369
169.5,0.0,0.061077
170.5,0.0,0.061506
171.55,0.0,0.061382
172.6,0.0,0.062963
173.6,0.0,0.063271
174.6,0.0,0.064152
175.65,0.0,0.065606
176.65,0.0,0.067313
177.7,0.0,0.069235
178.75,0.0,0.070634
179.75,0.0,0.071764
180.8,0.0,0.072642
181.75,0.0,0.073299
182.8,0.0,0.074365
183.85,0.0,0.075246
184.85,0.0,0.075594
185.85,0.0,0.076324
186.9,0.0,0.076906
187.95,0.0,0.077063
188.95,0.0,0.076361
189.95,0.0,0.075665
0.05,9.0,0.064596
0.95,9.0,0.06483
2.0,9.0,0.06414
3.0,9.0,0.06434
4.05,9.0,0.063711
5.1,9.0,0.06356
6.1,9.0,0.063212
7.1,9.0,0.062729
8.25,9.0,0.062029
9.3,9.0,0.061225
10.35,9.0,0.059959
11.35,9.0,0.0593
12.4,9.0,0.058046
13.4,9.0,0.056983
14.45,9.0,0.056555
15.45,9.0,0.056352
16.55,9.0,0.056567
17.55,9.0,0.056989
18.6,9.0,0.0573
19.65,9.0,0.057763
20.65,9.0,0.058114
21.7,9.0,0.059023
22.7,9.0,0.058625
23.7,9.0,0.058493
24.75,9.0,0.058474
25.75,9.0,0.05776
26.75,9.0,0.056299
27.8,9.0,0.055378
28.8,9.0,0.054207
29.85,9.0,0.053474
30.9,9.0,0.052707
31.9,9.0,0.052461
32.95,9.0,0.052565
34.0,9.0,0.052458
35.05,9.0,0.053308
36.1,9.0,0.054149
37.1,9.0,0.055129
38.1,9.0,0.055806
39.1,9.0,0.057257
40.1,9.0,0.058089
41.15,9.0,0.059395
42.15,9.0,0.060492
43.2,9.0,0.061475
44.25,9.0,0.06169
45.25,9.0,0.061968
46.25,9.0,0.062525
47.3,9.0,0.062821
48.3,9.0,0.063567
49.3,9.0,0.064047
50.35,9.0,0.064257
51.4,9.0,0.065677
52.45,9.0,0.066555
53.45,9.0,0.067328
54.5,9.0,0.06865
55.5,9.0,0.0691
56.5,9.0,0.069565
57.55,9.0,0.069842
58.55,9.0,0.069759
59.55,9.0,0.070483
60.6,9.0,0.070979
61.65,9.0,0.072402
62.65,9.0,0.074793
63.75,9.0,0.078154
64.8,9.0,0.080982
65.8,9.0,0.083693
66.85,9.0,0.086783
67.9,9.0,0.090008
68.95,9.0,0.093037
70.0,9.0,0.095963
71.0,9.0,0.099349
72.05,9.0,0.103597
73.1,9.0,0.107236
74.1,9.0,0.110674
75.15,9.0,0.113785
76.25,9.0,0.116043
77.25,9.0,0.117744
78.3,9.0,0.117901
79.3,9.0,0.117276
80.4,9.0,0.114583
81.45,9.0,0.110871
82.5,9.0,0.105966
83.5,9.0,0.099346
84.45,9.0,0.092134
85.55,9.0,0.083927
86.55,9.0,0.07665
87.6,9.0,0.06857
88.65,9.0,0.064543
89.65,9.0,0.063936
90.65,9.0,0.066515
91.7,9.0,0.072322
92.75,9.0,0.079867
93.75,9.0,0.087655
94.8,9.0,0.095132
95.8,9.0,0.101734
96.8,9.0,0.107892
97.85,9.0,0.111955
98.9,9.0,0.114734
99.95,9.0,0.1158
100.95,9.0,0.114974
102.0,9.0,0.113351
103.05,9.0,0.110169
104.1,9.0,0.106607
105.1,9.0,0.102011
106.15,9.0,0.097051
107.2,9.0,0.092282
108.2,9.0,0.087294
109.25,9.0,0.082458
110.3,9.0,0.078499
111.35,9.0,0.075021
112.4,9.0,0.071379
113.45,9.0,0.068585
114.45,9.0,0.066111
115.45,9.0,0.064472
116.5,9.0,0.063031
117.5,9.0,0.062005
118.55,9.0,0.06113
119.55,9.0,0.060307
120.55,9.0,0.05966
121.6,9.0,0.059768
122.6,9.0,0.059586
123.6,9.0,0.059814
124.65,9.0,0.059984
125.65,9.0,0.059688
126.7,9.0,0.058773
127.7,9.0,0.057719
128.7,9.0,0.056644
129.75,9.0,0.055144
130.8,9.0,0.053865
131.85,9.0,0.053764
132.85,9.0,0.053397
133.85,9.0,0.052975
134.95,9.0,0.052488
136.0,9.0,0.052676
137.0,9.0,0.05235
138.2,9.0,0.05219
139.2,9.0,0.053477
140.2,9.0,0.053992
141.2,9.0,0.054962
142.25,9.0,0.05576
143.25,9.0,0.056398
144.3,9.0,0.056404
145.35,9.0,0.056774
146.35,9.0,0.056318
147.4,9.0,0.056031
148.4,9.0,0.056558
149.4,9.0,0.05658
150.4,9.0,0.056447
151.45,9.0,0.056641
152.5,9.0,0.056228
153.55,9.0,0.055631
154.55,9.0,0.055227
155.55,9.0,0.054873
156.55,9.0,0.054549
157.6,9.0,0.05511
158.6,9.0,0.055033
159.6,9.0,0.055045
160.6,9.0,0.055683
161.65,9.0,0.055455
162.7,9.0,0.056037
163.7,9.0,0.056148
164.75,9.0,0.056549
165.75,9.0,0.055612
166.8,9.0,0.056031
167.85,9.0,0.055683
168.9,9.0,0.055649
169.9,9.0,0.055896
170.95,9.0,0.055936
171.95,9.0,0.055766
173.0,9.0,0.055569
174.0,9.0,0.056121
175.05,9.0,0.056795
176.05,9.0,0.057997
177.1,9.0,0.059115
178.2,9.0,0.060886
179.25,9.0,0.063206
180.25,9.0,0.064743
181.25,9.0,0.066093
182.3,9.0,0.067556
183.35,9.0,0.068163
184.4,9.0,0.068773
185.45,9.0,0.068292
186.5,9.0,0.067057
187.5,9.0,0.066158
188.5,9.0,0.065541
189.55,9.0,0.064842
0.1,18.0,0.059941
0.95,18.0,0.060196
2.0,18.0,0.060012
3.0,18.0,0.059796
4.05,18.0,0.059565
5.05,18.0,0.059916
6.2,18.0,0.060122
7.2,18.0,0.060289
8.25,18.0,0.059386
9.3,18.0,0.058748
10.35,18.0,0.057276
11.4,18.0,0.056333
12.4,18.0,0.054805
13.45,18.0,0.053601
14.45,18.0,0.053434
15.45,18.0,0.052547
16.45,18.0,0.051724
17.45,18.0,0.052282
18.45,18.0,0.052766
19.5,18.0,0.05271
20.5,18.0,0.0532
21.55,18.0,0.05401
22.6,18.0,0.053946
23.6,18.0,0.052735
24.65,18.0,0.052193
25.65,18.0,0.051059
26.65,18.0,0.050313
27.7,18.0,0.049648
28.75,18.0,0.04787
29.75,18.0,0.047371
30.8,18.0,0.046949
31.8,18.0,0.04621
32.85,18.0,0.046986
33.9,18.0,0.046931
34.9,18.0,0.047467
35.95,18.0,0.048185
37.0,18.0,0.049211
38.0,18.0,0.049626
39.05,18.0,0.050809
40.05,18.0,0.051826
41.1,18.0,0.053878
42.15,18.0,0.054516
43.2,18.0,0.055683
44.25,18.0,0.056577
45.3,18.0,0.057485
46.3,18.0,0.05792
47.35,18.0,0.059488
48.4,18.0,0.059864
49.4,18.0,0.060289
50.45,18.0,0.061003
51.45,18.0,0.061198
52.45,18.0,0.061426
53.5,18.0,0.061552
54.5,18.0,0.062763
55.5,18.0,0.063061
56.5,18.0,0.064041
57.55,18.0,0.064759
58.55,18.0,0.06466
59.55,18.0,0.066034
60.6,18.0,0.067273
61.65,18.0,0.068946
62.65,18.0,0.071426
63.7,18.0,0.073357
64.85,18.0,0.076663
65.85,18.0,0.07954
66.9,18.0,0.081952
67.95,18.0,0.085304
68.95,18.0,0.088773
69.95,18.0,0.092553
70.95,18.0,0.096555
72.0,18.0,0.099568
73.0,18.0,0.10344
74.0,18.0,0.106462
75.0,18.0,0.108838
76.05,18.0,0.110705
77.05,18.0,0.112396
78.05,18.0,0.113413
79.1,18.0,0.111629
80.05,18.0,0.110153
81.1,18.0,0.105966
82.05,18.0,0.100273
83.15,18.0,0.094241
84.15,18.0,0.086783
85.15,18.0,0.078228
86.15,18.0,0.069343
87.2,18.0,0.062405
88.25,18.0,0.057522
89.25,18.0,0.057334
90.25,18.0,0.059987
91.25,18.0,0.067054
92.3,18.0,0.074928
93.3,18.0,0.083434
94.3,18.0,0.091829
95.3,18.0,0.099161
96.35,18.0,0.105544
97.35,18.0,0.11056
98.4,18.0,0.113628
99.45,18.0,0.115859
100.45,18.0,0.117368
101.45,18.0,0.118317
102.45,18.0,0.117057
103.45,18.0,0.114682
104.45,18.0,0.111598
105.5,18.0,0.107399
106.55,18.0,0.103
107.6,18.0,0.097171
108.6,18.0,0.091268
109.6,18.0,0.085329
110.65,18.0,0.079922
