x,y,z,z2
7.09,0.0,0.022214,0.0019
10.59,0.0,0.022187,0.001826
14.18,0.0,0.021755,0.001037
17.89,0.0,0.021724,-0.000678
21.66,0.0,0.021737,0.001577
25.29,0.0,0.021724,0.001808
28.87,0.0,0.021771,0.001728
31.85,0.0,0.021604,0.002248
36.09,0.0,0.021814,0.001909
39.59,0.0,0.021302,0.001404
43.14,0.0,0.021644,0.001801
46.51,0.0,0.021863,0.000594
50.4,0.0,0.022227,0.001623
53.94,0.0,0.022082,0.001789
57.44,0.0,0.022387,0.00145
60.99,0.0,0.022587,0.001709
64.27,0.0,0.022652,0.000668
68.51,0.0,0.022448,0.002507
72.01,0.0,0.022593,0.002288
75.6,0.0,0.022399,0.002199
79.1,0.0,0.022276,0.001814
82.6,0.0,0.022507,0.002285
86.14,0.0,0.022359,0.002393
89.64,0.0,0.022852,0.002735
92.84,0.0,0.023145,0.002784
96.64,0.0,0.023628,0.00345
100.19,0.0,0.02397,0.004041
103.69,0.0,0.024491,0.004112
107.19,0.0,0.024703,0.005298
111.04,0.0,0.024805,0.004103
114.58,0.0,0.025406,0.004737
118.21,0.0,0.025967,0.004972
121.71,0.0,0.026382,0.005375
125.26,0.0,0.026681,0.005575
128.89,0.0,0.026823,0.005397
132.43,0.0,0.027106,0.00609
135.98,0.0,0.027082,0.006019
139.52,0.0,0.026992,0.006099
143.11,0.0,0.027146,0.006096
146.65,0.0,0.02706,0.006219
150.24,0.0,0.027162,0.006361
153.69,0.0,0.027532,0.007106
157.24,0.0,0.027547,0.006875
160.65,0.0,0.027843,0.007756
164.37,0.0,0.027516,0.006878
167.74,0.0,0.027538,0.007291
171.46,0.0,0.027458,0.007153
175.04,0.0,0.027501,0.007556
178.63,0.0,0.027991,0.008092
182.26,0.0,0.02776,0.007667
186.68,0.0,0.027365,0.006598
190.23,0.0,0.027519,0.007741
193.77,0.0,0.02698,0.007365
197.31,0.0,0.026607,0.006792
200.68,0.0,0.026358,0.006309
204.44,0.0,0.025942,0.006158
207.99,0.0,0.026364,0.006105
211.49,0.0,0.0265,0.00637
215.38,0.0,0.026777,0.003169
218.93,0.0,0.027313,0.006318
222.47,0.0,0.027501,0.00641
226.06,0.0,0.027957,0.006774
229.56,0.0,0.028231,0.006891
233.14,0.0,0.028413,0.007716
236.73,0.0,0.028656,0.008484
240.23,0.0,0.028745,0.00772
243.78,0.0,0.028277,0.007652
247.36,0.0,0.028262,0.007849
250.91,0.0,0.027898,0.007994
254.41,0.0,0.027556,0.007196
257.95,0.0,0.027134,0.006956
260.84,0.0,0.026743,0.006496
265.21,0.0,0.026395,0.006897
268.71,0.0,0.026632,0.006731
272.26,0.0,0.027051,0.007143
276.15,0.0,0.028662,0.005313
279.74,0.0,0.031253,0.010089
283.24,0.0,0.035227,0.013887
286.78,0.0,0.041521,0.020021
290.33,0.0,0.050421,0.028711
293.96,0.0,0.062581,0.0406
297.46,0.0,0.077987,0.055504
300.96,0.0,0.096999,0.074395
304.59,0.0,0.121404,0.098437
308.13,0.0,0.148422,0.124571
311.63,0.0,0.176924,0.152568
315.17,0.0,0.207648,0.183252
318.76,0.0,0.237134,0.211909
322.26,0.0,0.261672,0.236133
325.94,0.0,0.278209,0.252642
329.57,0.0,0.283486,0.258113
333.11,0.0,0.275461,0.250831
336.74,0.0,0.251342,0.226299
340.33,0.0,0.209811,0.186031
343.83,0.0,0.154247,0.13263
347.42,0.0,0.086244,0.06592
350.92,0.0,0.030387,0.010877
354.51,0.0,0.07922,0.054975
358.09,0.0,0.153982,0.128012
361.64,0.0,0.22072,0.193908
365.18,0.0,0.276376,0.248862
368.68,0.0,0.319697,0.292325
372.31,0.0,0.345532,0.317753
375.9,0.0,0.357158,0.330002
379.49,0.0,0.355837,0.329124
382.77,0.0,0.343502,0.317848
386.57,0.0,0.323539,0.298314
390.16,0.0,0.296903,0.272621
393.71,0.0,0.268502,0.244645
397.21,0.0,0.239731,0.216472
400.79,0.0,0.210717,0.187781
404.29,0.0,0.183662,0.161281
407.79,0.0,0.159716,0.137698
411.34,0.0,0.13848,0.116786
414.97,0.0,0.118973,0.09719
418.51,0.0,0.102522,0.08097
422.01,0.0,0.089103,0.068034
425.56,0.0,0.078388,0.057134
429.19,0.0,0.069374,0.047005
432.69,0.0,0.062806,0.041573
436.23,0.0,0.05735,0.035957
439.77,0.0,0.053138,0.031866
443.27,0.0,0.050159,0.028825
446.82,0.0,0.048203,0.026573
450.32,0.0,0.046463,0.025067
453.91,0.0,0.045236,0.024195
457.49,0.0,0.044645,0.02349
461.08,0.0,0.044097,0.022994
464.62,0.0,0.04328,0.022636
468.21,0.0,0.043021,0.022726
471.76,0.0,0.042565,0.02219
475.3,0.0,0.041999,0.021641
478.84,0.0,0.041515,0.021062
482.34,0.0,0.041198,0.0208
485.89,0.0,0.040772,0.020615
489.52,0.0,0.04044,0.020042
493.06,0.0,0.040313,0.019257
496.82,0.0,0.040344,0.019383
500.32,0.0,0.040816,0.019931
503.82,0.0,0.041068,0.02044
507.28,0.0,0.041586,0.020437
510.96,0.0,0.041891,0.020372
514.46,0.0,0.042371,0.021111
518.0,0.0,0.04271,0.021478
521.5,0.0,0.043086,0.02137
525.31,0.0,0.043333,0.022279
528.85,0.0,0.043853,0.02271
532.48,0.0,0.043752,0.023351
536.02,0.0,0.044078,0.024318
539.66,0.0,0.044346,0.024288
543.24,0.0,0.04467,0.024318
546.79,0.0,0.044975,0.024528
550.33,0.0,0.045403,0.02467
553.87,0.0,0.045384,0.024654
557.37,0.0,0.045153,0.02479
560.96,0.0,0.045363,0.02434
564.51,0.0,0.045717,0.024765
568.14,0.0,0.04572,0.024559
571.64,0.0,0.045957,0.023909
575.22,0.0,0.046426,0.024984
578.77,0.0,0.04674,0.025286
582.31,0.0,0.04698,0.025945
585.94,0.0,0.047735,0.025905
589.44,0.0,0.048333,0.026663
593.03,0.0,0.048865,0.027427
596.53,0.0,0.049439,0.028138
599.94,0.0,0.049747,0.028428
603.66,0.0,0.050301,0.029063
607.25,0.0,0.050544,0.029811
610.84,0.0,0.050939,0.030249
614.38,0.0,0.051167,0.030954
617.97,0.0,0.051195,0.030646
621.38,0.0,0.051604,0.031577
625.01,0.0,0.051995,0.03149
628.6,0.0,0.052775,0.032353
632.19,0.0,0.053129,0.032587
635.77,0.0,0.053687,0.03284
639.32,0.0,0.053499,0.031863
642.95,0.0,0.053816,0.032812
646.49,0.0,0.053964,0.032695
649.99,0.0,0.054164,0.032633
653.58,0.0,0.054503,0.033049
657.21,0.0,0.054676,0.032781
660.71,0.0,0.054987,0.033222
664.21,0.0,0.055012,0.03369
667.89,0.0,0.054993,0.033715
671.43,0.0,0.05495,0.033668
675.02,0.0,0.054913,0.034174
678.52,0.0,0.055424,0.034777
682.06,0.0,0.055415,0.0345
685.65,0.0,0.055791,0.03471
689.19,0.0,0.05605,0.035917
692.74,0.0,0.056044,0.035686
696.32,0.0,0.056145,0.035692
699.91,0.0,0.05645,0.036068
703.46,0.0,0.056201,0.035162
707.09,0.0,0.056133,0.035498
710.59,0.0,0.056148,0.034673
12.56,35.17,0.020517,-0.004033
16.1,35.17,0.020695,0.00056
19.77,35.17,0.020649,-0.000198
23.23,35.17,0.020541,-0.000407
26.86,35.17,0.020689,-6.9e-05
30.19,35.17,0.020964,-0.000777
34.04,35.17,0.020991,0.000332
37.41,35.17,0.021185,0.00031
41.3,35.17,0.021225,0.000329
44.76,35.17,0.021124,0.000541
48.3,35.17,0.021327,0.000893
51.89,35.17,0.021278,0.000828
55.47,35.17,0.021379,0.001312
59.02,35.17,0.021768,0.002153
62.61,35.17,0.021789,0.001848
66.11,35.17,0.02222,0.001792
69.69,35.17,0.022418,0.002948
73.32,35.17,0.022535,0.002452
76.82,35.17,0.022587,0.002852
80.37,35.17,0.022646,0.002485
84.0,35.17,0.022713,0.001654
87.54,35.17,0.022889,0.002692
91.04,35.17,0.023293,0.002926
94.63,35.17,0.023533,0.002935
98.52,35.17,0.024402,0.00287
102.11,35.17,0.024978,0.00405
105.61,35.17,0.025313,0.004596
109.02,35.17,0.025603,0.005794
112.74,35.17,0.025575,0.005618
116.29,35.17,0.025905,0.005705
119.79,35.17,0.025816,0.006188
123.37,35.17,0.025951,0.006201
126.92,35.17,0.026324,0.006244
130.46,35.17,0.026198,0.006549
134.01,35.17,0.026697,0.006586
137.59,35.17,0.026728,0.006731
141.14,35.17,0.026996,0.007171
144.68,35.17,0.027575,0.00714
148.18,35.17,0.027492,0.007359
151.72,35.17,0.027122,0.006712
155.18,35.17,0.026684,0.006641
158.77,35.17,0.026755,0.006182
162.31,35.17,0.026235,0.006056
165.81,35.17,0.026312,0.005677
169.36,35.17,0.026441,0.005899
172.99,35.17,0.026438,0.005079
176.49,35.17,0.026805,0.005692
180.03,35.17,0.02678,0.005717
183.53,35.17,0.027079,0.006124
187.07,35.17,0.027023,0.005942
190.62,35.17,0.02715,0.005927
194.21,35.17,0.027177,0.006056
197.75,35.17,0.027026,0.006278
201.38,35.17,0.026925,0.006247
204.88,35.17,0.026857,0.006253
208.42,35.17,0.026798,0.005957
211.97,35.17,0.027174,0.006922
215.51,35.17,0.026949,0.006728
218.97,35.17,0.027421,0.006835
222.51,35.17,0.027997,0.007892
226.14,35.17,0.027716,0.008259
229.73,35.17,0.028289,0.008111
233.14,35.17,0.028231,0.007907
236.73,35.17,0.028684,0.008222
240.23,35.17,0.029041,0.008912
243.73,35.17,0.02893,0.008906
