x,y,z,z2
0.0,3.59,0.024349,-0.002921
0.0,7.13,0.023986,0.00348
0.0,10.72,0.024075,0.004383
0.0,14.31,0.024195,0.003807
0.0,17.85,0.02409,0.00397
0.0,21.44,0.02442,0.004626
0.0,25.02,0.024423,0.004423
0.0,28.52,0.024703,0.004657
0.0,32.16,0.024891,0.004158
0.0,35.7,0.024352,0.004263
0.0,39.2,0.024522,0.004238
0.0,42.74,0.024445,0.003767
0.0,46.29,0.024365,0.004026
0.0,49.79,0.024636,0.003822
0.0,54.6,0.025199,0.002066
0.0,58.27,0.025523,0.004408
0.0,61.77,0.025628,0.004531
0.0,65.36,0.025973,0.00467
0.0,68.86,0.026037,0.00491
0.0,72.54,0.026318,0.005357
0.0,76.04,0.026259,0.005942
0.0,79.58,0.026398,0.005582
0.0,83.17,0.025846,0.005843
0.0,86.71,0.025618,0.00519
0.0,90.26,0.025085,0.005261
0.0,93.76,0.024898,0.004349
0.0,97.3,0.024442,0.004682
0.0,100.89,0.024161,0.003748
0.0,104.43,0.024171,0.004066
0.0,107.8,0.024494,0.004269
0.0,111.3,0.024365,0.004439
0.0,115.06,0.024842,0.0047
0.0,118.61,0.024722,0.004522
0.0,122.11,0.024352,0.004405
0.0,125.56,0.02409,0.003274
0.0,129.28,0.024081,0.003413
0.0,132.87,0.023684,0.002624
0.0,136.37,0.023628,0.003061
0.0,140.0,0.023752,0.001355
0.0,143.59,0.023662,0.002707
0.0,147.09,0.023668,0.002599
0.0,150.68,0.023671,0.002464
0.0,154.18,0.023206,0.002026
0.0,157.81,0.023274,0.002445
0.0,161.31,0.022892,0.002088
0.0,164.85,0.022458,0.001644
0.0,168.39,0.022048,0.001475
0.0,171.94,0.022156,0.001589
0.0,175.44,0.022242,0.001552
0.0,178.98,0.022399,0.001909
0.0,182.48,0.022877,0.001832
0.0,185.98,0.023539,0.002855
0.0,189.53,0.023921,0.003157
0.0,193.03,0.024321,0.004167
0.0,196.57,0.024845,0.00462
0.0,200.07,0.024799,0.004565
0.0,203.7,0.02483,0.004762
0.0,207.2,0.024414,0.004488
0.0,210.79,0.024325,0.004429
0.0,214.03,0.024586,0.00361
0.0,218.01,0.024278,0.0041
0.0,221.51,0.02442,0.004029
0.0,225.01,0.024793,0.004346
0.0,228.64,0.025058,0.003875
0.0,232.14,0.025283,0.004029
0.0,235.73,0.025572,0.004633
0.0,239.27,0.025976,0.004562
0.0,242.86,0.025945,0.004688
0.0,246.36,0.026219,0.005332
0.0,249.86,0.026253,0.005141
0.0,253.49,0.026349,0.004944
0.0,257.03,0.02593,0.004793
0.0,260.58,0.02596,0.004996
0.0,264.12,0.025991,0.004941
0.0,267.71,0.025612,0.004916
0.0,271.25,0.025495,0.005055
0.0,274.66,0.025175,0.005699
0.0,278.51,0.025508,0.005406
0.0,282.06,0.026062,0.006004
0.0,285.6,0.026028,0.005887
0.0,289.1,0.026262,0.006074
0.0,292.69,0.026706,0.006481
0.0,296.23,0.02665,0.006567
0.0,299.73,0.027073,0.006805
0.0,303.23,0.027036,0.006814
0.0,306.82,0.02743,0.006755
0.0,310.32,0.027544,0.006986
0.0,313.91,0.027947,0.006919
0.0,317.36,0.027738,0.007214
0.0,320.91,0.028203,0.005662
0.0,324.71,0.028228,0.006577
0.0,328.26,0.028262,0.007153
0.0,331.76,0.02849,0.007399
0.0,335.34,0.028591,0.007904
0.0,338.93,0.028656,0.007559
0.0,342.39,0.028678,0.0078
0.0,345.93,0.02849,0.007633
0.0,349.69,0.028477,0.009747
0.0,353.28,0.028952,0.008789
0.0,356.87,0.028872,0.008761
0.0,360.46,0.029429,0.008554
0.0,364.0,0.029466,0.008487
0.0,367.54,0.029315,0.009124
0.0,371.09,0.029891,0.008835
0.0,374.63,0.029941,0.008866
0.0,378.17,0.030668,0.009204
0.0,381.72,0.030603,0.009007
0.0,385.26,0.030569,0.009097
0.0,388.85,0.030541,0.009001
0.0,392.44,0.030514,0.009026
0.0,395.94,0.030464,0.009285
0.0,399.61,0.030344,0.009343
0.0,403.16,0.030147,0.009408
0.0,406.7,0.029651,0.008804
0.0,410.02,0.029805,0.008795
0.0,413.7,0.029522,0.008708
0.0,417.29,0.029251,0.009121
0.0,420.87,0.029016,0.009072
0.0,424.46,0.028986,0.008508
0.0,427.92,0.028853,0.00885
0.0,431.51,0.029485,0.009208
0.0,435.01,0.029833,0.009457
0.0,438.59,0.030166,0.009833
0.0,442.14,0.030397,0.010175
0.0,445.72,0.030486,0.010138
0.0,449.27,0.030397,0.010052
0.0,452.81,0.030532,0.009534
0.0,456.62,0.030464,0.007473
0.0,460.21,0.030597,0.009294
0.0,463.75,0.030594,0.009457
0.0,467.25,0.030215,0.009026
0.0,470.84,0.029833,0.008422
0.0,474.38,0.029408,0.008345
0.0,477.84,0.028989,0.008031
0.0,481.38,0.028681,0.007904
0.0,484.97,0.028419,0.007793
0.0,488.56,0.028209,0.007753
0.0,492.06,0.028342,0.007824
0.0,495.6,0.028604,0.009097
0.0,499.19,0.028613,0.008323
0.0,502.77,0.028622,0.008557
0.0,506.27,0.028943,0.008693
0.0,509.86,0.029417,0.009294
0.0,513.41,0.029787,0.009321
0.0,516.99,0.030021,0.009506
0.0,520.49,0.030135,0.009568
0.0,523.99,0.030156,0.00983
0.0,527.54,0.029756,0.009281
0.0,531.08,0.029731,0.008139
0.0,534.67,0.029149,0.007784
0.0,538.21,0.028604,0.007621
0.0,541.71,0.02816,0.007495
0.0,545.34,0.027473,0.005856
0.0,548.89,0.026882,0.005742
0.0,552.39,0.026389,0.005233
0.0,555.93,0.025933,0.004568
0.0,559.47,0.02564,0.004442
0.0,562.97,0.025122,0.003906
0.0,566.47,0.024814,0.003804
0.0,570.02,0.024876,0.003721
0.0,573.56,0.024904,0.003912
0.0,577.15,0.024503,0.003286
0.0,580.65,0.024334,0.003613
0.0,584.15,0.023776,0.002938
0.0,587.78,0.02292,0.002467
0.0,591.63,0.021878,0.002242
0.0,595.17,0.020914,0.000862
0.0,598.72,0.019626,-0.000435
0.0,602.31,0.019097,-0.002006
0.0,605.89,0.018764,-0.002348
0.0,609.48,0.018046,-0.003239
0.0,613.02,0.017627,-0.003636
0.0,616.66,0.017612,-0.003679
0.0,620.33,0.017516,-0.003451
0.0,623.83,0.017575,-0.003125
0.0,627.37,0.017587,-0.003195
0.0,630.92,0.017627,-0.003297
0.0,634.46,0.017504,-0.003063
0.0,638.01,0.017507,-0.00237
0.0,641.59,0.01715,-0.002826
0.0,645.14,0.017214,-0.002946
0.0,648.68,0.017156,-0.00257
0.0,652.22,0.017193,-0.003048
0.0,655.72,0.017257,-0.002595
0.0,659.22,0.017082,-0.002585
0.0,662.77,0.017254,-0.002841
0.0,666.27,0.016755,-0.003285
0.0,669.81,0.016438,-0.003852
0.0,673.36,0.016136,-0.004175
0.0,676.86,0.015572,-0.004369
0.0,680.36,0.015289,-0.005189
0.0,684.03,0.014771,-0.005327
0.0,687.57,0.014047,-0.005882
36.14,12.47,0.023323,-0.004865
36.14,16.01,0.023185,0.001854
36.14,19.82,0.022932,0.003884
36.14,23.36,0.022602,0.002519
36.14,26.86,0.02247,0.002261
36.14,30.45,0.022498,0.002467
36.14,33.99,0.022479,0.002368
36.14,37.54,0.022525,0.00247
36.14,41.17,0.022578,0.002208
36.14,44.62,0.022297,0.002082
36.14,48.17,0.022146,0.00223
36.14,51.62,0.022208,0.002196
36.14,55.21,0.022248,0.001909
36.14,58.97,0.0221,-0.000623
36.14,62.61,0.022513,0.000905
36.14,65.97,0.022433,0.001453
36.14,69.78,0.022227,0.001398
36.14,73.24,0.022073,0.001081
36.14,76.74,0.022347,0.001201
36.14,80.28,0.022054,0.00129
36.14,83.87,0.022513,0.00158
36.14,87.37,0.022553,0.001641
36.14,90.91,0.022532,0.00211
36.14,94.37,0.022569,0.002088
36.14,97.96,0.022516,0.002063
36.14,101.5,0.022895,0.00284
36.14,105.31,0.022911,0.003456
36.14,108.81,0.023296,0.003308
36.14,112.35,0.023317,0.003268
36.14,115.98,0.023656,0.002951
36.14,119.52,0.023388,0.002452
36.14,123.02,0.023194,0.00284
36.14,126.52,0.022849,0.002575
36.14,130.11,0.022535,0.001635
36.14,133.66,0.022436,0.000443
36.14,137.29,0.023018,0.001857
36.14,140.83,0.023391,0.002261
36.14,144.37,0.023588,0.002482
36.14,148.01,0.024004,0.002972
36.14,151.55,0.024349,0.003665
36.14,155.14,0.02475,0.003841
36.14,158.64,0.024894,0.003896
36.14,162.14,0.02479,0.004161
36.14,165.64,0.025076,0.00442
36.14,169.18,0.025221,0.004864
36.14,172.72,0.025452,0.005116
36.14,176.27,0.026299,0.005699
36.14,180.16,0.026758,0.0067
36.14,183.71,0.027042,0.006848
36.14,187.21,0.027581,0.007328
36.14,190.71,0.028157,0.007763
36.14,194.25,0.028551,0.007208
36.14,197.92,0.028964,0.007655
36.14,201.42,0.028992,0.007797
36.14,204.97,0.028912,0.008071
36.14,208.51,0.028699,0.007279
36.14,212.1,0.028286,0.00678
36.14,215.6,0.028339,0.007051
36.14,219.23,0.027858,0.0069
36.14,222.77,0.028326,0.007353
36.14,226.32,0.028095,0.007208
36.14,229.91,0.02857,0.008188
36.14,233.41,0.028573,0.007944
36.14,236.95,0.028252,0.00763
36.14,240.45,0.0282,0.007679
36.14,243.99,0.028274,0.008252
36.14,247.54,0.028212,0.007821
36.14,251.04,0.028231,0.007972
36.14,254.71,0.0278,0.007889
36.14,258.39,0.027898,0.007673
36.14,261.89,0.028329,0.007907
36.14,265.47,0.028311,0.007452
36.14,269.02,0.028354,0.006977
36.14,272.65,0.028308,0.00731
36.14,276.15,0.028182,0.007408
36.14,279.69,0.028009,0.006666
36.14,283.24,0.027803,0.006472
36.14,286.78,0.027587,0.006752
36.14,290.41,0.027572,0.006324
36.14,294.0,0.027208,0.006053
36.14,297.59,0.026746,0.006269
36.14,301.17,0.026312,0.006188
36.14,304.72,0.026382,0.006071
36.14,308.39,0.026016,0.006151
36.14,311.89,0.026087,0.006
36.14,315.48,0.025951,0.005948
36.14,318.94,0.025982,0.005985
36.14,322.57,0.026481,0.006207
36.14,326.07,0.026441,0.006235
36.14,329.61,0.02682,0.006148
36.14,333.2,0.026694,0.006176
36.14,336.74,0.02682,0.005437
36.14,340.29,0.026798,0.005659
36.14,343.87,0.026771,0.005575
36.14,347.46,0.026503,0.005203
36.14,351.05,0.026179,0.005079
36.14,354.64,0.025723,0.004389
36.14,358.27,0.025551,0.004716
36.14,361.81,0.025061,0.004537
36.14,365.31,0.025255,0.004469
36.14,368.86,0.02511,0.004358
36.14,372.4,0.025261,0.005126
36.14,375.94,0.025181,0.004993
36.14,379.53,0.024762,0.004676
36.14,383.07,0.024916,0.005009
36.14,386.75,0.024355,0.004525
36.14,390.34,0.024494,0.004362
36.14,393.88,0.024442,0.00426
36.14,397.42,0.02434,0.004377
36.14,400.92,0.024389,0.003776
36.14,404.73,0.024842,0.00182
36.14,408.27,0.024944,0.003752
