x,y,z,z2
7.04,0.0,3.856207,3.75154
10.59,0.0,3.860243,3.755521
14.22,0.0,3.848173,3.746417
17.81,0.0,3.829245,3.727631
21.44,0.0,3.812437,3.711195
24.94,0.0,3.81471,3.714051
28.44,0.0,3.837085,3.735961
31.94,0.0,3.872831,3.77037
35.48,0.0,3.90353,3.801109
39.02,0.0,3.921186,3.818552
42.57,0.0,3.928851,3.82536
46.07,0.0,3.934883,3.832434
49.66,0.0,3.943632,3.839445
53.16,0.0,3.952603,3.849103
56.79,0.0,3.952501,3.847292
60.37,0.0,3.934048,3.830071
63.92,0.0,3.900486,3.797757
67.51,0.0,3.862634,3.760739
71.14,0.0,3.823475,3.722246
74.68,0.0,3.783139,3.684409
78.23,0.0,3.747609,3.649064
81.81,0.0,3.726744,3.628346
85.36,0.0,3.716679,3.619039
88.9,0.0,3.707637,3.609729
92.44,0.0,3.698158,3.601368
96.03,0.0,3.695388,3.597831
99.58,0.0,3.701984,3.605083
103.03,0.0,3.707252,3.609664
106.66,0.0,3.708392,3.610536
110.16,0.0,3.711941,3.614094
113.71,0.0,3.721713,3.6228
117.25,0.0,3.737033,3.637693
120.79,0.0,3.751328,3.652613
124.34,0.0,3.766904,3.666661
127.84,0.0,3.778426,3.678035
131.56,0.0,3.772193,3.667449
135.28,0.0,3.748222,3.650065
138.82,0.0,3.722369,3.624329
142.32,0.0,3.701414,3.604261
145.69,0.0,3.686377,3.589322
149.32,0.0,3.68525,3.588448
152.95,0.0,3.69463,3.596787
156.49,0.0,3.703275,3.605878
160.04,0.0,3.707631,3.609868
163.54,0.0,3.708192,3.611374
167.04,0.0,3.703965,3.607101
170.58,0.0,3.693124,3.596584
174.13,0.0,3.674057,3.57789
177.63,0.0,3.650558,3.555222
181.13,0.0,3.626676,3.532425
184.67,0.0,3.60159,3.507644
188.17,0.0,3.585179,3.491109
191.41,0.0,3.579905,3.480894
195.43,0.0,3.582178,3.485275
198.98,0.0,3.580271,3.484674
202.48,0.0,3.571651,3.477108
206.02,0.0,3.559279,3.464104
209.52,0.0,3.541701,3.448133
213.06,0.0,3.513774,3.421076
216.61,0.0,3.4831,3.390894
220.11,0.0,3.455734,3.363232
223.65,0.0,3.431581,3.340349
227.15,0.0,3.405225,3.314714
230.69,0.0,3.38497,3.294754
234.24,0.0,3.364304,3.274819
237.83,0.0,3.3235,3.235001
241.37,0.0,3.254884,3.170053
244.91,0.0,3.16082,3.078618
248.46,0.0,3.031008,2.952432
252.0,0.0,2.870235,2.796603
255.59,0.0,2.689795,2.619783
259.09,0.0,2.505217,2.439207
262.59,0.0,2.31141,2.250088
266.13,0.0,2.093752,2.037871
269.68,0.0,1.826177,1.776565
273.22,0.0,1.499701,1.458642
276.72,0.0,1.122465,1.091381
280.31,0.0,0.682678,0.661172
283.15,0.0,0.173283,0.163388
287.57,0.0,-0.341236,-0.338679
291.07,0.0,-0.876232,-0.862208
294.66,0.0,-1.405334,-1.379879
298.03,0.0,-1.886372,-1.851273
301.74,0.0,-2.273167,-2.233463
305.29,0.0,-2.574692,-2.530622
308.87,0.0,-2.792828,-2.746115
312.46,0.0,-2.944768,-2.895687
315.92,0.0,-3.046897,-2.998222
319.46,0.0,-3.118385,-3.068665
323.05,0.0,-3.164346,-3.114451
326.55,0.0,-3.189623,-3.139546
329.17,0.0,-3.19471,-3.145301
333.68,0.0,-3.178792,-3.130711
