x,y,z,z2
0.0,3.5,3.152712,2.9753
0.0,7.04,3.163038,3.07428
0.0,10.72,3.175749,3.082764
0.0,14.31,3.189625,3.101406
0.0,17.72,3.19403,3.104653
0.0,21.44,3.182844,3.094945
0.0,25.02,3.159745,3.07273
0.0,28.57,3.128257,3.042672
0.0,32.59,3.087127,2.999237
0.0,36.14,3.050953,2.96876
0.0,39.68,3.020349,2.937758
0.0,43.18,2.993325,2.911868
0.0,47.07,2.970651,2.880322
0.0,50.66,2.962506,2.880223
0.0,54.25,2.956196,2.873104
0.0,57.79,2.945879,2.863082
0.0,61.42,2.936169,2.853735
0.0,64.97,2.933082,2.851431
0.0,68.6,2.93432,2.852774
0.0,72.14,2.92933,2.848002
0.0,75.73,2.92335,2.842198
0.0,79.27,2.918489,2.837854
0.0,82.86,2.909095,2.828248
0.0,86.41,2.892426,2.812232
0.0,89.91,2.870685,2.79173
0.0,93.49,2.844813,2.766018
0.0,97.04,2.816847,2.738751
0.0,100.58,2.792093,2.715088
0.0,104.08,2.779059,2.701314
0.0,107.89,2.779407,2.696847
0.0,111.39,2.784388,2.705812
0.0,114.89,2.791995,2.712999
0.0,118.56,2.804074,2.721936
0.0,122.15,2.819376,2.73868
0.0,125.74,2.833236,2.752993
0.0,129.19,2.843409,2.763677
0.0,132.74,2.849585,2.769598
0.0,136.28,2.842685,2.763061
0.0,139.87,2.821006,2.742669
0.0,143.37,2.795103,2.717457
0.0,146.91,2.774102,2.69677
0.0,150.46,2.767324,2.689653
0.0,154.09,2.769515,2.691141
0.0,157.63,2.773054,2.696255
0.0,161.22,2.773812,2.695297
0.0,164.72,2.769478,2.692931
0.0,168.22,2.760174,2.683323
0.0,171.72,2.745735,2.669336
0.0,175.31,2.724561,2.648279
0.0,178.85,2.700639,2.625556
0.0,182.53,2.675359,2.596083
0.0,186.11,2.658396,2.58356
0.0,189.57,2.654419,2.579124
0.0,193.16,2.667842,2.591647
0.0,196.83,2.703646,2.622568
0.0,200.38,2.74884,2.669435
0.0,203.92,2.785463,2.705365
0.0,207.51,2.798295,2.719234
0.0,211.01,2.783609,2.705199
0.0,214.46,2.745285,2.669093
0.0,218.01,2.697808,2.622611
0.0,221.59,2.655827,2.580883
0.0,225.23,2.626912,2.552414
0.0,228.73,2.61583,2.541903
0.0,232.31,2.621539,2.547161
0.0,235.81,2.633236,2.558508
0.0,239.36,2.633942,2.559598
0.0,242.86,2.621816,2.547774
0.0,246.44,2.603107,2.530036
0.0,249.94,2.583578,2.510304
0.0,253.53,2.561394,2.488203
0.0,257.16,2.535436,2.463113
0.0,260.75,2.503828,2.432288
0.0,264.29,2.461404,2.390193
0.0,267.93,2.422701,2.351961
0.0,271.43,2.396564,2.327183
0.0,274.97,2.383776,2.313483
0.0,278.51,2.384675,2.31483
0.0,282.01,2.391046,2.321046
0.0,285.73,2.395781,2.323354
0.0,289.23,2.395458,2.324928
0.0,292.73,2.390797,2.320825
0.0,296.27,2.383311,2.313354
0.0,300.39,2.379577,2.305963
0.0,303.93,2.377362,2.308502
0.0,307.47,2.369534,2.300615
0.0,311.02,2.35628,2.287233
0.0,314.91,2.337038,2.263218
0.0,318.46,2.312008,2.243921
0.0,321.96,2.288647,2.221259
0.0,325.54,2.272769,2.204978
0.0,329.09,2.257596,2.190634
0.0,332.72,2.242134,2.175449
0.0,336.31,2.233123,2.166937
0.0,339.81,2.233921,2.167642
0.0,343.92,2.241194,2.166469
0.0,347.46,2.248067,2.181059
0.0,350.96,2.260088,2.192094
0.0,354.55,2.275406,2.206121
0.0,358.4,2.281022,2.210615
0.0,361.9,2.277815,2.210292
0.0,365.49,2.270969,2.204004
0.0,368.99,2.266379,2.199833
0.0,373.01,2.264592,2.191746
0.0,376.6,2.258557,2.191675
0.0,380.19,2.240024,2.172972
0.0,383.64,2.213231,2.147479
0.0,387.62,2.1782,2.109787
0.0,391.12,2.148157,2.084087
0.0,394.71,2.123277,2.060009
0.0,398.21,2.101383,2.038388
0.0,402.24,2.076956,2.01064
0.0,405.74,2.060049,1.997319
0.0,409.32,2.055335,1.992578
0.0,412.82,2.054072,1.990717
0.0,416.67,2.046259,1.97947
0.0,420.22,2.034417,1.972137
0.0,423.85,2.020939,1.958444
0.0,427.44,2.011697,1.950418
0.0,431.07,2.005619,1.943946
0.0,434.7,2.00109,1.939309
0.0,438.29,1.990616,1.929245
0.0,441.87,1.970958,1.909642
0.0,445.11,1.939494,1.878613
0.0,449.05,1.902686,1.843952
0.0,452.55,1.866167,1.808801
0.0,456.09,1.827443,1.770483
0.0,459.9,1.793481,1.733025
0.0,463.4,1.777791,1.721093
0.0,467.03,1.776435,1.719202
0.0,470.57,1.785265,1.727695
0.0,474.12,1.801146,1.743315
0.0,477.62,1.814689,1.756854
0.0,481.34,1.818475,1.760724
0.0,484.79,1.814904,1.758037
0.0,488.38,1.810138,1.753167
0.0,491.97,1.804889,1.747782
0.0,495.47,1.80048,1.743845
0.0,498.97,1.798228,1.741288
0.0,502.51,1.800354,1.742917
0.0,506.1,1.809174,1.751848
0.0,509.6,1.829599,1.770933
0.0,513.23,1.860566,1.800222
0.0,516.73,1.893274,1.832544
0.0,520.1,1.927763,1.865563
0.0,523.82,1.963974,1.902304
0.0,527.41,1.997131,1.933567
0.0,530.95,2.018903,1.955332
0.0,534.32,2.032322,1.968798
0.0,538.04,2.045668,1.982208
0.0,541.49,2.061081,1.9976
0.0,545.12,2.075615,2.011275
0.0,548.67,2.090344,2.025391
0.0,552.21,2.105357,2.040498
0.0,555.71,2.125141,2.059805
0.0,559.3,2.155853,2.089408
0.0,562.89,2.20641,2.138376
0.0,566.34,2.272319,2.202704
0.0,569.89,2.342867,2.271626
0.0,573.43,2.410982,2.338776
0.0,576.97,2.473431,2.399934
0.0,580.47,2.532531,2.457657
0.0,584.02,2.580177,2.504949
0.0,587.65,2.619697,2.54421
0.0,591.11,2.654567,2.578323
0.0,594.65,2.687352,2.610627
0.0,598.24,2.718036,2.64059
0.0,601.78,2.749539,2.671468
0.0,605.37,2.796184,2.716055
0.0,608.82,2.852293,2.771505
0.0,612.46,2.909946,2.82815
0.0,615.91,2.961917,2.878529
0.0,619.5,3.009311,2.924986
0.0,623.35,3.050435,2.95753
0.0,626.98,3.081908,2.995984
0.0,630.57,3.111769,3.02465
0.0,634.11,3.140109,3.05221
0.0,637.74,3.16375,3.075463
0.0,641.24,3.174129,3.08814
0.0,644.74,3.172237,3.085817
0.0,648.33,3.162407,3.076076
0.0,651.87,3.149169,3.063223
0.0,655.37,3.132459,3.047318
0.0,658.96,3.107164,3.023076
0.0,662.46,3.081313,2.998337
0.0,666.05,3.060848,2.977469
0.0,669.64,3.052712,2.968763
0.0,673.18,3.06209,2.977999
0.0,676.68,3.089714,3.004946
0.0,680.22,3.127364,3.040756
0.0,683.77,3.16842,3.081603
0.0,687.31,3.222666,3.13269
36.14,11.16,3.149077,2.971098
36.14,14.7,3.190503,3.099952
36.14,18.33,3.236655,3.143001
36.14,21.96,3.281969,3.189905
36.14,25.51,3.323562,3.230685
36.14,29.22,3.35854,3.263097
36.14,32.81,3.385783,3.293087
36.14,36.36,3.405496,3.312853
36.14,39.9,3.414893,3.322348
36.14,43.36,3.415817,3.323781
36.14,46.94,3.419794,3.32801
36.14,50.53,3.421883,3.32993
36.14,54.07,3.42545,3.333408
36.14,57.62,3.437151,3.344834
36.14,61.16,3.448817,3.355808
36.14,64.66,3.45806,3.365299
36.14,68.21,3.459353,3.366618
36.14,71.79,3.445339,3.353183
36.14,75.34,3.418315,3.327536
36.14,78.84,3.381655,3.291932
36.14,82.38,3.342169,3.252847
36.14,85.97,3.314283,3.225053
36.14,89.16,3.301467,3.211572
36.14,93.01,3.306723,3.217934
36.14,96.56,3.313932,3.22294
36.14,100.06,3.308349,3.219252
36.14,103.69,3.288433,3.196131
36.14,107.27,3.266347,3.177838
36.14,110.77,3.246048,3.157789
36.14,114.41,3.229754,3.141276
36.14,118.21,3.215198,3.124388
36.14,121.8,3.203833,3.118091
36.14,125.34,3.190845,3.104634
36.14,128.84,3.16887,3.084071
36.14,132.34,3.138904,3.054366
36.14,135.89,3.106196,3.023331
36.14,139.39,3.081846,2.998159
36.14,142.93,3.067804,2.984018
36.14,146.52,3.058451,2.974715
36.14,150.06,3.053698,2.9703
36.14,153.69,3.043011,2.958981
36.14,157.15,3.018818,2.936739
36.14,160.69,2.991763,2.910436
36.14,164.24,2.977275,2.895799
36.14,167.78,2.969721,2.886049
36.14,171.37,2.955297,2.874382
36.14,175.0,2.928806,2.846576
36.14,178.59,2.898264,2.814561
36.14,182.22,2.873901,2.794456
36.14,185.85,2.859551,2.779456
36.14,189.44,2.855226,2.775636
36.14,193.16,2.848479,2.767263
36.14,196.7,2.834542,2.756918
36.14,200.24,2.812133,2.735097
36.14,203.83,2.777102,2.699438
36.14,207.2,2.73673,2.660901
36.14,210.92,2.69466,2.6203
36.14,214.42,2.649841,2.576148
36.14,218.01,2.602864,2.529342
36.14,221.68,2.56201,2.486006
36.14,225.31,2.534136,2.460948
36.14,228.9,2.520291,2.447627
36.14,232.44,2.525356,2.451487
36.14,235.9,2.552318,2.478098
36.14,239.09,2.596668,2.521077
36.14,242.99,2.644687,2.567787
36.14,246.44,2.67758,2.600686
36.14,249.94,2.686548,2.61002
36.14,253.14,2.673757,2.59713
36.14,257.25,2.645778,2.571804
36.14,260.71,2.608677,2.535695
36.14,264.29,2.571604,2.499272
36.14,267.88,2.544826,2.472938
36.14,271.29,2.53336,2.46145
36.14,274.92,2.534691,2.46197
36.14,278.42,2.535679,2.463686
36.14,281.92,2.530214,2.458535
36.14,285.6,2.52063,2.448055
36.14,289.14,2.503723,2.43222
36.14,292.64,2.487168,2.416428
36.14,296.19,2.473523,2.402608
36.14,299.51,2.458656,2.384663
36.14,303.49,2.440923,2.370088
36.14,306.99,2.42263,2.351444
36.14,310.54,2.416542,2.34572
36.14,314.17,2.416786,2.344253
36.14,317.8,2.419044,2.348184
36.14,321.39,2.425088,2.353948
36.14,324.93,2.436154,2.364876
36.14,328.52,2.442845,2.371607
36.14,332.06,2.437288,2.366776
36.14,335.65,2.432476,2.362183
36.14,339.15,2.440002,2.369697
36.14,342.74,2.457291,2.386145
36.14,346.28,2.480834,2.409093
36.14,349.82,2.505452,2.433166
36.14,353.32,2.524558,2.451595
36.14,356.91,2.532811,2.459771
36.14,360.41,2.533899,2.461933
36.14,363.96,2.535707,2.463582
36.14,367.5,2.542688,2.469651
36.14,370.96,2.559697,2.486453
36.14,374.59,2.580254,2.504564
36.14,378.17,2.595214,2.519715
36.14,381.72,2.608045,2.532722
36.14,385.31,2.620433,2.544346
36.14,389.16,2.628831,2.549262
36.14,392.74,2.638661,2.563406
36.14,396.33,2.656012,2.580143
36.14,399.83,2.668717,2.593089
36.14,403.29,2.669937,2.594644
36.14,406.92,2.659247,2.584435
36.14,410.46,2.635701,2.562053
36.14,414.01,2.596921,2.524053
36.14,417.55,2.553387,2.481973
36.14,421.09,2.511477,2.440821
36.14,424.68,2.475014,2.40478
36.14,428.27,2.444204,2.374232
36.14,431.77,2.415251,2.346173
36.14,435.31,2.391203,2.3223
36.14,438.9,2.377473,2.307645
36.14,442.44,2.374802,2.305862
36.14,445.94,2.378865,2.309257
36.14,449.57,2.374087,2.30361
36.14,453.07,2.358757,2.290064
36.14,456.62,2.337858,2.268539
36.14,460.16,2.310329,2.242319
36.14,463.79,2.277596,2.209879
36.14,467.34,2.255156,2.188517
36.14,470.92,2.248181,2.181167
36.14,474.38,2.257682,2.190393
36.14,478.01,2.275788,2.207735
36.14,481.6,2.287254,2.219475
36.14,485.19,2.289096,2.221576
36.14,488.99,2.288936,2.218218
36.14,492.54,2.28771,2.218896
36.14,496.21,2.275766,2.208129
36.14,499.71,2.248206,2.182704
36.14,503.21,2.205658,2.141182
36.14,506.71,2.159192,2.09589
36.14,510.21,2.113752,2.051022
36.14,513.8,2.075446,2.012812
36.14,517.3,2.044965,1.983176
36.14,520.97,2.020548,1.956315
36.14,524.47,2.011571,1.950258
36.14,528.06,2.014476,1.951552
36.14,531.61,2.01601,1.954069
36.14,535.15,2.006321,1.944279
36.14,538.69,1.979984,1.919473
36.14,542.24,1.945095,1.885656
36.14,545.65,1.912116,1.853404
36.14,549.32,1.880372,1.822147
36.14,553.17,1.844593,1.786651
36.14,556.76,1.807125,1.751127
36.14,560.35,1.771737,1.715594
36.14,563.94,1.746192,1.690145
36.14,567.52,1.728435,1.671725
36.14,571.16,1.714045,1.656325
36.14,574.7,1.699756,1.64439
36.14,578.24,1.687985,1.632714
36.14,581.79,1.68796,1.632871
36.14,585.37,1.693783,1.637825
36.14,588.92,1.699279,1.643352
36.14,592.46,1.701288,1.645705
36.14,596.01,1.701787,1.646365
36.14,599.55,1.706682,1.651109
36.14,603.01,1.717329,1.66154
36.14,606.64,1.727591,1.671374
36.14,610.14,1.738139,1.681747
36.14,613.59,1.748509,1.692098
36.14,617.18,1.75341,1.697104
36.14,620.77,1.750098,1.694368
36.14,624.36,1.744917,1.68906
36.14,628.16,1.739137,1.68044
36.14,631.71,1.731026,1.674442
36.14,635.29,1.722988,1.667061
36.14,638.92,1.715884,1.659107
36.14,642.47,1.709328,1.653115
36.14,646.01,1.698848,1.643182
36.14,649.51,1.686965,1.631882
36.14,653.06,1.678956,1.623376
36.14,656.69,1.669978,1.614945
36.14,660.23,1.660157,1.605961
36.14,663.77,1.650665,1.596611
36.14,667.41,1.647437,1.593712
