x,y,z,z2
7.0,0.0,0.008875,-0.012077
10.5,0.0,0.008847,-0.012259
14.04,0.0,0.008826,-0.01233
17.63,0.0,0.008696,-0.012277
21.04,0.0,0.008323,-0.012675
24.81,0.0,0.008422,-0.012373
28.44,0.0,0.008647,-0.011926
31.98,0.0,0.008616,-0.011273
35.52,0.0,0.008678,-0.011144
39.07,0.0,0.008847,-0.011378
42.7,0.0,0.008206,-0.011332
46.24,0.0,0.008268,-0.011649
49.83,0.0,0.008289,-0.011279
53.24,0.0,0.008462,-0.011433
56.87,0.0,0.008382,-0.01172
60.42,0.0,0.008228,-0.011523
63.92,0.0,0.008206,-0.011541
67.51,0.0,0.008613,-0.011575
71.05,0.0,0.008607,-0.011686
74.68,0.0,0.008755,-0.012234
78.27,0.0,0.008989,-0.011476
81.72,0.0,0.009697,-0.011489
85.36,0.0,0.010277,-0.01054
88.9,0.0,0.010449,-0.010691
92.4,0.0,0.01141,-0.009708
96.03,0.0,0.011792,-0.008996
99.62,0.0,0.011644,-0.009073
103.25,0.0,0.011798,-0.008762
106.79,0.0,0.011684,-0.00908
110.21,0.0,0.011423,-0.008947
113.88,0.0,0.010948,-0.008698
117.47,0.0,0.010997,-0.008664
121.01,0.0,0.010942,-0.008858
124.82,0.0,0.011108,-0.009477
128.32,0.0,0.011235,-0.009298
131.86,0.0,0.010988,-0.00899
135.41,0.0,0.011324,-0.008651
138.91,0.0,0.01129,-0.008864
142.41,0.0,0.011546,-0.008969
145.95,0.0,0.011419,-0.009166
149.58,0.0,0.010982,-0.010007
153.08,0.0,0.010967,-0.010352
156.67,0.0,0.011081,-0.009717
160.17,0.0,0.011148,-0.009998
163.76,0.0,0.011096,-0.010124
167.26,0.0,0.010994,-0.009773
170.84,0.0,0.011078,-0.010047
174.43,0.0,0.01101,-0.010035
177.98,0.0,0.011065,-0.00976
181.52,0.0,0.011102,-0.009502
185.24,0.0,0.011358,-0.007327
188.83,0.0,0.011546,-0.00855
192.33,0.0,0.011315,-0.008328
195.87,0.0,0.011173,-0.008269
199.59,0.0,0.011512,-0.009745
203.22,0.0,0.011663,-0.008731
206.76,0.0,0.011758,-0.008885
210.35,0.0,0.0117,-0.009126
213.98,0.0,0.012054,-0.00932
217.57,0.0,0.012609,-0.008491
221.07,0.0,0.01251,-0.008396
224.61,0.0,0.012994,-0.008158
228.16,0.0,0.013271,-0.007539
231.7,0.0,0.013613,-0.007176
235.11,0.0,0.014494,-0.006181
238.74,0.0,0.015582,-0.005223
242.33,0.0,0.016697,-0.003596
246.01,0.0,0.018179,-0.001378
249.46,0.0,0.019389,-0.000469
253.05,0.0,0.021235,0.001253
256.51,0.0,0.022935,0.002698
260.05,0.0,0.024827,0.005045
263.77,0.0,0.027085,0.006614
267.4,0.0,0.029435,0.008484
270.94,0.0,0.03227,0.011296
274.18,0.0,0.035187,0.013376
278.16,0.0,0.038477,0.016703
281.62,0.0,0.042208,0.020628
285.16,0.0,0.046136,0.024303
288.71,0.0,0.049922,0.027911
292.29,0.0,0.054263,0.032073
295.93,0.0,0.059546,0.037504
299.43,0.0,0.065166,0.042926
303.01,0.0,0.071977,0.049978
306.56,0.0,0.080279,0.058354
310.1,0.0,0.09052,0.068058
313.69,0.0,0.102556,0.080486
317.19,0.0,0.115095,0.092072
320.51,0.0,0.127661,0.104965
324.36,0.0,0.138831,0.115714
327.82,0.0,0.146385,0.123607
331.36,0.0,0.149857,0.126921
334.38,0.0,0.147214,0.124026
338.67,0.0,0.136814,0.113345
342.26,0.0,0.119075,0.097051
345.76,0.0,0.094023,0.072824
349.17,0.0,0.06332,0.042208
352.89,0.0,0.028936,0.00861
356.39,0.0,-0.007542,-0.026901
359.89,0.0,-0.041553,-0.06049
363.47,0.0,-0.073272,-0.091723
367.02,0.0,-0.099326,-0.117117
370.52,0.0,-0.118266,-0.136045
374.06,0.0,-0.130222,-0.14798
377.56,0.0,-0.13533,-0.153238
381.19,0.0,-0.135118,-0.152986
384.69,0.0,-0.129351,-0.147342
388.24,0.0,-0.120068,-0.138617
391.87,0.0,-0.108124,-0.126125
394.76,0.0,-0.094899,-0.113488
