x,y,z,z2
0.0,3.54,0.009513,-0.01615
0.0,7.09,0.009506,-0.01184
0.0,10.76,0.009953,-0.011769
0.0,14.35,0.010363,-0.010657
0.0,17.94,0.010575,-0.010321
0.0,21.48,0.010997,-0.009425
0.0,25.02,0.011062,-0.009326
0.0,28.52,0.011404,-0.009052
0.0,32.11,0.011832,-0.00839
0.0,35.7,0.011746,-0.008402
0.0,39.16,0.011728,-0.008001
0.0,42.83,0.012183,-0.007419
0.0,46.37,0.012399,-0.007422
0.0,50.09,0.012753,-0.008011
0.0,53.55,0.012932,-0.007666
0.0,57.14,0.013219,-0.00745
0.0,60.68,0.013514,-0.007299
0.0,64.44,0.013564,-0.00834
0.0,67.94,0.013992,-0.007046
0.0,71.53,0.014516,-0.006424
0.0,75.03,0.015156,-0.006033
0.0,78.62,0.01588,-0.004563
0.0,82.21,0.016376,-0.004548
0.0,85.71,0.017029,-0.003544
0.0,89.25,0.017615,-0.00294
0.0,92.79,0.017867,-0.002089
0.0,96.38,0.017954,-0.001812
0.0,99.88,0.01804,-0.002037
0.0,103.43,0.017596,-0.002373
0.0,106.97,0.017091,-0.002983
0.0,110.56,0.016869,-0.003587
0.0,114.1,0.01682,-0.003349
0.0,117.64,0.016419,-0.003978
0.0,121.19,0.016241,-0.003768
0.0,124.73,0.016047,-0.004967
0.0,128.23,0.015705,-0.00526
0.0,131.82,0.015406,-0.005515
0.0,135.36,0.015317,-0.005829
0.0,138.86,0.015344,-0.005706
0.0,142.32,0.014904,-0.005971
0.0,145.91,0.014965,-0.00615
0.0,149.49,0.014916,-0.006017
0.0,152.99,0.014814,-0.006134
0.0,156.58,0.014904,-0.00562
0.0,160.17,0.014784,-0.005916
0.0,163.67,0.014833,-0.005706
0.0,167.26,0.015042,-0.005491
0.0,171.28,0.014913,-0.005407
0.0,174.91,0.014873,-0.006273
0.0,178.41,0.014922,-0.005968
0.0,182.0,0.014941,-0.00619
0.0,185.54,0.014583,-0.006593
0.0,189.13,0.01462,-0.006769
0.0,192.72,0.014457,-0.006227
0.0,196.26,0.014873,-0.005906
0.0,199.76,0.014808,-0.005934
0.0,203.31,0.015277,-0.005392
0.0,206.85,0.015594,-0.005324
0.0,210.35,0.016071,-0.004785
0.0,213.85,0.016349,-0.004104
0.0,217.31,0.016811,-0.002724
0.0,221.03,0.017236,-0.003041
0.0,224.53,0.017224,-0.002733
0.0,228.11,0.017338,-0.002666
0.0,231.53,0.017636,-0.002478
0.0,235.29,0.017593,-0.002564
0.0,238.79,0.017257,-0.002844
0.0,242.33,0.016789,-0.00343
0.0,245.96,0.016469,-0.005149
0.0,249.55,0.015914,-0.005321
0.0,253.09,0.016068,-0.005022
0.0,256.68,0.015532,-0.005608
0.0,260.23,0.015742,-0.00534
0.0,263.73,0.015662,-0.005247
0.0,267.27,0.015674,-0.00534
0.0,270.81,0.015736,-0.005272
0.0,274.4,0.015582,-0.005244
0.0,278.03,0.01556,-0.004033
0.0,281.58,0.015754,-0.004428
0.0,285.12,0.015637,-0.004132
0.0,288.71,0.015649,-0.004221
0.0,292.25,0.015631,-0.004175
0.0,295.84,0.015739,-0.004289
0.0,299.34,0.015951,-0.003845
0.0,302.92,0.016484,-0.003716
0.0,306.51,0.017134,-0.003485
0.0,310.01,0.017538,-0.002838
0.0,313.56,0.018031,-0.002579
0.0,317.1,0.017991,-0.003337
0.0,320.64,0.018277,-0.002749
0.0,323.97,0.018333,-0.003411
0.0,327.91,0.018342,-0.002801
0.0,331.45,0.018696,-0.002222
0.0,334.95,0.018631,-0.001963
0.0,338.49,0.018708,-0.002049
0.0,342.04,0.018782,-0.001747
0.0,345.62,0.018745,-0.001427
0.0,349.17,0.018776,-0.001285
0.0,352.45,0.01881,-0.001381
0.0,356.3,0.018721,-0.001298
0.0,359.84,0.018699,-0.001101
0.0,363.39,0.019272,-0.000635
0.0,366.93,0.020104,-0.00029
0.0,370.47,0.020689,0.000659
0.0,374.02,0.021299,0.001031
0.0,377.56,0.021854,0.000877
0.0,381.06,0.022091,0.001795
0.0,384.61,0.022091,0.001413
0.0,388.15,0.022205,0.000927
0.0,391.74,0.022451,0.001044
0.0,395.32,0.022852,0.001546
0.0,398.91,0.023203,0.001842
0.0,402.41,0.023964,0.002673
0.0,405.96,0.02434,0.003098
0.0,409.46,0.024833,0.003789
0.0,412.69,0.025483,0.004189
0.0,416.59,0.026041,0.005347
0.0,420.13,0.026324,0.005763
0.0,423.67,0.026681,0.006293
0.0,427.17,0.026718,0.00653
0.0,430.85,0.026681,0.006687
0.0,434.39,0.026684,0.006623
0.0,437.89,0.026801,0.006478
0.0,441.44,0.026657,0.00657
0.0,444.98,0.026848,0.006463
0.0,448.52,0.026734,0.006493
0.0,451.98,0.026709,0.006663
0.0,455.57,0.026774,0.006481
0.0,459.11,0.027174,0.006805
0.0,462.61,0.027076,0.006854
0.0,466.24,0.027091,0.006333
0.0,469.74,0.027187,0.005973
0.0,473.29,0.027473,0.006222
0.0,476.87,0.02792,0.007036
0.0,480.33,0.028758,0.007519
0.0,483.83,0.028986,0.007824
0.0,487.37,0.029491,0.007741
0.0,490.96,0.029636,0.008271
0.0,494.46,0.02978,0.008557
0.0,498.05,0.029814,0.008425
0.0,501.64,0.029882,0.008505
0.0,505.09,0.029445,0.008262
0.0,508.64,0.02926,0.008317
0.0,512.14,0.029506,0.008216
0.0,515.68,0.028906,0.008142
0.0,519.18,0.028487,0.007843
0.0,522.77,0.02792,0.007119
0.0,526.27,0.027146,0.00666
0.0,529.86,0.026456,0.00592
0.0,533.18,0.025686,0.006241
0.0,536.99,0.02527,0.005036
0.0,540.53,0.024851,0.004842
0.0,544.07,0.0243,0.0043
0.0,547.49,0.024029,0.003764
0.0,551.16,0.02352,0.003487
0.0,554.66,0.0232,0.003012
0.0,558.16,0.022538,0.002516
0.0,561.62,0.022106,0.001968
0.0,565.03,0.021764,0.001235
0.0,568.66,0.021552,0.001281
0.0,572.25,0.021472,0.000837
0.0,575.71,0.021025,-1.6e-05
0.0,579.34,0.021071,0.000363
0.0,582.92,0.020951,-0.000324
0.0,586.56,0.020689,-0.000873
0.0,590.1,0.020603,-0.000568
0.0,593.56,0.020313,-0.000688
0.0,597.14,0.019827,-0.001147
0.0,600.64,0.019873,-0.00115
0.0,604.19,0.019485,-0.001298
0.0,607.91,0.019149,0.000532
0.0,611.49,0.018758,-0.001868
0.0,615.04,0.018715,-0.000968
0.0,618.58,0.018046,-0.001852
0.0,622.17,0.017482,-0.002576
0.0,625.71,0.016915,-0.002918
0.0,629.21,0.016416,-0.003707
0.0,632.84,0.015597,-0.004499
0.0,636.39,0.014944,-0.005626
0.0,639.93,0.014183,-0.006624
0.0,643.43,0.013459,-0.007105
0.0,647.02,0.012944,-0.007703
0.0,650.56,0.012211,-0.008784
0.0,654.06,0.011765,-0.009144
0.0,657.69,0.011829,-0.009258
0.0,661.15,0.011555,-0.009455
0.0,664.69,0.011389,-0.009499
0.0,668.24,0.011099,-0.009816
0.0,671.82,0.01072,-0.010155
0.0,675.37,0.010181,-0.010491
