x,y,z,z2
7.04,0.0,0.021734,0.000948
10.54,0.0,0.021992,0.001022
14.09,0.0,0.021946,0.001232
17.59,0.0,0.021999,0.00096
21.26,0.0,0.022368,0.000911
24.85,0.0,0.022695,0.001737
28.35,0.0,0.023089,0.002498
32.02,0.0,0.023884,0.003594
35.57,0.0,0.02438,0.003859
39.11,0.0,0.024238,0.003801
42.79,0.0,0.024516,0.005255
46.37,0.0,0.02507,0.005042
49.92,0.0,0.024931,0.005045
53.42,0.0,0.025323,0.005313
57.01,0.0,0.025394,0.004716
60.55,0.0,0.025369,0.004867
64.14,0.0,0.02564,0.005292
67.68,0.0,0.025739,0.005101
71.22,0.0,0.025714,0.004959
74.77,0.0,0.025699,0.005015
78.36,0.0,0.026139,0.004811
81.81,0.0,0.02617,0.005067
85.49,0.0,0.026062,0.004938
88.99,0.0,0.026081,0.005021
92.49,0.0,0.026238,0.005203
95.99,0.0,0.025708,0.004728
99.62,0.0,0.025745,0.004919
103.12,0.0,0.025384,0.004648
106.66,0.0,0.025369,0.004824
110.29,0.0,0.024968,0.004633
113.79,0.0,0.024904,0.004768
117.12,0.0,0.024608,0.004839
120.93,0.0,0.024593,0.004593
124.56,0.0,0.024611,0.004691
128.06,0.0,0.024679,0.004707
131.6,0.0,0.024935,0.005036
135.19,0.0,0.02495,0.004873
138.73,0.0,0.025002,0.004996
142.28,0.0,0.025372,0.00515
145.78,0.0,0.025347,0.005082
149.28,0.0,0.025375,0.004987
152.82,0.0,0.025723,0.005464
156.36,0.0,0.025683,0.005042
159.91,0.0,0.025813,0.00532
163.45,0.0,0.025692,0.00491
166.99,0.0,0.025304,0.004078
170.54,0.0,0.025363,0.004248
174.08,0.0,0.025748,0.004734
177.71,0.0,0.025677,0.00438
181.26,0.0,0.026081,0.005101
184.8,0.0,0.02641,0.005538
188.39,0.0,0.026835,0.006219
192.15,0.0,0.026888,0.00787
195.69,0.0,0.026925,0.006598
199.24,0.0,0.026801,0.007147
202.83,0.0,0.026922,0.006931
206.41,0.0,0.026906,0.006663
209.96,0.0,0.026423,0.006416
213.5,0.0,0.026222,0.006037
217.04,0.0,0.025751,0.00548
220.72,0.0,0.025258,0.002467
224.35,0.0,0.024639,0.00389
227.89,0.0,0.024186,0.003043
231.44,0.0,0.023872,0.002778
234.98,0.0,0.023453,0.002532
238.48,0.0,0.023123,0.002045
242.11,0.0,0.022701,0.001934
245.61,0.0,0.022322,0.001352
249.11,0.0,0.021577,0.000887
252.61,0.0,0.021148,0.000483
256.2,0.0,0.020323,-0.000179
259.7,0.0,0.01934,-0.001011
263.24,0.0,0.018394,-0.001951
266.83,0.0,0.016435,-0.003719
270.42,0.0,0.01373,-0.005928
273.96,0.0,0.010049,-0.009462
277.46,0.0,0.005492,-0.013879
281.09,0.0,-0.000352,-0.019674
284.64,0.0,-0.007869,-0.027111
288.18,0.0,-0.017644,-0.036523
291.68,0.0,-0.029311,-0.048032
295.57,0.0,-0.0457,-0.067274
299.16,0.0,-0.063494,-0.082188
302.71,0.0,-0.085127,-0.103423
306.21,0.0,-0.11009,-0.127733
309.84,0.0,-0.13737,-0.154132
313.34,0.0,-0.164221,-0.18066
316.92,0.0,-0.191451,-0.206707
320.42,0.0,-0.21496,-0.230114
324.14,0.0,-0.232576,-0.245629
327.51,0.0,-0.239338,-0.253836
331.27,0.0,-0.234634,-0.249788
334.86,0.0,-0.215478,-0.23155
338.45,0.0,-0.179954,-0.197588
341.95,0.0,-0.132499,-0.150965
