x,y,z,z2
0.0,3.59,0.024189,-0.0016
0.0,7.17,0.023795,0.001894
0.0,10.72,0.023342,0.001805
0.0,14.35,0.023462,0.002131
0.0,17.85,0.023003,0.002033
0.0,21.39,0.022901,0.003884
0.0,25.33,0.022726,0.002661
0.0,28.79,0.022926,0.002793
0.0,32.33,0.022994,0.002877
0.0,35.96,0.023437,0.003397
0.0,39.46,0.023832,0.003862
0.0,43.01,0.023789,0.003591
0.0,46.64,0.023665,0.003665
0.0,50.18,0.023705,0.003052
0.0,53.68,0.023505,0.002442
0.0,57.4,0.023015,0.001971
0.0,60.9,0.022655,0.001956
0.0,64.49,0.022689,0.00113
0.0,68.03,0.022692,0.001472
0.0,71.53,0.02255,0.001669
0.0,75.07,0.022991,0.001758
0.0,78.62,0.023018,0.001801
0.0,81.94,0.023428,0.002285
0.0,85.79,0.023363,0.00214
0.0,89.38,0.023357,0.002784
0.0,92.93,0.023536,0.002707
0.0,96.43,0.023471,0.00271
0.0,100.01,0.023068,0.002907
0.0,103.56,0.022963,0.002732
0.0,107.14,0.023046,0.003169
0.0,110.73,0.023012,0.003018
0.0,114.23,0.022951,0.002901
0.0,117.82,0.023129,0.003068
0.0,121.32,0.023388,0.003437
0.0,124.91,0.023493,0.003179
0.0,128.32,0.023345,0.002741
0.0,132.08,0.02341,0.002596
0.0,135.63,0.023138,0.002464
0.0,139.17,0.022726,0.001644
0.0,142.45,0.022781,0.002011
0.0,146.26,0.022415,0.001121
0.0,149.76,0.021842,0.001238
0.0,153.26,0.021456,0.000545
0.0,156.84,0.021527,0.00019
0.0,160.39,0.02117,0.000187
0.0,163.93,0.020772,-0.00046
0.0,167.48,0.020344,-0.000829
0.0,171.11,0.020039,-0.001319
0.0,174.56,0.019931,-0.001054
0.0,178.15,0.019663,-0.001612
0.0,181.69,0.019543,-0.001372
0.0,185.19,0.019593,-0.001282
0.0,188.61,0.019913,0.000606
0.0,192.41,0.020021,-0.000238
0.0,196.0,0.020397,0.000295
0.0,199.54,0.020828,0.000649
0.0,202.96,0.021213,0.001435
0.0,206.68,0.021888,0.001848
0.0,210.22,0.022264,0.002036
0.0,213.68,0.022322,0.00218
0.0,217.31,0.022285,0.002159
0.0,220.85,0.021925,0.00141
0.0,224.39,0.021974,0.001287
0.0,227.94,0.021875,0.001469
0.0,231.53,0.021798,0.000779
0.0,235.07,0.021875,0.000825
0.0,238.61,0.021573,0.000394
0.0,242.2,0.021512,0.000551
0.0,245.83,0.021158,-0.000444
0.0,249.33,0.021281,0.000215
0.0,252.88,0.021148,0.000129
0.0,256.42,0.021617,0.000655
0.0,260.01,0.021478,0.000643
0.0,263.64,0.021583,0.001463
0.0,267.14,0.021549,0.001626
0.0,270.77,0.021429,0.001179
0.0,274.23,0.021564,0.001512
0.0,277.9,0.021268,0.001586
0.0,281.44,0.021127,0.000957
0.0,285.03,0.021105,0.000828
0.0,288.58,0.020776,0.000304
0.0,292.08,0.020347,0.000212
0.0,295.79,0.020033,-0.001097
0.0,299.29,0.019673,-0.000848
0.0,302.84,0.019626,-0.001821
0.0,306.38,0.019737,-0.001365
0.0,310.19,0.019608,-0.001664
0.0,313.78,0.020052,-0.000435
0.0,317.32,0.020095,-0.000377
0.0,320.91,0.019879,-0.000315
0.0,324.36,0.020049,-0.000638
0.0,327.86,0.019981,-9.6e-05
0.0,331.49,0.020104,-0.000281
0.0,335.04,0.020045,0.000175
0.0,338.63,0.020085,-9.9e-05
0.0,342.13,0.020394,0.000437
0.0,345.67,0.020403,0.000495
0.0,349.26,0.020674,0.000668
0.0,353.11,0.020739,-0.001239
0.0,356.61,0.020748,-0.000386
0.0,360.24,0.021244,-0.000327
0.0,363.78,0.020868,-0.000441
0.0,367.24,0.020757,-0.000296
0.0,371.09,0.020273,-0.000269
0.0,374.63,0.020468,-0.000192
0.0,378.13,0.02035,-1.9e-05
