x,y,z,z2
7.17,0.0,-0.0003,-0.000189
11.2,0.0,-0.000876,-0.000195
14.7,0.0,-0.00115,-0.000635
18.2,0.0,-0.001942,-0.000771
22.05,0.0,-0.003091,-0.000974
25.55,0.0,-0.004104,-0.00135
29.05,0.0,-0.00529,-0.001621
32.73,0.0,-0.006452,-0.001969
36.22,0.0,-0.00717,-0.002776
39.72,0.0,-0.007471,-0.003907
43.22,0.0,-0.007595,-0.005469
46.9,0.0,-0.007071,-0.00745
50.4,0.0,-0.00664,-0.008981
53.9,0.0,-0.006011,-0.010241
57.4,0.0,-0.005226,-0.010965
60.9,0.0,-0.00436,-0.010913
64.4,0.0,-0.003772,-0.01029
68.07,0.0,-0.003069,-0.009144
71.57,0.0,-0.002533,-0.008088
75.07,0.0,-0.002321,-0.007539
78.57,0.0,-0.00176,-0.00651
82.07,0.0,-0.001094,-0.005663
85.75,0.0,-0.000364,-0.005112
89.25,0.0,0.000529,-0.00436
92.92,0.0,0.001675,-0.003654
96.25,0.0,0.002587,-0.002974
100.1,0.0,0.003132,-0.002539
103.77,0.0,0.004211,-0.002179
107.27,0.0,0.005095,-0.002126
110.77,0.0,0.005902,-0.002151
114.27,0.0,0.006971,-0.002157
117.95,0.0,0.007532,-0.002296
121.45,0.0,0.008182,-0.002564
124.95,0.0,0.007994,-0.003199
128.45,0.0,0.007954,-0.003571
131.95,0.0,0.007867,-0.004061
135.62,0.0,0.007756,-0.004073
138.95,0.0,0.006946,-0.004175
142.62,0.0,0.006487,-0.004403
146.12,0.0,0.006161,-0.004785
149.62,0.0,0.005723,-0.005719
153.3,0.0,0.0052,-0.006809
156.8,0.0,0.004553,-0.007533
160.3,0.0,0.004574,-0.007897
163.98,0.0,0.004608,-0.007927
167.48,0.0,0.00495,-0.008294
170.98,0.0,0.005366,-0.009129
174.48,0.0,0.005754,-0.010259
178.15,0.0,0.006244,-0.011279
181.65,0.0,0.00629,-0.012182
185.15,0.0,0.006413,-0.013075
188.65,0.0,0.006601,-0.014129
192.15,0.0,0.00686,-0.014859
195.83,0.0,0.007301,-0.015657
199.33,0.0,0.008157,-0.016396
202.83,0.0,0.008502,-0.017185
206.5,0.0,0.008878,-0.017974
210.0,0.0,0.009087,-0.018701
213.68,0.0,0.008862,-0.019412
217.18,0.0,0.008567,-0.020269
220.68,0.0,0.008277,-0.021073
224.18,0.0,0.00804,-0.021473
227.85,0.0,0.007572,-0.022222
231.35,0.0,0.008037,-0.023075
234.85,0.0,0.008206,-0.023448
238.35,0.0,0.008379,-0.024178
242.03,0.0,0.008758,-0.024742
245.53,0.0,0.008847,-0.025571
249.2,0.0,0.008779,-0.026498
252.7,0.0,0.009241,-0.027835
256.2,0.0,0.009275,-0.029425
259.7,0.0,0.009556,-0.031057
263.38,0.0,0.009959,-0.032887
266.88,0.0,0.010295,-0.034462
270.55,0.0,0.010695,-0.03708
274.05,0.0,0.011996,-0.040481
277.55,0.0,0.013795,-0.04513
281.23,0.0,0.016561,-0.050746
284.73,0.0,0.020406,-0.05862
288.23,0.0,0.026435,-0.068688
291.73,0.0,0.034001,-0.081741
295.4,0.0,0.044078,-0.098753
298.9,0.0,0.05621,-0.12053
302.4,0.0,0.071419,-0.146513
305.9,0.0,0.090646,-0.178445
309.4,0.0,0.113234,-0.217129
313.08,0.0,0.139907,-0.259504
316.58,0.0,0.167553,-0.30569
320.08,0.0,0.196866,-0.352776
323.58,0.0,0.22511,-0.397499
327.08,0.0,0.249155,-0.435028
330.75,0.0,0.267057,-0.462141
334.25,0.0,0.276761,-0.474686
337.93,0.0,0.275347,-0.467871
341.43,0.0,0.261573,-0.440582
344.93,0.0,0.233958,-0.391081
348.6,0.0,0.19279,-0.321938
352.1,0.0,0.141456,-0.232896
355.6,0.0,0.081777,-0.132111
359.1,0.0,0.017929,-0.022992
362.95,0.0,-0.049502,0.093034
366.63,0.0,-0.108214,0.192205
370.13,0.0,-0.159135,0.279792
373.63,0.0,-0.201356,0.35076
377.13,0.0,-0.230949,0.402987
380.8,0.0,-0.249551,0.43458
384.3,0.0,-0.257434,0.446745
387.8,0.0,-0.254671,0.442633
