x,y,z,z2
7.17,0.0,-0.053088,-0.027148
11.2,0.0,-0.053775,-0.027216
14.7,0.0,-0.054104,-0.027256
18.38,0.0,-0.054576,-0.027508
21.88,0.0,-0.054862,-0.027576
25.38,0.0,-0.055413,-0.027875
28.88,0.0,-0.055789,-0.028282
32.38,0.0,-0.056362,-0.02928
36.05,0.0,-0.057271,-0.030796
39.55,0.0,-0.058525,-0.033303
43.22,0.0,-0.059548,-0.035651
46.72,0.0,-0.060832,-0.038513
50.22,0.0,-0.062314,-0.041341
53.72,0.0,-0.063725,-0.043738
57.22,0.0,-0.064748,-0.045571
60.9,0.0,-0.065577,-0.046643
64.4,0.0,-0.066338,-0.047542
67.9,0.0,-0.067071,-0.048223
71.57,0.0,-0.067625,-0.048214
75.07,0.0,-0.067983,-0.048023
78.75,0.0,-0.068414,-0.047441
82.25,0.0,-0.068531,-0.046452
85.75,0.0,-0.068328,-0.045284
89.42,0.0,-0.067835,-0.043938
92.92,0.0,-0.067102,-0.042813
96.42,0.0,-0.06635,-0.041975
100.1,0.0,-0.065632,-0.042052
103.77,0.0,-0.065201,-0.042647
107.27,0.0,-0.064748,-0.043112
110.77,0.0,-0.064123,-0.04347
114.27,0.0,-0.063513,-0.043833
117.77,0.0,-0.062863,-0.043839
121.27,0.0,-0.061652,-0.043485
124.95,0.0,-0.060872,-0.042912
128.45,0.0,-0.059816,-0.042696
131.95,0.0,-0.058676,-0.04282
135.45,0.0,-0.058109,-0.043516
138.95,0.0,-0.057083,-0.044144
142.45,0.0,-0.056519,-0.044184
146.12,0.0,-0.055743,-0.04383
149.8,0.0,-0.05534,-0.043069
153.3,0.0,-0.054646,-0.042062
156.8,0.0,-0.054255,-0.040768
160.48,0.0,-0.053488,-0.03915
163.98,0.0,-0.052921,-0.037687
167.48,0.0,-0.05241,-0.036208
170.98,0.0,-0.051942,-0.035222
174.65,0.0,-0.051667,-0.034591
178.15,0.0,-0.051566,-0.033984
181.65,0.0,-0.051606,-0.033901
185.15,0.0,-0.051261,-0.03391
188.83,0.0,-0.051131,-0.034375
192.33,0.0,-0.051221,-0.034597
196.18,0.0,-0.051507,-0.035001
199.68,0.0,-0.051686,-0.035367
203.35,0.0,-0.051874,-0.035728
206.85,0.0,-0.05232,-0.036097
210.35,0.0,-0.052653,-0.036085
213.85,0.0,-0.053063,-0.036162
217.35,0.0,-0.052881,-0.036076
221.03,0.0,-0.052524,-0.035697
224.53,0.0,-0.051997,-0.035383
228.03,0.0,-0.051325,-0.035041
231.53,0.0,-0.050709,-0.034569
235.03,0.0,-0.050829,-0.034224
238.7,0.0,-0.051427,-0.034317
242.2,0.0,-0.052524,-0.034289
245.7,0.0,-0.053959,-0.034246
249.2,0.0,-0.055484,-0.034554
252.7,0.0,-0.057145,-0.034643
256.38,0.0,-0.058704,-0.034646
259.88,0.0,-0.059961,-0.034631
263.38,0.0,-0.06094,-0.035028
267.05,0.0,-0.061673,-0.035367
270.55,0.0,-0.062277,-0.035657
274.05,0.0,-0.062357,-0.036125
277.55,0.0,-0.062918,-0.036489
281.23,0.0,-0.063389,-0.036507
284.73,0.0,-0.063725,-0.036489
288.23,0.0,-0.063707,-0.036492
291.73,0.0,-0.063553,-0.03651
295.23,0.0,-0.06367,-0.036458
298.9,0.0,-0.063124,-0.036045
302.58,0.0,-0.062123,-0.035734
306.08,0.0,-0.061057,-0.035053
309.58,0.0,-0.06009,-0.034619
313.08,0.0,-0.059234,-0.034243
316.58,0.0,-0.058719,-0.033953
320.08,0.0,-0.058762,-0.033904
323.58,0.0,-0.058787,-0.033892
327.43,0.0,-0.059132,-0.033919
330.93,0.0,-0.0598,-0.033932
334.43,0.0,-0.060817,-0.033947
337.93,0.0,-0.061754,-0.034067
341.43,0.0,-0.062579,-0.03419
345.1,0.0,-0.063319,-0.034397
348.6,0.0,-0.063959,-0.035062
352.1,0.0,-0.064314,-0.036048
355.6,0.0,-0.064699,-0.037468
359.28,0.0,-0.065278,-0.039126
362.6,0.0,-0.065586,-0.04074
366.28,0.0,-0.065922,-0.042613
369.78,0.0,-0.065842,-0.044385
373.45,0.0,-0.065574,-0.045873
376.95,0.0,-0.065176,-0.046803
380.45,0.0,-0.064893,-0.047518
383.95,0.0,-0.064446,-0.047897
387.63,0.0,-0.064012,-0.048183
391.13,0.0,-0.063756,-0.048248
394.63,0.0,-0.06318,-0.048386
398.13,0.0,-0.062558,-0.048177
401.8,0.0,-0.061353,-0.047416
405.3,0.0,-0.060444,-0.046433
408.8,0.0,-0.059301,-0.044723
412.3,0.0,-0.057761,-0.042915
415.98,0.0,-0.056267,-0.040937
419.48,0.0,-0.05412,-0.038926
423.15,0.0,-0.052052,-0.037071
426.65,0.0,-0.049612,-0.035586
430.15,0.0,-0.047844,-0.034197
433.65,0.0,-0.046085,-0.033155
437.15,0.0,-0.044526,-0.031794
440.83,0.0,-0.043316,-0.03045
444.33,0.0,-0.042505,-0.029338
447.83,0.0,-0.041892,-0.028393
451.33,0.0,-0.041929,-0.027881
455.0,0.0,-0.041948,-0.027604
458.5,0.0,-0.042576,-0.027508
462.0,0.0,-0.043245,-0.027552
465.5,0.0,-0.043941,-0.027897
469.0,0.0,-0.044816,-0.028593
472.68,0.0,-0.046239,-0.029354
476.18,0.0,-0.047598,-0.030266
479.68,0.0,-0.049255,-0.03131
483.18,0.0,-0.05054,-0.032117
486.85,0.0,-0.051766,-0.03302
490.35,0.0,-0.052866,-0.033972
493.85,0.0,-0.053685,-0.035531
497.35,0.0,-0.054425,-0.037062
501.03,0.0,-0.054884,-0.038682
504.53,0.0,-0.055256,-0.040022
508.03,0.0,-0.055423,-0.040876
511.53,0.0,-0.054853,-0.041255
515.2,0.0,-0.054394,-0.041655
518.7,0.0,-0.053362,-0.041988
522.38,0.0,-0.051803,-0.042401
525.88,0.0,-0.050278,-0.042373
529.38,0.0,-0.048633,-0.042746
532.88,0.0,-0.047641,-0.042767
536.38,0.0,-0.046356,-0.042755
540.05,0.0,-0.045583,-0.042702
543.55,0.0,-0.044619,-0.043121
547.05,0.0,-0.044452,-0.043137
550.73,0.0,-0.04407,-0.043436
554.23,0.0,-0.044039,-0.043734
557.73,0.0,-0.044012,-0.044277
