x,y,z,z2
4.37,0.0,-0.022616,-0.043824
6.47,0.0,-0.023165,-0.044569
8.75,0.0,-0.024976,-0.046199
11.2,0.0,-0.029067,-0.050306
13.48,0.0,-0.034076,-0.055327
15.58,0.0,-0.039844,-0.061097
17.85,0.0,-0.045632,-0.066846
20.3,0.0,-0.051184,-0.072274
22.58,0.0,-0.055694,-0.076538
24.68,0.0,-0.059455,-0.080315
26.95,0.0,-0.063704,-0.084545
29.23,0.0,-0.068562,-0.089277
31.5,0.0,-0.072712,-0.093399
33.6,0.0,-0.077209,-0.097819
35.88,0.0,-0.081596,-0.10225
38.15,0.0,-0.085916,-0.106476
40.42,0.0,-0.090266,-0.110808
42.7,0.0,-0.095182,-0.115614
44.97,0.0,-0.100487,-0.120919
47.07,0.0,-0.106827,-0.127243
49.35,0.0,-0.113245,-0.133423
51.62,0.0,-0.120731,-0.140823
53.9,0.0,-0.128029,-0.148032
56.0,0.0,-0.135339,-0.155392
58.27,0.0,-0.142397,-0.162299
60.55,0.0,-0.149477,-0.169387
62.65,0.0,-0.157866,-0.17757
64.92,0.0,-0.166981,-0.186562
67.02,0.0,-0.177468,-0.197052
69.3,0.0,-0.189427,-0.208848
71.57,0.0,-0.203155,-0.222255
73.67,0.0,-0.218395,-0.237548
75.95,0.0,-0.234868,-0.25354
78.22,0.0,-0.252514,-0.271233
80.32,0.0,-0.272376,-0.290888
82.6,0.0,-0.293768,-0.311963
84.7,0.0,-0.316605,-0.334606
86.97,0.0,-0.338867,-0.356476
89.25,0.0,-0.359748,-0.377178
91.52,0.0,-0.378749,-0.395995
93.62,0.0,-0.392058,-0.409184
95.9,0.0,-0.399914,-0.417
98.17,0.0,-0.402717,-0.419834
100.27,0.0,-0.399325,-0.416442
102.55,0.0,-0.387982,-0.40528
104.82,0.0,-0.368022,-0.385641
106.92,0.0,-0.340924,-0.358817
109.2,0.0,-0.307801,-0.326097
111.47,0.0,-0.268589,-0.287311
113.57,0.0,-0.227425,-0.246639
115.85,0.0,-0.185943,-0.205444
118.12,0.0,-0.146066,-0.16614
120.22,0.0,-0.110453,-0.130848
122.5,0.0,-0.078161,-0.098916
124.77,0.0,-0.052727,-0.073848
127.05,0.0,-0.033205,-0.054702
129.15,0.0,-0.020195,-0.041655
131.42,0.0,-0.012943,-0.034452
133.7,0.0,-0.012284,-0.033845
135.8,0.0,-0.0183,-0.039782
138.07,0.0,-0.030167,-0.051507
140.17,0.0,-0.047126,-0.068109
142.45,0.0,-0.069215,-0.089945
144.72,0.0,-0.095789,-0.116088
146.83,0.0,-0.125672,-0.145583
149.1,0.0,-0.157594,-0.177249
151.38,0.0,-0.191214,-0.210213
153.48,0.0,-0.227203,-0.245888
155.75,0.0,-0.263398,-0.28184
157.85,0.0,-0.302745,-0.32061
160.13,0.0,-0.341334,-0.358789
162.4,0.0,-0.377255,-0.394319
164.5,0.0,-0.404344,-0.421192
166.78,0.0,-0.417191,-0.433916
168.88,0.0,-0.412073,-0.42907
171.15,0.0,-0.388016,-0.405077
173.43,0.0,-0.345616,-0.363192
175.53,0.0,-0.287292,-0.30578
177.98,0.0,-0.212847,-0.232222
180.25,0.0,-0.132853,-0.15322
182.35,0.0,-0.047376,-0.068802
184.63,0.0,0.038234,0.015773
186.55,0.0,0.120477,0.097091
189.0,0.0,0.196607,0.172251
191.28,0.0,0.264638,0.239694
193.38,0.0,0.322451,0.296798
195.48,0.0,0.367885,0.341635
197.93,0.0,0.402765,0.376136
200.03,0.0,0.425535,0.398696
202.3,0.0,0.437432,0.410458
204.4,0.0,0.440405,0.413545
206.68,0.0,0.435886,0.408985
208.95,0.0,0.425193,0.398628
211.05,0.0,0.409136,0.382642
213.33,0.0,0.389336,0.363113
215.43,0.0,0.366779,0.340824
