x,y,z,z2
4.37,0.0,-0.002139,-0.023879
6.65,0.0,-0.002601,-0.024113
8.75,0.0,-0.003691,-0.025352
11.03,0.0,-0.005564,-0.027194
13.13,0.0,-0.007869,-0.029499
15.58,0.0,-0.01091,-0.032447
17.68,0.0,-0.014061,-0.035494
19.95,0.0,-0.017555,-0.039064
22.05,0.0,-0.021492,-0.042937
24.33,0.0,-0.026042,-0.047382
26.6,0.0,-0.030796,-0.052151
28.7,0.0,-0.035654,-0.056963
30.98,0.0,-0.041196,-0.062493
33.25,0.0,-0.046692,-0.067977
35.35,0.0,-0.052265,-0.073365
37.62,0.0,-0.057869,-0.079052
39.9,0.0,-0.063593,-0.084468
42.0,0.0,-0.07037,-0.091113
44.27,0.0,-0.0779,-0.098664
46.55,0.0,-0.086476,-0.107123
48.65,0.0,-0.096917,-0.117561
50.92,0.0,-0.108633,-0.128969
53.02,0.0,-0.121328,-0.141599
55.3,0.0,-0.134769,-0.154739
57.57,0.0,-0.149394,-0.169221
59.85,0.0,-0.165527,-0.185281
61.95,0.0,-0.183753,-0.203155
64.22,0.0,-0.203482,-0.22281
66.5,0.0,-0.223941,-0.242872
68.6,0.0,-0.24244,-0.261313
70.87,0.0,-0.258115,-0.276729
72.97,0.0,-0.268109,-0.28679
75.25,0.0,-0.273272,-0.291861
77.52,0.0,-0.273562,-0.292302
79.62,0.0,-0.267819,-0.286439
81.9,0.0,-0.254794,-0.273817
84.17,0.0,-0.235401,-0.254634
86.45,0.0,-0.209098,-0.228725
88.72,0.0,-0.176994,-0.196701
91.0,0.0,-0.140367,-0.160444
93.27,0.0,-0.103392,-0.123972
95.37,0.0,-0.065484,-0.086541
97.65,0.0,-0.028491,-0.050007
99.92,0.0,0.008601,-0.013393
102.2,0.0,0.038474,0.016275
104.47,0.0,0.063936,0.041481
106.57,0.0,0.084589,0.061694
108.85,0.0,0.100738,0.077849
110.95,0.0,0.111204,0.088064
113.22,0.0,0.116234,0.093052
115.5,0.0,0.115526,0.092414
117.6,0.0,0.1095,0.086561
119.87,0.0,0.098613,0.07588
122.15,0.0,0.082932,0.060076
124.25,0.0,0.063431,0.041142
126.52,0.0,0.040846,0.018733
128.62,0.0,0.014744,-0.006951
130.9,0.0,-0.014018,-0.035432
133.17,0.0,-0.044104,-0.065272
135.27,0.0,-0.075269,-0.095922
137.55,0.0,-0.109335,-0.129683
139.82,0.0,-0.145225,-0.165071
141.92,0.0,-0.182822,-0.202123
144.2,0.0,-0.220863,-0.239788
146.3,0.0,-0.252628,-0.271344
148.57,0.0,-0.275342,-0.293734
150.85,0.0,-0.283152,-0.301491
152.95,0.0,-0.273783,-0.292385
155.05,0.0,-0.246673,-0.265481
157.5,0.0,-0.203207,-0.222625
159.78,0.0,-0.145182,-0.165358
161.88,0.0,-0.07781,-0.098907
164.15,0.0,-0.003639,-0.025527
166.43,0.0,0.072907,0.049935
168.53,0.0,0.150301,0.126287
170.8,0.0,0.222248,0.197374
173.08,0.0,0.289389,0.263791
175.18,0.0,0.347097,0.320905
177.45,0.0,0.397137,0.370347
179.73,0.0,0.436918,0.409564
181.83,0.0,0.466243,0.438557
183.93,0.0,0.486114,0.4584
186.38,0.0,0.495707,0.467956
188.65,0.0,0.49681,0.4688
190.93,0.0,0.490682,0.46278
193.2,0.0,0.477383,0.44958
195.48,0.0,0.459617,0.432115
197.58,0.0,0.440082,0.412756
199.85,0.0,0.418264,0.391564
201.95,0.0,0.39559,0.369075
