x,y,z,z2
4.72,0.0,0.003514,-0.01818
7.0,0.0,0.002602,-0.01919
9.28,0.0,0.001151,-0.020497
11.38,0.0,-0.000799,-0.022284
13.65,0.0,-0.002875,-0.024443
15.75,0.0,-0.004961,-0.026532
18.03,0.0,-0.007508,-0.028944
20.48,0.0,-0.010423,-0.031935
22.75,0.0,-0.014036,-0.035521
24.85,0.0,-0.018004,-0.039576
27.13,0.0,-0.022505,-0.043747
29.4,0.0,-0.027564,-0.048796
31.68,0.0,-0.033396,-0.054625
33.78,0.0,-0.039018,-0.060296
36.05,0.0,-0.045506,-0.066547
38.32,0.0,-0.052588,-0.073614
40.77,0.0,-0.061723,-0.082687
43.05,0.0,-0.070691,-0.091544
45.15,0.0,-0.08094,-0.101445
47.42,0.0,-0.091254,-0.111735
49.7,0.0,-0.102628,-0.1229
51.8,0.0,-0.113673,-0.134156
54.07,0.0,-0.126134,-0.146261
56.35,0.0,-0.139335,-0.159283
58.45,0.0,-0.153734,-0.173556
60.72,0.0,-0.169415,-0.189122
63.0,0.0,-0.186094,-0.20557
65.1,0.0,-0.203965,-0.223284
67.37,0.0,-0.222705,-0.241667
69.65,0.0,-0.240219,-0.259209
71.75,0.0,-0.254951,-0.27375
74.02,0.0,-0.264165,-0.282875
76.12,0.0,-0.268423,-0.287077
78.4,0.0,-0.268081,-0.286772
80.5,0.0,-0.262776,-0.281485
82.77,0.0,-0.250955,-0.269917
85.05,0.0,-0.232859,-0.25204
87.32,0.0,-0.206612,-0.225968
89.6,0.0,-0.176242,-0.195918
91.87,0.0,-0.142505,-0.162548
93.97,0.0,-0.106501,-0.127095
96.25,0.0,-0.068081,-0.089002
98.52,0.0,-0.033547,-0.054905
100.8,0.0,-0.000515,-0.022194
102.9,0.0,0.028209,0.006164
105.35,0.0,0.054904,0.032405
107.62,0.0,0.073554,0.05104
109.72,0.0,0.088785,0.066154
112.0,0.0,0.09873,0.075905
114.45,0.0,0.104177,0.081324
116.55,0.0,0.103884,0.081185
118.82,0.0,0.098527,0.075939
121.1,0.0,0.088397,0.065902
123.2,0.0,0.073015,0.050511
125.47,0.0,0.054898,0.032713
127.57,0.0,0.032729,0.010923
129.85,0.0,0.007402,-0.014203
132.12,0.0,-0.021051,-0.042311
134.22,0.0,-0.051131,-0.072062
136.32,0.0,-0.08351,-0.103888
138.77,0.0,-0.118337,-0.138519
140.87,0.0,-0.152921,-0.172536
143.15,0.0,-0.189776,-0.209135
