x,y,z,z2
7.31,0.0,-0.011125,-0.031489
10.76,0.0,-0.011051,-0.029905
14.26,0.0,-0.011088,-0.030879
17.98,0.0,-0.010629,-0.030016
21.39,0.0,-0.010709,-0.030068
25.16,0.0,-0.010531,-0.030102
28.7,0.0,-0.010383,-0.029868
32.24,0.0,-0.009557,-0.0296
35.87,0.0,-0.008944,-0.028753
39.51,0.0,-0.008069,-0.028781
43.01,0.0,-0.00765,-0.028275
46.59,0.0,-0.006828,-0.027798
50.09,0.0,-0.006091,-0.026541
53.72,0.0,-0.005303,-0.026101
57.31,0.0,-0.004582,-0.025047
60.9,0.0,-0.003673,-0.024354
64.44,0.0,-0.003085,-0.023417
68.07,0.0,-0.002191,-0.021597
71.62,0.0,-0.001285,-0.021218
75.12,0.0,-0.000364,-0.019458
78.97,0.0,0.000831,-0.019064
82.51,0.0,0.00153,-0.01858
86.1,0.0,0.002593,-0.018069
89.21,0.0,0.003289,-0.017718
93.28,0.0,0.003887,-0.01676
96.82,0.0,0.003964,-0.016658
100.41,0.0,0.003915,-0.0168
103.95,0.0,0.003058,-0.017613
107.63,0.0,0.002365,-0.01802
111.17,0.0,0.00125,-0.019175
114.67,0.0,-0.000139,-0.020743
118.21,0.0,-0.00139,-0.021661
121.67,0.0,-0.002573,-0.022154
125.39,0.0,-0.003322,-0.022995
128.89,0.0,-0.004077,-0.023842
132.48,0.0,-0.00456,-0.024036
135.93,0.0,-0.004896,-0.024677
139.52,0.0,-0.004813,-0.024452
143.02,0.0,-0.004847,-0.024348
146.56,0.0,-0.004412,-0.024009
150.24,0.0,-0.004064,-0.02359
153.74,0.0,-0.003306,-0.02314
157.24,0.0,-0.002943,-0.022607
160.78,0.0,-0.003044,-0.022641
164.02,0.0,-0.002641,-0.022438
167.87,0.0,-0.002108,-0.022068
171.46,0.0,-0.001581,-0.022354
175.0,0.0,-0.00106,-0.022043
178.59,0.0,-0.000312,-0.021285
182.13,0.0,0.000159,-0.020685
185.68,0.0,0.000357,-0.020333
