x,y,z,z2
7.09,0.0,0.002741,-0.017009
10.5,0.0,0.002405,-0.017955
14.22,0.0,0.002147,-0.018165
17.81,0.0,0.002005,-0.019557
21.87,0.0,0.002402,-0.016295
24.81,0.0,0.002895,-0.016529
29.01,0.0,0.003098,-0.016449
32.51,0.0,0.003619,-0.015903
36.05,0.0,0.004066,-0.015438
40.12,0.0,0.004383,-0.018849
43.66,0.0,0.005024,-0.015537
47.16,0.0,0.005283,-0.015343
50.71,0.0,0.005566,-0.014988
54.34,0.0,0.005495,-0.01269
58.71,0.0,0.00593,-0.017441
62.43,0.0,0.006235,-0.013892
65.89,0.0,0.006768,-0.014064
69.96,0.0,0.007042,-0.011578
73.5,0.0,0.007113,-0.012524
77.09,0.0,0.007119,-0.013026
80.54,0.0,0.007042,-0.013066
84.13,0.0,0.006971,-0.013137
87.68,0.0,0.007458,-0.013044
91.22,0.0,0.007455,-0.013405
94.81,0.0,0.007442,-0.013362
98.35,0.0,0.007775,-0.013088
101.89,0.0,0.007793,-0.012798
105.48,0.0,0.007907,-0.012582
109.03,0.0,0.008179,-0.01269
112.57,0.0,0.008557,-0.011883
115.81,0.0,0.008989,-0.010201
119.74,0.0,0.009315,-0.010946
123.29,0.0,0.009392,-0.010102
126.83,0.0,0.009765,-0.010186
130.51,0.0,0.009694,-0.009834
134.01,0.0,0.010076,-0.009841
137.59,0.0,0.010079,-0.010035
141.18,0.0,0.010541,-0.010149
144.73,0.0,0.010501,-0.010198
148.27,0.0,0.01084,-0.009391
151.73,0.0,0.010905,-0.009304
155.31,0.0,0.011222,-0.009631
158.81,0.0,0.011318,-0.009736
162.58,0.0,0.011198,-0.009662
166.21,0.0,0.011228,-0.008919
169.75,0.0,0.01125,-0.008617
173.34,0.0,0.011213,-0.008208
176.84,0.0,0.010899,-0.008276
180.56,0.0,0.010954,-0.008947
184.06,0.0,0.010723,-0.008879
187.64,0.0,0.010816,-0.009058
191.06,0.0,0.010788,-0.009274
194.64,0.0,0.010843,-0.009911
198.28,0.0,0.010526,-0.010192
201.82,0.0,0.010489,-0.009748
205.41,0.0,0.010526,-0.010259
208.91,0.0,0.010089,-0.010922
212.49,0.0,0.010578,-0.009955
215.91,0.0,0.010806,-0.009911
219.54,0.0,0.011034,-0.009865
223.04,0.0,0.011336,-0.00981
226.67,0.0,0.011148,-0.009388
230.26,0.0,0.011201,-0.009237
233.76,0.0,0.011118,-0.008759
237.74,0.0,0.010865,-0.00834
241.33,0.0,0.01076,-0.009357
244.91,0.0,0.010427,-0.010016
248.46,0.0,0.010458,-0.010752
251.96,0.0,0.010067,-0.010407
255.54,0.0,0.010067,-0.010626
259.09,0.0,0.009781,-0.010863
262.63,0.0,0.009713,-0.011125
266.26,0.0,0.009337,-0.011369
269.76,0.0,0.00898,-0.011627
273.31,0.0,0.008573,-0.011446
276.89,0.0,0.008225,-0.011711
280.39,0.0,0.007532,-0.012462
284.11,0.0,0.006885,-0.011834
287.7,0.0,0.006324,-0.013146
291.2,0.0,0.005622,-0.014341
294.74,0.0,0.005477,-0.014104
298.24,0.0,0.005163,-0.014381
301.88,0.0,0.005243,-0.015146
305.42,0.0,0.005662,-0.014865
308.96,0.0,0.005809,-0.01476
312.51,0.0,0.005923,-0.014674
316.09,0.0,0.006339,-0.014998
319.68,0.0,0.006678,-0.014274
323.18,0.0,0.006783,-0.013963
326.73,0.0,0.006651,-0.014076
330.31,0.0,0.006974,-0.013679
333.86,0.0,0.00723,-0.013337
337.4,0.0,0.007424,-0.013066
340.9,0.0,0.007781,-0.012228
344.75,0.0,0.008459,-0.010056
348.34,0.0,0.008964,-0.010638
351.84,0.0,0.009654,-0.010179
355.38,0.0,0.010541,-0.009268
358.88,0.0,0.011382,-0.008513
362.42,0.0,0.012113,-0.007666
366.01,0.0,0.012803,-0.007527
369.51,0.0,0.012756,-0.007693
373.1,0.0,0.01272,-0.008494
376.77,0.0,0.012455,-0.008691
380.27,0.0,0.012085,-0.008735
383.82,0.0,0.012048,-0.008599
387.62,0.0,0.011968,-0.007992
391.21,0.0,0.011925,-0.007481
394.76,0.0,0.012097,-0.007983
398.3,0.0,0.01227,-0.007348
402.19,0.0,0.012769,-0.008895
405.78,0.0,0.013179,-0.007274
409.28,0.0,0.013598,-0.006769
412.78,0.0,0.013924,-0.006895
416.41,0.0,0.014017,-0.006674
419.91,0.0,0.014263,-0.007154
423.5,0.0,0.014288,-0.00647
427.04,0.0,0.013859,-0.006861
430.67,0.0,0.013841,-0.006415
434.13,0.0,0.013203,-0.007361
437.67,0.0,0.01276,-0.007253
441.26,0.0,0.0121,-0.007934
444.85,0.0,0.011712,-0.008066
448.44,0.0,0.01129,-0.008051
451.94,0.0,0.010883,-0.008756
455.52,0.0,0.011176,-0.008411
459.11,0.0,0.011309,-0.008624
462.7,0.0,0.011561,-0.008525
466.2,0.0,0.011546,-0.008725
469.79,0.0,0.01166,-0.008673
473.29,0.0,0.011734,-0.008845
477.01,0.0,0.01166,-0.010558
480.59,0.0,0.011641,-0.009107
484.14,0.0,0.011651,-0.009135
487.64,0.0,0.012026,-0.008691
491.18,0.0,0.012131,-0.008405
494.72,0.0,0.012436,-0.008189
498.31,0.0,0.012402,-0.00769
501.77,0.0,0.012713,-0.007478
505.4,0.0,0.013216,-0.006372
508.9,0.0,0.013179,-0.00652
512.53,0.0,0.01361,-0.005869
516.03,0.0,0.013493,-0.006162
519.66,0.0,0.013946,-0.005808
523.12,0.0,0.013964,-0.005842
526.75,0.0,0.014275,-0.005666
530.16,0.0,0.014667,-0.005229
533.79,0.0,0.014617,-0.006147
537.29,0.0,0.014737,-0.005426
540.88,0.0,0.014337,-0.007126
544.56,0.0,0.013801,-0.00733
548.01,0.0,0.013163,-0.007971
551.64,0.0,0.012427,-0.008306
555.19,0.0,0.011687,-0.009129
558.86,0.0,0.011213,-0.008728
562.36,0.0,0.010902,-0.009209
565.82,0.0,0.010896,-0.008559
569.41,0.0,0.011305,-0.009092
572.99,0.0,0.011977,-0.00773
576.54,0.0,0.012516,-0.006972
580.17,0.0,0.01304,-0.006606
583.62,0.0,0.01353,-0.006369
587.12,0.0,0.01373,-0.005971
590.76,0.0,0.013983,-0.006024
594.26,0.0,0.014214,-0.005414
598.02,0.0,0.014639,-0.008054
601.65,0.0,0.015039,-0.00562
605.15,0.0,0.015471,-0.005715
608.69,0.0,0.015529,-0.005537
612.19,0.0,0.01576,-0.004942
615.74,0.0,0.016219,-0.004573
619.28,0.0,0.016259,-0.004529
622.91,0.0,0.01617,-0.004212
626.41,0.0,0.015868,-0.004348
629.96,0.0,0.015625,-0.004172
633.59,0.0,0.015421,-0.004237
637.09,0.0,0.014975,-0.004711
640.63,0.0,0.015042,-0.004613
644.0,0.0,0.014888,-0.004616
647.85,0.0,0.015067,-0.00472
651.31,0.0,0.014697,-0.00505
654.94,0.0,0.014334,-0.007592
658.7,0.0,0.013899,-0.007823
662.2,0.0,0.013582,-0.007216
665.7,0.0,0.013182,-0.007564
669.42,0.0,0.01235,-0.008229
672.96,0.0,0.012005,-0.008617
676.51,0.0,0.011558,-0.008242
680.09,0.0,0.011555,-0.008319
683.68,0.0,0.012002,-0.00737
687.05,0.0,0.012451,-0.007111
690.77,0.0,0.013065,-0.006809
694.36,0.0,0.013936,-0.005774
697.94,0.0,0.014691,-0.005451
701.49,0.0,0.015474,-0.004616
705.07,0.0,0.016059,-0.004791
708.62,0.0,0.016706,-0.003799
12.86,35.22,0.000514,-0.026501
16.45,35.22,0.000452,-0.020025
20.08,35.22,0.000837,-0.019138
23.62,35.22,0.001,-0.019132
27.21,35.22,0.001278,-0.018562
30.76,35.22,0.001383,-0.018285
34.3,35.22,0.001305,-0.018359
37.76,35.22,0.001293,-0.018371
41.26,35.22,0.001401,-0.018309
44.89,35.22,0.00129,-0.017934
48.43,35.22,0.00137,-0.018026
51.84,35.22,0.001182,-0.018171
55.56,35.22,0.001675,-0.017974
59.06,35.22,0.001943,-0.017616
62.61,35.22,0.002359,-0.01737
66.15,35.22,0.002424,-0.017407
69.65,35.22,0.002957,-0.017447
73.24,35.22,0.003517,-0.017108
76.78,35.22,0.004278,-0.01611
80.32,35.22,0.004817,-0.015441
83.78,35.22,0.005504,-0.015885
87.54,35.22,0.005566,-0.015142
91.17,35.22,0.005458,-0.014754
94.72,35.22,0.005461,-0.014425
98.26,35.22,0.005566,-0.014172
101.81,35.22,0.005126,-0.01472
105.39,35.22,0.005027,-0.014391
108.89,35.22,0.004747,-0.015044
112.44,35.22,0.004525,-0.014862
115.98,35.22,0.004417,-0.015084
119.57,35.22,0.004318,-0.015096
123.02,35.22,0.003995,-0.015586
126.57,35.22,0.004429,-0.015466
129.85,35.22,0.004389,-0.015164
133.66,35.22,0.004808,-0.014942
137.2,35.22,0.004722,-0.014844
140.7,35.22,0.00523,-0.014702
144.16,35.22,0.00519,-0.015139
147.61,35.22,0.005461,-0.016027
151.46,35.22,0.005748,-0.014887
154.96,35.22,0.006342,-0.014606
158.77,35.22,0.006638,-0.013507
162.22,35.22,0.007119,-0.013248
165.94,35.22,0.007008,-0.011769
169.36,35.22,0.007097,-0.012271
173.12,35.22,0.00714,-0.012499
176.66,35.22,0.007082,-0.012709
180.25,35.22,0.006678,-0.013134
183.84,35.22,0.006657,-0.013245
187.34,35.22,0.00629,-0.013929
190.97,35.22,0.006299,-0.014415
194.51,35.22,0.006265,-0.014036
197.97,35.22,0.006247,-0.013805
201.51,35.22,0.006296,-0.014406
204.97,35.22,0.00637,-0.014132
208.6,35.22,0.006315,-0.014394
212.19,35.22,0.005957,-0.014881
215.73,35.22,0.005495,-0.014933
219.32,35.22,0.005572,-0.014985
222.95,35.22,0.005594,-0.013476
226.54,35.22,0.005443,-0.014015
230.08,35.22,0.006004,-0.013725
233.49,35.22,0.006407,-0.012619
237.08,35.22,0.007147,-0.012709
240.8,35.22,0.007498,-0.012478
244.43,35.22,0.007858,-0.012012
248.02,35.22,0.007652,-0.013772
251.61,35.22,0.007479,-0.01338
255.15,35.22,0.007002,-0.013926
258.69,35.22,0.006598,-0.01383
262.37,35.22,0.006342,-0.014268
265.87,35.22,0.006456,-0.01408
269.37,35.22,0.005923,-0.014345
272.91,35.22,0.005896,-0.01448
276.46,35.22,0.005914,-0.014465
280.0,35.22,0.005791,-0.014785
283.06,35.22,0.005538,-0.014197
287.13,35.22,0.005535,-0.01395
290.63,35.22,0.005126,-0.014311
294.22,35.22,0.004423,-0.015081
297.76,35.22,0.003564,-0.01594
301.26,35.22,0.003179,-0.016288
304.81,35.22,0.002778,-0.016652
308.35,35.22,0.002482,-0.017071
311.85,35.22,0.002399,-0.016954
315.39,35.22,0.0028,-0.016652
318.94,35.22,0.003286,-0.016442
322.52,35.22,0.003533,-0.016473
325.98,35.22,0.004161,-0.015506
329.52,35.22,0.004793,-0.015799
333.07,35.22,0.005144,-0.014271
336.61,35.22,0.005575,-0.015192
340.16,35.22,0.005902,-0.014508
343.66,35.22,0.006586,-0.014517
347.29,35.22,0.007014,-0.013701
350.74,35.22,0.007371,-0.013245
354.37,35.22,0.007787,-0.012924
357.92,35.22,0.008037,-0.012471
361.37,35.22,0.008228,-0.012407
364.96,35.22,0.007778,-0.0122
368.59,35.22,0.00816,-0.0118
372.18,35.22,0.008126,-0.010651
375.86,35.22,0.008517,-0.010697
379.53,35.22,0.008952,-0.01221
383.16,35.22,0.009395,-0.010216
386.66,35.22,0.009362,-0.011332
390.29,35.22,0.009383,-0.012108
393.88,35.22,0.009254,-0.011168
397.42,35.22,0.009278,-0.011242
400.97,35.22,0.009297,-0.011495
404.51,35.22,0.009346,-0.01135
408.06,35.22,0.009605,-0.010934
411.56,35.22,0.0097,-0.010509
415.1,35.22,0.009756,-0.010623
418.64,35.22,0.009802,-0.010694
422.1,35.22,0.009719,-0.009489
425.82,35.22,0.010132,-0.009431
429.45,35.22,0.010273,-0.008984
432.95,35.22,0.010532,-0.009246
436.45,35.22,0.010742,-0.008701
439.99,35.22,0.011247,-0.008356
443.58,35.22,0.011312,-0.008614
447.21,35.22,0.011161,-0.008691
450.8,35.22,0.011651,-0.009104
454.34,35.22,0.011992,-0.008842
457.89,35.22,0.011968,-0.008528
461.47,35.22,0.011657,-0.009277
465.02,35.22,0.011583,-0.008987
468.43,35.22,0.011238,-0.009329
472.02,35.22,0.010994,-0.009643
475.61,35.22,0.010545,-0.010139
479.15,35.22,0.010184,-0.010608
482.69,35.22,0.010015,-0.010512
486.15,35.22,0.009697,-0.010709
489.69,35.22,0.009833,-0.010454
493.28,35.22,0.009734,-0.010531
496.78,35.22,0.009817,-0.010435
500.28,35.22,0.010144,-0.010044
503.82,35.22,0.0106,-0.009606
507.28,35.22,0.011216,-0.008741
510.78,35.22,0.012091,-0.006769
514.54,35.22,0.012374,-0.007459
518.17,35.22,0.012843,-0.007173
521.76,35.22,0.013182,-0.007083
525.39,35.22,0.013601,-0.008272
529.02,35.22,0.013511,-0.007247
532.52,35.22,0.013591,-0.007234
536.07,35.22,0.013471,-0.007548
539.61,35.22,0.01332,-0.007367
543.24,35.22,0.013145,-0.00749
546.7,35.22,0.012658,-0.007736
550.24,35.22,0.01279,-0.007795
553.83,35.22,0.013175,-0.00732
557.33,35.22,0.013102,-0.007234
560.87,35.22,0.013557,-0.006834
564.42,35.22,0.013598,-0.006193
568.05,35.22,0.013903,-0.005158
571.68,35.22,0.01426,-0.005041
575.31,35.22,0.01458,-0.005377
578.81,35.22,0.015384,-0.004409
