x,y,z,z2
7.17,0.0,0.001028,-0.019169
11.2,0.0,0.001293,-0.019733
14.7,0.0,0.001284,-0.018879
18.2,0.0,0.001638,-0.018303
21.88,0.0,0.001851,-0.018248
25.55,0.0,0.002273,-0.017863
29.23,0.0,0.002482,-0.017351
32.73,0.0,0.002781,-0.017247
36.22,0.0,0.002803,-0.017256
40.07,0.0,0.003252,-0.018266
43.75,0.0,0.003259,-0.016824
47.25,0.0,0.002858,-0.017607
50.75,0.0,0.002883,-0.017558
54.25,0.0,0.002981,-0.017465
57.92,0.0,0.003259,-0.016877
61.42,0.0,0.00369,-0.016415
64.92,0.0,0.004417,-0.015755
68.42,0.0,0.004984,-0.015509
71.92,0.0,0.005104,-0.015149
75.42,0.0,0.005705,-0.014576
78.92,0.0,0.005612,-0.014705
82.6,0.0,0.005643,-0.014465
86.1,0.0,0.005649,-0.014686
89.77,0.0,0.005156,-0.014668
93.27,0.0,0.00499,-0.015232
96.95,0.0,0.004374,-0.016205
100.45,0.0,0.004285,-0.015457
104.12,0.0,0.004368,-0.015851
107.62,0.0,0.00487,-0.015768
111.3,0.0,0.00495,-0.015614
114.97,0.0,0.004784,-0.015722
118.65,0.0,0.00528,-0.015056
122.15,0.0,0.005363,-0.014973
125.65,0.0,0.005535,-0.014477
129.15,0.0,0.006262,-0.013559
132.65,0.0,0.007196,-0.013251
136.32,0.0,0.00772,-0.012456
139.82,0.0,0.008256,-0.011711
143.32,0.0,0.008958,-0.011039
146.82,0.0,0.009211,-0.010512
150.5,0.0,0.009836,-0.010109
154.0,0.0,0.010089,-0.009853
157.5,0.0,0.010027,-0.010016
161.18,0.0,0.010471,-0.009757
164.68,0.0,0.010618,-0.009483
168.18,0.0,0.010508,-0.009723
171.68,0.0,0.010865,-0.009169
175.53,0.0,0.011056,-0.010099
179.03,0.0,0.011321,-0.009255
182.7,0.0,0.011647,-0.009046
186.2,0.0,0.011638,-0.008744
189.53,0.0,0.011694,-0.008199
193.38,0.0,0.011666,-0.008408
197.05,0.0,0.011943,-0.007844
200.55,0.0,0.012553,-0.007484
204.05,0.0,0.012572,-0.007505
207.73,0.0,0.01288,-0.007484
211.4,0.0,0.013283,-0.007099
214.9,0.0,0.013308,-0.006975
218.4,0.0,0.013653,-0.006199
221.9,0.0,0.013742,-0.006948
225.4,0.0,0.013767,-0.006612
229.08,0.0,0.013819,-0.007059
232.58,0.0,0.013573,-0.006744
235.9,0.0,0.013588,-0.00676
239.58,0.0,0.013776,-0.006929
243.08,0.0,0.013191,-0.007114
246.58,0.0,0.013551,-0.006797
250.08,0.0,0.013622,-0.007351
253.75,0.0,0.013936,-0.006418
257.43,0.0,0.013989,-0.006507
260.93,0.0,0.014435,-0.005962
264.43,0.0,0.014485,-0.005712
268.1,0.0,0.015012,-0.005367
271.6,0.0,0.015572,-0.004699
275.28,0.0,0.016287,-0.00395
278.78,0.0,0.017532,-0.00273
282.28,0.0,0.018363,-0.001957
285.78,0.0,0.018841,-0.001458
289.28,0.0,0.019402,-0.000811
292.78,0.0,0.019793,-0.00066
296.28,0.0,0.019972,-0.000441
299.95,0.0,0.019414,-0.001064
303.45,0.0,0.018631,-0.001584
306.95,0.0,0.017994,-0.002197
310.28,0.0,0.016752,-0.003882
314.13,0.0,0.015776,-0.004776
317.8,0.0,0.014183,-0.006251
321.3,0.0,0.013012,-0.007351
324.8,0.0,0.012134,-0.00838
328.48,0.0,0.011161,-0.008999
331.98,0.0,0.010936,-0.009511
335.48,0.0,0.010498,-0.009551
339.15,0.0,0.01024,-0.010038
342.65,0.0,0.009888,-0.010395
346.15,0.0,0.009885,-0.010561
349.83,0.0,0.009944,-0.010318
353.33,0.0,0.009827,-0.010355
356.83,0.0,0.009867,-0.010229
360.33,0.0,0.009919,-0.010324
364.0,0.0,0.009423,-0.010654
367.5,0.0,0.008912,-0.010774
371.0,0.0,0.008715,-0.011322
374.68,0.0,0.008533,-0.011415
378.18,0.0,0.008256,-0.012019
381.68,0.0,0.008594,-0.011575
385.18,0.0,0.008693,-0.011849
388.85,0.0,0.009124,-0.011347
392.35,0.0,0.009442,-0.011091
396.03,0.0,0.009873,-0.010694
399.53,0.0,0.010104,-0.010275
403.03,0.0,0.010369,-0.009964
406.7,0.0,0.010757,-0.009859
410.38,0.0,0.011025,-0.009425
413.7,0.0,0.011259,-0.008975
417.2,0.0,0.011235,-0.009335
420.7,0.0,0.011111,-0.009006
424.38,0.0,0.011118,-0.009015
427.7,0.0,0.011191,-0.009012
431.38,0.0,0.011342,-0.008907
434.88,0.0,0.011869,-0.008587
438.55,0.0,0.012316,-0.007878
442.05,0.0,0.01292,-0.00737
445.38,0.0,0.013228,-0.006874
449.05,0.0,0.013644,-0.006526
452.55,0.0,0.014278,-0.006307
456.23,0.0,0.014851,-0.005472
459.73,0.0,0.015286,-0.00509
463.23,0.0,0.015757,-0.004754
466.9,0.0,0.016493,-0.004067
470.4,0.0,0.017273,-0.003312
473.9,0.0,0.017507,-0.003177
477.4,0.0,0.017797,-0.002382
480.9,0.0,0.018293,-0.002074
484.4,0.0,0.018585,-0.001938
488.08,0.0,0.018659,-0.002031
491.58,0.0,0.018638,-0.001871
495.08,0.0,0.018456,-0.001908
498.58,0.0,0.018665,-0.00208
502.25,0.0,0.018616,-0.002228
505.58,0.0,0.018647,-0.001963
509.25,0.0,0.018554,-0.002197
512.75,0.0,0.018594,-0.002191
516.25,0.0,0.018216,-0.002499
519.75,0.0,0.018283,-0.002194
523.43,0.0,0.017864,-0.002434
526.93,0.0,0.017227,-0.003078
530.6,0.0,0.016798,-0.003587
534.1,0.0,0.016456,-0.004314
537.6,0.0,0.016136,-0.004468
541.1,0.0,0.016127,-0.004366
544.6,0.0,0.016034,-0.004132
548.1,0.0,0.015914,-0.004459
551.78,0.0,0.016475,-0.003738
555.1,0.0,0.016373,-0.003947
558.78,0.0,0.016801,-0.00346
562.28,0.0,0.016771,-0.003473
565.78,0.0,0.016805,-0.003245
569.28,0.0,0.016943,-0.003205
572.78,0.0,0.017076,-0.002958
576.45,0.0,0.017584,-0.002743
579.6,0.0,0.017766,-0.002656
583.63,0.0,0.018089,-0.002354
587.13,0.0,0.018293,-0.002416
590.62,0.0,0.018252,-0.002401
594.12,0.0,0.018382,-0.002259
597.62,0.0,0.018182,-0.002154
601.12,0.0,0.01845,-0.002493
604.8,0.0,0.018699,-0.00204
608.3,0.0,0.01897,-0.001658
611.8,0.0,0.019454,-0.001486
615.3,0.0,0.019944,-0.000873
618.8,0.0,0.020541,-0.000537
622.3,0.0,0.020982,0.00028
625.97,0.0,0.021232,0.000578
629.47,0.0,0.021321,0.000705
632.97,0.0,0.021336,0.000809
636.47,0.0,0.021503,0.000668
640.15,0.0,0.021361,0.001136
643.65,0.0,0.021644,0.001305
647.32,0.0,0.021607,0.001339
650.82,0.0,0.021438,0.001078
654.5,0.0,0.021327,0.001019
658.0,0.0,0.02161,0.001617
661.5,0.0,0.021413,0.001167
665.0,0.0,0.021247,0.000874
668.5,0.0,0.021167,0.001
672.17,0.0,0.021552,0.001037
