x,y,z,z2
7.17,0.0,0.001469,-0.018731
10.85,0.0,0.001259,-0.019015
14.35,0.0,0.000976,-0.018898
17.85,0.0,0.001182,-0.018744
21.53,0.0,0.001349,-0.018032
24.85,0.0,0.001395,-0.017789
28.7,0.0,0.002079,-0.017552
32.2,0.0,0.001832,-0.017696
35.88,0.0,0.001687,-0.017256
39.37,0.0,0.002011,-0.018186
42.7,0.0,0.001885,-0.017632
46.55,0.0,0.001419,-0.01806
50.05,0.0,0.000976,-0.018778
53.55,0.0,9.8e-05,-0.019471
57.05,0.0,-2.2e-05,-0.019995
60.72,0.0,-0.000105,-0.020065
64.22,0.0,0.000332,-0.019822
67.72,0.0,0.000769,-0.019385
71.4,0.0,0.001537,-0.018503
74.9,0.0,0.002063,-0.017592
78.57,0.0,0.003006,-0.016831
82.07,0.0,0.003277,-0.016526
85.92,0.0,0.004386,-0.014187
89.42,0.0,0.004901,-0.014733
93.1,0.0,0.006198,-0.013488
96.6,0.0,0.00723,-0.012459
100.45,0.0,0.008893,-0.01277
103.95,0.0,0.010344,-0.010078
107.62,0.0,0.011678,-0.008494
111.12,0.0,0.013191,-0.007052
114.62,0.0,0.014516,-0.005851
118.12,0.0,0.015486,-0.004397
121.62,0.0,0.016651,-0.003128
125.3,0.0,0.017701,-0.002268
128.8,0.0,0.018819,-0.001045
132.3,0.0,0.019574,-0.000238
135.8,0.0,0.020298,0.000699
139.47,0.0,0.021065,0.000964
142.97,0.0,0.021888,0.002254
146.47,0.0,0.02271,0.002815
150.15,0.0,0.023493,0.003755
153.65,0.0,0.024124,0.004137
157.15,0.0,0.024417,0.004586
160.65,0.0,0.025058,0.005169
164.33,0.0,0.0256,0.005045
167.83,0.0,0.025936,0.00605
171.68,0.0,0.026201,0.004704
175.0,0.0,0.026426,0.00658
178.85,0.0,0.026241,0.00662
182.35,0.0,0.026878,0.006749
186.03,0.0,0.026746,0.006718
189.53,0.0,0.026595,0.007042
193.2,0.0,0.026786,0.007073
196.7,0.0,0.026805,0.00674
200.38,0.0,0.026795,0.00661
203.88,0.0,0.027217,0.007233
207.38,0.0,0.027855,0.008092
210.88,0.0,0.02849,0.008068
214.55,0.0,0.029121,0.008785
218.05,0.0,0.029996,0.009445
221.73,0.0,0.030791,0.010357
225.23,0.0,0.03178,0.011392
228.73,0.0,0.032411,0.012214
232.23,0.0,0.033382,0.012827
235.9,0.0,0.033989,0.013342
239.4,0.0,0.03467,0.01438
242.9,0.0,0.035714,0.015461
246.4,0.0,0.036768,0.016795
250.08,0.0,0.038394,0.019103
253.75,0.0,0.03967,0.019836
257.25,0.0,0.041164,0.021068
260.75,0.0,0.04223,0.02194
264.25,0.0,0.042784,0.022273
267.93,0.0,0.042248,0.022341
271.43,0.0,0.041447,0.021358
275.1,0.0,0.03983,0.019509
278.6,0.0,0.037753,0.01711
282.1,0.0,0.034965,0.015073
285.78,0.0,0.032938,0.012707
289.28,0.0,0.030295,0.00999
292.78,0.0,0.027633,0.007679
296.45,0.0,0.025008,0.004657
299.95,0.0,0.02263,0.002532
303.45,0.0,0.020511,0.000421
306.95,0.0,0.018887,-0.001178
310.45,0.0,0.01694,-0.00278
314.13,0.0,0.015215,-0.004422
317.63,0.0,0.013927,-0.005645
321.13,0.0,0.012661,-0.007296
324.63,0.0,0.011472,-0.00838
328.3,0.0,0.01048,-0.008919
331.8,0.0,0.009553,-0.010182
335.3,0.0,0.008838,-0.010528
338.8,0.0,0.008431,-0.011267
342.48,0.0,0.007646,-0.011603
345.98,0.0,0.007532,-0.011926
349.48,0.0,0.007599,-0.012096
353.15,0.0,0.008536,-0.012265
356.83,0.0,0.009999,-0.010414
360.33,0.0,0.011811,-0.00839
363.83,0.0,0.01389,-0.006088
367.33,0.0,0.016567,-0.003346
371.0,0.0,0.018909,-0.001094
374.5,0.0,0.021706,0.001093
378.0,0.0,0.024414,0.004201
381.5,0.0,0.027183,0.0065
385.0,0.0,0.029214,0.009118
388.68,0.0,0.031312,0.010514
392.18,0.0,0.032649,0.012242
395.33,0.0,0.034057,0.014217
399.18,0.0,0.035172,0.014873
402.85,0.0,0.036031,0.015517
406.35,0.0,0.036903,0.016835
409.85,0.0,0.037541,0.01783
413.18,0.0,0.038419,0.018505
417.03,0.0,0.039312,0.019167
420.53,0.0,0.040206,0.019531
424.2,0.0,0.040677,0.020714
427.7,0.0,0.041321,0.020933
431.2,0.0,0.04182,0.021188
434.88,0.0,0.042017,0.021238
438.38,0.0,0.042196,0.02182
441.88,0.0,0.0421,0.021595
445.55,0.0,0.042479,0.02153
449.05,0.0,0.042319,0.021838
452.55,0.0,0.042165,0.022045
456.05,0.0,0.04231,0.021718
459.73,0.0,0.04271,0.02214
463.23,0.0,0.04271,0.022356
466.9,0.0,0.043212,0.022793
470.4,0.0,0.043034,0.022621
473.9,0.0,0.043009,0.023028
477.4,0.0,0.042741,0.02271
481.08,0.0,0.04251,0.022374
484.58,0.0,0.041949,0.021798
488.08,0.0,0.04162,0.021641
491.58,0.0,0.041136,0.021198
495.25,0.0,0.040763,0.020748
498.75,0.0,0.040298,0.020089
502.25,0.0,0.040119,0.019457
505.75,0.0,0.039589,0.019577
509.25,0.0,0.039482,0.019171
512.75,0.0,0.038597,0.018622
516.43,0.0,0.037917,0.017066
519.93,0.0,0.037063,0.01649
523.43,0.0,0.036309,0.015674
527.1,0.0,0.03592,0.01572
530.6,0.0,0.035674,0.014827
534.1,0.0,0.035156,0.014725
537.78,0.0,0.035085,0.01474
541.28,0.0,0.034787,0.014476
544.78,0.0,0.034864,0.014346
548.28,0.0,0.034999,0.014463
551.78,0.0,0.034408,0.013899
555.45,0.0,0.034993,0.014509
558.95,0.0,0.03491,0.014861
562.45,0.0,0.035264,0.015147
566.13,0.0,0.035695,0.015859
569.63,0.0,0.036219,0.016395
573.13,0.0,0.03682,0.016684
576.62,0.0,0.037319,0.017433
580.12,0.0,0.038049,0.017864
583.62,0.0,0.038437,0.018715
587.12,0.0,0.038755,0.019164
590.62,0.0,0.039328,0.019439
594.3,0.0,0.039685,0.019365
597.8,0.0,0.039722,0.01938
601.47,0.0,0.040067,0.019571
604.97,0.0,0.040317,0.020224
608.47,0.0,0.040997,0.020286
611.97,0.0,0.041641,0.020874
615.65,0.0,0.042026,0.021262
619.15,0.0,0.042874,0.021869
622.65,0.0,0.04328,0.022488
626.15,0.0,0.043601,0.023028
629.65,0.0,0.043933,0.023212
633.32,0.0,0.043835,0.023249
636.82,0.0,0.043866,0.023308
640.32,0.0,0.043406,0.023077
643.82,0.0,0.043006,0.022565
647.32,0.0,0.042248,0.021808
650.82,0.0,0.041946,0.021564
654.5,0.0,0.041367,0.020846
658.0,0.0,0.04076,0.020514
661.5,0.0,0.04011,0.020079
665.17,0.0,0.039583,0.019697
668.67,0.0,0.038958,0.018936
672.17,0.0,0.038484,0.018853
675.67,0.0,0.038348,0.018413
679.35,0.0,0.038246,0.018206
682.85,0.0,0.037636,0.017975
685.82,0.0,0.037418,0.017445
689.85,0.0,0.037091,0.017208
693.52,0.0,0.037039,0.016934
697.02,0.0,0.037011,0.016894
700.52,0.0,0.037153,0.016706
704.02,0.0,0.03739,0.016915
707.52,0.0,0.037337,0.017282
711.02,0.0,0.037445,0.017106
12.25,35.35,-0.000509,-0.025293
15.75,35.35,-0.000475,-0.020087
19.25,35.35,-0.001002,-0.020466
22.75,35.35,-0.000367,-0.020364
26.25,35.35,-0.000127,-0.019631
29.75,35.35,0.000461,-0.019338
33.25,35.35,0.000594,-0.018892
36.92,35.35,0.001148,-0.019073
40.42,35.35,0.001623,-0.018183
44.1,35.35,0.002125,-0.017582
47.6,35.35,0.002137,-0.017419
51.27,35.35,0.002729,-0.017077
54.77,35.35,0.002834,-0.01717
58.27,35.35,0.002581,-0.017019
61.77,35.35,0.002716,-0.016883
65.27,35.35,0.003068,-0.016923
68.95,35.35,0.003031,-0.016393
72.45,35.35,0.003872,-0.015672
75.95,35.35,0.004657,-0.014582
79.45,35.35,0.005893,-0.013599
83.12,35.35,0.007063,-0.012441
86.62,35.35,0.008508,-0.010731
90.12,35.35,0.010215,-0.009514
93.62,35.35,0.011573,-0.008051
97.3,35.35,0.013403,-0.006224
100.8,35.35,0.01491,-0.005219
104.3,35.35,0.016386,-0.003229
107.8,35.35,0.017932,-0.002093
111.47,35.35,0.018745,-0.001125
114.97,35.35,0.019817,-7.8e-05
118.47,35.35,0.020936,0.001078
121.97,35.35,0.022461,0.001808
125.47,35.35,0.023351,0.003246
129.15,35.35,0.024315,0.003995
132.65,35.35,0.02528,0.0045
136.32,35.35,0.025766,0.004984
139.82,35.35,0.026352,0.00609
143.32,35.35,0.026891,0.006817
147.0,35.35,0.02767,0.007384
150.5,35.35,0.027963,0.008305
153.47,35.35,0.028484,0.00828
157.5,35.35,0.028699,0.008915
161.17,35.35,0.028533,0.008924
164.67,35.35,0.028579,0.008742
168.17,35.35,0.029007,0.009229
