x,y,z,z2
7.0,0.0,-0.001131,-0.020746
10.68,0.0,-0.000601,-0.018445
14.35,0.0,-0.000435,-0.019252
17.85,0.0,-0.000315,-0.019283
21.35,0.0,-0.000112,-0.02045
25.03,0.0,-0.000583,-0.020903
28.53,0.0,-0.001008,-0.02111
32.03,0.0,-0.001563,-0.021843
35.53,0.0,-0.002099,-0.022364
39.02,0.0,-0.002607,-0.024298
42.7,0.0,-0.003497,-0.02375
46.2,0.0,-0.004326,-0.024819
49.7,0.0,-0.005358,-0.026057
53.2,0.0,-0.006304,-0.027092
56.7,0.0,-0.007419,-0.028679
60.2,0.0,-0.008562,-0.029954
63.7,0.0,-0.009634,-0.030706
67.37,0.0,-0.010657,-0.031298
70.52,0.0,-0.012197,-0.032166
74.37,0.0,-0.01273,-0.032493
78.05,0.0,-0.01383,-0.033528
81.55,0.0,-0.014791,-0.033303
84.87,0.0,-0.01533,-0.034317
88.55,0.0,-0.016131,-0.035041
92.05,0.0,-0.01668,-0.035946
95.72,0.0,-0.017179,-0.03651
99.22,0.0,-0.01794,-0.036479
102.72,0.0,-0.018312,-0.03663
106.22,0.0,-0.018861,-0.037006
109.9,0.0,-0.01904,-0.037977
113.22,0.0,-0.019425,-0.038202
116.9,0.0,-0.01944,-0.038414
120.4,0.0,-0.019566,-0.038235
123.9,0.0,-0.01948,-0.03842
127.4,0.0,-0.01916,-0.03854
131.07,0.0,-0.018728,-0.039381
134.57,0.0,-0.018131,-0.038211
138.07,0.0,-0.017622,-0.037986
141.57,0.0,-0.017105,-0.037699
145.42,0.0,-0.016532,-0.036692
149.1,0.0,-0.016526,-0.036643
152.6,0.0,-0.016199,-0.035752
156.1,0.0,-0.015638,-0.034625
159.78,0.0,-0.015537,-0.035093
163.45,0.0,-0.014807,-0.032527
166.95,0.0,-0.014224,-0.033926
170.45,0.0,-0.013821,-0.034138
173.95,0.0,-0.01359,-0.034532
177.63,0.0,-0.013103,-0.034301
181.13,0.0,-0.012823,-0.033337
184.63,0.0,-0.012866,-0.033645
188.13,0.0,-0.012853,-0.033781
191.63,0.0,-0.013319,-0.033775
195.3,0.0,-0.013713,-0.035244
198.8,0.0,-0.014418,-0.035207
202.3,0.0,-0.014828,-0.035509
205.8,0.0,-0.015263,-0.035913
209.3,0.0,-0.015404,-0.0361
212.8,0.0,-0.01534,-0.036137
216.48,0.0,-0.015571,-0.036649
219.98,0.0,-0.015703,-0.034406
