x,y,z,z2
7.0,0.0,-0.00224,-0.02249
10.85,0.0,-0.002222,-0.021101
14.18,0.0,-0.002157,-0.022228
17.85,0.0,-0.002321,-0.020937
21.35,0.0,-0.002108,-0.020564
25.03,0.0,-0.002117,-0.020802
28.53,0.0,-0.00225,-0.021193
32.03,0.0,-0.002508,-0.020423
35.7,0.0,-0.002447,-0.020552
39.2,0.0,-0.003346,-0.021849
42.7,0.0,-0.003901,-0.022622
46.2,0.0,-0.004767,-0.023186
49.87,0.0,-0.00521,-0.024425
53.55,0.0,-0.005629,-0.027179
57.05,0.0,-0.00562,-0.025725
60.55,0.0,-0.005746,-0.025201
64.05,0.0,-0.005632,-0.025281
67.55,0.0,-0.006064,-0.026153
71.22,0.0,-0.006513,-0.027561
74.72,0.0,-0.006726,-0.026858
78.22,0.0,-0.007311,-0.02708
81.72,0.0,-0.007619,-0.027733
85.4,0.0,-0.008645,-0.029797
88.9,0.0,-0.009631,-0.029914
92.4,0.0,-0.010783,-0.031091
95.9,0.0,-0.012428,-0.032699
99.57,0.0,-0.013947,-0.032108
103.25,0.0,-0.014924,-0.034951
106.75,0.0,-0.015879,-0.035192
110.25,0.0,-0.017062,-0.036486
113.75,0.0,-0.017964,-0.036692
117.42,0.0,-0.018963,-0.036057
120.92,0.0,-0.019914,-0.038926
124.42,0.0,-0.020561,-0.038876
127.92,0.0,-0.02078,-0.039446
131.6,0.0,-0.021529,-0.039354
135.1,0.0,-0.021861,-0.039942
138.6,0.0,-0.021846,-0.040118
142.27,0.0,-0.022028,-0.040398
145.6,0.0,-0.022216,-0.040589
149.28,0.0,-0.022385,-0.040595
152.78,0.0,-0.022721,-0.041045
156.28,0.0,-0.023091,-0.042071
159.95,0.0,-0.023442,-0.04411
163.45,0.0,-0.023685,-0.043235
167.13,0.0,-0.024107,-0.044425
170.63,0.0,-0.024252,-0.044998
174.3,0.0,-0.024532,-0.045845
177.98,0.0,-0.024572,-0.044055
181.48,0.0,-0.024979,-0.044033
185.15,0.0,-0.024958,-0.043876
188.65,0.0,-0.025367,-0.040398
192.15,0.0,-0.025269,-0.047345
195.83,0.0,-0.025768,-0.044169
199.33,0.0,-0.025953,-0.044474
202.83,0.0,-0.026181,-0.043836
206.5,0.0,-0.026298,-0.044612
210.0,0.0,-0.026784,-0.045087
213.5,0.0,-0.027108,-0.045346
217.0,0.0,-0.027478,-0.046168
220.5,0.0,-0.02842,-0.046655
224.18,0.0,-0.029335,-0.047893
227.68,0.0,-0.030068,-0.048223
