x,y,z,z2
7.0,0.0,0.000187,-0.020062
10.68,0.0,0.0002,-0.021048
14.35,0.0,0.000492,-0.019899
17.85,0.0,0.000166,-0.020287
21.53,0.0,-0.000337,-0.020552
25.03,0.0,-0.001304,-0.021353
28.53,0.0,-0.002398,-0.022496
32.03,0.0,-0.003664,-0.023688
35.7,0.0,-0.005056,-0.02436
39.38,0.0,-0.006292,-0.025765
42.87,0.0,-0.007305,-0.02684
46.37,0.0,-0.007934,-0.027459
49.87,0.0,-0.008309,-0.028029
53.37,0.0,-0.008673,-0.028728
57.05,0.0,-0.00818,-0.028131
60.55,0.0,-0.007764,-0.028149
64.05,0.0,-0.006809,-0.026991
67.72,0.0,-0.006402,-0.02684
71.22,0.0,-0.006362,-0.02684
74.72,0.0,-0.006717,-0.027136
78.4,0.0,-0.006723,-0.026929
81.9,0.0,-0.006279,-0.026381
85.57,0.0,-0.00546,-0.025475
89.07,0.0,-0.004563,-0.024674
92.57,0.0,-0.003932,-0.023513
96.07,0.0,-0.003704,-0.022967
99.75,0.0,-0.004434,-0.02411
103.42,0.0,-0.005608,-0.025392
106.92,0.0,-0.007271,-0.027028
110.25,0.0,-0.008922,-0.02973
114.1,0.0,-0.011137,-0.031014
117.77,0.0,-0.013451,-0.034141
121.27,0.0,-0.015675,-0.035811
124.77,0.0,-0.01737,-0.037595
128.45,0.0,-0.018815,-0.038855
131.95,0.0,-0.019825,-0.039683
135.45,0.0,-0.020263,-0.040281
138.95,0.0,-0.020971,-0.040762
142.45,0.0,-0.021147,-0.040589
145.95,0.0,-0.021442,-0.040956
149.63,0.0,-0.02228,-0.041535
153.13,0.0,-0.022622,-0.042037
156.63,0.0,-0.023457,-0.042478
160.13,0.0,-0.024385,-0.043956
163.8,0.0,-0.025392,-0.044298
167.3,0.0,-0.02635,-0.045614
170.8,0.0,-0.027438,-0.04732
174.48,0.0,-0.028482,-0.048155
177.98,0.0,-0.029628,-0.049206
181.65,0.0,-0.031409,-0.052083
184.98,0.0,-0.032869,-0.052736
188.83,0.0,-0.033947,-0.053584
192.33,0.0,-0.034988,-0.054631
195.83,0.0,-0.036171,-0.055983
199.33,0.0,-0.037887,-0.057391
203.0,0.0,-0.039699,-0.058904
206.5,0.0,-0.041239,-0.060426
210.18,0.0,-0.042508,-0.06115
213.68,0.0,-0.043245,-0.061929
217.18,0.0,-0.043621,-0.06261
220.68,0.0,-0.043901,-0.062783
224.35,0.0,-0.043867,-0.063229
228.03,0.0,-0.044264,-0.06363
231.53,0.0,-0.044557,-0.064295
235.03,0.0,-0.044563,-0.064406
238.53,0.0,-0.043787,-0.063531
242.2,0.0,-0.042807,-0.062401
245.53,0.0,-0.041803,-0.061516
249.2,0.0,-0.041319,-0.061023
252.7,0.0,-0.040518,-0.060182
256.38,0.0,-0.039465,-0.059043
259.53,0.0,-0.037505,-0.056951
263.38,0.0,-0.034135,-0.053482
267.05,0.0,-0.030429,-0.049551
270.55,0.0,-0.025527,-0.044514
274.05,0.0,-0.02037,-0.039871
277.73,0.0,-0.014819,-0.034283
281.23,0.0,-0.009597,-0.029138
284.73,0.0,-0.005133,-0.025223
288.23,0.0,-0.001526,-0.021652
291.9,0.0,0.001108,-0.01919
295.4,0.0,0.002467,-0.017693
298.9,0.0,0.002886,-0.017696
302.4,0.0,0.002504,-0.017934
305.9,0.0,0.001053,-0.019098
309.4,0.0,-0.000811,-0.021449
313.08,0.0,-0.003158,-0.023488
316.58,0.0,-0.005983,-0.026178
320.25,0.0,-0.009277,-0.029616
323.75,0.0,-0.012961,-0.032927
327.43,0.0,-0.016566,-0.036396
330.93,0.0,-0.020161,-0.039677
334.43,0.0,-0.02282,-0.04225
337.93,0.0,-0.025204,-0.044609
341.6,0.0,-0.027314,-0.04603
345.1,0.0,-0.029006,-0.048026
348.78,0.0,-0.030718,-0.04985
352.1,0.0,-0.03216,-0.051957
355.78,0.0,-0.033195,-0.05289
359.45,0.0,-0.033818,-0.053584
362.95,0.0,-0.034569,-0.054446
366.63,0.0,-0.03529,-0.055734
370.13,0.0,-0.035349,-0.054988
373.8,0.0,-0.035725,-0.055586
377.3,0.0,-0.035799,-0.055306
380.98,0.0,-0.036328,-0.05436
384.83,0.0,-0.037302,-0.056778
388.33,0.0,-0.038485,-0.057699
391.83,0.0,-0.039674,-0.059129
395.33,0.0,-0.041045,-0.060608
398.83,0.0,-0.042376,-0.062234
402.5,0.0,-0.043808,-0.063651
406.0,0.0,-0.045296,-0.065102
409.5,0.0,-0.046446,-0.065866
413.18,0.0,-0.047632,-0.067314
416.68,0.0,-0.048932,-0.068414
420.18,0.0,-0.049914,-0.069425
423.68,0.0,-0.050672,-0.069991
427.18,0.0,-0.051156,-0.070521
430.85,0.0,-0.051707,-0.070845
434.35,0.0,-0.052006,-0.071381
437.85,0.0,-0.052758,-0.071593
441.53,0.0,-0.053069,-0.071196
445.03,0.0,-0.053553,-0.072096
448.7,0.0,-0.054129,-0.072872
452.2,0.0,-0.054683,-0.073482
455.7,0.0,-0.055364,-0.074844
459.38,0.0,-0.056017,-0.075595
462.88,0.0,-0.056538,-0.075888
466.38,0.0,-0.057317,-0.0766
470.05,0.0,-0.058251,-0.077484
473.55,0.0,-0.059076,-0.078128
477.05,0.0,-0.060084,-0.079295
480.73,0.0,-0.061365,-0.080339
484.23,0.0,-0.062176,-0.081405
487.73,0.0,-0.0631,-0.082283
491.23,0.0,-0.063436,-0.082601
494.73,0.0,-0.06387,-0.082675
498.23,0.0,-0.064295,-0.083051
501.9,0.0,-0.064582,-0.083229
505.4,0.0,-0.065589,-0.083802
508.9,0.0,-0.066319,-0.084782
512.4,0.0,-0.067274,-0.085475
516.08,0.0,-0.068426,-0.086646
519.58,0.0,-0.069458,-0.088007
523.25,0.0,-0.070691,-0.089274
526.75,0.0,-0.071827,-0.090543
530.08,0.0,-0.073288,-0.092551
533.93,0.0,-0.074699,-0.093436
537.43,0.0,-0.07619,-0.094957
540.93,0.0,-0.07793,-0.096775
544.43,0.0,-0.079665,-0.098436
548.1,0.0,-0.081387,-0.100019
551.6,0.0,-0.083266,-0.102034
555.1,0.0,-0.085395,-0.104255
558.6,0.0,-0.088408,-0.106975
562.1,0.0,-0.091741,-0.11042
565.6,0.0,-0.095404,-0.113781
569.1,0.0,-0.09879,-0.117209
572.6,0.0,-0.102659,-0.120746
576.1,0.0,-0.106757,-0.124714
579.6,0.0,-0.110691,-0.128774
583.28,0.0,-0.114714,-0.13233
586.78,0.0,-0.118334,-0.135838
590.28,0.0,-0.121119,-0.138309
593.78,0.0,-0.122912,-0.140074
597.27,0.0,-0.12318,-0.14045
600.77,0.0,-0.122182,-0.139711
604.27,0.0,-0.119794,-0.137157
607.95,0.0,-0.115937,-0.133325
611.45,0.0,-0.110611,-0.128429
614.95,0.0,-0.104079,-0.121991
618.27,0.0,-0.096439,-0.115204
621.95,0.0,-0.087964,-0.106137
625.45,0.0,-0.079203,-0.098152
629.12,0.0,-0.07054,-0.0896
632.8,0.0,-0.060749,-0.081184
636.3,0.0,-0.052866,-0.072662
639.8,0.0,-0.045752,-0.065515
643.3,0.0,-0.039437,-0.059187
647.32,0.0,-0.033922,-0.05196
650.82,0.0,-0.030253,-0.049471
654.5,0.0,-0.02761,-0.047114
658.0,0.0,-0.026094,-0.045226
661.67,0.0,-0.025284,-0.046985
665.17,0.0,-0.025611,-0.045355
668.85,0.0,-0.026372,-0.046482
672.35,0.0,-0.027826,-0.047669
676.02,0.0,-0.029517,-0.04936
679.35,0.0,-0.031603,-0.051214
683.02,0.0,-0.03351,-0.053171
686.52,0.0,-0.035346,-0.054945
690.02,0.0,-0.037499,-0.05688
693.7,0.0,-0.039548,-0.058805
697.2,0.0,-0.04123,-0.06058
700.7,0.0,-0.04289,-0.062006
704.2,0.0,-0.044369,-0.063513
707.7,0.0,-0.046014,-0.064763
711.37,0.0,-0.04708,-0.065447
12.43,14.0,-0.00529,-0.031002
15.93,14.0,-0.005484,-0.026168
19.6,14.0,-0.006104,-0.02667
23.1,14.0,-0.007345,-0.027635
26.6,14.0,-0.00851,-0.028815
30.28,14.0,-0.010672,-0.030527
33.78,14.0,-0.012823,-0.032733
37.45,14.0,-0.015115,-0.034428
40.95,14.0,-0.016754,-0.036273
44.45,14.0,-0.017912,-0.037259
47.95,14.0,-0.018235,-0.037696
51.63,14.0,-0.017967,-0.037333
54.95,14.0,-0.016945,-0.036365
58.63,14.0,-0.015626,-0.035574
62.13,14.0,-0.014431,-0.034326
65.8,14.0,-0.013562,-0.034018
69.3,14.0,-0.013152,-0.033149
72.8,14.0,-0.012545,-0.032946
76.48,14.0,-0.012003,-0.032487
79.98,14.0,-0.011091,-0.031458
83.48,14.0,-0.010182,-0.030651
86.98,14.0,-0.009536,-0.029668
90.48,14.0,-0.00912,-0.029286
94.15,14.0,-0.009378,-0.029523
97.65,14.0,-0.010028,-0.030041
101.33,14.0,-0.011187,-0.031104
104.83,14.0,-0.0129,-0.032361
108.33,14.0,-0.014702,-0.034215
111.83,14.0,-0.016951,-0.036017
115.5,14.0,-0.018944,-0.038263
119.0,14.0,-0.021048,-0.04029
122.5,14.0,-0.022582,-0.041794
126.0,14.0,-0.024166,-0.043371
129.68,14.0,-0.025586,-0.044776
133.18,14.0,-0.026578,-0.047052
136.85,14.0,-0.027478,-0.047927
140.53,14.0,-0.027918,-0.047724
144.03,14.0,-0.028654,-0.048463
147.88,14.0,-0.028975,-0.047585
151.38,14.0,-0.029736,-0.048978
155.05,14.0,-0.030361,-0.049172
158.55,14.0,-0.031298,-0.050241
162.05,14.0,-0.032206,-0.051304
165.55,14.0,-0.033214,-0.05208
169.23,14.0,-0.03359,-0.053214
172.73,14.0,-0.033771,-0.053513
176.23,14.0,-0.034314,-0.054264
179.9,14.0,-0.035075,-0.054767
183.4,14.0,-0.03611,-0.055913
187.08,14.0,-0.037598,-0.057542
190.4,14.0,-0.03936,-0.058947
193.9,14.0,-0.041384,-0.061048
197.58,14.0,-0.043485,-0.063023
201.08,14.0,-0.045854,-0.065145
204.58,14.0,-0.048091,-0.067582
208.25,14.0,-0.050897,-0.070038
211.75,14.0,-0.053661,-0.072453
215.43,14.0,-0.056153,-0.074397
218.93,14.0,-0.058337,-0.077123
222.43,14.0,-0.060494,-0.07862
226.1,14.0,-0.0633,-0.081609
229.6,14.0,-0.065589,-0.083975
233.1,14.0,-0.067625,-0.085965
236.6,14.0,-0.068584,-0.087182
240.28,14.0,-0.068713,-0.088038
243.78,14.0,-0.067869,-0.086883
247.28,14.0,-0.065678,-0.084853
250.78,14.0,-0.062474,-0.081781
254.1,14.0,-0.058266,-0.077758
257.95,14.0,-0.052927,-0.072672
261.45,14.0,-0.046667,-0.066498
264.95,14.0,-0.040355,-0.060173
268.45,14.0,-0.033642,-0.053596
272.13,14.0,-0.027074,-0.04708
275.63,14.0,-0.020682,-0.040752
279.13,14.0,-0.014412,-0.03448
282.63,14.0,-0.00883,-0.028861
286.13,14.0,-0.004542,-0.024742
289.8,14.0,-0.000691,-0.02029
293.3,14.0,0.002341,-0.017499
296.8,14.0,0.004337,-0.015444
299.6,14.0,0.004972,-0.015315
304.15,14.0,0.004713,-0.015441
307.65,14.0,0.003061,-0.017475
311.15,14.0,0.000957,-0.019021
314.48,14.0,-0.001797,-0.022277
318.15,14.0,-0.005121,-0.025062
321.83,14.0,-0.008331,-0.028316
325.33,14.0,-0.011898,-0.032203
328.83,14.0,-0.015549,-0.035654
332.5,14.0,-0.018907,-0.03903
336.0,14.0,-0.021837,-0.041328
339.68,14.0,-0.024631,-0.044304
343.18,14.0,-0.027219,-0.046735
346.85,14.0,-0.029677,-0.047961
350.35,14.0,-0.0318,-0.050737
353.85,14.0,-0.033624,-0.052487
357.53,14.0,-0.034569,-0.053574
361.38,14.0,-0.035176,-0.056701
365.05,14.0,-0.035762,-0.055509
368.55,14.0,-0.036091,-0.055598
372.05,14.0,-0.036094,-0.055823
375.55,14.0,-0.036717,-0.056473
379.23,14.0,-0.037564,-0.057287
382.55,14.0,-0.038676,-0.057915
386.23,14.0,-0.0398,-0.059175
389.73,14.0,-0.041224,-0.060429
393.23,14.0,-0.042632,-0.061726
396.73,14.0,-0.043972,-0.063192
400.4,14.0,-0.04529,-0.063799
403.9,14.0,-0.046387,-0.065065
407.4,14.0,-0.047468,-0.066288
410.9,14.0,-0.048519,-0.067231
414.58,14.0,-0.049252,-0.068516
418.08,14.0,-0.050161,-0.069899
421.75,14.0,-0.051073,-0.071159
425.25,14.0,-0.052037,-0.071461
428.75,14.0,-0.052573,-0.07188
