x,y,z,z2
4.37,0.0,0.003271,0.007673
6.82,0.0,0.003662,0.008314
9.1,0.0,0.004097,0.008789
11.2,0.0,0.004343,0.008702
13.13,0.0,0.004734,0.009155
15.4,0.0,0.005129,0.009087
17.85,0.0,0.005806,0.009516
20.13,0.0,0.006614,0.009858
22.23,0.0,0.00788,0.010905
24.5,0.0,0.009204,0.012076
26.6,0.0,0.011142,0.013373
28.88,0.0,0.012793,0.014657
31.15,0.0,0.014568,0.015896
33.25,0.0,0.016265,0.016684
35.53,0.0,0.017485,0.017562
37.8,0.0,0.018829,0.01792
39.9,0.0,0.019765,0.01857
42.17,0.0,0.020997,0.018967
44.45,0.0,0.022076,0.019901
46.55,0.0,0.023443,0.020982
48.82,0.0,0.024559,0.022224
50.92,0.0,0.025769,0.023209
53.2,0.0,0.027248,0.024374
55.47,0.0,0.029149,0.025615
57.57,0.0,0.031238,0.026857
59.85,0.0,0.033561,0.028034
61.95,0.0,0.035736,0.029192
64.22,0.0,0.038172,0.030079
66.5,0.0,0.040255,0.030806
68.6,0.0,0.041943,0.031459
70.87,0.0,0.043246,0.031429
73.15,0.0,0.044284,0.031379
75.25,0.0,0.045144,0.031345
77.52,0.0,0.045982,0.030859
79.62,0.0,0.046743,0.029891
81.9,0.0,0.047738,0.028795
84.17,0.0,0.048656,0.027562
86.27,0.0,0.049337,0.026469
88.55,0.0,0.049919,0.024842
90.65,0.0,0.050412,0.023191
92.92,0.0,0.051278,0.020868
95.2,0.0,0.052421,0.018271
97.3,0.0,0.053681,0.014737
99.75,0.0,0.055085,0.01032
101.85,0.0,0.056308,0.005514
104.12,0.0,0.05775,-0.000272
106.4,0.0,0.058989,-0.006905
108.32,0.0,0.060276,-0.014089
110.77,0.0,0.061386,-0.021618
112.87,0.0,0.062482,-0.030287
115.15,0.0,0.063406,-0.039043
117.6,0.0,0.06418,-0.049582
119.7,0.0,0.064925,-0.060013
121.97,0.0,0.065267,-0.071233
124.25,0.0,0.066139,-0.083211
126.52,0.0,0.066768,-0.096254
128.8,0.0,0.067082,-0.10851
130.9,0.0,0.066663,-0.1207
133.17,0.0,0.065471,-0.131812
135.45,0.0,0.063662,-0.142157
137.72,0.0,0.060264,-0.151091
139.82,0.0,0.05588,-0.158796
142.1,0.0,0.050079,-0.16371
144.2,0.0,0.043188,-0.166217
146.65,0.0,0.034266,-0.165472
148.75,0.0,0.024346,-0.161359
151.03,0.0,0.013551,-0.154344
153.3,0.0,0.001798,-0.144061
155.58,0.0,-0.011951,-0.12924
157.85,0.0,-0.024714,-0.111735
159.95,0.0,-0.037635,-0.091023
162.23,0.0,-0.05094,-0.068383
164.33,0.0,-0.064147,-0.043842
166.6,0.0,-0.077345,-0.017545
168.88,0.0,-0.089689,0.009799
170.98,0.0,-0.10123,0.036647
173.25,0.0,-0.110869,0.062236
175.53,0.0,-0.119754,0.087239
177.8,0.0,-0.127191,0.111213
179.9,0.0,-0.133553,0.132685
182.18,0.0,-0.137946,0.151133
184.28,0.0,-0.141193,0.166469
186.55,0.0,-0.142903,0.179352
188.83,0.0,-0.14297,0.188992
190.93,0.0,-0.141596,0.195544
193.38,0.0,-0.138818,0.198995
195.65,0.0,-0.134997,0.199238
197.75,0.0,-0.129936,0.197611
200.03,0.0,-0.124064,0.193462
202.3,0.0,-0.11716,0.186971
204.58,0.0,-0.109788,0.180061
206.68,0.0,-0.102231,0.171838
208.95,0.0,-0.094388,0.163228
211.58,0.0,-0.085041,0.152722
213.85,0.0,-0.077234,0.143499
215.95,0.0,-0.069951,0.133798
218.23,0.0,-0.062943,0.12426
220.5,0.0,-0.05684,0.114309
222.6,0.0,-0.051519,0.105443
224.88,0.0,-0.046556,0.095889
227.15,0.0,-0.042893,0.087461
229.78,0.0,-0.03919,0.076216
232.05,0.0,-0.037206,0.067784
234.33,0.0,-0.036113,0.059134
236.6,0.0,-0.036128,0.051176
238.7,0.0,-0.037832,0.043046
240.98,0.0,-0.040854,0.035212
243.08,0.0,-0.046652,0.026543
245.35,0.0,-0.05663,0.017455
247.63,0.0,-0.072006,0.007236
249.73,0.0,-0.096492,-0.002231
252.0,0.0,-0.128947,-0.010571
254.1,0.0,-0.16561,-0.018522
256.38,0.0,-0.200949,-0.026516
258.65,0.0,-0.227388,-0.035472
260.75,0.0,-0.243349,-0.045666
263.03,0.0,-0.248106,-0.056458
265.3,0.0,-0.243004,-0.067099
267.4,0.0,-0.229233,-0.077323
269.85,0.0,-0.210195,-0.086338
271.95,0.0,-0.186781,-0.09423
274.23,0.0,-0.160996,-0.099985
276.5,0.0,-0.135084,-0.104471
278.78,0.0,-0.109822,-0.107453
280.88,0.0,-0.085497,-0.108848
283.15,0.0,-0.061273,-0.109526
285.25,0.0,-0.039418,-0.1092
288.05,0.0,-0.014665,-0.108035
290.33,0.0,0.002572,-0.107265
292.6,0.0,0.019063,-0.106208
294.7,0.0,0.034365,-0.105546
296.98,0.0,0.048231,-0.104884
299.25,0.0,0.060899,-0.104628
301.53,0.0,0.072347,-0.104486
303.63,0.0,0.083,-0.104924
305.9,0.0,0.094189,-0.105487
308.0,0.0,0.105255,-0.106467
310.28,0.0,0.116262,-0.107906
312.38,0.0,0.127365,-0.109258
314.65,0.0,0.138172,-0.110447
316.93,0.0,0.148206,-0.112286
319.2,0.0,0.157436,-0.114252
321.3,0.0,0.165837,-0.116353
323.58,0.0,0.173095,-0.118882
325.68,0.0,0.180501,-0.121445
