x,y,z,z2
0.0,2.1,0.009244,0.010917
0.0,4.37,0.009226,0.011413
0.0,6.82,0.009275,0.011355
0.0,8.92,0.008841,0.011386
0.0,11.2,0.008431,0.011004
0.0,13.48,0.008142,0.010594
0.0,15.58,0.007741,0.009882
0.0,17.85,0.007362,0.009063
0.0,20.13,0.006996,0.008046
0.0,22.23,0.006219,0.007097
0.0,24.5,0.005209,0.005982
0.0,26.78,0.003998,0.005178
0.0,28.88,0.003086,0.003887
0.0,31.15,0.001845,0.002455
0.0,33.43,0.000702,0.000757
0.0,35.52,-0.000275,-0.000962
0.0,37.8,-0.001101,-0.002709
0.0,40.07,-0.00156,-0.004086
0.0,42.35,-0.002222,-0.005136
0.0,44.45,-0.002154,-0.006267
0.0,46.55,-0.00221,-0.007293
0.0,49.0,-0.00217,-0.0079
0.0,51.1,-0.001538,-0.008698
0.0,53.37,-0.000367,-0.0094
0.0,55.47,0.001346,-0.009776
0.0,57.75,0.003696,-0.009375
0.0,60.02,0.007559,-0.008537
0.0,62.12,0.012257,-0.007222
0.0,64.4,0.018132,-0.004686
0.0,66.67,0.024112,-0.001575
0.0,68.77,0.031145,0.001959
0.0,71.05,0.037797,0.005514
0.0,73.32,0.045252,0.009032
0.0,75.42,0.052223,0.012753
0.0,77.7,0.060236,0.016755
0.0,79.8,0.067914,0.020489
0.0,82.07,0.076379,0.024777
0.0,84.35,0.084833,0.029546
0.0,86.45,0.09409,0.034272
0.0,88.72,0.103628,0.039445
0.0,91.0,0.113129,0.04434
0.0,93.27,0.123397,0.049479
0.0,95.55,0.132957,0.054725
0.0,97.65,0.14235,0.059799
0.0,99.92,0.151663,0.065415
0.0,102.2,0.160286,0.070606
0.0,104.3,0.16938,0.076432
0.0,106.57,0.17779,0.082165
0.0,108.85,0.186444,0.087929
0.0,110.95,0.19495,0.093841
0.0,113.22,0.20352,0.099186
0.0,115.5,0.211894,0.104839
0.0,117.6,0.219586,0.109962
0.0,119.87,0.226924,0.1158
0.0,122.15,0.234327,0.121884
0.0,124.25,0.240738,0.128696
0.0,126.52,0.24637,0.134374
0.0,128.62,0.249897,0.139728
0.0,130.72,0.251622,0.143961
0.0,133.17,0.251644,0.147328
0.0,135.45,0.250264,0.150584
0.0,137.55,0.248021,0.153665
0.0,139.82,0.244293,0.156706
0.0,142.1,0.239558,0.160138
0.0,144.2,0.23429,0.164679
0.0,146.48,0.228166,0.169777
0.0,148.75,0.220698,0.175205
0.0,150.85,0.212953,0.180849
0.0,153.13,0.203942,0.186241
0.0,155.4,0.194833,0.191558
0.0,157.5,0.185513,0.196478
0.0,159.78,0.176028,0.199974
0.0,162.05,0.166342,0.202821
0.0,164.15,0.156484,0.203893
0.0,166.43,0.145969,0.203166
0.0,168.7,0.133902,0.199386
0.0,170.98,0.119217,0.191832
0.0,173.08,0.100631,0.179851
0.0,175.35,0.075726,0.162242
0.0,177.45,0.038142,0.141176
0.0,179.73,-0.013676,0.116989
0.0,182.0,-0.070158,0.090557
0.0,184.28,-0.122428,0.063369
0.0,186.55,-0.161159,0.037969
0.0,188.83,-0.183445,0.014913
0.0,190.93,-0.188257,-0.004197
0.0,193.2,-0.178528,-0.01879
0.0,195.48,-0.157998,-0.029363
0.0,197.58,-0.131895,-0.035743
0.0,199.85,-0.103596,-0.039212
0.0,202.13,-0.073211,-0.040447
0.0,204.23,-0.044274,-0.039905
0.0,206.5,-0.018254,-0.038303
0.0,208.78,0.00621,-0.036353
0.0,210.88,0.027723,-0.034369
0.0,213.15,0.046675,-0.032986
0.0,215.25,0.062294,-0.031643
0.0,217.7,0.074808,-0.031156
0.0,219.8,0.08446,-0.030956
0.0,222.08,0.092562,-0.031612
0.0,224.35,0.098798,-0.032342
0.0,226.63,0.103641,-0.033371
0.0,228.73,0.107196,-0.034822
0.0,231.0,0.109318,-0.036797
0.0,233.1,0.110292,-0.039083
0.0,235.38,0.110264,-0.041501
0.0,237.65,0.109589,-0.044341
0.0,239.93,0.10788,-0.047049
0.0,242.03,0.105184,-0.050306
0.0,244.3,0.101962,-0.053925
0.0,246.58,0.098292,-0.057656
0.0,248.68,0.094478,-0.061125
0.0,251.13,0.089466,-0.06521
0.0,253.23,0.084346,-0.069662
0.0,255.5,0.078967,-0.073969
0.0,257.6,0.072572,-0.078614
0.0,259.88,0.066238,-0.083547
0.0,262.15,0.059959,-0.087973
0.0,264.25,0.053083,-0.092582
0.0,266.53,0.046493,-0.097114
0.0,268.63,0.039383,-0.101513
0.0,270.9,0.032381,-0.106144
0.0,273.18,0.024571,-0.110632
0.0,275.28,0.016743,-0.115654
0.0,277.55,0.007984,-0.120654
0.0,279.83,-0.001039,-0.125262
0.0,281.93,-0.01046,-0.13033
0.0,284.2,-0.019788,-0.135269
0.0,286.3,-0.029388,-0.140108
0.0,288.58,-0.039816,-0.145225
0.0,290.85,-0.050447,-0.149923
0.0,292.95,-0.061344,-0.154769
0.0,295.23,-0.073057,-0.159147
0.0,297.5,-0.08538,-0.162764
0.0,299.6,-0.098189,-0.166257
0.0,301.88,-0.110164,-0.16895
0.0,304.15,-0.122761,-0.171082
0.0,306.25,-0.13529,-0.172428
0.0,308.53,-0.147949,-0.173192
0.0,310.8,-0.160173,-0.172918
0.0,312.9,-0.172342,-0.171932
0.0,315.18,-0.184227,-0.170034
0.0,317.45,-0.196405,-0.166837
0.0,319.55,-0.207681,-0.162782
0.0,321.83,-0.218423,-0.157986
0.0,324.1,-0.228777,-0.15188
0.0,326.2,-0.23903,-0.145293
0.0,328.48,-0.248623,-0.137345
0.0,330.58,-0.258121,-0.12899
0.0,332.85,-0.266149,-0.11989
0.0,335.13,-0.273676,-0.109997
0.0,337.23,-0.279815,-0.099677
0.0,339.5,-0.285613,-0.089314
0.0,341.6,-0.289738,-0.079378
0.0,343.88,-0.293303,-0.069548
0.0,345.98,-0.295626,-0.060136
0.0,348.25,-0.297058,-0.051285
0.0,350.53,-0.297588,-0.04306
0.0,352.63,-0.297194,-0.035158
0.0,354.9,-0.295894,-0.028066
0.0,357.18,-0.293549,-0.021902
0.0,359.45,-0.290499,-0.016874
0.0,361.55,-0.2872,-0.012653
0.0,363.83,-0.28244,-0.009483
0.0,366.1,-0.276787,-0.007684
0.0,368.2,-0.27126,-0.00729
0.0,370.48,-0.264535,-0.007592
0.0,372.58,-0.257727,-0.008547
0.0,374.85,-0.250253,-0.0107
0.0,377.13,-0.242493,-0.013676
0.0,379.23,-0.234273,-0.017462
0.0,381.5,-0.22598,-0.021486
0.0,383.6,-0.217231,-0.026116
0.0,385.88,-0.20874,-0.030694
0.0,388.15,-0.199785,-0.035278
0.0,390.43,-0.190832,-0.039936
0.0,392.53,-0.181322,-0.044748
0.0,394.8,-0.171938,-0.048719
0.0,396.9,-0.163337,-0.053226
0.0,399.18,-0.154329,-0.057515
0.0,401.45,-0.146267,-0.061489
