x,y,z,z2
7.0,0.0,0.002553,-0.017915
10.68,0.0,0.002612,-0.017046
14.35,0.0,0.002978,-0.016754
18.03,0.0,0.004466,-0.016723
21.53,0.0,0.006272,-0.014015
25.2,0.0,0.008936,-0.012207
28.7,0.0,0.01206,-0.008849
32.38,0.0,0.015674,-0.005512
35.87,0.0,0.018936,-0.002179
39.37,0.0,0.022575,0.001413
43.05,0.0,0.026555,0.00536
46.2,0.0,0.030406,0.009023
50.22,0.0,0.034318,0.012655
53.72,0.0,0.037753,0.016783
57.4,0.0,0.041481,0.020277
60.9,0.0,0.044857,0.024127
64.4,0.0,0.048342,0.0271
67.9,0.0,0.050948,0.029636
71.57,0.0,0.053776,0.032356
75.42,0.0,0.056336,0.03406
78.92,0.0,0.05852,0.036127
82.42,0.0,0.060544,0.038915
85.92,0.0,0.062723,0.040175
89.6,0.0,0.064629,0.04251
93.1,0.0,0.06654,0.044365
96.77,0.0,0.068348,0.045637
100.45,0.0,0.069876,0.047461
104.12,0.0,0.071352,0.049448
107.8,0.0,0.072242,0.050437
111.3,0.0,0.073191,0.05121
114.8,0.0,0.073872,0.052146
119.0,0.0,0.074697,0.050332
122.67,0.0,0.075162,0.053111
126.17,0.0,0.075683,0.053524
129.67,0.0,0.076071,0.053822
133.17,0.0,0.076342,0.05409
136.67,0.0,0.076641,0.054608
140.35,0.0,0.077002,0.05499
143.85,0.0,0.077689,0.055501
147.35,0.0,0.078299,0.056154
151.55,0.0,0.079069,0.055042
155.23,0.0,0.079756,0.056977
158.73,0.0,0.079654,0.057448
162.4,0.0,0.080455,0.058314
166.08,0.0,0.081145,0.059066
169.58,0.0,0.08153,0.059771
173.08,0.0,0.081897,0.060042
176.58,0.0,0.082057,0.060024
180.95,0.0,0.081798,0.057723
184.45,0.0,0.081792,0.059682
187.95,0.0,0.081583,0.058998
191.45,0.0,0.081669,0.059044
195.13,0.0,0.081499,0.059229
198.63,0.0,0.081284,0.059149
202.13,0.0,0.081213,0.058875
205.98,0.0,0.081201,0.060052
209.65,0.0,0.081154,0.058129
213.33,0.0,0.081268,0.059349
