x,y,z,z2
7.35,0.0,-0.093343,-0.111442
10.5,0.0,-0.094335,-0.112551
14.35,0.0,-0.096211,-0.114089
17.68,0.0,-0.098667,-0.116655
21.35,0.0,-0.102222,-0.120102
25.03,0.0,-0.106356,-0.124415
28.7,0.0,-0.112314,-0.129917
32.2,0.0,-0.120074,-0.137345
35.7,0.0,-0.131544,-0.148516
39.2,0.0,-0.149147,-0.165444
42.7,0.0,-0.175955,-0.191442
46.2,0.0,-0.207471,-0.222342
49.87,0.0,-0.23354,-0.24866
53.37,0.0,-0.249162,-0.264215
57.05,0.0,-0.250811,-0.265925
60.55,0.0,-0.239695,-0.255764
64.05,0.0,-0.218808,-0.235108
67.72,0.0,-0.190922,-0.208278
71.22,0.0,-0.159816,-0.177517
74.72,0.0,-0.128408,-0.14692
78.4,0.0,-0.09863,-0.117518
81.9,0.0,-0.069381,-0.089129
85.4,0.0,-0.043174,-0.063161
88.9,0.0,-0.01997,-0.039748
92.4,0.0,0.001626,-0.018473
96.07,0.0,0.021885,0.000988
99.57,0.0,0.039793,0.018382
103.25,0.0,0.054799,0.033819
106.75,0.0,0.069121,0.047291
110.42,0.0,0.081259,0.059916
113.92,0.0,0.093613,0.071838
117.42,0.0,0.105646,0.083727
121.1,0.0,0.118157,0.095714
124.6,0.0,0.130772,0.108505
128.27,0.0,0.143905,0.120868
131.77,0.0,0.157408,0.134423
135.27,0.0,0.170865,0.147624
138.95,0.0,0.183157,0.159679
142.45,0.0,0.194127,0.170467
146.12,0.0,0.203151,0.179383
149.63,0.0,0.208896,0.185307
153.13,0.0,0.210264,0.186703
156.63,0.0,0.205205,0.182353
160.13,0.0,0.193573,0.170726
163.63,0.0,0.175477,0.153206
167.3,0.0,0.149559,0.127442
170.8,0.0,0.117094,0.096194
174.3,0.0,0.078363,0.058493
177.98,0.0,0.031336,0.012726
181.48,0.0,-0.021036,-0.038799
184.98,0.0,-0.072434,-0.089406
188.65,0.0,-0.119837,-0.135863
192.15,0.0,-0.158026,-0.173777
195.65,0.0,-0.188297,-0.203599
199.15,0.0,-0.209172,-0.224578
202.83,0.0,-0.21984,-0.235459
206.33,0.0,-0.22277,-0.238503
209.83,0.0,-0.217816,-0.234067
213.5,0.0,-0.207551,-0.223802
217.0,0.0,-0.191874,-0.208922
220.5,0.0,-0.17122,-0.188938
224.18,0.0,-0.147915,-0.1659
227.68,0.0,-0.123177,-0.141331
231.18,0.0,-0.097348,-0.116316
234.68,0.0,-0.070648,-0.090266
238.18,0.0,-0.044579,-0.064637
241.85,0.0,-0.020629,-0.04078
245.35,0.0,0.002402,-0.018309
248.85,0.0,0.023102,0.002276
252.53,0.0,0.04247,0.021614
256.03,0.0,0.059633,0.038101
259.53,0.0,0.075064,0.05348
263.2,0.0,0.088961,0.066915
266.7,0.0,0.100578,0.078505
270.2,0.0,0.110871,0.088816
