x,y,z,z2
7.0,0.0,-0.079141,-0.097259
10.68,0.0,-0.079169,-0.097043
14.18,0.0,-0.079449,-0.097197
17.85,0.0,-0.079141,-0.096732
21.35,0.0,-0.07859,-0.097308
24.85,0.0,-0.078722,-0.096775
28.35,0.0,-0.078624,-0.096877
32.2,0.0,-0.078386,-0.096837
35.88,0.0,-0.07847,-0.09712
39.37,0.0,-0.079354,-0.097635
43.05,0.0,-0.079951,-0.097502
46.55,0.0,-0.081036,-0.098996
50.22,0.0,-0.082413,-0.100383
53.72,0.0,-0.084126,-0.102551
57.22,0.0,-0.084964,-0.103784
60.72,0.0,-0.086874,-0.104609
64.4,0.0,-0.087077,-0.105497
67.9,0.0,-0.084557,-0.10245
71.4,0.0,-0.079132,-0.096824
74.9,0.0,-0.071331,-0.090182
78.4,0.0,-0.062561,-0.082018
82.07,0.0,-0.053824,-0.072268
85.57,0.0,-0.043577,-0.063124
89.07,0.0,-0.033032,-0.05236
93.27,0.0,-0.018818,-0.038614
96.77,0.0,-0.005451,-0.025241
100.45,0.0,0.008496,-0.011532
103.95,0.0,0.02186,0.001463
107.45,0.0,0.03463,0.014312
111.12,0.0,0.046678,0.026912
114.62,0.0,0.059374,0.038853
118.12,0.0,0.070893,0.05084
121.62,0.0,0.082938,0.061191
125.3,0.0,0.092941,0.071857
128.8,0.0,0.101844,0.080714
132.3,0.0,0.109478,0.088394
135.97,0.0,0.116367,0.094509
139.65,0.0,0.12105,0.099149
143.15,0.0,0.125372,0.103819
146.65,0.0,0.128148,0.106389
150.33,0.0,0.129854,0.108431
153.83,0.0,0.129389,0.10771
157.33,0.0,0.125834,0.105421
160.83,0.0,0.118822,0.097923
164.33,0.0,0.107855,0.087371
168.18,0.0,0.091567,0.070782
171.68,0.0,0.072193,0.052618
175.18,0.0,0.053527,0.033092
178.85,0.0,0.036084,0.016666
182.53,0.0,0.02223,0.002867
186.03,0.0,0.013792,-0.005564
189.53,0.0,0.009017,-0.010035
193.2,0.0,0.00926,-0.010749
196.7,0.0,0.012424,-0.007582
200.2,0.0,0.016983,-0.002555
203.88,0.0,0.022778,0.003447
207.38,0.0,0.030181,0.009549
210.88,0.0,0.035597,0.016198
214.38,0.0,0.041755,0.021044
218.05,0.0,0.045575,0.026077
221.55,0.0,0.049707,0.029075
225.05,0.0,0.051447,0.030945
228.55,0.0,0.05239,0.032199
232.05,0.0,0.0532,0.032729
235.73,0.0,0.053105,0.032461
239.23,0.0,0.052963,0.033006
242.9,0.0,0.052341,0.032864
246.4,0.0,0.050834,0.030705
249.9,0.0,0.049639,0.029553
253.4,0.0,0.047217,0.027039
257.08,0.0,0.044559,0.024867
260.58,0.0,0.043228,0.022858
264.08,0.0,0.040828,0.020384
267.58,0.0,0.037883,0.018403
271.08,0.0,0.03544,0.015486
274.75,0.0,0.0328,0.012883
278.08,0.0,0.030147,0.010273
281.75,0.0,0.027073,0.007264
285.43,0.0,0.023739,0.003727
288.93,0.0,0.020169,0.000628
292.43,0.0,0.017119,-0.002404
295.93,0.0,0.014272,-0.005072
299.78,0.0,0.011709,-0.007875
303.28,0.0,0.009667,-0.009495
306.78,0.0,0.008302,-0.011658
310.45,0.0,0.00641,-0.01342
314.48,0.0,0.005052,-0.014662
317.98,0.0,0.004032,-0.015441
321.48,0.0,0.003493,-0.016378
324.98,0.0,0.002926,-0.016824
329.0,0.0,0.002162,-0.017604
332.5,0.0,0.00211,-0.01724
336.0,0.0,0.000837,-0.018399
339.5,0.0,-1e-05,-0.019394
343.0,0.0,-0.001495,-0.020417
346.5,0.0,-0.002299,-0.021304
350.0,0.0,-0.00265,-0.022191
353.68,0.0,-0.003562,-0.022813
357.18,0.0,-0.00379,-0.023642
