x,y,z,z2
0.0,3.5,-0.046489,-0.069314
0.0,7.0,-0.046901,-0.066027
0.0,10.5,-0.047376,-0.066449
0.0,14.18,-0.048245,-0.0672
0.0,17.68,-0.049344,-0.068223
0.0,21.18,-0.051174,-0.069782
0.0,24.85,-0.053103,-0.071963
0.0,28.35,-0.055472,-0.074036
0.0,32.03,-0.057933,-0.076458
0.0,35.53,-0.059921,-0.078605
0.0,39.2,-0.062869,-0.081473
0.0,42.52,-0.066063,-0.084517
0.0,46.2,-0.070247,-0.088399
0.0,49.87,-0.074366,-0.092798
0.0,53.37,-0.080056,-0.097918
0.0,56.87,-0.085928,-0.104098
0.0,60.55,-0.09208,-0.110364
0.0,64.05,-0.098146,-0.116091
0.0,67.55,-0.103959,-0.121673
0.0,71.22,-0.108935,-0.126393
0.0,74.72,-0.114113,-0.131874
0.0,78.22,-0.11944,-0.1372
0.0,81.72,-0.12521,-0.142462
0.0,85.22,-0.131917,-0.148993
0.0,88.72,-0.139076,-0.155928
0.0,92.4,-0.147166,-0.16407
0.0,95.9,-0.155426,-0.171911
0.0,99.4,-0.16488,-0.181048
0.0,102.9,-0.17464,-0.190903
0.0,106.57,-0.185013,-0.201045
0.0,110.07,-0.196042,-0.212028
0.0,113.75,-0.206624,-0.222394
0.0,117.25,-0.217219,-0.232456
0.0,120.75,-0.228026,-0.243438
0.0,124.25,-0.238774,-0.253799
0.0,127.75,-0.249846,-0.26464
0.0,131.25,-0.261002,-0.275438
0.0,135.1,-0.272813,-0.28688
0.0,138.6,-0.282905,-0.297157
0.0,142.27,-0.292394,-0.306685
0.0,145.77,-0.300863,-0.315197
0.0,149.27,-0.307613,-0.321633
0.0,152.78,-0.313164,-0.326923
0.0,156.28,-0.316325,-0.330253
0.0,159.95,-0.318075,-0.331956
0.0,163.45,-0.317603,-0.331159
0.0,166.95,-0.315918,-0.329778
0.0,170.63,-0.313974,-0.327828
0.0,174.13,-0.312625,-0.32691
0.0,177.63,-0.31317,-0.327166
0.0,181.3,-0.315807,-0.329748
0.0,184.8,-0.321143,-0.334843
0.0,188.3,-0.329603,-0.34318
0.0,191.98,-0.340308,-0.353494
0.0,195.48,-0.352637,-0.365416
0.0,198.98,-0.365897,-0.378598
0.0,202.83,-0.37948,-0.391762
0.0,206.33,-0.390472,-0.402801
0.0,209.83,-0.400508,-0.412496
0.0,213.5,-0.407862,-0.420419
0.0,217.0,-0.413213,-0.425388
0.0,220.5,-0.416855,-0.428605
0.0,224.88,-0.417579,-0.428635
0.0,228.38,-0.415068,-0.427671
0.0,231.88,-0.41114,-0.423682
0.0,235.38,-0.404181,-0.416759
0.0,239.4,-0.394366,-0.406725
0.0,243.08,-0.382742,-0.396118
0.0,246.58,-0.368759,-0.382006
0.0,250.08,-0.35435,-0.368106
0.0,253.58,-0.338235,-0.352129
0.0,257.43,-0.321886,-0.336618
0.0,260.93,-0.306174,-0.320623
0.0,264.43,-0.289812,-0.304621
0.0,268.1,-0.272591,-0.28797
0.0,271.6,-0.255949,-0.271766
0.0,275.1,-0.239015,-0.254926
0.0,278.78,-0.223402,-0.23931
0.0,282.28,-0.208217,-0.224585
0.0,285.78,-0.194042,-0.210629
0.0,289.28,-0.180225,-0.19716
0.0,292.95,-0.166997,-0.184002
0.0,296.45,-0.154914,-0.171917
0.0,299.95,-0.143214,-0.160755
0.0,303.63,-0.132487,-0.150204
0.0,307.13,-0.121439,-0.139511
0.0,310.63,-0.111378,-0.129523
0.0,314.3,-0.102191,-0.120336
0.0,317.8,-0.093596,-0.11212
0.0,321.48,-0.086137,-0.104585
0.0,324.98,-0.079498,-0.097909
0.0,328.48,-0.073876,-0.092373
0.0,332.15,-0.068211,-0.087129
0.0,335.65,-0.063331,-0.082197
0.0,339.15,-0.05838,-0.077518
0.0,342.65,-0.053297,-0.072354
0.0,346.33,-0.047964,-0.067511
0.0,349.65,-0.04297,-0.062468
0.0,353.33,-0.038346,-0.057539
0.0,356.83,-0.033389,-0.052598
0.0,360.33,-0.02907,-0.048189
0.0,363.83,-0.02476,-0.044539
0.0,367.5,-0.020287,-0.039791
0.0,371.0,-0.015337,-0.034874
0.0,374.68,-0.009434,-0.029338
0.0,378.35,-0.003186,-0.023183
0.0,382.03,0.002664,-0.017447
0.0,385.53,0.007917,-0.012068
0.0,389.03,0.012723,-0.007308
0.0,392.53,0.016225,-0.003812
0.0,396.2,0.018671,-0.001634
0.0,399.7,0.019534,-0.000454
0.0,403.2,0.020172,-0.00029
0.0,406.88,0.020122,-8.7e-05
0.0,410.38,0.020153,2.7e-05
0.0,413.88,0.020206,-0.000158
0.0,417.38,0.020569,0.000323
0.0,421.05,0.021672,0.001302
0.0,424.55,0.022898,0.003006
0.0,428.05,0.024762,0.004318
0.0,431.73,0.027097,0.006595
0.0,435.23,0.030394,0.010113
0.0,438.9,0.034898,0.014509
0.0,442.4,0.039756,0.019164
0.0,445.9,0.0441,0.0234
0.0,449.4,0.047528,0.02629
0.0,452.9,0.049793,0.028825
0.0,456.4,0.050652,0.029944
0.0,460.08,0.051456,0.030942
0.0,463.58,0.051962,0.031044
0.0,467.08,0.05255,0.031949
0.0,470.75,0.053046,0.032532
0.0,474.08,0.053625,0.032686
0.0,477.93,0.053594,0.032963
0.0,481.6,0.053949,0.03328
0.0,485.28,0.054907,0.034275
0.0,488.78,0.055729,0.034713
