x,y,z,z2
0.0,3.5,-0.0281,-0.052804
0.0,7.0,-0.027672,-0.046523
0.0,10.68,-0.026997,-0.046036
0.0,14.18,-0.025882,-0.044921
0.0,17.85,-0.024782,-0.044012
0.0,21.35,-0.02351,-0.04261
0.0,24.85,-0.021929,-0.040158
0.0,28.53,-0.020447,-0.038698
0.0,32.03,-0.017841,-0.037142
0.0,35.53,-0.016615,-0.03484
0.0,39.02,-0.015235,-0.033143
0.0,42.52,-0.014033,-0.032783
0.0,46.2,-0.013282,-0.031874
0.0,49.7,-0.012909,-0.031908
0.0,53.2,-0.013593,-0.032176
0.0,56.7,-0.014554,-0.033907
0.0,60.37,-0.016242,-0.035105
0.0,63.87,-0.018276,-0.037247
0.0,67.37,-0.020574,-0.039649
0.0,71.05,-0.023833,-0.042194
0.0,74.55,-0.027481,-0.046067
0.0,78.05,-0.031156,-0.050121
0.0,81.72,-0.035284,-0.0535
0.0,85.22,-0.040222,-0.05875
0.0,88.72,-0.045694,-0.063818
0.0,92.4,-0.052222,-0.070065
0.0,95.9,-0.058962,-0.077493
0.0,99.57,-0.068842,-0.086541
0.0,103.25,-0.077927,-0.095641
0.0,106.75,-0.089354,-0.107437
0.0,110.42,-0.10318,-0.12049
0.0,113.92,-0.119314,-0.136254
0.0,117.42,-0.137009,-0.153697
0.0,120.92,-0.157154,-0.173318
0.0,124.42,-0.180278,-0.196208
0.0,128.1,-0.205974,-0.221316
0.0,131.42,-0.232474,-0.24834
0.0,135.1,-0.260164,-0.275216
0.0,138.42,-0.287345,-0.302243
0.0,142.1,-0.31391,-0.328176
0.0,145.6,-0.335943,-0.349803
0.0,149.1,-0.35333,-0.367086
0.0,152.6,-0.364369,-0.378635
0.0,156.28,-0.367147,-0.381494
0.0,159.95,-0.361239,-0.37634
0.0,163.63,-0.346621,-0.362006
0.0,167.13,-0.324128,-0.339711
0.0,170.8,-0.292169,-0.309193
0.0,174.83,-0.247915,-0.265721
0.0,178.33,-0.202323,-0.22054
0.0,181.83,-0.150651,-0.169295
0.0,185.5,-0.094224,-0.114289
0.0,189.35,-0.027237,-0.047943
0.0,193.03,0.036577,0.014663
0.0,196.53,0.101734,0.07901
0.0,200.2,0.167051,0.143443
0.0,203.88,0.233492,0.209417
0.0,207.2,0.293058,0.268733
0.0,210.88,0.349075,0.324071
0.0,214.38,0.398551,0.373597
0.0,218.05,0.439228,0.414148
0.0,221.55,0.470353,0.444524
0.0,225.05,0.490935,0.465187
0.0,228.73,0.499543,0.474373
0.0,232.23,0.496847,0.471758
0.0,235.73,0.482451,0.458677
0.0,239.23,0.460596,0.437442
0.0,242.73,0.431548,0.408557
0.0,246.23,0.39726,0.374078
0.0,250.08,0.354484,0.331718
0.0,253.75,0.315569,0.294429
0.0,257.25,0.276573,0.255892
0.0,260.75,0.238933,0.218431
0.0,264.43,0.204306,0.18385
0.0,267.93,0.171502,0.151345
0.0,271.43,0.143662,0.123936
0.0,275.1,0.118795,0.099016
0.0,278.6,0.09665,0.077322
0.0,282.1,0.078182,0.059371
0.0,285.6,0.062917,0.043299
0.0,289.1,0.049568,0.030766
0.0,292.78,0.038955,0.020301
0.0,296.28,0.030424,0.011749
0.0,299.78,0.023046,0.004032
0.0,303.45,0.017066,-0.001569
0.0,306.95,0.011518,-0.006957
0.0,310.45,0.00711,-0.01184
0.0,314.13,0.003887,-0.014967
0.0,317.63,0.001265,-0.01802
0.0,321.48,-0.001812,-0.020417
0.0,324.98,-0.00338,-0.022015
0.0,328.65,-0.004736,-0.023528
0.0,332.33,-0.004622,-0.023812
0.0,335.83,-0.00529,-0.02436
0.0,339.5,-0.005623,-0.025072
0.0,343.18,-0.005916,-0.024292
0.0,346.68,-0.005857,-0.024705
0.0,350.18,-0.005367,-0.024455
0.0,353.68,-0.005001,-0.024446
0.0,357.35,-0.005444,-0.024006
0.0,360.85,-0.004723,-0.02415
0.0,364.35,-0.00513,-0.024027
0.0,367.85,-0.004579,-0.0235
0.0,371.53,-0.003796,-0.022305
0.0,375.03,-0.003328,-0.022185
0.0,378.53,-0.002684,-0.021843
0.0,382.2,-0.002388,-0.020906
0.0,385.88,-0.00204,-0.021131
0.0,389.38,-0.001375,-0.020343
0.0,392.88,-0.001144,-0.019868
0.0,396.38,-0.001113,-0.020004
0.0,400.05,-0.000383,-0.019791
0.0,403.55,-0.000167,-0.019674
0.0,407.23,7.3e-05,-0.019129
0.0,410.73,-0.000192,-0.018753
0.0,414.23,9e-06,-0.018753
0.0,417.9,0.000563,-0.017986
0.0,421.23,0.000461,-0.01863
0.0,424.9,0.000957,-0.018075
0.0,428.75,0.001192,-0.017659
0.0,432.25,0.001478,-0.017228
0.0,435.75,0.002535,-0.016615
0.0,439.25,0.003277,-0.015943
0.0,442.93,0.003856,-0.01509
0.0,446.43,0.004288,-0.014529
0.0,449.93,0.004879,-0.014123
0.0,453.6,0.005455,-0.013568
0.0,457.1,0.006463,-0.013177
0.0,460.6,0.007193,-0.011535
0.0,464.28,0.008413,-0.011054
0.0,467.78,0.009657,-0.009856
0.0,471.28,0.0106,-0.007971
0.0,474.78,0.012134,-0.007093
0.0,478.45,0.013077,-0.006227
0.0,481.95,0.014208,-0.004754
0.0,485.45,0.015187,-0.003584
0.0,489.13,0.016034,-0.003029
0.0,492.8,0.017553,-0.00167
0.0,496.3,0.018561,-0.001088
0.0,499.8,0.019223,9.2e-05
0.0,503.48,0.019793,6.4e-05
0.0,507.15,0.020486,0.000591
0.0,510.65,0.020927,0.001195
0.0,514.15,0.021684,0.001986
0.0,517.65,0.021937,0.003102
0.0,521.5,0.022307,0.003517
0.0,525.0,0.023564,0.004352
0.0,528.68,0.024331,0.005597
0.0,532.0,0.026466,0.007147
0.0,535.85,0.028594,0.008986
0.0,539.35,0.03072,0.011749
0.0,542.85,0.033262,0.013071
0.0,546.35,0.035267,0.016013
0.0,549.85,0.036761,0.017784
0.0,553.53,0.038634,0.018748
0.0,557.03,0.039691,0.019925
0.0,560.7,0.041037,0.021376
0.0,564.2,0.042337,0.022341
0.0,567.7,0.043265,0.024365
0.0,571.2,0.044691,0.025166
0.0,574.7,0.04613,0.026093
0.0,578.73,0.046456,0.02658
0.0,582.4,0.047532,0.027698
0.0,586.08,0.048034,0.028484
0.0,589.93,0.04828,0.028702
0.0,593.43,0.048668,0.029146
0.0,596.93,0.04901,0.029528
0.0,600.43,0.049534,0.030474
0.0,603.93,0.050911,0.031386
0.0,607.43,0.051814,0.032732
0.0,610.93,0.053243,0.033702
0.0,614.6,0.054303,0.034774
0.0,618.1,0.054965,0.035409
0.0,621.78,0.054796,0.035409
0.0,625.45,0.054519,0.034993
0.0,628.95,0.054041,0.034207
0.0,632.63,0.053369,0.032818
0.0,636.3,0.052103,0.033206
0.0,639.8,0.051496,0.031783
0.0,643.3,0.050233,0.031235
0.0,646.8,0.049956,0.030255
0.0,650.3,0.049432,0.02999
0.0,653.97,0.048739,0.029448
0.0,657.47,0.048471,0.028391
0.0,661.15,0.047994,0.0284
0.0,664.65,0.047901,0.028148
0.0,668.15,0.047528,0.027984
0.0,671.65,0.047267,0.027837
0.0,675.15,0.046845,0.027538
0.0,678.65,0.046604,0.027396
0.0,682.32,0.046053,0.026349
0.0,685.82,0.045437,0.025791
36.05,12.25,-0.022684,-0.047918
36.05,15.75,-0.020728,-0.039286
36.05,19.25,-0.018374,-0.037049
36.05,22.93,-0.015962,-0.034659
36.05,26.43,-0.013882,-0.031948
36.05,29.93,-0.010891,-0.030093
36.05,33.6,-0.00916,-0.027724
36.05,37.1,-0.007681,-0.026803
36.05,40.6,-0.006128,-0.025192
36.05,44.1,-0.004742,-0.023867
36.05,47.6,-0.003328,-0.022481
36.05,51.28,-0.001969,-0.020903
36.05,54.78,0.000107,-0.019107
36.05,58.1,0.002134,-0.017225
36.05,61.95,0.004355,-0.014893
36.05,65.45,0.006586,-0.01221
36.05,68.95,0.00905,-0.010543
36.05,72.45,0.010714,-0.007934
36.05,75.95,0.013129,-0.006544
36.05,79.63,0.014583,-0.004696
36.05,83.13,0.015394,-0.003852
36.05,86.63,0.015754,-0.003614
36.05,90.13,0.015455,-0.003051
36.05,93.8,0.015101,-0.004385
36.05,97.3,0.012236,-0.006492
36.05,100.8,0.008678,-0.010173
36.05,104.48,0.002183,-0.01586
36.05,107.98,-0.0066,-0.024763
36.05,111.48,-0.019006,-0.036612
36.05,115.15,-0.034517,-0.052293
36.05,118.48,-0.053975,-0.072052
36.05,122.15,-0.077927,-0.095672
36.05,125.83,-0.107521,-0.124498
36.05,129.33,-0.140256,-0.155977
36.05,132.83,-0.1746,-0.189957
