x,y,z,z2
7.0,0.0,0.039707,1.0
10.67,0.0,0.038838,1.0
14.17,0.0,0.038869,1.0
17.68,0.0,0.03873,1.0
21.35,0.0,0.038641,1.0
24.85,0.0,0.038496,1.0
28.18,0.0,0.038151,1.0
32.03,0.0,0.038397,1.0
35.7,0.0,0.038206,1.0
39.37,0.0,0.038357,1.0
43.05,0.0,0.038813,1.0
46.55,0.0,0.038902,1.0
50.22,0.0,0.039768,1.0
53.55,0.0,0.040085,1.0
57.22,0.0,0.040831,1.0
60.9,0.0,0.041407,1.0
64.4,0.0,0.042257,1.0
67.9,0.0,0.043034,1.0
71.57,0.0,0.043869,1.0
75.07,0.0,0.044925,1.0
78.75,0.0,0.04568,1.0
82.25,0.0,0.04604,1.0
85.75,0.0,0.046472,1.0
89.42,0.0,0.046869,1.0
92.92,0.0,0.04678,1.0
96.6,0.0,0.046798,1.0
100.1,0.0,0.046712,1.0
103.77,0.0,0.046613,1.0
107.27,0.0,0.046133,1.0
110.77,0.0,0.046422,1.0
114.45,0.0,0.045831,1.0
117.95,0.0,0.045985,1.0
121.45,0.0,0.045551,1.0
125.12,0.0,0.045119,1.0
128.62,0.0,0.04462,1.0
132.12,0.0,0.044583,1.0
135.8,0.0,0.043967,1.0
139.47,0.0,0.043699,1.0
142.97,0.0,0.043505,1.0
146.47,0.0,0.043357,1.0
150.15,0.0,0.042713,1.0
153.48,0.0,0.042408,1.0
157.15,0.0,0.041851,1.0
160.83,0.0,0.041503,1.0
164.33,0.0,0.041666,1.0
168.0,0.0,0.041955,1.0
171.5,0.0,0.041438,1.0
175.18,0.0,0.041154,1.0
178.5,0.0,0.041145,1.0
182.18,0.0,0.040748,1.0
185.68,0.0,0.040631,1.0
189.35,0.0,0.040902,1.0
192.68,0.0,0.040692,1.0
196.18,0.0,0.040951,1.0
199.85,0.0,0.04101,1.0
203.35,0.0,0.041062,1.0
206.85,0.0,0.04117,1.0
210.35,0.0,0.041367,1.0
214.03,0.0,0.041906,1.0
217.53,0.0,0.041866,1.0
221.03,0.0,0.042436,1.0
224.7,0.0,0.04292,1.0
228.38,0.0,0.043246,1.0
231.88,0.0,0.043835,1.0
235.55,0.0,0.044395,1.0
239.05,0.0,0.04527,1.0
242.55,0.0,0.046065,1.0
246.05,0.0,0.047073,1.0
249.55,0.0,0.048465,1.0
253.23,0.0,0.049251,1.0
256.73,0.0,0.05056,1.0
260.23,0.0,0.052307,1.0
263.9,0.0,0.054201,1.0
267.4,0.0,0.056407,1.0
271.08,0.0,0.059888,1.0
274.75,0.0,0.063209,1.0
278.6,0.0,0.067103,1.0
282.1,0.0,0.071891,1.0
285.6,0.0,0.077895,1.0
289.28,0.0,0.084509,1.0
292.6,0.0,0.093779,1.0
296.28,0.0,0.104765,1.0
299.6,0.0,0.119019,1.0
303.28,0.0,0.138178,1.0
306.78,0.0,0.159592,1.0
310.28,0.0,0.18519,1.0
313.95,0.0,0.21812,1.0
317.45,0.0,0.256952,1.0
321.13,0.0,0.29933,1.0
324.8,0.0,0.345221,1.0
328.3,0.0,0.393671,1.0
331.98,0.0,0.444567,1.0
335.48,0.0,0.491332,1.0
338.98,0.0,0.535602,1.0
342.48,0.0,0.573822,1.0
345.98,0.0,0.604875,1.0
349.48,0.0,0.626616,1.0
353.15,0.0,0.636896,1.0
356.65,0.0,0.635547,1.0
360.33,0.0,0.623637,1.0
363.83,0.0,0.601111,1.0
367.33,0.0,0.569949,1.0
370.83,0.0,0.533233,1.0
374.33,0.0,0.492515,1.0
378.0,0.0,0.448538,1.0
381.5,0.0,0.405063,1.0
385.0,0.0,0.361739,1.0
388.5,0.0,0.322041,1.0
392.0,0.0,0.283554,1.0
395.68,0.0,0.250538,1.0
399.18,0.0,0.221019,1.0
402.68,0.0,0.193231,1.0
406.18,0.0,0.170738,1.0
410.03,0.0,0.151114,1.0
413.53,0.0,0.134737,1.0
417.2,0.0,0.120206,1.0
420.7,0.0,0.108166,1.0
424.2,0.0,0.097972,1.0
427.88,0.0,0.090169,1.0
431.38,0.0,0.08369,1.0
434.88,0.0,0.078902,1.0
438.55,0.0,0.07421,1.0
442.05,0.0,0.070344,1.0
445.73,0.0,0.067005,1.0
449.23,0.0,0.064445,1.0
452.03,0.0,0.061617,1.0
456.23,0.0,0.058955,1.0
459.73,0.0,0.056663,1.0
463.23,0.0,0.055255,1.0
466.73,0.0,0.053354,1.0
470.4,0.0,0.051407,1.0
474.08,0.0,0.050406,1.0
477.4,0.0,0.049334,1.0
481.08,0.0,0.048292,1.0
483.7,0.0,0.047723,1.0
488.25,0.0,0.04694,1.0
491.75,0.0,0.046247,1.0
495.25,0.0,0.045458,1.0
498.93,0.0,0.044281,1.0
502.43,0.0,0.043773,1.0
505.93,0.0,0.043212,1.0
509.6,0.0,0.042624,1.0
512.75,0.0,0.042076,1.0
516.6,0.0,0.041835,1.0
520.1,0.0,0.041201,1.0
523.78,0.0,0.040523,1.0
527.28,0.0,0.040544,1.0
530.95,0.0,0.039904,1.0
534.45,0.0,0.039901,1.0
537.95,0.0,0.039867,1.0
541.45,0.0,0.040504,1.0
545.13,0.0,0.040711,1.0
548.63,0.0,0.04109,1.0
552.13,0.0,0.041617,1.0
555.8,0.0,0.042251,1.0
559.48,0.0,0.042639,1.0
