x,y,z,z2
7.17,0.0,-0.023035,-0.042447
11.03,0.0,-0.022284,-0.041766
14.35,0.0,-0.022015,-0.041427
18.03,0.0,-0.022099,-0.041378
21.7,0.0,-0.022364,-0.041824
25.2,0.0,-0.022311,-0.042059
28.7,0.0,-0.02245,-0.041929
32.38,0.0,-0.022582,-0.041938
35.88,0.0,-0.022028,-0.04168
39.55,0.0,-0.021735,-0.041285
42.87,0.0,-0.021603,-0.04127
46.55,0.0,-0.021683,-0.041091
50.05,0.0,-0.021439,-0.040694
53.72,0.0,-0.020953,-0.040417
57.22,0.0,-0.020426,-0.039834
60.72,0.0,-0.01965,-0.038975
64.22,0.0,-0.018898,-0.038399
67.72,0.0,-0.018494,-0.037736
71.4,0.0,-0.01794,-0.037502
75.07,0.0,-0.017585,-0.037203
78.57,0.0,-0.017139,-0.036544
82.07,0.0,-0.016581,-0.036165
85.75,0.0,-0.015931,-0.035407
89.07,0.0,-0.015549,-0.035056
92.75,0.0,-0.015435,-0.03497
96.42,0.0,-0.016134,-0.03566
99.92,0.0,-0.017527,-0.036963
103.42,0.0,-0.01915,-0.038519
107.1,0.0,-0.021097,-0.04054
110.6,0.0,-0.023497,-0.042718
114.1,0.0,-0.026325,-0.045611
117.6,0.0,-0.030019,-0.049169
121.1,0.0,-0.034354,-0.053198
124.77,0.0,-0.040102,-0.059006
128.27,0.0,-0.047397,-0.06615
131.77,0.0,-0.057129,-0.075694
135.45,0.0,-0.06981,-0.087804
138.95,0.0,-0.085247,-0.102924
142.45,0.0,-0.105346,-0.122517
145.95,0.0,-0.129489,-0.146014
149.62,0.0,-0.156196,-0.172265
153.13,0.0,-0.186337,-0.201716
156.8,0.0,-0.218183,-0.233143
160.3,0.0,-0.248583,-0.26301
163.8,0.0,-0.276436,-0.290327
167.3,0.0,-0.299218,-0.312985
170.98,0.0,-0.312622,-0.326531
174.48,0.0,-0.313026,-0.327261
177.98,0.0,-0.297394,-0.312434
181.65,0.0,-0.264215,-0.280401
185.15,0.0,-0.214794,-0.232505
188.83,0.0,-0.148737,-0.167859
192.33,0.0,-0.070996,-0.091784
195.83,0.0,0.013237,-0.009332
199.33,0.0,0.09544,0.071472
203.0,0.0,0.1708,0.145581
206.5,0.0,0.235187,0.209269
210.0,0.0,0.284281,0.257987
213.68,0.0,0.316274,0.290211
217.18,0.0,0.330104,0.304219
220.68,0.0,0.327925,0.302611
224.18,0.0,0.311635,0.286758
227.85,0.0,0.284075,0.260384
231.35,0.0,0.249105,0.226056
234.85,0.0,0.209703,0.187615
238.53,0.0,0.167319,0.146114
242.03,0.0,0.125939,0.10523
245.53,0.0,0.085212,0.06531
249.03,0.0,0.045572,0.026235
252.7,0.0,0.008265,-0.010278
256.2,0.0,-0.029301,-0.047308
259.7,0.0,-0.065142,-0.082521
263.2,0.0,-0.101991,-0.118716
266.88,0.0,-0.139637,-0.155706
270.38,0.0,-0.175882,-0.191399
273.88,0.0,-0.209871,-0.224982
277.38,0.0,-0.239199,-0.253904
280.88,0.0,-0.265469,-0.279911
284.9,0.0,-0.292394,-0.305924
288.4,0.0,-0.315998,-0.329255
291.9,0.0,-0.340857,-0.353796
295.4,0.0,-0.370542,-0.382643
299.6,0.0,-0.406876,-0.418047
303.1,0.0,-0.431584,-0.443118
306.6,0.0,-0.444415,-0.455958
310.28,0.0,-0.44077,-0.452976
313.95,0.0,-0.414079,-0.427126
317.45,0.0,-0.369661,-0.384313
321.13,0.0,-0.307819,-0.323999
324.63,0.0,-0.233278,-0.251316
328.13,0.0,-0.149893,-0.169751
331.63,0.0,-0.063993,-0.085386
335.13,0.0,0.020458,-0.002444
338.8,0.0,0.09491,0.070967
342.3,0.0,0.157334,0.132821
345.8,0.0,0.207562,0.182565
349.3,0.0,0.240815,0.215812
352.8,0.0,0.260378,0.235329
356.48,0.0,0.266632,0.241995
359.98,0.0,0.261419,0.237408
363.48,0.0,0.247713,0.224087
367.15,0.0,0.226875,0.203724
370.65,0.0,0.202008,0.179623
374.33,0.0,0.173995,0.151986
377.83,0.0,0.147251,0.125665
381.33,0.0,0.120748,0.099876
384.83,0.0,0.095249,0.074793
388.85,0.0,0.068206,0.04727
392.35,0.0,0.048379,0.028591
396.03,0.0,0.030085,0.010277
399.53,0.0,0.013539,-0.005897
403.2,0.0,-0.001313,-0.020786
406.7,0.0,-0.014006,-0.033017
410.2,0.0,-0.023938,-0.042924
413.88,0.0,-0.029976,-0.049046
417.38,0.0,-0.031039,-0.050263
420.88,0.0,-0.029452,-0.048648
424.55,0.0,-0.028084,-0.047348
428.23,0.0,-0.028802,-0.048081
431.73,0.0,-0.032576,-0.051661
435.23,0.0,-0.038962,-0.057776
438.73,0.0,-0.048547,-0.067296
442.23,0.0,-0.061901,-0.080019
445.9,0.0,-0.078328,-0.096026
449.58,0.0,-0.097268,-0.114591
453.08,0.0,-0.116855,-0.134052
456.58,0.0,-0.132693,-0.149437
460.08,0.0,-0.144437,-0.161267
463.75,0.0,-0.150552,-0.167283
467.6,0.0,-0.149566,-0.166818
471.28,0.0,-0.140133,-0.157693
474.78,0.0,-0.119514,-0.13794
478.45,0.0,-0.083888,-0.10351
481.95,0.0,-0.044995,-0.065204
485.63,0.0,0.004972,-0.016418
489.13,0.0,0.058998,0.036392
492.8,0.0,0.115917,0.092029
496.48,0.0,0.164389,0.140273
499.98,0.0,0.206499,0.181912
503.65,0.0,0.238591,0.213496
507.15,0.0,0.258828,0.233982
510.65,0.0,0.268301,0.244173
514.15,0.0,0.26824,0.243853
517.65,0.0,0.260088,0.236068
521.15,0.0,0.245523,0.222112
525.18,0.0,0.223378,0.199925
528.68,0.0,0.200282,0.17796
532.18,0.0,0.175566,0.15373
535.68,0.0,0.152291,0.13068
539.18,0.0,0.130138,0.108573
542.68,0.0,0.108847,0.088049
546.35,0.0,0.089454,0.068604
549.85,0.0,0.071718,0.051071
553.35,0.0,0.056398,0.036013
556.85,0.0,0.042763,0.022544
560.35,0.0,0.030415,0.010569
563.85,0.0,0.019066,-0.000617
567.53,0.0,0.009922,-0.009764
571.03,0.0,0.002319,-0.017274
574.53,0.0,-0.003999,-0.023516
578.03,0.0,-0.00899,-0.028411
581.53,0.0,-0.013408,-0.032693
585.03,0.0,-0.017129,-0.03651
588.7,0.0,-0.020549,-0.039656
592.2,0.0,-0.022964,-0.042213
595.7,0.0,-0.025377,-0.044548
599.55,0.0,-0.027527,-0.04671
603.05,0.0,-0.02912,-0.048177
606.73,0.0,-0.030718,-0.050053
610.23,0.0,-0.032123,-0.051199
613.73,0.0,-0.033198,-0.052887
617.58,0.0,-0.034043,-0.053235
621.07,0.0,-0.034785,-0.054064
624.57,0.0,-0.035577,-0.054791
628.42,0.0,-0.036473,-0.055577
631.92,0.0,-0.037342,-0.056455
635.6,0.0,-0.03822,-0.057216
639.1,0.0,-0.03924,-0.058202
642.6,0.0,-0.040386,-0.05932
646.1,0.0,-0.041695,-0.060743
649.6,0.0,-0.042943,-0.061855
653.27,0.0,-0.044446,-0.06322
656.77,0.0,-0.046134,-0.065013
659.75,0.0,-0.04753,-0.066516
663.95,0.0,-0.04919,-0.068426
667.45,0.0,-0.050931,-0.06981
670.95,0.0,-0.052407,-0.071439
674.45,0.0,-0.053805,-0.072721
678.12,0.0,-0.055284,-0.074033
681.62,0.0,-0.0568,-0.075638
685.12,0.0,-0.058429,-0.077132
688.8,0.0,-0.059622,-0.078442
692.3,0.0,-0.061307,-0.079902
695.8,0.0,-0.0629,-0.081513
699.47,0.0,-0.064856,-0.083469
702.97,0.0,-0.067083,-0.085571
706.47,0.0,-0.069298,-0.087638
709.97,0.0,-0.071387,-0.08981
12.42,35.0,-0.03651,-0.060269
15.75,35.0,-0.039227,-0.058411
19.6,35.0,-0.042308,-0.0616
23.27,35.0,-0.045398,-0.064363
26.77,35.0,-0.048011,-0.067065
30.27,35.0,-0.0505,-0.069588
33.95,35.0,-0.052699,-0.071667
37.45,35.0,-0.05481,-0.073522
40.95,35.0,-0.056618,-0.075518
44.45,35.0,-0.058448,-0.077166
48.12,35.0,-0.059754,-0.078288
51.62,35.0,-0.061116,-0.079733
55.12,35.0,-0.062487,-0.08106
58.62,35.0,-0.063423,-0.082043
62.12,35.0,-0.06412,-0.082684
65.8,35.0,-0.064483,-0.083004
69.3,35.0,-0.064834,-0.083442
72.8,35.0,-0.065152,-0.083645
76.47,35.0,-0.065567,-0.08416
79.97,35.0,-0.06639,-0.084865
83.47,35.0,-0.067043,-0.085564
87.15,35.0,-0.067958,-0.086467
90.65,35.0,-0.068571,-0.087314
94.15,35.0,-0.06944,-0.087973
97.82,35.0,-0.070278,-0.088839
101.32,35.0,-0.071245,-0.089754
105.0,35.0,-0.072197,-0.09058
108.5,35.0,-0.073888,-0.092092
112.17,35.0,-0.076304,-0.094495
115.67,35.0,-0.079428,-0.09736
119.17,35.0,-0.083494,-0.101495
122.67,35.0,-0.087881,-0.105996
126.35,35.0,-0.094012,-0.111901
129.85,35.0,-0.101541,-0.119042
133.35,35.0,-0.111415,-0.128682
137.02,35.0,-0.124323,-0.141599
140.52,35.0,-0.139486,-0.156079
144.02,35.0,-0.158697,-0.174967
147.52,35.0,-0.181892,-0.197736
151.2,35.0,-0.209483,-0.224683
154.7,35.0,-0.238583,-0.25321
158.2,35.0,-0.268414,-0.282465
161.7,35.0,-0.298275,-0.311839
165.2,35.0,-0.323269,-0.336568
168.7,35.0,-0.340197,-0.353371
172.37,35.0,-0.345641,-0.358959
175.87,35.0,-0.336294,-0.350265
179.55,35.0,-0.310715,-0.325949
183.05,35.0,-0.266963,-0.283429
186.72,35.0,-0.2074,-0.225419
190.22,35.0,-0.135216,-0.154865
193.72,35.0,-0.054579,-0.075789
197.22,35.0,0.025785,0.002855
200.9,35.0,0.102867,0.078807
204.4,35.0,0.16869,0.144084
207.9,35.0,0.22218,0.197106
211.4,35.0,0.258865,0.233526
214.9,35.0,0.279105,0.254281
218.4,35.0,0.28389,0.259059
222.07,35.0,0.273791,0.24954
225.57,35.0,0.252845,0.22933
229.25,35.0,0.223714,0.200624
