x,y,z,z2
6.82,0.0,-0.021325,-0.040059
11.03,0.0,-0.021353,-0.041704
14.53,0.0,-0.021264,-0.040712
18.03,0.0,-0.021279,-0.040521
21.7,0.0,-0.021233,-0.040654
25.38,0.0,-0.020903,-0.040287
28.88,0.0,-0.020235,-0.039308
32.38,0.0,-0.019551,-0.038522
35.87,0.0,-0.018966,-0.037924
39.55,0.0,-0.01859,-0.037505
43.22,0.0,-0.01818,-0.036726
46.72,0.0,-0.018211,-0.036917
50.4,0.0,-0.018192,-0.037052
53.9,0.0,-0.018171,-0.037219
57.4,0.0,-0.01814,-0.037274
61.07,0.0,-0.017887,-0.037225
64.57,0.0,-0.017625,-0.036787
68.25,0.0,-0.016929,-0.036763
71.75,0.0,-0.016045,-0.035839
75.42,0.0,-0.015127,-0.034557
78.92,0.0,-0.014317,-0.033759
82.42,0.0,-0.013679,-0.033146
86.1,0.0,-0.013146,-0.032548
89.77,0.0,-0.012789,-0.032179
93.1,0.0,-0.013137,-0.032422
96.77,0.0,-0.013494,-0.031917
100.45,0.0,-0.014308,-0.033038
103.95,0.0,-0.0157,-0.034511
107.45,0.0,-0.017644,-0.036439
111.47,0.0,-0.020786,-0.041251
114.97,0.0,-0.024335,-0.043389
118.65,0.0,-0.029206,-0.048288
122.15,0.0,-0.035179,-0.054086
125.65,0.0,-0.043158,-0.061917
129.32,0.0,-0.053044,-0.071467
132.65,0.0,-0.065022,-0.083087
136.32,0.0,-0.080426,-0.098183
139.82,0.0,-0.100053,-0.116951
143.5,0.0,-0.123275,-0.139806
147.0,0.0,-0.148916,-0.16488
150.5,0.0,-0.177878,-0.193183
154.0,0.0,-0.209677,-0.224628
157.68,0.0,-0.241843,-0.255971
161.18,0.0,-0.272265,-0.286196
164.68,0.0,-0.299264,-0.312884
168.53,0.0,-0.319855,-0.333796
172.03,0.0,-0.32813,-0.342265
175.7,0.0,-0.322416,-0.337465
179.2,0.0,-0.299107,-0.315278
182.88,0.0,-0.258432,-0.275398
186.38,0.0,-0.201624,-0.220139
189.88,0.0,-0.130623,-0.150758
193.38,0.0,-0.048654,-0.070426
196.88,0.0,0.037837,0.014667
200.55,0.0,0.126062,0.101493
204.05,0.0,0.205344,0.18011
207.73,0.0,0.271194,0.245504
211.23,0.0,0.32157,0.295624
214.73,0.0,0.353492,0.327972
218.4,0.0,0.367873,0.342941
221.9,0.0,0.365532,0.340806
225.4,0.0,0.349367,0.325732
229.08,0.0,0.321844,0.298908
232.58,0.0,0.286382,0.264161
236.25,0.0,0.245877,0.224096
239.75,0.0,0.202587,0.1817
243.43,0.0,0.156961,0.136117
246.93,0.0,0.113175,0.093493
250.43,0.0,0.069423,0.05048
253.93,0.0,0.026487,0.007686
257.6,0.0,-0.015768,-0.033611
261.1,0.0,-0.057505,-0.074837
264.78,0.0,-0.099391,-0.115872
268.28,0.0,-0.14045,-0.156331
271.6,0.0,-0.179138,-0.194517
275.1,0.0,-0.216168,-0.23106
278.78,0.0,-0.248515,-0.263161
282.28,0.0,-0.277788,-0.291947
285.95,0.0,-0.305432,-0.319116
289.45,0.0,-0.332335,-0.345841
292.95,0.0,-0.361802,-0.374714
296.45,0.0,-0.395028,-0.407012
299.95,0.0,-0.426516,-0.438549
303.63,0.0,-0.450869,-0.461352
307.13,0.0,-0.460413,-0.472591
310.8,0.0,-0.452372,-0.464575
314.3,0.0,-0.424794,-0.438179
317.8,0.0,-0.37687,-0.39175
321.3,0.0,-0.312896,-0.329199
324.98,0.0,-0.235663,-0.253737
328.48,0.0,-0.149634,-0.169424
331.98,0.0,-0.061741,-0.08301
335.48,0.0,0.024494,0.001666
338.98,0.0,0.101515,0.078068
342.65,0.0,0.167276,0.143015
346.15,0.0,0.219675,0.19494
349.65,0.0,0.255563,0.230846
353.33,0.0,0.276746,0.252463
356.83,0.0,0.284956,0.260945
360.33,0.0,0.280751,0.256897
363.83,0.0,0.266829,0.243634
367.5,0.0,0.246829,0.224186
371.0,0.0,0.222534,0.200483
374.5,0.0,0.195587,0.174204
378.0,0.0,0.167263,0.146016
381.5,0.0,0.140948,0.120147
385.18,0.0,0.115683,0.095397
388.68,0.0,0.09023,0.07031
392.53,0.0,0.066724,0.047867
396.03,0.0,0.046786,0.027837
399.53,0.0,0.029004,0.010323
403.03,0.0,0.012809,-0.006076
407.05,0.0,-0.003781,-0.023735
410.55,0.0,-0.016076,-0.034899
414.05,0.0,-0.024255,-0.043165
417.55,0.0,-0.028004,-0.047049
421.23,0.0,-0.028849,-0.048066
424.9,0.0,-0.029619,-0.048423
428.4,0.0,-0.03221,-0.051104
431.9,0.0,-0.037622,-0.056141
435.58,0.0,-0.046393,-0.064884
439.08,0.0,-0.058405,-0.076522
442.58,0.0,-0.073611,-0.091134
446.08,0.0,-0.091559,-0.108741
449.58,0.0,-0.111405,-0.128057
453.25,0.0,-0.130623,-0.147006
456.75,0.0,-0.146002,-0.16233
460.25,0.0,-0.156541,-0.172835
463.75,0.0,-0.161575,-0.177961
467.43,0.0,-0.160099,-0.176843
470.93,0.0,-0.149529,-0.166713
474.43,0.0,-0.128577,-0.146424
478.1,0.0,-0.094794,-0.11359
481.78,0.0,-0.048414,-0.069523
485.28,0.0,0.004358,-0.017136
488.78,0.0,0.059891,0.037747
492.28,0.0,0.116124,0.093058
495.95,0.0,0.167901,0.143918
499.45,0.0,0.212427,0.188191
502.95,0.0,0.247211,0.222386
506.45,0.0,0.26934,0.245017
510.13,0.0,0.281093,0.257038
513.63,0.0,0.282251,0.25844
517.3,0.0,0.274016,0.25072
520.98,0.0,0.258021,0.235858
524.48,0.0,0.23759,0.215701
527.98,0.0,0.213887,0.192319
531.65,0.0,0.188412,0.167276
535.15,0.0,0.162639,0.141983
538.65,0.0,0.138945,0.118514
542.33,0.0,0.115104,0.094167
545.83,0.0,0.095206,0.075979
549.33,0.0,0.076188,0.05645
553.0,0.0,0.059707,0.039553
556.5,0.0,0.045914,0.025985
560.0,0.0,0.034272,0.014432
563.5,0.0,0.024442,0.005119
567.18,0.0,0.016111,-0.003568
570.85,0.0,0.008721,-0.01078
574.35,0.0,0.002926,-0.016378
577.85,0.0,-0.002478,-0.021871
581.53,0.0,-0.007438,-0.026526
585.03,0.0,-0.011048,-0.03029
588.53,0.0,-0.014662,-0.033562
592.2,0.0,-0.017644,-0.036295
595.7,0.0,-0.01993,-0.038842
599.2,0.0,-0.021563,-0.040145
602.7,0.0,-0.022915,-0.041532
606.38,0.0,-0.024036,-0.042638
609.88,0.0,-0.024609,-0.0431
613.38,0.0,-0.025343,-0.044141
617.05,0.0,-0.026452,-0.045247
620.72,0.0,-0.027783,-0.046729
624.22,0.0,-0.029397,-0.048198
627.72,0.0,-0.031067,-0.050084
631.4,0.0,-0.032767,-0.052203
634.9,0.0,-0.03452,-0.053574
638.4,0.0,-0.036757,-0.055709
641.9,0.0,-0.038799,-0.057789
646.27,0.0,-0.041064,-0.058593
649.77,0.0,-0.042613,-0.061033
653.27,0.0,-0.043975,-0.062453
656.77,0.0,-0.045115,-0.063867
660.45,0.0,-0.046156,-0.065238
663.95,0.0,-0.047022,-0.065715
667.45,0.0,-0.04806,-0.067123
671.12,0.0,-0.049095,-0.067903
674.62,0.0,-0.05013,-0.069086
678.12,0.0,-0.051298,-0.070244
681.8,0.0,-0.052601,-0.071264
685.3,0.0,-0.053889,-0.072425
688.8,0.0,-0.055182,-0.073901
692.3,0.0,-0.056652,-0.07521
695.97,0.0,-0.058423,-0.076797
699.47,0.0,-0.060306,-0.078713
702.97,0.0,-0.062576,-0.080845
706.65,0.0,-0.065007,-0.083118
710.15,0.0,-0.067514,-0.085564
11.73,35.0,-0.025127,-0.049748
15.4,35.0,-0.028793,-0.047684
18.9,35.0,-0.03306,-0.051637
22.4,35.0,-0.037102,-0.055293
25.9,35.0,-0.041384,-0.059751
29.4,35.0,-0.04545,-0.063393
33.08,35.0,-0.048516,-0.066938
36.75,35.0,-0.05167,-0.07001
40.43,35.0,-0.054431,-0.073747
44.1,35.0,-0.05659,-0.075336
47.6,35.0,-0.058315,-0.077188
51.28,35.0,-0.059486,-0.078054
54.78,35.0,-0.060913,-0.079381
58.45,35.0,-0.062102,-0.080487
61.95,35.0,-0.063208,-0.081535
65.45,35.0,-0.06412,-0.082545
68.95,35.0,-0.064847,-0.083245
72.63,35.0,-0.065287,-0.083278
76.13,35.0,-0.06566,-0.083679
79.63,35.0,-0.065709,-0.083805
83.3,35.0,-0.065971,-0.083787
86.8,35.0,-0.066569,-0.084517
90.48,35.0,-0.067511,-0.08541
93.98,35.0,-0.068787,-0.086837
97.65,35.0,-0.070478,-0.089298
101.15,35.0,-0.071969,-0.090164
104.83,35.0,-0.074039,-0.092465
108.33,35.0,-0.076405,-0.094828
112.35,35.0,-0.079502,-0.09789
116.03,35.0,-0.082989,-0.100614
119.53,35.0,-0.087099,-0.104554
123.03,35.0,-0.0929,-0.110524
126.53,35.0,-0.100232,-0.117407
130.2,35.0,-0.110256,-0.12696
133.7,35.0,-0.12249,-0.139375
137.38,35.0,-0.136932,-0.15363
140.88,35.0,-0.155084,-0.171541
144.55,35.0,-0.176951,-0.193171
148.05,35.0,-0.203281,-0.218996
151.55,35.0,-0.231399,-0.246381
155.05,35.0,-0.26184,-0.276485
158.73,35.0,-0.293568,-0.30765
162.23,35.0,-0.323306,-0.336898
165.9,35.0,-0.34642,-0.359834
169.58,35.0,-0.360795,-0.374212
173.08,35.0,-0.362536,-0.376574
176.58,35.0,-0.34883,-0.362958
180.08,35.0,-0.318947,-0.334381
183.58,35.0,-0.270644,-0.287234
187.08,35.0,-0.207795,-0.225792
190.75,35.0,-0.131208,-0.150915
194.43,35.0,-0.045842,-0.067037
197.93,35.0,0.038983,0.016265
201.25,35.0,0.121133,0.097405
204.93,35.0,0.190902,0.166487
208.43,35.0,0.247827,0.223169
211.93,35.0,0.287411,0.262553
215.43,35.0,0.309959,0.285424
219.1,35.0,0.315698,0.291404
222.6,35.0,0.306813,0.282999
226.28,35.0,0.285979,0.262975
229.78,35.0,0.256515,0.234364
233.28,35.0,0.221789,0.200011
236.78,35.0,0.183215,0.162519
240.28,35.0,0.1447,0.12426
243.95,35.0,0.106271,0.08625
247.45,35.0,0.069211,0.049771
250.95,35.0,0.034913,0.015659
254.45,35.0,0.003289,-0.015152
258.13,35.0,-0.027456,-0.045755
261.63,35.0,-0.055641,-0.073473
265.3,35.0,-0.082216,-0.099668
268.8,35.0,-0.108845,-0.125768
272.3,35.0,-0.13509,-0.151704
274.58,35.0,-0.162508,-0.178451
279.3,35.0,-0.191464,-0.207055
282.8,35.0,-0.22322,-0.238198
286.3,35.0,-0.255333,-0.269766
289.8,35.0,-0.289286,-0.303032
293.48,35.0,-0.322961,-0.335897
297.15,35.0,-0.351947,-0.364495
300.65,35.0,-0.374399,-0.386568
304.15,35.0,-0.386768,-0.399655
307.65,35.0,-0.38711,-0.40021
311.33,35.0,-0.373441,-0.387286
314.83,35.0,-0.34594,-0.360826
318.33,35.0,-0.303799,-0.319504
321.83,35.0,-0.247483,-0.264797
325.33,35.0,-0.180891,-0.199606
329.0,35.0,-0.107863,-0.127733
332.5,35.0,-0.032136,-0.053479
336.0,35.0,0.040902,0.018391
339.68,35.0,0.107026,0.083585
343.18,35.0,0.16112,0.137143
346.68,35.0,0.202695,0.178563
350.53,35.0,0.231736,0.207322
354.2,35.0,0.24198,0.21844
357.7,35.0,0.240498,0.217698
361.38,35.0,0.228902,0.206795
364.88,35.0,0.209454,0.18783
368.38,35.0,0.183539,0.162729
372.4,35.0,0.149078,0.1267
376.08,35.0,0.120033,0.100175
379.58,35.0,0.089694,0.069891
383.08,35.0,0.059522,0.039793
386.58,35.0,0.032279,0.013068
390.25,35.0,0.006768,-0.012071
393.75,35.0,-0.016797,-0.0353
397.25,35.0,-0.036791,-0.054884
400.93,35.0,-0.054449,-0.072407
404.43,35.0,-0.070321,-0.087921
408.1,35.0,-0.084714,-0.102009
411.6,35.0,-0.098189,-0.115389
