x,y,z,z2
0.0,3.5,-0.013467,-0.0379
0.0,7.0,-0.013457,-0.033239
0.0,10.5,-0.013919,-0.033294
0.0,14.35,-0.014295,-0.033698
0.0,17.85,-0.01481,-0.034227
0.0,21.35,-0.015503,-0.035315
0.0,25.03,-0.016523,-0.035854
0.0,28.53,-0.018004,-0.037444
0.0,32.03,-0.020065,-0.039477
0.0,35.7,-0.022345,-0.041412
0.0,39.2,-0.025678,-0.044868
0.0,42.7,-0.029776,-0.048577
0.0,46.2,-0.034505,-0.053436
0.0,49.7,-0.040623,-0.059455
0.0,53.37,-0.047915,-0.06675
0.0,56.87,-0.056824,-0.075022
0.0,60.37,-0.066738,-0.085158
0.0,63.87,-0.078482,-0.096526
0.0,67.55,-0.092816,-0.110028
0.0,71.05,-0.108389,-0.125795
0.0,74.72,-0.125506,-0.142403
0.0,78.22,-0.143192,-0.159646
0.0,81.9,-0.161134,-0.177185
0.0,85.4,-0.177394,-0.193368
0.0,88.9,-0.191501,-0.207188
0.0,92.4,-0.201325,-0.217095
0.0,95.9,-0.205808,-0.221695
0.0,99.57,-0.202976,-0.219162
0.0,103.07,-0.191954,-0.208762
0.0,106.57,-0.172829,-0.190176
0.0,110.25,-0.14545,-0.163654
0.0,113.57,-0.111285,-0.130071
0.0,117.25,-0.070817,-0.090287
0.0,120.75,-0.028202,-0.048645
0.0,124.25,0.017033,-0.004311
0.0,127.75,0.059497,0.037436
0.0,131.42,0.099284,0.076644
0.0,134.92,0.133209,0.110507
0.0,138.6,0.160424,0.137075
0.0,142.1,0.180815,0.157541
0.0,145.6,0.193982,0.170695
0.0,149.1,0.199993,0.176663
0.0,152.77,0.199759,0.176678
0.0,156.28,0.194571,0.171761
0.0,159.78,0.184833,0.162288
0.0,163.28,0.172251,0.150048
0.0,166.95,0.158123,0.136256
0.0,170.45,0.143597,0.121774
0.0,174.13,0.126382,0.105421
0.0,177.8,0.112581,0.091829
0.0,181.48,0.09844,0.07784
0.0,184.98,0.085665,0.065323
0.0,188.48,0.074019,0.053656
0.0,191.98,0.063961,0.043727
0.0,195.48,0.055461,0.035637
0.0,198.98,0.047827,0.028021
0.0,202.65,0.041595,0.021487
0.0,206.15,0.035862,0.015902
0.0,209.65,0.031207,0.011333
0.0,213.33,0.027079,0.007341
0.0,216.83,0.023382,0.003431
0.0,220.5,0.020181,0.00024
0.0,224.0,0.017621,-0.002262
0.0,227.5,0.015477,-0.004163
0.0,231.0,0.013909,-0.00611
0.0,234.68,0.012316,-0.007419
0.0,238.35,0.011389,-0.008328
0.0,241.85,0.010726,-0.009132
0.0,245.53,0.009959,-0.009856
0.0,249.03,0.009094,-0.010632
0.0,252.53,0.008431,-0.011239
0.0,256.03,0.00796,-0.011649
0.0,259.7,0.007415,-0.011911
0.0,263.2,0.007362,-0.012173
0.0,266.88,0.006968,-0.012391
0.0,270.55,0.006943,-0.012425
0.0,274.05,0.006638,-0.01285
0.0,277.73,0.006607,-0.013004
0.0,281.23,0.006201,-0.013608
0.0,284.73,0.006164,-0.01346
0.0,288.23,0.005887,-0.013839
0.0,291.73,0.005714,-0.013842
0.0,295.4,0.005511,-0.014468
0.0,298.9,0.005021,-0.014837
0.0,302.4,0.003933,-0.015783
0.0,306.08,0.002159,-0.017718
0.0,309.58,0.000221,-0.019354
0.0,313.08,-0.00172,-0.021341
0.0,316.58,-0.003836,-0.02358
0.0,319.9,-0.006138,-0.025688
0.0,323.75,-0.008202,-0.027552
0.0,327.25,-0.010694,-0.030259
0.0,330.93,-0.013882,-0.033143
0.0,334.43,-0.01753,-0.036751
0.0,338.1,-0.021744,-0.040694
0.0,341.6,-0.026948,-0.045922
0.0,345.28,-0.033137,-0.052019
0.0,348.6,-0.040269,-0.058796
0.0,352.28,-0.049412,-0.067783
0.0,355.78,-0.060906,-0.078919
0.0,359.45,-0.074834,-0.092465
0.0,362.95,-0.091344,-0.108756
0.0,366.63,-0.111051,-0.128013
0.0,370.13,-0.132724,-0.149301
0.0,373.63,-0.155262,-0.17126
0.0,377.3,-0.179246,-0.194803
0.0,380.8,-0.20257,-0.217927
0.0,384.3,-0.224631,-0.240429
0.0,387.98,-0.238771,-0.253925
0.0,391.65,-0.24558,-0.261026
0.0,395.15,-0.242588,-0.258392
0.0,398.65,-0.228007,-0.244501
0.0,402.33,-0.201208,-0.21842
0.0,405.65,-0.161679,-0.179902
0.0,409.33,-0.112477,-0.1318
0.0,412.83,-0.055383,-0.076134
0.0,416.33,0.005412,-0.016298
0.0,419.83,0.066647,0.043819
0.0,423.33,0.124984,0.101647
0.0,427.0,0.176706,0.152445
0.0,430.5,0.220775,0.196077
0.0,434.0,0.252818,0.227849
0.0,437.68,0.275147,0.250233
0.0,441.18,0.286465,0.261776
0.0,444.68,0.287556,0.263113
0.0,448.18,0.280421,0.256364
0.0,451.68,0.266709,0.243212
0.0,455.18,0.248837,0.225621
0.0,458.85,0.228354,0.205695
0.0,462.35,0.205874,0.183751
0.0,465.85,0.183265,0.161706
0.0,469.53,0.161311,0.139768
0.0,473.03,0.141355,0.120316
0.0,476.53,0.122735,0.102005
0.0,480.2,0.106546,0.085908
0.0,483.7,0.091392,0.070665
0.0,487.2,0.07885,0.058588
0.0,491.05,0.068126,0.047057
0.0,494.55,0.059608,0.03902
0.0,498.05,0.052704,0.032374
0.0,501.73,0.046527,0.02592
0.0,505.23,0.042088,0.021912
0.0,508.73,0.038071,0.017935
0.0,512.23,0.034679,0.01466
0.0,515.73,0.032116,0.012023
0.0,519.23,0.030045,0.010002
0.0,522.9,0.027886,0.007935
0.0,526.4,0.026114,0.006041
0.0,529.9,0.024352,0.004513
0.0,533.23,0.022639,0.002698
0.0,536.9,0.021185,0.001309
0.0,540.58,0.019864,-4.4e-05
0.0,544.25,0.019115,-0.000404
0.0,547.93,0.01848,-0.001325
0.0,551.6,0.018403,-0.001458
0.0,555.1,0.017741,-0.002034
0.0,558.6,0.017122,-0.002524
0.0,562.28,0.016561,-0.00302
0.0,565.78,0.016133,-0.00387
0.0,569.45,0.015477,-0.004545
0.0,572.95,0.015012,-0.004945
0.0,576.45,0.014519,-0.005059
0.0,579.95,0.014201,-0.005451
0.0,583.45,0.014081,-0.005478
0.0,587.13,0.014272,-0.005574
0.0,590.62,0.014171,-0.005583
0.0,593.95,0.014251,-0.005953
0.0,597.45,0.014272,-0.005759
0.0,601.12,0.013499,-0.006313
0.0,604.62,0.012374,-0.007398
0.0,608.3,0.010674,-0.00916
0.0,611.45,0.008659,-0.011054
0.0,615.3,0.006383,-0.013479
0.0,618.8,0.004565,-0.015032
0.0,622.3,0.002421,-0.017222
0.0,625.8,0.000258,-0.019283
0.0,629.3,-0.001911,-0.021384
0.0,632.97,-0.004101,-0.02346
0.0,636.47,-0.006322,-0.026014
0.0,640.15,-0.008587,-0.027921
0.0,643.65,-0.011258,-0.030734
0.0,647.15,-0.015022,-0.034246
0.0,650.65,-0.019591,-0.038858
0.0,654.32,-0.025047,-0.043784
0.0,657.65,-0.031282,-0.050056
0.0,661.32,-0.038399,-0.057342
0.0,665.0,-0.046864,-0.065108
0.0,668.5,-0.057092,-0.075284
0.0,672.0,-0.069009,-0.086609
0.0,675.67,-0.082182,-0.099877
0.0,679.17,-0.097154,-0.114289
0.0,682.67,-0.113525,-0.130623
0.0,686.17,-0.130694,-0.147453
36.22,12.42,-0.022102,-0.045768
36.22,16.1,-0.020993,-0.040115
36.22,19.07,-0.020198,-0.039267
36.22,23.1,-0.020028,-0.039141
36.22,26.6,-0.020179,-0.0392
36.22,30.27,-0.020796,-0.040389
36.22,33.95,-0.021772,-0.041048
36.22,37.45,-0.023491,-0.042752
36.22,41.12,-0.026094,-0.045515
36.22,44.62,-0.029905,-0.049027
36.22,48.12,-0.034474,-0.053168
36.22,51.8,-0.040626,-0.059477
36.22,55.3,-0.048198,-0.066849
36.22,58.8,-0.057702,-0.076097
36.22,62.3,-0.068793,-0.086923
36.22,65.8,-0.082086,-0.099822
36.22,69.3,-0.096991,-0.114619
36.22,72.97,-0.113546,-0.130681
36.22,76.47,-0.131356,-0.148103
36.22,80.15,-0.148408,-0.164871
36.22,83.65,-0.164381,-0.180426
36.22,87.32,-0.1783,-0.194178
36.22,90.82,-0.188565,-0.20431
36.22,94.32,-0.193368,-0.209353
36.22,97.82,-0.191378,-0.20765
36.22,101.5,-0.181732,-0.198386
36.22,105.17,-0.164132,-0.181341
36.22,108.5,-0.139569,-0.157431
36.22,112.17,-0.107832,-0.126436
36.22,115.67,-0.069825,-0.089412
36.22,119.35,-0.029677,-0.050081
36.22,122.85,0.013336,-0.007878
36.22,126.35,0.05332,0.031543
36.22,129.85,0.090748,0.068342
36.22,133.52,0.123209,0.100295
36.22,137.02,0.148576,0.125655
36.22,140.52,0.167276,0.144204
36.22,144.02,0.179691,0.156878
36.22,147.52,0.185384,0.162618
