x,y,z,z2
7.35,0.0,0.003049,-0.015836
10.85,0.0,0.003471,-0.015648
14.35,0.0,0.003305,-0.015759
17.85,0.0,0.002978,-0.015805
21.53,0.0,0.002609,-0.016717
25.2,0.0,0.002599,-0.016458
28.7,0.0,0.002966,-0.016193
32.2,0.0,0.00385,-0.015207
35.7,0.0,0.00475,-0.014742
39.2,0.0,0.005387,-0.013984
42.7,0.0,0.006309,-0.012961
46.2,0.0,0.006848,-0.012228
49.87,0.0,0.006826,-0.012237
53.37,0.0,0.006216,-0.012798
56.87,0.0,0.004728,-0.014055
60.55,0.0,0.002224,-0.016516
64.05,0.0,-0.001181,-0.019625
67.72,0.0,-0.005552,-0.023507
71.22,0.0,-0.010346,-0.02875
74.72,0.0,-0.016652,-0.03476
78.22,0.0,-0.024095,-0.042345
81.9,0.0,-0.033436,-0.051581
85.57,0.0,-0.044702,-0.063014
89.07,0.0,-0.058346,-0.07631
92.57,0.0,-0.07489,-0.092376
96.07,0.0,-0.094326,-0.111125
99.75,0.0,-0.116559,-0.134123
103.07,0.0,-0.139255,-0.155037
106.75,0.0,-0.163285,-0.178562
110.25,0.0,-0.1868,-0.202539
113.75,0.0,-0.207884,-0.22427
117.42,0.0,-0.224073,-0.240278
120.92,0.0,-0.232468,-0.248509
124.42,0.0,-0.231171,-0.24736
127.75,0.0,-0.21806,-0.235016
131.6,0.0,-0.191254,-0.208463
135.1,0.0,-0.152853,-0.171217
138.77,0.0,-0.1009,-0.119985
142.45,0.0,-0.037924,-0.057746
146.12,0.0,0.027646,0.006287
149.62,0.0,0.092984,0.070883
153.12,0.0,0.155082,0.13169
156.62,0.0,0.210292,0.186311
160.3,0.0,0.251869,0.227981
163.8,0.0,0.280396,0.256604
167.48,0.0,0.29511,0.271946
170.98,0.0,0.296367,0.2736
174.48,0.0,0.285932,0.2634
178.15,0.0,0.265667,0.244352
181.65,0.0,0.239494,0.218733
185.15,0.0,0.208714,0.188243
188.83,0.0,0.171943,0.152923
192.33,0.0,0.13743,0.118246
196.0,0.0,0.102159,0.083548
199.5,0.0,0.065286,0.047439
203.0,0.0,0.030024,0.012356
206.5,0.0,-0.007462,-0.024646
210.0,0.0,-0.045358,-0.062333
213.5,0.0,-0.083596,-0.099683
217.35,0.0,-0.12431,-0.141168
220.85,0.0,-0.155185,-0.171248
224.53,0.0,-0.176137,-0.192656
228.03,0.0,-0.169357,-0.186972
231.53,0.0,-0.121559,-0.140996
235.03,0.0,-0.030219,-0.052431
238.7,0.0,0.089405,0.064811
242.2,0.0,0.22401,0.197639
245.7,0.0,0.353631,0.32547
249.2,0.0,0.476995,0.447543
252.88,0.0,0.585439,0.555769
256.38,0.0,0.674776,0.644552
259.88,0.0,0.746489,0.716203
263.38,0.0,0.806024,0.775448
267.05,0.0,0.850771,0.820306
270.55,0.0,0.885355,0.854912
274.05,0.0,0.910593,0.880294
277.55,0.0,0.928886,0.898368
281.23,0.0,0.942373,0.911748
284.73,0.0,0.952872,0.921886
288.4,0.0,0.959816,0.928932
291.9,0.0,0.962703,0.930297
295.75,0.0,0.949702,0.919779
299.25,0.0,0.913858,0.884893
302.93,0.0,0.852771,0.825854
306.6,0.0,0.770248,0.7455
310.28,0.0,0.680636,0.657352
313.78,0.0,0.58807,0.565516
317.45,0.0,0.497611,0.47591
320.95,0.0,0.413458,0.392818
324.45,0.0,0.337614,0.317331
328.13,0.0,0.269494,0.249219
331.63,0.0,0.211921,0.191949
335.13,0.0,0.162433,0.143289
338.45,0.0,0.121462,0.102701
342.3,0.0,0.086222,0.067562
345.98,0.0,0.056386,0.037975
349.48,0.0,0.032954,0.014309
353.15,0.0,0.013188,-0.004375
356.65,0.0,0.000332,-0.017946
360.33,0.0,-0.006674,-0.024791
363.83,0.0,-0.008824,-0.026923
367.5,0.0,-0.008747,-0.027049
371.0,0.0,-0.007693,-0.026627
374.5,0.0,-0.006982,-0.025836
378.35,0.0,-0.007182,-0.027071
382.03,0.0,-0.010352,-0.029378
385.53,0.0,-0.018359,-0.036938
389.03,0.0,-0.031612,-0.049899
392.53,0.0,-0.051547,-0.069406
396.2,0.0,-0.079418,-0.096325
399.7,0.0,-0.115343,-0.13135
403.2,0.0,-0.155287,-0.170755
406.7,0.0,-0.19813,-0.213084
410.38,0.0,-0.237942,-0.252286
413.88,0.0,-0.267462,-0.281556
417.38,0.0,-0.279834,-0.294514
420.88,0.0,-0.270167,-0.285801
424.55,0.0,-0.234806,-0.251984
428.05,0.0,-0.168278,-0.187391
431.55,0.0,-0.078328,-0.099295
435.23,0.0,0.034177,0.010338
438.73,0.0,0.154728,0.129315
442.23,0.0,0.274543,0.247624
445.73,0.0,0.381253,0.353643
449.23,0.0,0.466034,0.438535
452.9,0.0,0.526129,0.498745
456.4,0.0,0.557817,0.531286
460.08,0.0,0.56429,0.53786
463.58,0.0,0.547235,0.5221
467.08,0.0,0.513474,0.489342
470.58,0.0,0.466403,0.44323
474.25,0.0,0.413699,0.391471
477.75,0.0,0.357211,0.335905
481.25,0.0,0.302337,0.281592
484.93,0.0,0.250707,0.230507
488.43,0.0,0.204355,0.184879
491.93,0.0,0.163197,0.144016
495.43,0.0,0.128838,0.110172
498.93,0.0,0.099706,0.080954
503.13,0.0,0.071426,0.050865
506.63,0.0,0.053101,0.034306
510.3,0.0,0.03837,0.019645
513.8,0.0,0.026173,0.007544
517.48,0.0,0.016145,-0.002493
520.98,0.0,0.007541,-0.010685
524.65,0.0,0.001087,-0.01732
528.15,0.0,-0.004514,-0.022912
531.65,0.0,-0.008919,-0.027
535.15,0.0,-0.012496,-0.030983
538.83,0.0,-0.015836,-0.033882
542.33,0.0,-0.018516,-0.036772
545.65,0.0,-0.020894,-0.039271
549.15,0.0,-0.022764,-0.040913
552.83,0.0,-0.024338,-0.042607
556.33,0.0,-0.025789,-0.044375
560.0,0.0,-0.026717,-0.045145
563.5,0.0,-0.02757,-0.046643
567.18,0.0,-0.02891,-0.047693
570.68,0.0,-0.029918,-0.04867
574.35,0.0,-0.031227,-0.049893
577.85,0.0,-0.031865,-0.050617
581.35,0.0,-0.032687,-0.051316
584.85,0.0,-0.033041,-0.051615
588.35,0.0,-0.0333,-0.051877
592.03,0.0,-0.033731,-0.052163
595.53,0.0,-0.03407,-0.052665
599.02,0.0,-0.035216,-0.053762
602.52,0.0,-0.036476,-0.054622
606.02,0.0,-0.037937,-0.056559
609.7,0.0,-0.040044,-0.057838
613.2,0.0,-0.042619,-0.060432
616.7,0.0,-0.045546,-0.063352
620.37,0.0,-0.048161,-0.06603
623.87,0.0,-0.051686,-0.070226
627.72,0.0,-0.055235,-0.073959
631.05,0.0,-0.05911,-0.077456
635.25,0.0,-0.063137,-0.081221
638.75,0.0,-0.06797,-0.085592
642.25,0.0,-0.072262,-0.090207
645.75,0.0,-0.076941,-0.094523
649.25,0.0,-0.081535,-0.099092
652.92,0.0,-0.085136,-0.10225
656.42,0.0,-0.08765,-0.105225
659.92,0.0,-0.086809,-0.104742
663.42,0.0,-0.081831,-0.099483
667.1,0.0,-0.072961,-0.090977
670.6,0.0,-0.063661,-0.081754
674.1,0.0,-0.054357,-0.072749
677.6,0.0,-0.045278,-0.063861
681.27,0.0,-0.035219,-0.05448
685.12,0.0,-0.024499,-0.044767
688.62,0.0,-0.013186,-0.032425
692.12,0.0,-0.001821,-0.021134
695.8,0.0,0.011167,-0.008017
699.65,0.0,0.023807,0.005135
703.15,0.0,0.035837,0.016577
706.82,0.0,0.047491,0.02788
710.15,0.0,0.058539,0.038727
12.6,35.0,0.006056,-0.021051
16.28,35.0,0.002849,-0.015863
20.13,35.0,-0.000743,-0.018433
23.63,35.0,-0.00407,-0.022622
27.13,35.0,-0.007518,-0.025894
30.63,35.0,-0.010534,-0.028879
34.13,35.0,-0.01387,-0.032521
37.8,35.0,-0.017345,-0.036008
41.3,35.0,-0.020617,-0.039221
44.98,35.0,-0.023128,-0.041828
48.3,35.0,-0.02534,-0.043987
51.98,35.0,-0.027496,-0.046341
55.48,35.0,-0.029539,-0.048547
59.15,35.0,-0.032034,-0.050364
62.65,35.0,-0.034723,-0.053232
66.33,35.0,-0.038473,-0.057028
69.65,35.0,-0.043161,-0.061581
73.33,35.0,-0.04871,-0.067169
76.83,35.0,-0.055608,-0.073568
80.33,35.0,-0.063248,-0.081073
83.83,35.0,-0.07253,-0.090321
87.33,35.0,-0.084184,-0.101874
