x,y,z,z2
4.38,0.0,0.00035,-0.021442
6.82,0.0,0.001121,-0.020472
9.1,0.0,0.001398,-0.020358
11.2,0.0,0.000166,-0.021479
13.48,0.0,-0.002413,-0.024018
15.75,0.0,-0.006174,-0.027801
17.85,0.0,-0.011085,-0.032635
20.13,0.0,-0.01639,-0.037758
22.4,0.0,-0.021295,-0.042607
24.68,0.0,-0.026156,-0.047465
26.95,0.0,-0.031769,-0.053057
29.23,0.0,-0.036131,-0.05737
31.5,0.0,-0.040999,-0.062274
33.6,0.0,-0.045457,-0.066707
36.05,0.0,-0.049591,-0.070789
38.32,0.0,-0.052499,-0.073423
40.6,0.0,-0.05468,-0.07574
42.7,0.0,-0.05688,-0.077752
45.15,0.0,-0.059665,-0.08054
47.25,0.0,-0.063768,-0.084545
49.52,0.0,-0.069274,-0.089988
51.8,0.0,-0.075376,-0.096193
53.9,0.0,-0.083309,-0.103984
56.17,0.0,-0.091057,-0.111547
58.27,0.0,-0.098947,-0.119474
60.55,0.0,-0.107376,-0.127702
62.82,0.0,-0.115299,-0.13546
64.92,0.0,-0.123383,-0.143466
67.2,0.0,-0.13171,-0.151716
69.47,0.0,-0.140558,-0.160518
71.57,0.0,-0.149985,-0.169745
73.85,0.0,-0.160524,-0.180299
76.12,0.0,-0.171889,-0.191599
78.4,0.0,-0.184169,-0.203565
80.5,0.0,-0.197345,-0.21663
82.77,0.0,-0.211572,-0.230657
84.87,0.0,-0.226421,-0.245432
87.15,0.0,-0.241914,-0.260832
89.25,0.0,-0.258811,-0.27748
91.52,0.0,-0.278124,-0.296427
93.8,0.0,-0.297191,-0.31529
95.9,0.0,-0.317354,-0.335145
98.17,0.0,-0.335693,-0.353444
100.45,0.0,-0.349985,-0.367674
102.72,0.0,-0.359116,-0.376741
104.82,0.0,-0.364239,-0.381846
106.92,0.0,-0.364322,-0.381695
109.2,0.0,-0.357619,-0.375247
111.47,0.0,-0.343478,-0.361383
113.57,0.0,-0.322955,-0.341063
115.85,0.0,-0.295579,-0.313863
118.12,0.0,-0.26403,-0.2826
120.22,0.0,-0.231649,-0.250684
122.5,0.0,-0.198164,-0.217514
124.77,0.0,-0.165962,-0.185826
126.87,0.0,-0.139079,-0.159079
129.15,0.0,-0.116849,-0.137268
131.42,0.0,-0.099853,-0.120426
133.52,0.0,-0.090176,-0.110712
135.8,0.0,-0.087924,-0.108432
137.9,0.0,-0.093312,-0.113747
140.17,0.0,-0.104766,-0.125167
142.45,0.0,-0.121932,-0.142105
144.55,0.0,-0.14244,-0.162351
146.83,0.0,-0.167403,-0.187018
148.93,0.0,-0.196528,-0.215777
151.2,0.0,-0.228596,-0.247191
153.48,0.0,-0.263257,-0.281587
155.75,0.0,-0.301627,-0.319541
157.85,0.0,-0.340961,-0.358438
160.13,0.0,-0.379267,-0.396149
162.4,0.0,-0.413605,-0.43032
164.5,0.0,-0.435431,-0.451913
166.78,0.0,-0.442865,-0.459242
169.05,0.0,-0.432092,-0.448694
171.15,0.0,-0.403278,-0.420284
173.43,0.0,-0.356879,-0.374375
175.53,0.0,-0.296516,-0.314812
177.8,0.0,-0.223827,-0.2431
180.08,0.0,-0.142801,-0.162995
182.35,0.0,-0.056559,-0.077989
184.45,0.0,0.030421,0.008025
186.73,0.0,0.113859,0.090461
189.0,0.0,0.190963,0.166672
191.1,0.0,0.260307,0.235107
193.2,0.0,0.321527,0.295646
195.65,0.0,0.369142,0.342725
197.75,0.0,0.406456,0.379734
200.03,0.0,0.431188,0.404099
202.3,0.0,0.44519,0.418058
204.4,0.0,0.449573,0.42226
206.68,0.0,0.445378,0.418252
208.95,0.0,0.434749,0.407605
211.05,0.0,0.418954,0.392174
213.33,0.0,0.399031,0.372365
215.6,0.0,0.376296,0.349968
217.7,0.0,0.351662,0.325871
219.98,0.0,0.326373,0.300769
222.08,0.0,0.300831,0.275575
224.35,0.0,0.275532,0.25047
226.63,0.0,0.252097,0.227411
228.73,0.0,0.230858,0.206222
231.0,0.0,0.210381,0.186225
233.28,0.0,0.191231,0.167226
235.38,0.0,0.173486,0.149897
237.65,0.0,0.157337,0.133745
239.93,0.0,0.141068,0.11787
242.03,0.0,0.125474,0.102319
244.3,0.0,0.110745,0.087975
246.58,0.0,0.096863,0.074035
248.68,0.0,0.083197,0.060717
250.95,0.0,0.069913,0.047498
253.05,0.0,0.057704,0.035471
255.33,0.0,0.046635,0.024411
257.6,0.0,0.037125,0.01523
259.88,0.0,0.028995,0.007113
261.98,0.0,0.022146,0.000119
264.25,0.0,0.016278,-0.005481
266.53,0.0,0.010495,-0.011362
268.63,0.0,0.004734,-0.016942
270.9,0.0,-0.001085,-0.02261
273.0,0.0,-0.006387,-0.028001
275.28,0.0,-0.010746,-0.032324
277.55,0.0,-0.014902,-0.036433
279.65,0.0,-0.017795,-0.039237
281.93,0.0,-0.019739,-0.041211
284.2,0.0,-0.021593,-0.042912
286.3,0.0,-0.024252,-0.045583
288.58,0.0,-0.028103,-0.049323
290.85,0.0,-0.032974,-0.05408
293.13,0.0,-0.037912,-0.058996
295.23,0.0,-0.043362,-0.064446
297.68,0.0,-0.048075,-0.069224
299.95,0.0,-0.052487,-0.073297
302.05,0.0,-0.058202,-0.079061
304.33,0.0,-0.066624,-0.087314
306.43,0.0,-0.078636,-0.099123
308.7,0.0,-0.093756,-0.114289
310.98,0.0,-0.111042,-0.131177
313.25,0.0,-0.129877,-0.149776
315.35,0.0,-0.149098,-0.168799
317.63,0.0,-0.168913,-0.188454
319.9,0.0,-0.18907,-0.208275
322.0,0.0,-0.208288,-0.227209
324.28,0.0,-0.225256,-0.243947
326.38,0.0,-0.239603,-0.258158
328.65,0.0,-0.252197,-0.270653
330.93,0.0,-0.263346,-0.281615
333.2,0.0,-0.272754,-0.290884
335.3,0.0,-0.280271,-0.298207
337.58,0.0,-0.286239,-0.304289
339.68,0.0,-0.289788,-0.307671
341.95,0.0,-0.290453,-0.308512
344.23,0.0,-0.287363,-0.305404
346.33,0.0,-0.279125,-0.297218
348.6,0.0,-0.265552,-0.283808
350.7,0.0,-0.247542,-0.266186
353.15,0.0,-0.222832,-0.241621
355.43,0.0,-0.193602,-0.212847
357.53,0.0,-0.161261,-0.180928
359.8,0.0,-0.125805,-0.145783
362.25,0.0,-0.083094,-0.103815
364.53,0.0,-0.043242,-0.064588
366.63,0.0,-0.002444,-0.024117
368.9,0.0,0.037507,0.015267
371.18,0.0,0.077186,0.054488
373.45,0.0,0.113896,0.0908
375.55,0.0,0.147319,0.123844
377.83,0.0,0.176478,0.152762
380.28,0.0,0.205541,0.181299
382.38,0.0,0.225193,0.200748
384.65,0.0,0.240917,0.216287
386.93,0.0,0.251881,0.226998
389.38,0.0,0.259201,0.234204
391.65,0.0,0.261043,0.236034
393.75,0.0,0.2593,0.234374
396.03,0.0,0.253967,0.229106
398.3,0.0,0.245285,0.220458
400.58,0.0,0.234907,0.210289
402.85,0.0,0.22198,0.197473
405.13,0.0,0.207192,0.183212
407.23,0.0,0.191022,0.167038
409.5,0.0,0.174364,0.150689
411.6,0.0,0.158034,0.134522
413.88,0.0,0.141786,0.118323
416.15,0.0,0.125812,0.102479
418.43,0.0,0.110246,0.087239
420.53,0.0,0.095511,0.072584
422.8,0.0,0.08129,0.058715
425.08,0.0,0.067723,0.045267
427.35,0.0,0.055634,0.033385
429.63,0.0,0.044882,0.022602
431.9,0.0,0.036056,0.014201
434.18,0.0,0.028628,0.006675
436.28,0.0,0.021573,-0.000303
438.55,0.0,0.015575,-0.006088
440.83,0.0,0.009827,-0.011824
442.93,0.0,0.004993,-0.016747
445.2,0.0,5.5e-05,-0.021698
447.48,0.0,-0.004357,-0.02582
449.58,0.0,-0.008131,-0.029702
451.85,0.0,-0.012314,-0.033855
454.13,0.0,-0.017046,-0.038525
456.23,0.0,-0.021858,-0.043174
458.5,0.0,-0.026843,-0.048084
460.78,0.0,-0.031729,-0.052823
462.88,0.0,-0.036178,-0.057308
465.15,0.0,-0.041208,-0.062397
467.43,0.0,-0.046233,-0.067277
469.53,0.0,-0.050866,-0.07188
471.8,0.0,-0.055155,-0.07599
473.9,0.0,-0.058436,-0.079224
476.18,0.0,-0.061048,-0.081861
478.28,0.0,-0.064033,-0.084862
480.55,0.0,-0.067059,-0.087779
483.18,0.0,-0.07058,-0.091307
485.28,0.0,-0.073451,-0.094184
487.55,0.0,-0.077625,-0.098254
489.83,0.0,-0.082635,-0.103174
492.1,0.0,-0.088667,-0.109314
494.38,0.0,-0.096033,-0.116455
496.48,0.0,-0.105848,-0.126159
498.75,0.0,-0.118402,-0.138337
501.03,0.0,-0.133131,-0.152986
503.3,0.0,-0.148848,-0.168626
505.4,0.0,-0.16683,-0.186301
507.68,0.0,-0.186393,-0.20566
509.78,0.0,-0.207742,-0.226633
512.05,0.0,-0.228543,-0.247265
514.33,0.0,-0.24972,-0.268192
516.6,0.0,-0.269711,-0.287872
518.7,0.0,-0.287862,-0.305946
520.98,0.0,-0.303059,-0.320752
523.25,0.0,-0.315552,-0.333272
525.53,0.0,-0.323802,-0.34146
527.63,0.0,-0.327822,-0.345339
529.55,0.0,-0.327212,-0.344766
532.18,0.0,-0.321658,-0.339341
534.28,0.0,-0.311322,-0.329085
536.55,0.0,-0.295549,-0.313497
538.48,0.0,-0.275207,-0.293327
540.93,0.0,-0.250962,-0.269461
543.2,0.0,-0.223081,-0.242024
545.3,0.0,-0.191513,-0.210875
547.58,0.0,-0.157866,-0.177601
549.85,0.0,-0.12293,-0.143214
551.95,0.0,-0.08553,-0.106242
554.23,0.0,-0.048778,-0.069988
556.5,0.0,-0.011369,-0.033118
558.78,0.0,0.024894,0.002787
560.88,0.0,0.058043,0.035526
563.15,0.0,0.0895,0.06669
565.43,0.0,0.118446,0.09519
567.53,0.0,0.14296,0.11938
569.8,0.0,0.162266,0.138483
572.08,0.0,0.177596,0.153835
574.35,0.0,0.188933,0.164885
576.45,0.0,0.197645,0.173536
578.73,0.0,0.204192,0.179968
581.0,0.0,0.207827,0.183634
583.1,0.0,0.207781,0.183588
585.55,0.0,0.203338,0.179306
587.65,0.0,0.195923,0.171774
589.93,0.0,0.185024,0.161225
592.2,0.0,0.172001,0.148292
594.3,0.0,0.158828,0.135159
596.58,0.0,0.146136,0.12275
598.85,0.0,0.133785,0.110452
