x,y,z,z2
0.0,3.59,-0.008648,-0.03424
0.0,7.0,-0.008593,-0.028497
0.0,10.59,-0.008827,-0.027604
0.0,14.22,-0.008297,-0.02789
0.0,16.89,-0.008007,-0.027345
0.0,21.22,-0.007601,-0.027025
0.0,24.98,-0.007089,-0.026597
0.0,28.52,-0.006982,-0.026526
0.0,31.81,-0.006325,-0.027795
0.0,35.7,-0.006128,-0.026288
0.0,39.29,-0.005552,-0.026581
0.0,42.83,-0.005614,-0.026242
0.0,46.37,-0.005629,-0.026569
0.0,49.92,-0.00541,-0.025719
0.0,53.51,-0.005358,-0.025555
0.0,57.01,-0.005229,-0.025592
0.0,60.55,-0.005044,-0.02529
0.0,64.44,-0.004659,-0.022496
0.0,68.07,-0.004209,-0.024095
0.0,71.62,-0.003815,-0.023673
0.0,75.12,-0.003473,-0.0231
0.0,78.75,-0.003303,-0.023667
0.0,82.29,-0.002644,-0.023442
0.0,85.79,-0.002016,-0.022961
0.0,89.47,-0.001732,-0.022727
0.0,93.06,-0.001692,-0.022669
0.0,96.51,-0.002237,-0.022937
0.0,100.06,-0.003026,-0.023029
0.0,103.51,-0.002878,-0.023753
0.0,107.06,-0.003008,-0.023356
0.0,110.64,-0.003577,-0.023383
0.0,114.19,-0.00342,-0.023285
0.0,117.73,-0.003485,-0.023217
0.0,121.32,-0.003454,-0.022595
0.0,124.95,-0.003956,-0.023195
0.0,128.41,-0.004157,-0.023636
0.0,132.04,-0.004844,-0.024187
0.0,135.54,-0.005176,-0.024853
0.0,139.74,-0.005528,-0.027906
0.0,143.33,-0.006181,-0.025774
0.0,146.83,-0.006017,-0.025685
0.0,150.37,-0.006356,-0.025133
0.0,153.78,-0.006942,-0.026427
0.0,157.72,-0.006538,-0.026449
0.0,160.96,-0.006637,-0.027872
0.0,164.98,-0.006526,-0.027342
0.0,168.26,-0.00635,-0.027385
0.0,172.2,-0.00659,-0.027228
0.0,175.7,-0.006523,-0.026877
0.0,179.2,-0.006821,-0.027105
0.0,182.74,-0.006812,-0.02704
0.0,186.38,-0.006627,-0.026304
0.0,189.88,-0.006332,-0.026313
0.0,193.38,-0.00606,-0.026178
0.0,196.88,-0.005444,-0.025099
0.0,200.42,-0.005343,-0.025275
0.0,204.09,-0.00517,-0.024027
0.0,207.68,-0.0055,-0.025001
0.0,211.23,-0.006476,-0.026199
0.0,214.81,-0.008855,-0.028741
0.0,218.44,-0.012508,-0.032524
0.0,221.94,-0.017231,-0.036372
0.0,225.53,-0.022909,-0.043217
0.0,229.12,-0.028035,-0.048285
0.0,232.58,-0.03297,-0.052669
0.0,236.16,-0.037382,-0.057468
0.0,239.66,-0.04147,-0.061424
0.0,243.25,-0.044696,-0.064215
0.0,246.84,-0.047551,-0.066596
0.0,250.38,-0.049748,-0.068633
0.0,253.84,-0.051507,-0.071054
0.0,257.43,-0.052712,-0.07176
0.0,260.71,-0.054083,-0.071852
0.0,264.51,-0.054523,-0.073112
0.0,268.1,-0.055524,-0.073984
0.0,271.56,-0.056079,-0.074529
0.0,274.93,-0.056113,-0.074314
0.0,278.56,-0.056741,-0.075139
0.0,282.14,-0.056578,-0.074702
0.0,285.73,-0.056874,-0.075395
0.0,289.32,-0.056806,-0.075226
0.0,292.82,-0.057394,-0.075758
0.0,296.32,-0.05741,-0.075913
0.0,299.86,-0.057696,-0.07668
0.0,303.45,-0.057773,-0.077059
0.0,306.99,-0.057339,-0.076868
0.0,310.58,-0.057336,-0.076855
0.0,314.08,-0.057006,-0.076393
0.0,317.62,-0.056452,-0.076088
0.0,321.21,-0.05627,-0.075959
0.0,324.71,-0.055592,-0.075552
0.0,328.21,-0.055426,-0.075198
0.0,331.76,-0.055028,-0.074557
0.0,335.21,-0.054683,-0.074209
0.0,338.8,-0.054523,-0.073673
0.0,342.3,-0.054314,-0.074107
0.0,345.84,-0.054089,-0.073808
0.0,349.3,-0.054067,-0.072551
0.0,352.97,-0.053929,-0.073063
0.0,356.47,-0.05428,-0.07273
0.0,360.02,-0.054286,-0.072632
0.0,364.31,-0.055078,-0.076205
0.0,367.85,-0.055272,-0.074899
0.0,371.39,-0.055765,-0.075081
0.0,374.89,-0.056356,-0.075567
0.0,378.57,-0.056806,-0.075358
0.0,382.07,-0.05696,-0.075198
0.0,385.66,-0.057188,-0.075574
0.0,389.2,-0.056966,-0.075161
