x,y,z,z2
7.0,0.0,-0.025712,-0.045229
10.28,0.0,-0.026054,-0.04537
14.04,0.0,-0.026365,-0.04582
17.59,0.0,-0.026424,-0.045614
21.31,0.0,-0.026054,-0.045195
24.98,0.0,-0.025743,-0.04549
28.48,0.0,-0.025309,-0.044773
32.16,0.0,-0.02497,-0.045512
35.74,0.0,-0.024563,-0.045044
39.29,0.0,-0.024073,-0.044332
42.87,0.0,-0.023349,-0.043537
46.42,0.0,-0.022354,-0.042287
50.01,0.0,-0.021122,-0.041402
53.51,0.0,-0.020478,-0.040324
57.09,0.0,-0.019742,-0.039147
60.64,0.0,-0.018935,-0.038359
64.18,0.0,-0.018248,-0.037678
67.77,0.0,-0.017311,-0.036501
71.36,0.0,-0.016141,-0.035195
74.94,0.0,-0.015022,-0.034495
78.53,0.0,-0.01404,-0.03375
82.03,0.0,-0.013109,-0.032699
86.14,0.0,-0.011828,-0.033621
89.69,0.0,-0.01107,-0.031341
93.23,0.0,-0.010219,-0.030478
96.78,0.0,-0.009529,-0.029209
100.54,0.0,-0.00842,-0.027453
104.17,0.0,-0.007579,-0.026809
107.71,0.0,-0.007265,-0.02676
111.26,0.0,-0.006421,-0.026726
114.8,0.0,-0.005943,-0.027974
118.39,0.0,-0.005629,-0.024591
121.93,0.0,-0.005983,-0.026766
125.43,0.0,-0.006298,-0.027142
129.02,0.0,-0.007225,-0.027619
132.48,0.0,-0.007752,-0.027909
136.06,0.0,-0.008673,-0.029187
139.56,0.0,-0.00964,-0.030309
143.15,0.0,-0.010706,-0.031048
146.61,0.0,-0.011329,-0.031698
150.19,0.0,-0.011874,-0.032126
153.69,0.0,-0.012293,-0.032404
157.19,0.0,-0.012508,-0.032678
160.56,0.0,-0.012505,-0.032333
164.28,0.0,-0.012456,-0.032397
167.83,0.0,-0.01257,-0.032089
171.41,0.0,-0.012117,-0.031288
175.04,0.0,-0.011877,-0.030836
178.5,0.0,-0.011094,-0.030423
182.09,0.0,-0.010435,-0.029603
185.59,0.0,-0.009791,-0.029252
189.09,0.0,-0.009945,-0.029187
192.5,0.0,-0.009449,-0.028802
196.09,0.0,-0.009606,-0.028793
199.68,0.0,-0.009135,-0.028537
203.22,0.0,-0.009227,-0.028704
206.5,0.0,-0.008651,-0.029009
210.35,0.0,-0.00883,-0.028787
213.85,0.0,-0.008827,-0.028608
217.35,0.0,-0.008753,-0.028849
220.94,0.0,-0.008756,-0.029277
224.44,0.0,-0.008491,-0.028901
227.98,0.0,-0.007961,-0.028235
231.48,0.0,-0.007484,-0.027952
234.98,0.0,-0.00655,-0.026929
238.39,0.0,-0.00529,-0.02594
242.11,0.0,-0.00407,-0.024557
245.66,0.0,-0.003263,-0.023932
249.11,0.0,-0.00286,-0.023439
252.74,0.0,-0.003331,-0.023485
256.33,0.0,-0.003519,-0.02371
259.83,0.0,-0.004163,-0.02415
263.38,0.0,-0.005062,-0.025232
266.96,0.0,-0.006578,-0.025962
270.46,0.0,-0.00781,-0.027394
274.05,0.0,-0.009298,-0.028405
277.55,0.0,-0.0107,-0.029939
281.14,0.0,-0.012019,-0.03131
284.64,0.0,-0.013411,-0.032755
288.27,0.0,-0.014748,-0.033938
291.68,0.0,-0.015786,-0.034964
295.31,0.0,-0.016584,-0.036258
299.03,0.0,-0.017287,-0.03911
302.58,0.0,-0.017173,-0.037496
306.16,0.0,-0.016883,-0.037394
309.75,0.0,-0.016412,-0.037037
313.34,0.0,-0.015805,-0.03558
316.88,0.0,-0.014973,-0.035096
320.38,0.0,-0.014009,-0.034224
323.92,0.0,-0.013272,-0.03318
327.6,0.0,-0.012265,-0.030179
331.14,0.0,-0.011492,-0.031064
334.69,0.0,-0.010678,-0.029988
338.32,0.0,-0.010182,-0.029767
341.73,0.0,-0.010278,-0.0296
345.27,0.0,-0.010207,-0.029727
348.86,0.0,-0.010931,-0.030666
352.49,0.0,-0.011951,-0.031877
356.04,0.0,-0.012995,-0.033525
359.67,0.0,-0.014268,-0.035038
363.21,0.0,-0.01533,-0.035737
366.76,0.0,-0.016045,-0.036134
370.26,0.0,-0.016319,-0.037111
374.11,0.0,-0.016852,-0.035839
377.69,0.0,-0.017539,-0.037173
381.24,0.0,-0.01838,-0.037447
384.78,0.0,-0.019702,-0.038781
388.46,0.0,-0.021178,-0.040601
392.09,0.0,-0.023214,-0.042706
395.63,0.0,-0.025472,-0.045253
399.17,0.0,-0.02732,-0.046957
402.67,0.0,-0.029381,-0.048657
406.22,0.0,-0.030675,-0.050863
409.81,0.0,-0.032129,-0.0522
413.48,0.0,-0.033174,-0.053429
416.98,0.0,-0.033522,-0.053482
420.57,0.0,-0.034372,-0.053833
424.11,0.0,-0.034643,-0.05412
427.61,0.0,-0.034924,-0.054286
431.2,0.0,-0.035583,-0.05489
434.83,0.0,-0.036181,-0.054612
438.37,0.0,-0.036498,-0.055401
441.87,0.0,-0.037231,-0.056017
445.42,0.0,-0.037524,-0.056523
449.01,0.0,-0.037934,-0.056815
452.59,0.0,-0.038399,-0.057308
456.18,0.0,-0.038054,-0.057025
459.68,0.0,-0.037576,-0.056415
463.18,0.0,-0.036868,-0.056107
466.72,0.0,-0.036495,-0.05566
470.27,0.0,-0.036128,-0.055802
473.81,0.0,-0.035685,-0.055158
477.27,0.0,-0.035287,-0.054942
480.94,0.0,-0.035755,-0.056479
484.44,0.0,-0.03598,-0.055903
488.03,0.0,-0.036458,-0.056384
491.57,0.0,-0.037197,-0.057151
495.03,0.0,-0.037866,-0.057619
498.62,0.0,-0.038895,-0.058516
502.21,0.0,-0.039788,-0.058916
505.79,0.0,-0.04095,-0.059631
509.38,0.0,-0.042108,-0.060928
512.97,0.0,-0.043007,-0.061295
516.51,0.0,-0.044024,-0.062404
520.01,0.0,-0.04489,-0.063433
523.64,0.0,-0.045962,-0.064545
527.14,0.0,-0.04627,-0.065007
530.69,0.0,-0.046803,-0.065799
534.19,0.0,-0.04721,-0.066076
537.82,0.0,-0.047555,-0.067283
541.49,0.0,-0.048023,-0.069027
545.04,0.0,-0.048297,-0.068026
548.62,0.0,-0.048547,-0.068352
552.17,0.0,-0.048796,-0.06867
555.89,0.0,-0.048916,-0.065999
559.43,0.0,-0.04908,-0.069079
563.02,0.0,-0.04944,-0.068417
566.43,0.0,-0.049717,-0.068405
570.06,0.0,-0.050352,-0.068962
573.56,0.0,-0.050749,-0.069098
577.11,0.0,-0.051572,-0.070158
580.65,0.0,-0.05229,-0.070823
584.11,0.0,-0.053223,-0.07155
587.21,0.0,-0.053374,-0.072216
591.28,0.0,-0.053873,-0.072524
594.78,0.0,-0.054304,-0.072887
598.32,0.0,-0.054166,-0.073168
601.82,0.0,-0.054794,-0.074425
605.46,0.0,-0.055259,-0.074726
609.0,0.0,-0.056393,-0.075164
612.5,0.0,-0.057428,-0.077148
616.31,0.0,-0.058605,-0.078679
619.85,0.0,-0.059434,-0.078386
623.35,0.0,-0.060296,-0.07984
626.89,0.0,-0.061486,-0.079902
630.44,0.0,-0.061994,-0.08082
634.02,0.0,-0.062921,-0.081254
637.48,0.0,-0.063547,-0.082314
641.02,0.0,-0.064532,-0.082896
644.52,0.0,-0.06529,-0.08375
647.94,0.0,-0.065888,-0.083534
651.66,0.0,-0.066193,-0.084267
655.33,0.0,-0.066581,-0.08468
658.83,0.0,-0.066843,-0.08517
662.16,0.0,-0.067576,-0.087973
666.18,0.0,-0.068155,-0.087397
669.72,0.0,-0.069095,-0.088654
673.27,0.0,-0.070219,-0.08964
676.72,0.0,-0.07143,-0.090703
680.31,0.0,-0.072441,-0.091516
683.9,0.0,-0.073642,-0.092656
687.44,0.0,-0.074991,-0.093802
690.99,0.0,-0.076224,-0.094961
694.53,0.0,-0.077508,-0.095626
698.07,0.0,-0.07851,-0.096729
701.66,0.0,-0.079295,-0.097367
705.21,0.0,-0.08001,-0.097918
708.71,0.0,-0.080475,-0.098257
12.03,35.09,-0.023448,-0.048131
15.71,35.09,-0.022958,-0.042715
19.47,35.09,-0.022129,-0.039991
23.06,35.09,-0.021495,-0.040869
26.6,35.09,-0.020641,-0.039856
30.14,35.09,-0.020281,-0.039785
33.77,35.09,-0.019665,-0.040189
37.32,35.09,-0.019055,-0.039468
40.99,35.09,-0.018288,-0.039511
44.58,35.09,-0.017268,-0.037545
48.08,35.09,-0.016285,-0.036541
51.62,35.09,-0.015198,-0.035595
55.21,35.09,-0.014378,-0.034175
58.76,35.09,-0.014529,-0.034551
62.17,35.09,-0.015019,-0.03509
65.8,35.09,-0.015987,-0.035512
69.3,35.09,-0.017194,-0.036603
72.84,35.09,-0.018078,-0.037287
76.43,35.09,-0.019043,-0.038399
80.02,35.09,-0.019465,-0.038599
83.47,35.09,-0.019936,-0.038852
86.97,35.09,-0.019785,-0.039468
90.74,35.09,-0.019551,-0.039113
94.24,35.09,-0.01948,-0.038919
97.78,35.09,-0.019015,-0.038587
101.24,35.09,-0.018688,-0.038309
104.87,35.09,-0.018174,-0.038679
108.46,35.09,-0.017616,-0.037992
111.96,35.09,-0.017493,-0.037524
115.5,35.09,-0.017111,-0.037767
119.04,35.09,-0.017237,-0.037709
122.63,35.09,-0.016806,-0.037256
126.13,35.09,-0.016781,-0.037
129.81,35.09,-0.016754,-0.03651
133.39,35.09,-0.016597,-0.036328
136.98,35.09,-0.01611,-0.035167
140.48,35.09,-0.015688,-0.034797
144.07,35.09,-0.015343,-0.034391
147.48,35.09,-0.014847,-0.033944
151.16,35.09,-0.014378,-0.033636
154.7,35.09,-0.0142,-0.033633
158.37,35.09,-0.013285,-0.033198
161.79,35.09,-0.012813,-0.032441
165.51,35.09,-0.012025,-0.033072
169.01,35.09,-0.011316,-0.031236
172.51,35.09,-0.010182,-0.030346
176.09,35.09,-0.009459,-0.030139
179.68,35.09,-0.00834,-0.02916
183.22,35.09,-0.007548,-0.027983
186.72,35.09,-0.007114,-0.027739
190.22,35.09,-0.00668,-0.027203
193.72,35.09,-0.006479,-0.026751
197.31,35.09,-0.005897,-0.026295
200.99,35.09,-0.005112,-0.024773
204.49,35.09,-0.004837,-0.024486
207.86,35.09,-0.004117,-0.022456
211.71,35.09,-0.003288,-0.022863
215.34,35.09,-0.003041,-0.022416
218.88,35.09,-0.002416,-0.022157
222.25,35.09,-0.002992,-0.02306
226.01,35.09,-0.00318,-0.023457
229.6,35.09,-0.003673,-0.0242
233.14,35.09,-0.004289,-0.024933
236.69,35.09,-0.004683,-0.025491
240.19,35.09,-0.005152,-0.025401
243.82,35.09,-0.005688,-0.02651
247.36,35.09,-0.006347,-0.026815
250.86,35.09,-0.007194,-0.027327
254.54,35.09,-0.007619,-0.027364
258.08,35.09,-0.008328,-0.028316
261.58,35.09,-0.008386,-0.027887
265.17,35.09,-0.007459,-0.027419
268.54,35.09,-0.006738,-0.026335
272.17,35.09,-0.005571,-0.025173
275.76,35.09,-0.004634,-0.023981
279.3,35.09,-0.003996,-0.023202
282.54,35.09,-0.003984,-0.023642
286.3,35.09,-0.004338,-0.024033
289.93,35.09,-0.004844,-0.024234
293.52,35.09,-0.005241,-0.02546
297.24,35.09,-0.005238,-0.027428
300.82,35.09,-0.004489,-0.025075
304.37,35.09,-0.003423,-0.023682
307.91,35.09,-0.002117,-0.022718
311.41,35.09,-0.00094,-0.02151
315.0,35.09,0.000227,-0.020515
318.54,35.09,0.00092,-0.019511
322.09,35.09,0.001358,-0.018802
325.67,35.09,0.001044,-0.018661
329.31,35.09,0.000782,-0.01859
332.85,35.09,0.000877,-0.018476
336.35,35.09,0.000982,-0.018356
339.94,35.09,0.001592,-0.017678
343.57,35.09,0.002039,-0.017687
347.11,35.09,0.002042,-0.017305
350.66,35.09,0.002134,-0.017739
354.2,35.09,0.001426,-0.018713
357.79,35.09,0.000498,-0.020669
361.33,35.09,-0.000943,-0.021338
364.87,35.09,-0.002804,-0.023476
368.42,35.09,-0.004902,-0.025355
372.01,35.09,-0.00745,-0.028063
375.46,35.09,-0.00993,-0.030179
379.18,35.09,-0.012773,-0.032699
382.77,35.09,-0.015377,-0.035007
386.31,35.09,-0.017678,-0.036905
389.68,35.09,-0.019172,-0.038636
393.31,35.09,-0.01989,-0.039344
396.94,35.09,-0.019643,-0.038553
400.44,35.09,-0.019123,-0.038297
403.94,35.09,-0.019003,-0.038349
407.53,35.09,-0.019092,-0.038057
411.07,35.09,-0.020133,-0.039289
414.57,35.09,-0.021298,-0.04034
418.16,35.09,-0.023121,-0.042351
421.66,35.09,-0.025253,-0.044492
425.29,35.09,-0.027339,-0.046889
428.75,35.09,-0.02956,-0.049135
432.34,35.09,-0.031541,-0.050903
435.27,35.09,-0.033211,-0.05294
439.34,35.09,-0.034369,-0.053442
442.92,35.09,-0.035515,-0.055102
446.47,35.09,-0.036402,-0.0566
449.92,35.09,-0.037274,-0.05777
453.64,35.09,-0.037878,-0.057835
457.19,35.09,-0.038374,-0.058226
460.64,35.09,-0.038701,-0.058516
464.23,35.09,-0.038953,-0.058528
467.82,35.09,-0.039169,-0.058482
471.41,35.09,-0.03952,-0.05871
474.86,35.09,-0.039911,-0.059357
478.45,35.09,-0.040472,-0.058861
481.95,35.09,-0.040608,-0.058901
485.58,35.09,-0.040885,-0.059548
489.04,35.09,-0.040472,-0.059206
492.62,35.09,-0.040534,-0.059388
496.12,35.09,-0.040124,-0.059286
499.84,35.09,-0.04017,-0.059542
503.39,35.09,-0.039763,-0.058889
506.93,35.09,-0.039286,-0.058953
510.47,35.09,-0.038627,-0.058713
513.97,35.09,-0.038322,-0.057949
517.52,35.09,-0.037998,-0.05793
521.11,35.09,-0.037635,-0.057533
524.61,35.09,-0.037607,-0.057601
