x,y,z,z2
0.0,3.54,-0.024998,-0.04993
0.0,7.13,-0.024924,-0.045343
0.0,10.72,-0.025269,-0.046039
0.0,14.26,-0.025645,-0.045703
0.0,17.85,-0.02615,-0.046264
0.0,21.44,-0.026048,-0.044529
0.0,25.02,-0.026165,-0.045481
0.0,28.57,-0.026051,-0.044569
0.0,32.2,-0.025759,-0.044788
0.0,35.74,-0.025309,-0.044628
0.0,39.29,-0.024554,-0.043775
0.0,42.83,-0.023818,-0.04326
0.0,46.42,-0.022961,-0.042739
0.0,49.96,-0.021994,-0.042129
0.0,53.51,-0.021082,-0.041236
0.0,57.05,-0.020688,-0.040805
0.0,60.55,-0.01985,-0.040173
0.0,64.09,-0.019292,-0.039908
0.0,67.68,-0.018701,-0.039388
0.0,71.22,-0.01826,-0.038852
0.0,74.77,-0.017539,-0.038041
0.0,78.36,-0.016874,-0.03708
0.0,81.86,-0.016501,-0.036455
0.0,85.44,-0.016033,-0.036002
0.0,88.99,-0.016039,-0.035524
0.0,92.53,-0.016076,-0.035226
0.0,96.03,-0.016116,-0.035457
0.0,99.58,-0.015666,-0.035115
0.0,103.08,-0.015663,-0.034797
0.0,106.71,-0.015303,-0.034625
0.0,110.25,-0.015296,-0.034723
0.0,113.84,-0.015303,-0.035186
0.0,117.47,-0.015611,-0.03672
0.0,121.06,-0.016107,-0.03651
0.0,124.6,-0.016005,-0.036399
0.0,128.1,-0.016433,-0.03696
0.0,131.64,-0.016347,-0.036942
0.0,135.14,-0.016461,-0.037006
0.0,138.73,-0.016479,-0.036747
0.0,142.36,-0.01676,-0.036923
0.0,145.86,-0.016849,-0.036535
0.0,149.36,-0.016424,-0.035746
0.0,152.95,-0.015669,-0.035734
0.0,156.45,-0.012977,-0.032453
0.0,160.08,-0.008442,-0.027937
0.0,163.54,-0.002681,-0.022515
0.0,167.08,0.004257,-0.015691
0.0,170.63,0.011028,-0.00916
0.0,174.08,0.017914,-0.002548
0.0,177.76,0.024035,0.003764
0.0,181.21,0.029562,0.009032
0.0,184.8,0.033992,0.01308
0.0,188.3,0.037639,0.01653
0.0,191.93,0.040711,0.019368
0.0,195.39,0.042615,0.021432
0.0,198.93,0.043949,0.022374
0.0,202.52,0.044562,0.022923
0.0,206.02,0.045024,0.023108
0.0,209.61,0.045788,0.023687
0.0,213.15,0.045939,0.024325
0.0,216.69,0.046259,0.024599
0.0,220.19,0.046647,0.025064
0.0,223.74,0.047313,0.025683
0.0,227.28,0.047667,0.02593
0.0,230.78,0.047972,0.026564
0.0,234.41,0.048339,0.02755
0.0,237.87,0.048308,0.028018
0.0,241.5,0.048413,0.027692
0.0,245.09,0.048388,0.027975
0.0,248.63,0.048369,0.02784
0.0,252.18,0.047833,0.027017
0.0,255.68,0.047245,0.026749
0.0,259.26,0.046875,0.026096
0.0,262.76,0.046398,0.025609
0.0,266.31,0.046118,0.024802
0.0,269.68,0.045702,0.024519
0.0,273.39,0.045625,0.024574
0.0,276.94,0.045699,0.023847
0.0,280.44,0.045791,0.023782
0.0,284.07,0.045421,0.023493
0.0,287.61,0.045353,0.023613
0.0,291.16,0.045443,0.023733
0.0,294.7,0.045449,0.02381
0.0,298.2,0.04536,0.024214
0.0,301.74,0.045418,0.02405
0.0,305.24,0.045763,0.02422
0.0,308.74,0.04576,0.024251
0.0,312.33,0.045705,0.025181
0.0,315.87,0.04474,0.024217
0.0,319.46,0.043622,0.023474
0.0,323.05,0.041798,0.021327
0.0,326.59,0.039673,0.019291
0.0,330.22,0.03783,0.016986
0.0,333.77,0.036136,0.015196
0.0,337.31,0.034731,0.013471
0.0,340.9,0.033102,0.011392
0.0,344.36,0.031438,0.00963
0.0,348.07,0.030437,0.009047
0.0,351.66,0.029374,0.007991
0.0,355.21,0.028613,0.007726
0.0,358.66,0.027904,0.006783
0.0,362.25,0.027507,0.007005
0.0,365.79,0.027119,0.006228
0.0,369.29,0.02641,0.005517
0.0,372.79,0.025896,0.005545
0.0,376.69,0.025092,0.00576
0.0,380.27,0.02442,0.003881
0.0,383.82,0.023582,0.003206
0.0,387.36,0.022852,0.001383
0.0,390.95,0.022248,0.001302
0.0,394.54,0.022297,0.001081
0.0,398.04,0.022205,0.001016
0.0,401.58,0.022599,0.001336
0.0,405.39,0.023388,0.004716
0.0,409.19,0.024611,0.00446
0.0,412.74,0.025883,0.005495
0.0,416.28,0.02775,0.00715
0.0,419.52,0.029759,0.008484
0.0,423.37,0.031481,0.010757
0.0,426.87,0.03348,0.012578
0.0,430.5,0.035418,0.014007
0.0,434.04,0.03718,0.015427
0.0,437.54,0.038779,0.017257
0.0,441.09,0.03999,0.018058
0.0,444.67,0.040742,0.019103
0.0,448.22,0.040849,0.019266
0.0,451.72,0.039956,0.018508
0.0,455.26,0.038376,0.017079
0.0,458.85,0.036207,0.015178
0.0,462.31,0.033524,0.012553
0.0,465.85,0.03096,0.010307
0.0,469.44,0.028052,0.007535
0.0,472.94,0.025335,0.005079
0.0,476.52,0.022627,0.002787
0.0,480.07,0.020258,0.000381
0.0,483.61,0.018465,-0.001513
0.0,487.16,0.017473,-0.002672
0.0,490.7,0.016681,-0.00346
0.0,494.24,0.016037,-0.004135
0.0,497.7,0.01536,-0.004492
0.0,501.29,0.014414,-0.006008
0.0,504.79,0.013357,-0.006991
0.0,508.42,0.012378,-0.008747
0.0,512.01,0.011447,-0.010651
0.0,515.72,0.010917,-0.010121
0.0,519.22,0.010797,-0.009844
0.0,522.72,0.011346,-0.009415
0.0,526.36,0.012011,-0.00826
0.0,529.86,0.01198,-0.0081
0.0,533.4,0.011309,-0.00867
0.0,536.99,0.010015,-0.009671
0.0,540.57,0.008456,-0.010759
0.0,544.16,0.006974,-0.012681
0.0,547.66,0.005936,-0.013864
0.0,551.25,0.005538,-0.014418
0.0,554.75,0.004956,-0.015059
0.0,558.34,0.004374,-0.016205
0.0,561.88,0.003628,-0.016784
0.0,565.47,0.002498,-0.018414
0.0,568.92,0.001373,-0.019132
0.0,572.56,7.3e-05,-0.020755
0.0,576.1,-0.001282,-0.022197
0.0,579.64,-0.002579,-0.023316
0.0,583.23,-0.003836,-0.024129
0.0,586.51,-0.004862,-0.025229
0.0,590.27,-0.005155,-0.025417
0.0,593.86,-0.00566,-0.025161
0.0,597.45,-0.006027,-0.025281
0.0,600.82,-0.006002,-0.025749
0.0,604.58,-0.006057,-0.025284
0.0,608.12,-0.006479,-0.025725
0.0,611.67,-0.006747,-0.026285
0.0,615.21,-0.007573,-0.027185
0.0,618.71,-0.007585,-0.027243
0.0,622.43,-0.007946,-0.029631
0.0,625.93,-0.00842,-0.028738
0.0,629.47,-0.008294,-0.028993
0.0,633.06,-0.008377,-0.029092
0.0,636.61,-0.008408,-0.029058
0.0,640.15,-0.00842,-0.028944
0.0,643.74,-0.00843,-0.028719
0.0,647.28,-0.008445,-0.028402
0.0,650.82,-0.00879,-0.027918
0.0,654.46,-0.009067,-0.02871
0.0,658.0,-0.009437,-0.028574
0.0,661.59,-0.00964,-0.028781
0.0,665.09,-0.009557,-0.028747
0.0,668.63,-0.009656,-0.028815
0.0,672.26,-0.009819,-0.029341
0.0,675.89,-0.009964,-0.030925
0.0,679.44,-0.009622,-0.029887
0.0,682.94,-0.009532,-0.02993
0.0,686.48,-0.009073,-0.029551
36.14,12.07,-0.020672,-0.043466
36.14,15.62,-0.019844,-0.039477
36.14,19.69,-0.018799,-0.041282
36.14,23.23,-0.017712,-0.038091
36.14,26.73,-0.016436,-0.036587
36.14,30.27,-0.01509,-0.035195
36.14,33.77,-0.014055,-0.033929
36.14,37.36,-0.012866,-0.032573
36.14,41.65,-0.011695,-0.034231
36.14,45.24,-0.010611,-0.031168
36.14,48.78,-0.009455,-0.030118
36.14,52.76,-0.008735,-0.026717
36.14,56.61,-0.007884,-0.029939
36.14,60.2,-0.00753,-0.028605
36.14,63.74,-0.007025,-0.027721
36.14,67.37,-0.00643,-0.027022
36.14,70.87,-0.005968,-0.026504
36.14,74.42,-0.006369,-0.026985
36.14,78.01,-0.006735,-0.027068
36.14,81.51,-0.007613,-0.027807
36.14,85.01,-0.008229,-0.028359
36.14,88.55,-0.009326,-0.029486
36.14,92.05,-0.01058,-0.030635
36.14,95.55,-0.011489,-0.031233
36.14,99.01,-0.012274,-0.031979
36.14,102.46,-0.012977,-0.032752
36.14,106.05,-0.013747,-0.033368
36.14,109.59,-0.014154,-0.033285
36.14,113.14,-0.014126,-0.033426
36.14,116.64,-0.014511,-0.033762
36.14,120.22,-0.014665,-0.033848
36.14,123.72,-0.014899,-0.034338
36.14,127.27,-0.015226,-0.034745
36.14,130.86,-0.016051,-0.03586
36.14,134.44,-0.016489,-0.03659
36.14,137.77,-0.017071,-0.036994
36.14,141.44,-0.017194,-0.037049
36.14,145.03,-0.017185,-0.037508
36.14,148.44,-0.017148,-0.037481
36.14,152.07,-0.017598,-0.037844
36.14,155.57,-0.017573,-0.037758
36.14,159.12,-0.01729,-0.038057
36.14,162.84,-0.017071,-0.037542
36.14,166.38,-0.016791,-0.036667
36.14,169.97,-0.016473,-0.036378
36.14,173.51,-0.016116,-0.035527
36.14,177.01,-0.015315,-0.034859
36.14,180.51,-0.0142,-0.033528
36.14,184.14,-0.011643,-0.03095
36.14,187.64,-0.007582,-0.027216
36.14,191.19,-0.001892,-0.021658
36.14,194.12,0.005159,-0.015056
36.14,198.32,0.012066,-0.008593
36.14,201.91,0.018789,-0.002009
36.14,205.45,0.025012,0.003813
36.14,208.95,0.030375,0.008126
36.14,212.58,0.034137,0.012562
36.14,216.12,0.037202,0.015455
36.14,219.62,0.039263,0.017646
36.14,223.17,0.040776,0.019137
36.14,226.67,0.041715,0.02007
36.14,230.3,0.04239,0.020945
36.14,233.76,0.04279,0.021299
36.14,237.3,0.042852,0.021259
36.14,240.84,0.042787,0.022119
36.14,244.12,0.043114,0.022217
36.14,247.97,0.043185,0.022596
36.14,251.47,0.043527,0.023037
36.14,255.02,0.043998,0.023049
36.14,258.56,0.043949,0.023216
36.14,262.06,0.044137,0.023607
36.14,265.61,0.044204,0.023776
36.14,269.19,0.044365,0.023687
36.14,272.74,0.044291,0.023736
36.14,276.28,0.044204,0.023228
36.14,279.82,0.043964,0.023459
36.14,283.32,0.043838,0.022627
36.14,287.39,0.043983,0.021068
36.14,290.89,0.043832,0.022581
36.14,294.48,0.043853,0.023422
36.14,298.02,0.043958,0.023456
36.14,301.52,0.04402,0.023363
36.14,305.16,0.044244,0.023785
36.14,308.66,0.045122,0.024432
36.14,312.16,0.045776,0.02532
36.14,315.7,0.046188,0.02544
36.14,319.2,0.046808,0.025954
36.14,322.83,0.047248,0.026321
36.14,326.29,0.047205,0.026278
36.14,329.74,0.04771,0.025692
36.14,333.46,0.047581,0.026472
36.14,336.96,0.047636,0.026142
