x,y,z,z2
4.37,0.0,0.107251,0.084164
6.65,0.0,0.107858,0.085095
8.75,0.0,0.108434,0.085566
11.03,0.0,0.108576,0.085702
13.3,0.0,0.107763,0.084599
15.58,0.0,0.104679,0.081872
17.68,0.0,0.099429,0.076576
19.95,0.0,0.09328,0.070572
22.23,0.0,0.085671,0.062954
24.5,0.0,0.078613,0.056059
26.6,0.0,0.072319,0.049516
28.88,0.0,0.067957,0.045508
31.15,0.0,0.06438,0.041931
33.25,0.0,0.061342,0.038986
35.53,0.0,0.058927,0.036438
37.8,0.0,0.056878,0.034445
39.9,0.0,0.054854,0.032519
42.17,0.0,0.051814,0.029429
44.27,0.0,0.047827,0.025532
46.55,0.0,0.042877,0.020628
48.82,0.0,0.036059,0.013995
50.92,0.0,0.028126,0.00629
53.2,0.0,0.019362,-0.002598
55.47,0.0,0.009716,-0.011945
57.57,0.0,-0.000349,-0.022025
59.85,0.0,-0.010469,-0.032046
62.12,0.0,-0.021064,-0.042545
64.22,0.0,-0.030882,-0.052419
66.5,0.0,-0.040336,-0.061609
68.77,0.0,-0.049699,-0.070697
70.87,0.0,-0.059412,-0.080364
73.15,0.0,-0.070041,-0.090786
75.25,0.0,-0.081295,-0.10208
77.52,0.0,-0.093331,-0.113895
79.8,0.0,-0.106347,-0.126852
81.9,0.0,-0.11972,-0.14005
84.17,0.0,-0.133543,-0.153728
86.45,0.0,-0.149033,-0.168876
88.72,0.0,-0.165336,-0.184899
91.0,0.0,-0.183254,-0.202813
93.1,0.0,-0.201618,-0.22074
95.37,0.0,-0.218934,-0.237801
97.47,0.0,-0.232058,-0.251079
99.75,0.0,-0.23964,-0.258685
102.02,0.0,-0.243466,-0.26245
104.3,0.0,-0.24281,-0.261972
106.4,0.0,-0.23675,-0.255838
108.85,0.0,-0.223833,-0.243103
110.95,0.0,-0.202517,-0.222064
113.22,0.0,-0.174967,-0.194646
115.5,0.0,-0.144252,-0.164415
117.6,0.0,-0.111153,-0.131861
119.87,0.0,-0.077591,-0.098519
122.15,0.0,-0.04737,-0.068815
124.25,0.0,-0.020447,-0.041954
126.52,0.0,0.002639,-0.019231
128.8,0.0,0.019211,-0.002878
