x,y,z,z2
7.0,0.0,-0.017083,-0.036901
10.5,0.0,-0.017561,-0.037299
14.18,0.0,-0.017724,-0.037176
17.68,0.0,-0.018044,-0.037598
21.35,0.0,-0.017961,-0.037573
24.85,0.0,-0.017989,-0.037749
28.53,0.0,-0.017958,-0.037656
31.85,0.0,-0.017573,-0.037243
35.53,0.0,-0.017259,-0.036978
39.03,0.0,-0.016858,-0.036519
42.7,0.0,-0.016643,-0.036446
46.2,0.0,-0.016375,-0.036307
49.87,0.0,-0.016332,-0.036211
53.2,0.0,-0.016406,-0.036181
56.87,0.0,-0.016751,-0.036467
60.55,0.0,-0.01717,-0.036914
64.05,0.0,-0.01753,-0.037345
67.55,0.0,-0.018303,-0.038106
71.22,0.0,-0.019104,-0.038861
74.72,0.0,-0.019899,-0.039437
78.05,0.0,-0.020759,-0.040358
81.9,0.0,-0.021076,-0.04078
85.4,0.0,-0.021791,-0.041449
88.9,0.0,-0.022274,-0.041787
92.57,0.0,-0.022601,-0.042231
96.07,0.0,-0.022946,-0.04273
99.75,0.0,-0.023279,-0.042767
103.07,0.0,-0.024073,-0.043587
106.75,0.0,-0.024545,-0.044064
110.25,0.0,-0.025004,-0.044271
113.75,0.0,-0.02534,-0.044856
117.42,0.0,-0.025549,-0.045102
120.75,0.0,-0.025993,-0.045592
124.42,0.0,-0.026988,-0.046519
127.92,0.0,-0.028346,-0.04777
131.6,0.0,-0.029979,-0.049545
135.1,0.0,-0.031908,-0.051187
138.95,0.0,-0.033904,-0.053411
142.45,0.0,-0.035956,-0.055306
146.3,0.0,-0.037983,-0.057197
149.8,0.0,-0.040232,-0.059428
153.47,0.0,-0.042687,-0.061864
157.15,0.0,-0.04542,-0.064739
160.65,0.0,-0.047863,-0.067089
164.15,0.0,-0.05098,-0.069911
168.0,0.0,-0.054609,-0.073704
171.68,0.0,-0.057444,-0.076107
175.18,0.0,-0.05936,-0.078155
178.68,0.0,-0.060937,-0.079779
182.35,0.0,-0.062059,-0.080919
185.85,0.0,-0.062462,-0.080965
189.53,0.0,-0.063337,-0.081935
193.03,0.0,-0.065463,-0.084095
196.7,0.0,-0.069597,-0.088297
200.38,0.0,-0.074689,-0.093164
203.88,0.0,-0.081556,-0.099868
207.55,0.0,-0.087989,-0.10623
211.05,0.0,-0.09366,-0.111861
214.73,0.0,-0.096408,-0.114609
218.05,0.0,-0.095044,-0.113337
221.73,0.0,-0.088888,-0.107437
225.23,0.0,-0.078337,-0.097095
228.73,0.0,-0.062964,-0.082283
232.23,0.0,-0.04379,-0.063491
235.9,0.0,-0.021581,-0.041929
239.4,0.0,0.00308,-0.017536
242.9,0.0,0.027569,0.006118
246.58,0.0,0.050061,0.028296
250.08,0.0,0.069081,0.047168
253.58,0.0,0.085227,0.063209
257.25,0.0,0.096592,0.074448
260.75,0.0,0.103419,0.081176
264.43,0.0,0.10552,0.083508
267.75,0.0,0.103323,0.081573
272.13,0.0,0.096589,0.073708
275.63,0.0,0.088551,0.067066
279.13,0.0,0.078939,0.057716
282.8,0.0,0.068292,0.047405
286.48,0.0,0.057689,0.036798
289.98,0.0,0.047624,0.02698
293.48,0.0,0.038385,0.017898
297.15,0.0,0.030015,0.009854
300.83,0.0,0.022202,0.002242
304.33,0.0,0.015551,-0.004483
307.83,0.0,0.009377,-0.010543
311.33,0.0,0.00409,-0.015675
315.0,0.0,-0.001523,-0.021258
318.5,0.0,-0.006898,-0.02672
322.0,0.0,-0.012237,-0.031584
325.5,0.0,-0.017983,-0.037542
329.0,0.0,-0.023771,-0.043078
332.5,0.0,-0.030096,-0.049255
336.18,0.0,-0.036942,-0.056048
339.68,0.0,-0.044908,-0.063978
343.18,0.0,-0.054015,-0.072829
346.85,0.0,-0.064782,-0.083183
350.35,0.0,-0.076895,-0.09492
354.03,0.0,-0.091335,-0.109375
357.53,0.0,-0.107579,-0.125007
361.03,0.0,-0.125632,-0.142558
364.53,0.0,-0.141957,-0.158827
368.03,0.0,-0.15781,-0.17427
371.7,0.0,-0.171744,-0.187853
375.38,0.0,-0.18269,-0.198876
378.88,0.0,-0.189002,-0.205345
382.55,0.0,-0.190746,-0.207219
386.05,0.0,-0.187379,-0.203975
389.55,0.0,-0.178611,-0.195355
393.23,0.0,-0.164726,-0.181846
396.73,0.0,-0.146495,-0.164147
400.23,0.0,-0.123405,-0.141747
403.73,0.0,-0.095949,-0.114806
407.23,0.0,-0.065783,-0.085475
410.73,0.0,-0.035192,-0.055509
414.4,0.0,-0.003263,-0.02444
417.9,0.0,0.027436,0.005997
421.58,0.0,0.055169,0.033212
425.08,0.0,0.078259,0.056105
428.58,0.0,0.097171,0.074716
432.08,0.0,0.110766,0.088336
435.58,0.0,0.119497,0.096971
439.25,0.0,0.123382,0.100893
442.75,0.0,0.12389,0.101509
446.25,0.0,0.121281,0.099186
449.75,0.0,0.11673,0.094857
453.25,0.0,0.110073,0.088311
456.75,0.0,0.102276,0.080671
460.25,0.0,0.09328,0.07186
463.75,0.0,0.08348,0.062183
467.43,0.0,0.074192,0.053071
470.93,0.0,0.065988,0.045039
474.43,0.0,0.058111,0.037273
478.1,0.0,0.051564,0.031007
481.78,0.0,0.045264,0.024589
485.28,0.0,0.039965,0.019402
488.95,0.0,0.035036,0.014602
492.45,0.0,0.030757,0.010233
496.13,0.0,0.026817,0.006376
499.63,0.0,0.023021,0.002821
