x,y,z,z2
7.0,0.0,-0.148232,-0.16541
10.85,0.0,-0.14798,-0.165706
14.53,0.0,-0.147921,-0.165198
18.2,0.0,-0.147508,-0.164973
21.7,0.0,-0.147521,-0.164671
25.2,0.0,-0.147219,-0.164578
28.7,0.0,-0.14704,-0.164446
32.38,0.0,-0.14744,-0.164637
35.87,0.0,-0.147906,-0.165016
39.37,0.0,-0.148457,-0.165589
43.05,0.0,-0.149002,-0.166374
46.72,0.0,-0.148975,-0.166103
50.22,0.0,-0.148984,-0.16627
53.72,0.0,-0.149397,-0.166572
57.4,0.0,-0.150025,-0.167511
60.9,0.0,-0.150712,-0.168035
64.4,0.0,-0.151569,-0.168898
67.9,0.0,-0.152305,-0.169501
71.57,0.0,-0.153097,-0.170247
75.07,0.0,-0.153488,-0.170481
78.75,0.0,-0.153737,-0.170909
82.25,0.0,-0.153839,-0.170915
85.92,0.0,-0.153066,-0.170207
89.42,0.0,-0.151516,-0.168645
92.92,0.0,-0.149212,-0.166371
96.42,0.0,-0.145817,-0.162986
99.92,0.0,-0.140216,-0.157767
103.6,0.0,-0.131606,-0.149566
107.1,0.0,-0.11968,-0.137798
110.6,0.0,-0.105903,-0.124335
114.27,0.0,-0.09346,-0.112336
117.95,0.0,-0.08363,-0.102841
121.62,0.0,-0.076655,-0.095552
125.12,0.0,-0.07164,-0.090715
128.62,0.0,-0.067311,-0.086325
132.12,0.0,-0.062767,-0.081883
135.62,0.0,-0.058202,-0.077499
139.3,0.0,-0.052561,-0.07192
142.8,0.0,-0.046476,-0.066137
146.47,0.0,-0.040041,-0.059612
149.97,0.0,-0.033239,-0.052958
153.65,0.0,-0.026036,-0.046057
157.15,0.0,-0.019588,-0.039582
160.65,0.0,-0.013371,-0.033476
164.15,0.0,-0.007841,-0.028374
167.83,0.0,-0.003701,-0.024123
171.33,0.0,-0.00042,-0.020654
174.83,0.0,0.001906,-0.018571
178.5,0.0,0.003166,-0.0172
182.0,0.0,0.003046,-0.017373
185.5,0.0,0.001952,-0.018402
189.18,0.0,-6.5e-05,-0.020296
192.68,0.0,-0.003091,-0.02342
196.18,0.0,-0.006945,-0.026698
199.85,0.0,-0.010087,-0.03005
203.35,0.0,-0.013054,-0.033017
206.85,0.0,-0.017216,-0.036991
210.35,0.0,-0.02302,-0.042709
214.03,0.0,-0.030863,-0.050226
217.7,0.0,-0.039388,-0.058855
221.2,0.0,-0.047742,-0.066797
224.88,0.0,-0.056526,-0.0755
228.38,0.0,-0.063938,-0.082724
232.05,0.0,-0.070996,-0.089871
235.55,0.0,-0.077237,-0.095654
239.05,0.0,-0.083547,-0.102086
242.55,0.0,-0.089545,-0.107881
246.23,0.0,-0.096125,-0.114307
249.73,0.0,-0.102844,-0.120857
253.23,0.0,-0.109957,-0.127798
256.73,0.0,-0.116757,-0.134317
260.58,0.0,-0.122712,-0.140352
264.08,0.0,-0.127595,-0.144939
267.4,0.0,-0.13172,-0.149104
271.08,0.0,-0.134338,-0.152018
274.58,0.0,-0.135709,-0.153115
278.25,0.0,-0.135638,-0.153075
281.75,0.0,-0.134551,-0.15224
285.25,0.0,-0.132422,-0.150219
288.75,0.0,-0.129424,-0.147206
292.25,0.0,-0.125694,-0.143451
295.75,0.0,-0.121763,-0.139773
299.43,0.0,-0.117071,-0.135262
302.93,0.0,-0.112139,-0.130333
306.43,0.0,-0.107696,-0.125826
309.93,0.0,-0.102881,-0.121079
313.6,0.0,-0.097792,-0.116405
316.93,0.0,-0.093131,-0.111559
320.78,0.0,-0.088574,-0.10716
324.28,0.0,-0.084495,-0.103137
327.78,0.0,-0.080672,-0.099492
331.45,0.0,-0.076951,-0.09566
334.95,0.0,-0.07359,-0.092317
338.63,0.0,-0.070327,-0.089329
342.13,0.0,-0.066846,-0.085709
345.8,0.0,-0.062853,-0.082188
349.3,0.0,-0.059385,-0.078679
352.8,0.0,-0.05663,-0.075919
356.3,0.0,-0.053694,-0.073069
359.98,0.0,-0.050965,-0.07033
363.48,0.0,-0.04858,-0.068084
367.15,0.0,-0.046412,-0.065832
370.48,0.0,-0.044988,-0.064502
374.15,0.0,-0.044083,-0.063525
377.65,0.0,-0.044132,-0.063433
381.15,0.0,-0.045466,-0.064803
384.83,0.0,-0.048269,-0.067388
388.33,0.0,-0.053057,-0.072203
392.0,0.0,-0.05923,-0.078134
395.5,0.0,-0.067308,-0.085725
