x,y,z,z2
7.0,0.0,-0.036064,-0.05545
10.68,0.0,-0.035256,-0.054415
14.18,0.0,-0.034579,-0.053802
17.85,0.0,-0.033932,-0.053103
21.88,0.0,-0.033081,-0.052924
25.55,0.0,-0.033158,-0.052357
29.05,0.0,-0.033121,-0.052656
32.55,0.0,-0.033473,-0.052742
36.05,0.0,-0.033775,-0.053152
39.72,0.0,-0.033879,-0.053192
43.4,0.0,-0.033503,-0.052684
46.9,0.0,-0.033901,-0.053011
50.4,0.0,-0.033858,-0.053245
54.07,0.0,-0.033778,-0.053017
57.57,0.0,-0.033938,-0.053047
61.07,0.0,-0.033097,-0.05261
64.75,0.0,-0.032003,-0.051384
68.25,0.0,-0.030361,-0.04968
71.92,0.0,-0.028439,-0.047832
75.42,0.0,-0.026597,-0.045811
78.92,0.0,-0.024576,-0.044049
82.6,0.0,-0.022302,-0.041892
86.1,0.0,-0.020623,-0.040247
89.6,0.0,-0.018882,-0.038328
93.1,0.0,-0.017459,-0.037213
96.77,0.0,-0.016501,-0.036122
100.27,0.0,-0.01599,-0.03534
103.77,0.0,-0.015571,-0.035139
107.27,0.0,-0.015654,-0.035065
110.77,0.0,-0.016205,-0.035657
114.27,0.0,-0.016519,-0.035993
117.77,0.0,-0.016812,-0.036347
121.45,0.0,-0.017388,-0.037065
124.95,0.0,-0.017893,-0.037493
128.62,0.0,-0.018331,-0.038303
132.3,0.0,-0.018337,-0.038051
135.8,0.0,-0.017924,-0.037724
139.47,0.0,-0.0172,-0.036812
142.97,0.0,-0.015928,-0.035497
146.48,0.0,-0.014415,-0.034166
150.15,0.0,-0.013214,-0.032897
153.65,0.0,-0.012237,-0.031723
157.5,0.0,-0.011181,-0.031073
161.18,0.0,-0.010583,-0.030219
164.68,0.0,-0.010629,-0.030395
168.18,0.0,-0.010632,-0.030281
171.68,0.0,-0.010589,-0.030364
175.18,0.0,-0.010571,-0.030333
178.85,0.0,-0.010931,-0.030595
182.35,0.0,-0.011387,-0.03106
185.85,0.0,-0.011677,-0.031301
189.35,0.0,-0.011704,-0.031513
192.85,0.0,-0.012179,-0.031769
196.53,0.0,-0.012511,-0.03216
200.03,0.0,-0.012943,-0.032357
204.23,0.0,-0.013217,-0.033248
207.9,0.0,-0.013251,-0.03302
211.58,0.0,-0.013617,-0.033389
215.08,0.0,-0.013673,-0.033408
218.4,0.0,-0.013633,-0.033328
222.08,0.0,-0.014061,-0.033596
225.58,0.0,-0.014446,-0.034141
229.25,0.0,-0.015364,-0.034967
232.75,0.0,-0.016852,-0.036208
236.25,0.0,-0.018291,-0.037712
239.93,0.0,-0.019403,-0.038827
243.43,0.0,-0.02038,-0.039708
246.93,0.0,-0.021036,-0.040592
250.43,0.0,-0.022166,-0.04156
254.1,0.0,-0.023537,-0.042804
257.6,0.0,-0.025099,-0.044499
261.1,0.0,-0.027043,-0.046255
264.6,0.0,-0.028929,-0.048297
268.28,0.0,-0.031076,-0.050361
271.78,0.0,-0.033602,-0.052733
275.28,0.0,-0.03595,-0.055115
278.95,0.0,-0.039221,-0.058337
282.45,0.0,-0.043214,-0.06253
285.95,0.0,-0.048029,-0.066951
289.45,0.0,-0.054739,-0.073312
293.13,0.0,-0.063257,-0.081442
296.8,0.0,-0.073186,-0.091538
300.3,0.0,-0.086353,-0.104039
303.8,0.0,-0.103146,-0.12045
307.3,0.0,-0.123947,-0.140832
310.8,0.0,-0.148876,-0.165222
314.3,0.0,-0.179803,-0.195487
317.98,0.0,-0.218337,-0.232761
321.48,0.0,-0.26074,-0.274455
325.15,0.0,-0.308786,-0.321497
328.65,0.0,-0.353623,-0.365604
332.33,0.0,-0.394375,-0.405804
335.83,0.0,-0.424849,-0.436245
339.33,0.0,-0.441654,-0.45305
342.83,0.0,-0.44337,-0.455314
346.33,0.0,-0.429729,-0.442354
350.0,0.0,-0.399332,-0.412936
353.5,0.0,-0.354264,-0.369233
357.18,0.0,-0.296334,-0.312305
360.85,0.0,-0.229766,-0.247545
364.35,0.0,-0.159431,-0.178617
367.85,0.0,-0.08899,-0.109471
371.35,0.0,-0.021181,-0.042693
374.85,0.0,0.039525,0.017008
378.35,0.0,0.090618,0.067544
381.85,0.0,0.130246,0.106921
385.0,0.0,0.157802,0.134309
389.03,0.0,0.174786,0.151013
392.7,0.0,0.181564,0.157966
396.38,0.0,0.178856,0.156022
399.88,0.0,0.169367,0.146355
403.38,0.0,0.155637,0.133342
407.05,0.0,0.138573,0.116589
410.73,0.0,0.120138,0.098915
414.05,0.0,0.101348,0.080393
417.73,0.0,0.082362,0.061814
421.4,0.0,0.065267,0.044959
424.9,0.0,0.049596,0.029411
428.4,0.0,0.036536,0.016493
432.08,0.0,0.02528,0.00535
435.58,0.0,0.016222,-0.003448
439.08,0.0,0.008102,-0.011575
442.75,0.0,0.002045,-0.018048
446.25,0.0,-0.003559,-0.023205
449.75,0.0,-0.007955,-0.027496
453.43,0.0,-0.011646,-0.031174
456.93,0.0,-0.014788,-0.034372
460.6,0.0,-0.01728,-0.036892
464.28,0.0,-0.019073,-0.038485
467.78,0.0,-0.020266,-0.039579
471.45,0.0,-0.021085,-0.040527
474.95,0.0,-0.021677,-0.041621
478.63,0.0,-0.022185,-0.04106
482.13,0.0,-0.022653,-0.042062
485.63,0.0,-0.023007,-0.042339
489.3,0.0,-0.023454,-0.042866
492.8,0.0,-0.023319,-0.043069
496.48,0.0,-0.023306,-0.042758
499.98,0.0,-0.022943,-0.042388
503.3,0.0,-0.022197,-0.0418
506.98,0.0,-0.021421,-0.04102
510.65,0.0,-0.020962,-0.040657
514.15,0.0,-0.021199,-0.040549
517.65,0.0,-0.020996,-0.040487
521.15,0.0,-0.021486,-0.040832
524.83,0.0,-0.021926,-0.041384
528.33,0.0,-0.022604,-0.041969
531.83,0.0,-0.023075,-0.042339
535.33,0.0,-0.023346,-0.042733
539.0,0.0,-0.023319,-0.04257
542.5,0.0,-0.023377,-0.042644
546.0,0.0,-0.02326,-0.042567
549.5,0.0,-0.023815,-0.043051
553.0,0.0,-0.023738,-0.043011
556.68,0.0,-0.024067,-0.043728
560.18,0.0,-0.024523,-0.044076
564.03,0.0,-0.024859,-0.044462
567.53,0.0,-0.025386,-0.044625
571.03,0.0,-0.026076,-0.045404
574.7,0.0,-0.026692,-0.046144
578.2,0.0,-0.027163,-0.046526
581.7,0.0,-0.027508,-0.046868
585.2,0.0,-0.027746,-0.047117
588.87,0.0,-0.028386,-0.047662
592.37,0.0,-0.029018,-0.048266
595.87,0.0,-0.029329,-0.048734
599.37,0.0,-0.029881,-0.048996
602.87,0.0,-0.030263,-0.049563
606.55,0.0,-0.030916,-0.050004
610.05,0.0,-0.031199,-0.050623
613.72,0.0,-0.031778,-0.051104
617.22,0.0,-0.032216,-0.051442
620.72,0.0,-0.032789,-0.052022
624.4,0.0,-0.033152,-0.052536
628.07,0.0,-0.033519,-0.052795
631.57,0.0,-0.033898,-0.053279
635.25,0.0,-0.034218,-0.053559
638.75,0.0,-0.034831,-0.054083
642.42,0.0,-0.035454,-0.054628
645.92,0.0,-0.036088,-0.055361
649.42,0.0,-0.036501,-0.055672
653.1,0.0,-0.036526,-0.055635
656.6,0.0,-0.036831,-0.055925
660.1,0.0,-0.036784,-0.05607
663.6,0.0,-0.036772,-0.055894
667.27,0.0,-0.036806,-0.056193
670.77,0.0,-0.037194,-0.056402
674.27,0.0,-0.036843,-0.056094
677.77,0.0,-0.036852,-0.0561
681.45,0.0,-0.036476,-0.055906
684.95,0.0,-0.036513,-0.055795
688.45,0.0,-0.036085,-0.055404
691.95,0.0,-0.036433,-0.055675
695.45,0.0,-0.036609,-0.055783
698.95,0.0,-0.03716,-0.056421
702.62,0.0,-0.037533,-0.056994
706.3,0.0,-0.037579,-0.056677
709.8,0.0,-0.03757,-0.0566
12.25,14.17,-0.042662,-0.066153
15.93,14.17,-0.042302,-0.061603
19.43,14.17,-0.041618,-0.060799
22.93,14.17,-0.040882,-0.060028
26.78,14.17,-0.04005,-0.059409
30.28,14.17,-0.039267,-0.058562
33.95,14.17,-0.038183,-0.057724
37.45,14.17,-0.037567,-0.056941
40.95,14.17,-0.037237,-0.056396
44.63,14.17,-0.037548,-0.056652
47.95,14.17,-0.038001,-0.057059
51.63,14.17,-0.038645,-0.057736
55.13,14.17,-0.039412,-0.058614
58.63,14.17,-0.040142,-0.059289
62.13,14.17,-0.040894,-0.06001
65.63,14.17,-0.041596,-0.060703
69.13,14.17,-0.042345,-0.061482
72.8,14.17,-0.042644,-0.061744
76.3,14.17,-0.043165,-0.062022
79.97,14.17,-0.043041,-0.062136
83.65,14.17,-0.043331,-0.062702
87.15,14.17,-0.043704,-0.062881
90.82,14.17,-0.043741,-0.063152
94.32,14.17,-0.044132,-0.063436
98.0,14.17,-0.044403,-0.06403
101.5,14.17,-0.044138,-0.063506
105.17,14.17,-0.043812,-0.062927
108.67,14.17,-0.043279,-0.062407
112.52,14.17,-0.042431,-0.061424
116.02,14.17,-0.041088,-0.060115
119.7,14.17,-0.039693,-0.058941
123.2,14.17,-0.038223,-0.057607
126.87,14.17,-0.036575,-0.055953
130.37,14.17,-0.034896,-0.054261
133.87,14.17,-0.033805,-0.053266
137.2,14.17,-0.032807,-0.052108
140.88,14.17,-0.032277,-0.051427
144.55,14.17,-0.032031,-0.051227
148.05,14.17,-0.031969,-0.051298
151.55,14.17,-0.032397,-0.051778
155.05,14.17,-0.031935,-0.051356
159.08,14.17,-0.031652,-0.051023
162.58,14.17,-0.03119,-0.050722
166.25,14.17,-0.03042,-0.049871
169.75,14.17,-0.029967,-0.04911
173.43,14.17,-0.029363,-0.049036
177.1,14.17,-0.028602,-0.047921
180.6,14.17,-0.028192,-0.047601
184.1,14.17,-0.027832,-0.047182
187.6,14.17,-0.027755,-0.047253
191.28,14.17,-0.028007,-0.047206
194.78,14.17,-0.028198,-0.047502
198.28,14.17,-0.028895,-0.04806
201.78,14.17,-0.029372,-0.048741
205.28,14.17,-0.030152,-0.04924
208.95,14.17,-0.030515,-0.049686
212.45,14.17,-0.03042,-0.049554
215.95,14.17,-0.030167,-0.049443
219.63,14.17,-0.029449,-0.048473
223.13,14.17,-0.029015,-0.048235
226.63,14.17,-0.028519,-0.047853
230.13,14.17,-0.028577,-0.048118
233.98,14.17,-0.029403,-0.049203
237.48,14.17,-0.030075,-0.049437
240.98,14.17,-0.030765,-0.049742
244.65,14.17,-0.031221,-0.050441
248.15,14.17,-0.032065,-0.051335
251.65,14.17,-0.032878,-0.052231
255.33,14.17,-0.034003,-0.053001
258.83,14.17,-0.035503,-0.054785
262.33,14.17,-0.037243,-0.056328
265.83,14.17,-0.039215,-0.058402
269.5,14.17,-0.041695,-0.060617
273.0,14.17,-0.044348,-0.063399
276.5,14.17,-0.047108,-0.065959
280.0,14.17,-0.050768,-0.069397
283.68,14.17,-0.054468,-0.073405
287.18,14.17,-0.058818,-0.077536
290.68,14.17,-0.064033,-0.082419
294.18,14.17,-0.070962,-0.089206
297.85,14.17,-0.078969,-0.0972
301.35,14.17,-0.089523,-0.107382
305.03,14.17,-0.10302,-0.120694
308.18,14.17,-0.120161,-0.137357
312.03,14.17,-0.13997,-0.156578
315.7,14.17,-0.164711,-0.180749
319.2,14.17,-0.195441,-0.210731
322.7,14.17,-0.228722,-0.243531
326.2,14.17,-0.263543,-0.277437
329.7,14.17,-0.298599,-0.311932
333.2,14.17,-0.329233,-0.342258
336.88,14.17,-0.352089,-0.364547
340.2,14.17,-0.364791,-0.377573
344.05,14.17,-0.364566,-0.377856
347.55,14.17,-0.351177,-0.365157
351.05,14.17,-0.324424,-0.339125
354.55,14.17,-0.282299,-0.298257
358.05,14.17,-0.230977,-0.248266
361.73,14.17,-0.170697,-0.189446
365.23,14.17,-0.10671,-0.126735
368.9,14.17,-0.042493,-0.063664
372.4,14.17,0.018329,-0.00371
375.9,14.17,0.071472,0.048564
379.4,14.17,0.11568,0.09218
382.9,14.17,0.147969,0.124414
386.58,14.17,0.169183,0.145406
390.08,14.17,0.179879,0.156413
393.75,14.17,0.180822,0.157648
397.25,14.17,0.17409,0.151348
400.75,14.17,0.161937,0.139651
404.25,14.17,0.146305,0.124278
407.93,14.17,0.128271,0.106758
411.43,14.17,0.108933,0.087932
415.28,14.17,0.088487,0.06714
419.13,14.17,0.069808,0.048964
422.63,14.17,0.054938,0.03467
426.13,14.17,0.041672,0.021641
429.8,14.17,0.029667,0.009716
433.48,14.17,0.019016,-0.000709
436.8,14.17,0.010569,-0.009184
440.48,14.17,0.003437,-0.016128
443.98,14.17,-0.002684,-0.022348
447.48,14.17,-0.007709,-0.027348
451.15,14.17,-0.01151,-0.030946
454.65,14.17,-0.014739,-0.034163
458.15,14.17,-0.017253,-0.036637
461.65,14.17,-0.019231,-0.038833
465.33,14.17,-0.020962,-0.040377
468.83,14.17,-0.022243,-0.041655
472.5,14.17,-0.023756,-0.043195
475.83,14.17,-0.024982,-0.044603
479.68,14.17,-0.026181,-0.045583
483.18,14.17,-0.027268,-0.046621
486.68,14.17,-0.028282,-0.047521
490.18,14.17,-0.029261,-0.048765
493.68,14.17,-0.030118,-0.04944
497.35,14.17,-0.03078,-0.049828
500.85,14.17,-0.030737,-0.049973
504.53,14.17,-0.030826,-0.05013
508.03,14.17,-0.030407,-0.049763
511.7,14.17,-0.02993,-0.049123
515.2,14.17,-0.029326,-0.048636
518.7,14.17,-0.028608,-0.047946
522.38,14.17,-0.027779,-0.04724
525.88,14.17,-0.026935,-0.046224
529.38,14.17,-0.026174,-0.045749
532.88,14.17,-0.025657,-0.045041
536.55,14.17,-0.025534,-0.045096
540.05,14.17,-0.025611,-0.045025
543.55,14.17,-0.025635,-0.044874
547.05,14.17,-0.025802,-0.045207
550.73,14.17,-0.025934,-0.045469
554.23,14.17,-0.026427,-0.045759
557.9,14.17,-0.026757,-0.046168
561.4,14.17,-0.027462,-0.046744
564.73,14.17,-0.027792,-0.047046
568.58,14.17,-0.028587,-0.047816
572.08,14.17,-0.028953,-0.048183
575.75,14.17,-0.029634,-0.048959
579.25,14.17,-0.030343,-0.049711
582.93,14.17,-0.030879,-0.050281
586.43,14.17,-0.031519,-0.050762
589.93,14.17,-0.031606,-0.050709
593.6,14.17,-0.032019,-0.051288
597.1,14.17,-0.031997,-0.051147
600.78,14.17,-0.032089,-0.051261
604.28,14.17,-0.032364,-0.05151
607.95,14.17,-0.032783,-0.05188
611.45,14.17,-0.033112,-0.052283
615.12,14.17,-0.033741,-0.052906
618.62,14.17,-0.033879,-0.053124
622.12,14.17,-0.033775,-0.052946
625.8,14.17,-0.033926,-0.052921
629.3,14.17,-0.034147,-0.053596
632.8,14.17,-0.034178,-0.053349
636.47,14.17,-0.034517,-0.053731
639.97,14.17,-0.034514,-0.053781
643.47,14.17,-0.034582,-0.053778
646.97,14.17,-0.034163,-0.053596
650.47,14.17,-0.033818,-0.053312
653.97,14.17,-0.033873,-0.053057
657.65,14.17,-0.03351,-0.052733
661.15,14.17,-0.033137,-0.052407
664.65,14.17,-0.032816,-0.052065
668.32,14.17,-0.032666,-0.051929
671.82,14.17,-0.033084,-0.052324
675.32,14.17,-0.03314,-0.052447
678.82,14.17,-0.033491,-0.052709
682.32,14.17,-0.033698,-0.052918
686.0,14.17,-0.033864,-0.053035
689.32,14.17,-0.034166,-0.053411
693.0,14.17,-0.034656,-0.053867
696.5,14.17,-0.035133,-0.054421
700.0,14.17,-0.035278,-0.054569
703.67,14.17,-0.0353,-0.054554
707.17,14.17,-0.035343,-0.054616
710.67,14.17,-0.035373,-0.054723
12.25,28.35,-0.048476,-0.071772
15.75,28.35,-0.049206,-0.068368
19.25,28.35,-0.050035,-0.069033
22.93,28.35,-0.050072,-0.068969
26.6,28.35,-0.05005,-0.069234
30.1,28.35,-0.049754,-0.068676
33.6,28.35,-0.048932,-0.068026
37.28,28.35,-0.048088,-0.067089
40.95,28.35,-0.04745,-0.066908
44.45,28.35,-0.046741,-0.065845
48.13,28.35,-0.046384,-0.065561
51.63,28.35,-0.04606,-0.065155
55.3,28.35,-0.045635,-0.064616
58.98,28.35,-0.045743,-0.064628
62.48,28.35,-0.046298,-0.065389
66.15,28.35,-0.046402,-0.065244
69.65,28.35,-0.046686,-0.065638
73.15,28.35,-0.046359,-0.06537
76.65,28.35,-0.045164,-0.064375
80.33,28.35,-0.043796,-0.063078
83.83,28.35,-0.042779,-0.061852
87.33,28.35,-0.041754,-0.060826
91.0,28.35,-0.040755,-0.060028
94.5,28.35,-0.03977,-0.058885
98.0,28.35,-0.038676,-0.057866
101.5,28.35,-0.037712,-0.057179
105.0,28.35,-0.037009,-0.056405
108.68,28.35,-0.036362,-0.055666
112.18,28.35,-0.036424,-0.055484
115.85,28.35,-0.03647,-0.055749
119.53,28.35,-0.036473,-0.055805
123.03,28.35,-0.036815,-0.055962
126.53,28.35,-0.036754,-0.056082
130.03,28.35,-0.036399,-0.055805
133.7,28.35,-0.03558,-0.054927
137.38,28.35,-0.035186,-0.054597
140.88,28.35,-0.034591,-0.053811
144.38,28.35,-0.034569,-0.054021
147.88,28.35,-0.034209,-0.053402
151.55,28.35,-0.033901,-0.053297
155.05,28.35,-0.033756,-0.053337
158.73,28.35,-0.033885,-0.053211
162.23,28.35,-0.033864,-0.053066
165.73,28.35,-0.03391,-0.052964
169.23,28.35,-0.034224,-0.053232
172.9,28.35,-0.034649,-0.053728
176.23,28.35,-0.035031,-0.0542
179.9,28.35,-0.035025,-0.054147
183.4,28.35,-0.03501,-0.054126
187.08,28.35,-0.035284,-0.054449
190.75,28.35,-0.03534,-0.054822
194.25,28.35,-0.035078,-0.054314
197.75,28.35,-0.035401,-0.054523
201.43,28.35,-0.035247,-0.054563
204.93,28.35,-0.034988,-0.054271
208.6,28.35,-0.034939,-0.054341
212.1,28.35,-0.034951,-0.054277
215.6,28.35,-0.034967,-0.054304
219.28,28.35,-0.03537,-0.054489
222.78,28.35,-0.035454,-0.054813
226.28,28.35,-0.035774,-0.054945
229.78,28.35,-0.036399,-0.055561
233.45,28.35,-0.036849,-0.055725
236.95,28.35,-0.037216,-0.056264
240.45,28.35,-0.03797,-0.056954
243.95,28.35,-0.038962,-0.058066
247.63,28.35,-0.040189,-0.059215
251.13,28.35,-0.041455,-0.060269
254.63,28.35,-0.042672,-0.061627
258.13,28.35,-0.043439,-0.062576
261.8,28.35,-0.044625,-0.063596
265.3,28.35,-0.045481,-0.064708
268.8,28.35,-0.046455,-0.065515
272.3,28.35,-0.048134,-0.06716
275.98,28.35,-0.050413,-0.069314
279.48,28.35,-0.053294,-0.072154
283.15,28.35,-0.056781,-0.075564
286.65,28.35,-0.060632,-0.079329
290.15,28.35,-0.065949,-0.084428
293.83,28.35,-0.072619,-0.090842
297.33,28.35,-0.082074,-0.099942
300.83,28.35,-0.092927,-0.110681
304.5,28.35,-0.106221,-0.123716
307.65,28.35,-0.122157,-0.139341
311.5,28.35,-0.13985,-0.156464
314.83,28.35,-0.160795,-0.176929
318.33,28.35,-0.185549,-0.201193
322.0,28.35,-0.213657,-0.22854
325.68,28.35,-0.243546,-0.257872
329.35,28.35,-0.271778,-0.285758
332.85,28.35,-0.297129,-0.310826
336.35,28.35,-0.316818,-0.330302
340.03,28.35,-0.327791,-0.34147
343.53,28.35,-0.328198,-0.34203
347.2,28.35,-0.316528,-0.331143
350.7,28.35,-0.291907,-0.307092
354.2,28.35,-0.255669,-0.272055
357.7,28.35,-0.208318,-0.225808
361.2,28.35,-0.151901,-0.170897
364.7,28.35,-0.091618,-0.111846
368.38,28.35,-0.031162,-0.052129
371.88,28.35,0.028782,0.006697
375.38,28.35,0.077947,0.055166
378.88,28.35,0.118976,0.095979
382.55,28.35,0.148699,0.125122
386.05,28.35,0.166721,0.143474
389.73,28.35,0.174241,0.151111
393.23,28.35,0.172806,0.14986
396.73,28.35,0.163955,0.14129
400.4,28.35,0.14975,0.127485
403.9,28.35,0.132273,0.11088
407.4,28.35,0.112886,0.091466
411.08,28.35,0.092812,0.071737
414.58,28.35,0.072682,0.05202
418.25,28.35,0.054965,0.034571
421.93,28.35,0.038665,0.018644
425.6,28.35,0.024365,0.004617
429.1,28.35,0.012014,-0.007576
432.6,28.35,0.001121,-0.018457
436.28,28.35,-0.008057,-0.027459
439.78,28.35,-0.015441,-0.034653
443.28,28.35,-0.021292,-0.040555
446.95,28.35,-0.025962,-0.045195
450.63,28.35,-0.029508,-0.04879
454.13,28.35,-0.032277,-0.051584
457.63,28.35,-0.034141,-0.053439
461.13,28.35,-0.035866,-0.054831
464.63,28.35,-0.037324,-0.056387
468.3,28.35,-0.038537,-0.057524
471.8,28.35,-0.039686,-0.058775
475.48,28.35,-0.040848,-0.059819
478.98,28.35,-0.041898,-0.060857
482.65,28.35,-0.042727,-0.061812
486.15,28.35,-0.043525,-0.062548
489.65,28.35,-0.0442,-0.063195
493.5,28.35,-0.044631,-0.064175
497.18,28.35,-0.044933,-0.064095
500.68,28.35,-0.045213,-0.06436
504.18,28.35,-0.045315,-0.064394
508.03,28.35,-0.045333,-0.06423
511.7,28.35,-0.045235,-0.064304
